File Name,depth_input,vs_input,Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic,Subset_Region,Subset_Geology
SCPT_57279,0.1,95.5,0.1,18.4992,0.0213,-0.0002,198.1337616,106.4894581,129.6393403,132.3100071,51.46871844,92.60320879,1.235285175,2,1
SCPT_57279,0.5,95.5,0.5,6.5466,0.0935,-0.0007,721.5281715,143.0254753,174.1179699,270.6645888,78.3817804,167.3567344,2.150750385,2,1
SCPT_57279,1,64,1,1.8863,0.0137,-0.0614,322.5435882,107.4933045,130.8614142,182.8270438,67.74130833,153.9476092,2.446250707,2,1
SCPT_57279,1.5,75,1.5,1.1857,0.0185,-0.0572,408.1069433,105.9273181,128.9549959,192.7705732,72.71078285,176.7626819,2.781737257,2,1
SCPT_57279,2,80,2,0.7783,0.0847,-0.055,835.0451936,112.6295849,137.1142772,238.1048977,84.10923002,230.9615448,3.426855954,2,1
SCPT_57279,2.5,83,2.5,0.2018,0.0299,0.0466,389.7329282,75.7734771,92.24597212,143.9722926,67.58253864,211.3159355,3.96653624,2,1
SCPT_57279,3,68,3,0.3698,0.0438,0.0859,449.9408865,92.36813881,112.448169,168.0293724,80.07318761,233.5963338,3.698914891,2,1
SCPT_57279,3.5,52,3.5,0.1455,0.0167,0.0819,169.7069688,68.25543826,83.09357701,96.3256316,67.45380883,212.7978805,4.016825495,2,1
SCPT_57279,4,72,4,0.1002,0.0107,0.0926,42.12634421,59.45231907,72.37673626,47.01054652,63.93730199,207.1606407,4.134090374,2,1
SCPT_57279,4.5,84,4.5,2.3438,0.0242,0.0141,241.2068605,140.1544835,170.6228495,176.5308117,111.3105007,242.9158937,2.435740157,2,1
SCPT_57279,5,105,5,4.2577,0.0228,-0.0732,197.7527743,155.3168829,189.0814226,177.6475018,124.2914586,248.6489285,2.070937374,2,1
SCPT_57279,5.5,109,5.5,7.0286,0.022,-0.0436,171.50318,166.2011261,202.3318057,180.5896841,136.775668,254.4797876,1.773857975,2,1
SCPT_57279,6,97,6,4.0022,0.0213,-0.0256,180.9856551,156.4487238,190.459316,172.4641675,128.8636425,257.9754515,2.09365153,2,1
SCPT_57279,6.5,95,6.5,2.8002,0.0431,-0.0698,256.605118,159.4372311,194.0974987,188.170931,132.6980598,287.7518197,2.464188358,2,1
SCPT_57279,7,128,7,1.7553,0.0517,-0.0507,290.5421884,150.0905849,182.7189729,185.2770875,128.5764374,299.179292,2.794047799,2,1
SCPT_57279,7.5,117.5,7.5,2.0735,0.0484,-0.0504,261.5378867,155.3588483,189.132511,182.7758842,133.5157197,302.2203902,2.67560766,2,1
SCPT_57279,8,172,8,4.6576,0.0324,-0.0675,187.9828469,172.1041603,209.5181082,181.6948639,147.7295688,293.3301968,2.091716224,2,1
SCPT_57279,8.5,172.5,8.5,9.8912,0.046,-0.0527,193.9886079,195.309562,237.7681624,204.6871173,172.39356,313.4917413,1.721209609,2,1
SCPT_57279,9,177,9,25.426,0.1895,0.055,340.6910536,255.6640335,311.2431712,287.5883344,225.6829986,385.009429,1.52539183,2,1
SCPT_57279,9.5,213,9.5,39.3345,0.1086,0.0762,233.7332457,226.3600558,275.5687635,268.3994658,232.9411762,364.2361357,1.096821079,2,1
SCPT_57279,10,243.5,10,54.1078,0.0359,0.0957,165.2992486,180.0090153,219.1414099,249.5841729,225.6732505,320.2935233,0.737926922,2,1
SCPT_57279,10.5,259,10.5,47.6878,0.1087,0.1011,227.5881461,223.1685645,271.6834698,277.0913924,246.2669602,374.1542672,0.980049786,2,1
SCPT_57279,11,269,11,74.1119,0.1515,0.4718,255.9473324,222.1870484,270.4885807,310.037131,273.2518446,396.5727947,0.800993706,2,1
SCPT_57279,11.5,253,11.5,81.0449,0.2659,0.1043,350.7792644,264.1747463,321.604039,353.9406378,293.6296748,431.7717889,0.925588476,2,1
SCPT_57279,12,227,12,60.3911,0.1149,0.1182,228.8285491,218.9749646,266.5782178,293.344666,265.6420819,390.4931448,0.850944066,2,1
SCPT_57279,12.5,192.5,12.5,28.1954,0.1515,0.1253,274.2249757,255.4556848,310.9895293,280.5425019,246.3534931,406.6894909,1.3939088,2,1
SCPT_57279,13,202,13,17.3635,0.1053,0.0319,232.6782716,238.6722244,290.5574905,247.0836602,225.3530274,390.3699936,1.58725626,2,1
SCPT_57279,13.5,193,13.5,14.0572,0.078,0.0581,201.7845891,226.7684168,276.0658987,228.3093432,215.4725212,378.4434112,1.636345019,2,1
SCPT_57279,14,235,14,19.8311,0.1261,0.0651,246.9660139,249.3241107,303.5250043,259.0869405,238.0228818,407.5899585,1.556405525,2,1
SCPT_57279,14.5,220,14.5,15.4618,0.0803,0.083,199.3641696,230.8589921,281.0457295,232.0930628,223.3690336,387.0788171,1.58599237,2,1
SCPT_57279,15,193,15,19.0814,0.1083,0.0673,225.2128045,244.8916689,298.1289882,250.9303124,238.2611474,406.5266854,1.537322187,2,1
