File Name,depth_input,vs_input,Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic,Subset_Region,Subset_Geology
SCPT_114322,0.1,244,0.1,3.8979,0.01,0,671.005757,88.58611071,107.8439609,197.6325308,38.62757486,82.97206569,1.981699094,4,1
SCPT_114322,0.5,244,0.5,5.474,0.031,-0.0019,400.7240858,123.9457547,150.890484,207.5782298,69.69961754,144.7903581,1.986355462,4,1
SCPT_114322,1,244,1,3.5664,0.0167,0.0012,275.9151875,120.7214528,146.9652469,182.8137385,75.47870103,158.708212,2.114428443,4,1
SCPT_114322,1.5,244,1.5,5.3058,0.0272,0.0024,272.0452527,139.714413,170.0871114,192.9416913,93.15464993,187.9178167,1.977487313,4,1
SCPT_114322,2,262,2,8.374,0.0425,0.0026,267.827073,159.3589722,194.002227,204.9644613,111.8311494,214.9020751,1.802743796,4,1
SCPT_114322,2.5,262,2.5,15.3453,0.0877,0.0002,304.1034008,188.0928175,228.9825605,234.4998546,137.8778704,250.9601369,1.613473124,4,1
SCPT_114322,3,241,3,7.891,0.0392,-0.0037,238.8779792,165.1472795,201.048862,200.6253332,123.2784853,235.5252095,1.820233997,4,1
SCPT_114322,3.5,241,3.5,5.3567,0.02,-0.0047,190.6987972,151.1425111,183.9995787,177.584925,115.0841313,223.7364332,1.912828454,4,1
SCPT_114322,4,154,4,9.3342,0.0353,-0.0041,204.2654859,171.7281117,209.0603099,196.8103681,135.6272337,250.1901546,1.69884966,4,1
SCPT_114322,4.5,154,4.5,8.4894,0.0393,-0.0009,213.6406968,174.9059393,212.9289696,199.5160262,139.4773769,261.1964336,1.777413263,4,1
SCPT_114322,5,173,5,11.5517,0.0408,-0.0005,198.3534574,182.1693829,221.7714226,203.3094613,150.6042708,270.1771197,1.60327523,4,1
SCPT_114322,5.5,173,5.5,11.9154,0.025,-0.0109,161.4745803,175.1431182,213.2177092,190.4795799,149.1513929,259.7567972,1.495498047,4,1
SCPT_114322,6,158,6,12.1031,0.0158,-0.0746,141.2500916,170.7713289,207.8955309,182.9334653,147.4244521,250.1905363,1.427161824,4,1
SCPT_114322,6.5,158,6.5,1.9971,0.0185,-0.0392,175.511825,139.906018,170.3203698,156.6677748,117.8258449,257.1473884,2.472972414,4,1
SCPT_114322,7,210,7,7.234,0.0158,-0.0248,141.6246032,167.0233107,203.332726,173.040272,142.8874616,259.1518908,1.704961623,4,1
SCPT_114322,7.5,210,7.5,11.9936,0.0066,-0.0559,126.7515268,170.9342882,208.0939161,178.736427,145.7054302,236.3062419,1.391608468,4,1
SCPT_114322,8,187,8,8.2391,0.0334,-0.0719,174.8857999,184.1817405,224.2212493,191.9818123,160.7809104,295.7372793,1.760867098,4,1
SCPT_114322,8.5,187,8.5,9.2325,0.0349,-0.0615,172.6722036,188.245903,229.1689254,195.0439791,166.8233263,302.2827831,1.702962112,4,1
SCPT_114322,9,203,9,3.0707,0.0523,-0.0379,226.0095169,171.5411306,208.8326807,184.64816,149.5874176,320.6224191,2.457135658,4,1
SCPT_114322,9.5,203,9.5,4.2616,0.0278,-0.0443,162.1903854,171.1359854,208.3394605,172.1557533,151.0564137,300.1293647,2.111233113,4,1
SCPT_114322,10,232,10,11.6338,0.0445,-0.033,178.3269022,200.7272704,244.3636335,206.4550034,184.1177307,325.6363638,1.617475277,4,1
SCPT_114322,10.5,232,10.5,7.3161,0.0576,-0.0641,203.6412943,200.0052422,243.4846426,203.2823709,178.3527382,339.7592116,1.955533881,4,1
SCPT_114322,11,197,11,19.8117,0.0701,-0.0588,201.9602052,220.089146,267.9346126,235.1051134,211.9709352,355.2815607,1.402554922,4,1
