File Name,depth_input,vs_input,Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic,Subset_Region,Subset_Geology
SCPT_156307,0.51,250,0.51,7.722,0.054,0.0002,428.9226902,137.1462565,166.9606601,224.1212213,77.11593078,156.8033725,1.90711519,5,1
SCPT_156307,1.01,188,1.01,8.978,0.0549,0.0015,321.3407024,151.8379221,184.846166,216.8447175,95.42486013,187.0040433,1.820321531,5,1
SCPT_156307,1.51,176,1.51,12.286,0.1215,0.0013,432.0017061,182.3632427,222.0074259,257.0233827,119.252738,230.0898585,1.839199603,5,1
SCPT_156307,2.01,174,2.01,10.008,0.0874,0.0021,359.9953482,177.1629133,215.6765902,237.8381408,121.9836956,236.628698,1.87301394,5,1
SCPT_156307,2.51,178,2.51,6.991,0.0675,-0.0006,334.2435609,169.5757402,206.4400315,224.6004627,120.607132,241.3994567,2.023259724,5,1
SCPT_156307,3.01,185,3.01,7.602,0.0757,-0.0013,330.6383745,177.5792867,216.1834795,228.3080571,129.6217497,256.7074126,2.002269602,5,1
SCPT_156307,3.51,164,3.51,5.597,0.0935,-0.0018,390.566234,178.1371295,216.8625925,236.3688566,131.7334693,273.6924609,2.246613505,5,1
SCPT_156307,4.01,200,4.01,8.138,0.0466,-0.004,232.9259076,175.0720896,213.1312395,205.2926767,136.1703446,259.2885158,1.840709474,5,1
SCPT_156307,4.51,188,4.51,10.923,0.0952,-0.001,305.0526343,199.7433626,243.1658328,237.7196199,155.749624,293.7466714,1.842804748,5,1
SCPT_156307,5.01,188,5.01,12.845,0.1132,-0.0012,314.5521654,210.2912777,256.0067729,247.4581222,166.5327585,308.9038833,1.791795619,5,1
SCPT_156307,5.51,194,5.51,9.402,0.1177,-0.0013,334.4084399,207.3869131,252.4710247,244.6798323,164.0121907,317.302782,1.994067203,5,1
SCPT_156307,6.01,203,6.01,9.36,0.1528,-0.001,377.3683047,216.8468646,263.9874874,257.0901725,171.5895704,335.5354988,2.073457512,5,1
SCPT_156307,6.51,211,6.51,5.781,0.0795,-0.0015,276.8179717,189.6977264,230.9363625,215.95432,155.0430264,313.3879505,2.182293987,5,1
SCPT_156307,7.01,215,7.01,7.465,0.0674,-0.0012,238.7040178,194.077572,236.2683485,212.7700366,161.9654927,313.121307,1.983032999,5,1
SCPT_156307,7.51,193,7.51,4.971,0.0368,-0.0012,185.1692547,174.2271447,212.1026109,183.9918753,148.0808833,293.6368522,2.081418488,5,1
SCPT_156307,8.01,218,8.01,11.027,0.0974,-0.0008,261.2441639,215.3433066,262.1570689,234.0899723,183.3124314,340.7262794,1.843277203,5,1
SCPT_156307,8.51,220,8.51,10.311,0.089,0.0004,246.68104,213.0034039,259.3084917,228.0750463,183.2537728,341.7834748,1.859708279,5,1
SCPT_156307,9.01,238,9.01,8.998,0.1167,0,281.174862,219.0567553,266.6777891,235.2758203,186.721883,358.8269215,2.018539592,5,1
SCPT_156307,9.51,218,9.51,9.705,0.0854,-0.0006,233.6859288,213.5241624,259.9424585,223.4537166,186.7197975,349.4883605,1.885543622,5,1
SCPT_156307,10.01,186,10.01,8.392,0.0975,0.0029,247.2197147,215.1153895,261.8796046,223.8136194,187.5264396,359.8129431,2.010501077,5,1
SCPT_156307,10.51,246,10.51,17.524,0.1001,0.0075,234.1487691,230.7293951,280.8879592,245.7477244,211.8081143,367.5230302,1.567837774,5,1
SCPT_156307,11.01,223,11.01,16.166,0.1915,0.0075,323.9475699,255.8287951,311.4437505,273.2145516,223.8172096,404.350093,1.806775301,5,1
SCPT_156307,11.51,203,11.51,8.62,0.0656,0.0142,193.7477802,208.9405483,254.3624066,207.9283308,189.3707189,354.105005,1.888846834,5,1
SCPT_156307,12.01,198,12.01,6.974,0.0426,0.0229,159.6950429,195.3550087,237.8234889,188.4828013,179.3218355,337.8696256,1.912446454,5,1
SCPT_156307,12.51,217,12.51,10.588,0.068,0.02,190.5179915,216.1638547,263.155997,214.3999597,200.2289183,363.8946214,1.773335767,5,1
SCPT_156307,13.01,238,13.01,16.642,0.1101,0.0254,231.8964787,239.8871694,292.036554,246.9400096,224.858264,392.5917633,1.625514732,5,1
SCPT_156307,13.51,249,13.51,27.642,0.13,0.02,245.9903292,250.5783742,305.0519339,273.6033,247.8467971,406.5330034,1.36161688,5,1
SCPT_156307,14.01,251,14.01,28.232,0.0601,0.0065,177.4119546,218.8488683,266.4247092,246.1261407,235.5488578,371.1912868,1.157297364,5,1
SCPT_156307,14.51,254,14.51,25.782,0.0757,0.0231,191.6319204,229.5574208,279.4612079,249.9781119,239.3072812,385.6451003,1.262478065,5,1
SCPT_156307,15.01,240,15.01,21.22,0.0875,0.0138,201.1142909,236.9935083,288.5138362,247.1016174,237.7331027,395.7883743,1.415872473,5,1
SCPT_156307,15.51,240,15.51,32.117,0.2303,-0.0115,317.5001414,285.3527575,347.3859656,309.4767295,275.9612704,453.9756833,1.44385131,5,1
SCPT_156307,16.01,237,16.01,23.915,0.0771,0.0494,188.7296731,233.6233122,284.4109887,247.8902813,243.6647253,396.0864562,1.312076053,5,1
SCPT_156307,16.51,242,16.51,22.752,0.0741,0.0363,184.2526444,233.2235617,283.9243359,244.491505,243.196455,396.9794968,1.332561161,5,1
SCPT_156307,17.01,256,17.01,20.838,0.0924,0.0484,198.8451207,242.8110578,295.5960703,247.8619154,246.6151001,411.3626316,1.441007391,5,1
SCPT_156307,17.51,268,17.51,31.362,0.2943,0.0682,348.549747,304.1722319,370.2966302,321.0727584,290.2973714,483.2003856,1.539374954,5,1
SCPT_156307,18.01,258,18.01,23.653,0.0803,0.0625,186.2397092,238.7296456,290.6273947,248.8133408,252.2212321,410.1894666,1.328612077,5,1
SCPT_156307,18.51,267,18.51,23.923,0.1209,0.0644,218.9842135,257.2417162,313.1638284,263.7203277,263.3586835,435.6444988,1.429594334,5,1
SCPT_156307,19,268,19,29.137,0.139,0.0069,233.0364117,264.1692749,321.5973781,278.3529468,275.3907586,446.650315,,5,1
SCPT_156308,0.51,251,0.51,6.495,0.0847,-0.0011,656.0065915,141.5750528,172.3522381,261.6971719,78.08148302,166.040082,2.128398767,5,1
SCPT_156308,1.01,188,1.01,13.619,0.1252,0.001,446.8305064,175.8056806,214.0243068,258.2030175,108.5018732,208.8018299,1.784680211,5,1
SCPT_156308,1.51,154,1.51,16.55,0.1796,0.0025,494.8826137,198.3426811,241.4606552,280.6570227,128.5842428,242.6162308,1.772514493,5,1
SCPT_156308,2.01,186,2.01,7.76,0.0693,-0.0015,342.3457456,167.5212312,203.9388901,227.0607396,115.3525696,229.1651931,1.966666489,5,1
SCPT_156308,2.51,167,2.51,6.805,0.0885,-0.0015,392.7268944,174.4731834,212.4021364,238.5654822,122.8713584,250.001584,2.111917362,5,1
SCPT_156308,3.01,177,3.01,6.487,0.0875,-0.0038,374.5334101,177.0857114,215.5826052,235.3292885,128.2272412,261.2806516,2.138041547,5,1
SCPT_156308,3.51,152,3.51,3.002,0.0327,-0.0026,259.2325528,145.4589624,177.0804759,187.6193334,110.3742598,237.6547521,2.356014806,5,1
SCPT_156308,4.01,191,4.01,11.394,0.1473,-0.0045,401.214348,209.9494843,255.5906765,263.1027889,157.2585118,301.8846582,1.941763895,5,1
SCPT_156308,4.51,192,4.51,13.639,0.1704,-0.0028,404.6281332,221.553153,269.7168819,272.2982573,168.7716755,317.3619515,1.875225456,5,1
SCPT_156308,5.01,204,5.01,12.403,0.1117,-0.0028,312.4699725,209.2701241,254.7636294,246.2241709,165.5118051,308.2887739,1.809472564,5,1
SCPT_156308,5.51,192,5.51,6.859,0.0862,-0.0034,297.3313871,191.9438298,233.6707493,225.0222439,152.7307999,304.0012605,2.099884519,5,1
SCPT_156308,6.01,215,6.01,6.288,0.1027,-0.0034,321.9504263,195.7481714,238.3021217,230.069431,156.7801508,317.7079975,2.201709637,5,1
SCPT_156308,6.51,216,6.51,4.931,0.0372,-0.0028,195.9062943,171.1711437,208.3822619,186.265657,142.2758019,283.5920465,2.088708498,5,1
SCPT_156308,7.01,199,7.01,6.111,0.0565,-0.0036,224.9677629,185.6356216,225.9911916,202.5718522,155.0770825,305.5694574,2.059592782,5,1
