File Name,depth_input,vs_input,Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic,Subset_Region,Subset_Geology
SCPT_165738,0.1,119,0.1,0.8526,0.0307,-0.0023,12817.03692,73.08219505,88.96962876,596.3588323,34.06258752,94.92383148,3.09893313,8,1
SCPT_165738,0.5,119,0.5,0.309,0.0033,0.051,594.1763968,61.24285112,74.5565144,180.1031549,38.25799114,105.9330975,3.231027422,8,1
SCPT_165738,1,159.9,1,0.5945,0.0217,0.0735,664.1824623,86.73441345,105.5897207,208.6857456,59.59665006,162.0422424,3.231751624,8,1
SCPT_165738,1.5,159.9,1.5,23.8062,0.1245,-0.0448,337.903742,189.4278853,230.6078604,246.0965061,131.1938933,231.5636392,1.44085736,8,1
SCPT_165738,2,130.1,2,7.47,0.0767,-0.042,392.7060538,168.7902914,205.483833,235.1027292,115.5314818,231.8495803,2.016411464,8,1
SCPT_165738,2.5,130.1,2.5,1.6074,0.0036,-0.0344,163.890248,108.2407505,131.7713484,142.1038868,76.43637876,162.960827,2.334574537,8,1
SCPT_165738,3,128.5,3,1.8968,0.0041,-0.0389,156.5535711,114.7917913,139.7465286,143.2376109,83.24414439,173.776359,2.26109062,8,1
SCPT_165738,3.5,128.5,3.5,2.4639,0.005,-0.0285,151.2198189,123.526903,150.3805775,146.6256627,91.72273009,185.768931,2.144235391,8,1
SCPT_165738,4,149.4,4,3.1483,0.0103,-0.0321,171.1842602,135.994314,165.5582953,159.3558834,104.7077796,211.4635582,2.104366348,8,1
SCPT_165738,4.5,149.4,4.5,3.8171,0.0133,-0.0289,173.0499887,144.4736411,175.8809543,164.9254695,113.6214213,225.5423301,2.036264776,8,1
SCPT_165738,5,148.3,5,3.5551,0.0276,0.0186,226.7878296,153.6446263,187.045632,182.229124,123.0409286,254.5620447,2.217060408,8,1
SCPT_165738,5.5,148.3,5.5,4.7714,0.0283,-0.026,207.8810401,162.6016504,197.9498352,184.0879112,132.0875619,262.1958006,2.04823779,8,1
SCPT_165738,6,175.8,6,2.0846,0.018,-0.044,193.1176609,139.2993003,169.5817569,161.7436088,115.6833248,251.1760438,2.442051747,8,1
SCPT_165738,6.5,175.8,6.5,7.2705,0.0429,-0.0395,217.0070868,182.1176974,221.7085012,199.8251883,152.1832826,289.615538,1.889162363,8,1
SCPT_165738,7,137.7,7,0.923,0.015,-0.0254,176.1086388,119.8639227,145.9212972,140.2399875,105.7693164,253.5151488,2.884693995,8,1
SCPT_165738,7.5,137.7,7.5,0.6922,0.0069,0.0295,121.8912851,107.772473,131.2012715,116.8516707,96.98457755,232.7117707,2.898397914,8,1
SCPT_165738,8,167.6,8,1.2398,0.0155,0.1487,157.1808098,128.1422508,155.9992619,140.0454192,114.8462993,263.9219097,2.71714813,8,1
SCPT_165738,8.5,167.6,8.5,2.6908,0.0229,-0.0018,173.4793527,154.5997823,188.2084306,163.1817597,134.8855893,283.5714336,2.341896277,8,1
SCPT_165738,9,216.4,9,3.3752,0.0238,0.1773,165.8066006,161.2397122,196.2918235,165.9096587,142.0457545,289.6326588,2.216171808,8,1
SCPT_165738,9.5,216.4,9.5,6.8208,0.0843,-0.0567,268.9005334,204.7940301,249.3144715,219.5348912,177.2315189,347.8978891,2.097226398,8,1
SCPT_165738,10,168,10,4.8418,0.0217,-0.0534,149.7520054,171.3459703,208.5950943,169.7493845,152.8920722,294.6921528,1.986361169,8,1
SCPT_165738,10.5,168,10.5,5.9369,0.0614,-0.0512,222.8702428,196.3723304,239.0619674,202.4110405,173.9878913,342.0636128,2.098134425,8,1
SCPT_165738,11,181.3,11,2.9059,0.0301,-0.0508,166.4586021,165.6974438,201.7186272,164.5672536,149.885087,313.8152367,2.356449357,8,1
SCPT_165738,11.5,181.3,11.5,4.5328,0.0588,-0.058,213.1717188,190.3940644,231.7840784,192.5269827,171.0278849,347.3701322,2.250818512,8,1
SCPT_165738,12,133.9,12,1.8773,0.021,-0.0407,135.649019,150.7869733,183.5667501,143.3368117,139.9468929,305.1443044,2.536538484,8,1
SCPT_165738,12.5,133.9,12.5,0.7118,0.0062,-0.0119,72.08139554,115.3464497,140.4217648,96.32537933,111.2415077,261.2139445,2.863167464,8,1
SCPT_165738,13,150.2,13,0.7196,0.0095,0.2926,70.79110274,115.0575502,140.0700611,93.9916971,116.6987651,278.8906579,2.936764887,8,1
SCPT_165738,13.5,150.2,13.5,0.6844,0.0066,0.5075,52.1587148,108.6269047,132.2414492,81.7912891,113.5945244,268.4455471,2.896855323,8,1
SCPT_165738,14,135.6,14,0.7431,0.0072,0.4984,55.45334063,112.3303446,136.7499847,85.31436309,116.9582388,274.1758021,2.865253812,8,1
SCPT_165738,14.5,135.6,14.5,0.8213,0.0106,0.5245,64.82743734,118.3104845,144.0301551,92.15961078,123.7276536,291.1004896,2.881251522,8,1
SCPT_165738,15,155.2,15,0.837,0.0066,0.5722,53.17145711,115.4357556,140.5304851,85.94051156,120.4109009,276.1084665,2.781346995,8,1
SCPT_165738,15.5,155.2,15.5,0.8252,0.0055,0.5996,47.61562927,113.9445835,138.7151452,82.05214201,119.44409,271.8587796,2.758547717,8,1
SCPT_165738,16,189.6,16,1.404,0.0124,0.7804,77.65890029,135.7321096,165.2390899,109.5470021,139.1675692,305.7999758,2.598904929,8,1
SCPT_165738,16.5,189.6,16.5,1.8069,0.0107,0.7278,79.90666257,143.2393768,174.3783718,116.6217182,143.7857099,302.9035734,2.425410672,8,1
SCPT_165738,17,176.4,17,1.1185,0.0187,0.4677,82.75319945,136.2567186,165.8777444,107.521233,141.7258462,327.0112153,2.818837727,8,1
SCPT_165738,17.5,176.4,17.5,0.6688,0.003,0.4935,29.18074929,107.2664647,130.5852613,64.60603674,113.9793371,258.6910105,2.784696871,8,1
SCPT_165738,18,123.2,18,11.9598,0.1345,-0.062,256.4626144,251.0391757,305.6129095,242.7527227,238.5941401,436.3678573,1.885170958,8,1
SCPT_165738,18.5,123.2,18.5,0.8057,0.0126,0.3528,54.93838886,125.010607,152.1868259,85.95715602,133.9403049,316.5979194,2.927996019,8,1
SCPT_165738,19,153.8,19,0.5759,0.0073,0.4364,26.06883378,109.6370756,133.4712224,58.03557717,122.8731808,296.1712898,3.015374583,8,1
SCPT_165738,19.5,153.8,19.5,0.6375,0.0062,0.5095,26.76879182,110.9805969,135.1068136,60.329717,123.8970889,292.0805146,2.926439143,8,1
SCPT_165738,20,199.4,20,1.6035,0.0257,0.1683,98.08065335,156.9004602,191.0092559,123.5810975,160.3461519,356.0648972,2.675845748,8,1
SCPT_165738,20.5,199.4,20.5,4.0909,0.1141,-0.0627,215.9672308,215.8336053,262.7539543,192.8973269,209.0942168,437.9334068,2.495318964,8,1
SCPT_165738,21,199.2,21,1.404,0.0175,0.1905,76.51261416,149.0808061,181.489677,110.1235518,154.449963,342.5837034,2.669384494,8,1
SCPT_165738,21.5,199.2,21.5,1.1655,0.0264,0.6942,69.9010228,142.860435,173.9170513,100.0991248,156.6053552,363.0507908,2.873615655,8,1
SCPT_165738,22,172.5,22,1.1694,0.0243,0.6664,66.22900211,142.8033244,173.8475253,98.26092734,156.6041742,361.2637919,2.85203925,8,1
SCPT_165738,22.5,172.5,22.5,1.2007,0.0381,0.6727,79.43677394,149.1683018,181.5961935,105.3228042,164.2025531,385.2742598,2.945901013,8,1
SCPT_165738,23,135.8,23,1.009,0.0218,0.7305,51.46087918,136.2776749,165.9032564,85.6971325,153.8262236,359.8363532,2.915195729,8,1
SCPT_165738,23.5,135.8,23.5,1.1577,0.0222,0.7106,57.17692503,142.1586781,173.0627385,92.42138949,158.0810509,363.0249062,2.837086265,8,1
SCPT_165738,24,131.7,24,1.2672,0.0243,0.7812,60.37763414,146.0972446,177.8575152,96.04516284,162.304878,369.5243565,2.803874635,8,1
SCPT_165738,24.5,131.7,24.5,1.1577,0.0236,0.6416,56.6092674,144.312637,175.6849494,92.09351523,160.7368746,369.8008847,2.85124313,8,1
SCPT_165738,25,148,25,1.056,0.0179,0.6909,44.50030847,137.9170216,167.8989828,82.01822664,155.8976437,358.3311675,2.843362325,8,1
SCPT_165738,25.5,148,25.5,1.0012,0.0199,0.6696,42.85500611,137.6038746,167.5177604,79.51847152,156.9335502,364.9800911,2.898906707,8,1
SCPT_165738,26,157.6,26,0.9856,0.0157,0.6866,36.7660803,134.8717675,164.1917169,74.65392958,154.3593656,355.6054042,2.855644958,8,1
SCPT_165738,26.5,157.6,26.5,1.1537,0.0197,0.0451,56.38443054,150.0566751,182.6776914,93.73812886,161.7566892,368.4521188,2.812010835,8,1
SCPT_165738,27,178.8,27,1.5096,0.0214,0.7432,57.20767334,153.6275056,187.0247894,98.18669284,170.1834817,374.9489625,2.670293697,8,1
SCPT_165738,27.5,178.8,27.5,1.4568,0.0312,0.4409,66.82092687,160.061202,194.8571155,103.3960711,175.5887688,395.5124726,2.779432296,8,1
SCPT_165738,28,189.2,28,2.198,0.0406,0.2058,91.58713588,180.3861854,219.6005736,127.2763609,191.3759694,412.4108919,2.595754898,8,1
SCPT_165738,28.5,189.2,28.5,2.1198,0.0532,0.1788,98.60526934,184.040393,224.0491741,129.3043098,195.6598983,428.9617806,2.686750827,8,1
SCPT_165738,29,187.4,29,3.0858,0.1145,-0.0639,153.2859239,214.439804,261.0571526,162.3736168,221.1639212,477.3231343,2.66926794,8,1
SCPT_195188,0.51,110,0.51,1.012,0.0763,0.0203,1635.899297,99.39382133,121.0011738,309.8943547,59.22674462,161.5628612,3.236384876,8,2
SCPT_195188,1.01,132,1.01,0.81,0.0557,0.0211,849.4010149,100.3954579,122.2205575,239.8629334,67.56892179,184.050511,3.28544229,8,2
SCPT_195188,1.51,128,1.51,0.675,0.0406,0.0291,627.4223682,98.78908186,120.2649692,209.7945087,71.69697267,195.2927655,3.312124124,8,2
SCPT_195188,2.01,108,2.01,0.789,0.0283,0.0586,460.4478938,103.0020477,125.3937972,192.4639593,77.05195984,200.5575263,3.125624148,8,2
SCPT_195188,2.51,65,2.51,0.535,0.0084,0.0845,251.833649,89.15198846,108.5328555,145.89266,70.06889085,180.643913,3.085687771,8,2
SCPT_195188,3.01,56,3.01,0.384,0.0035,0.2292,151.5178619,77.76555964,94.67111609,113.4221642,65.33722012,168.3797947,3.117509141,8,2
SCPT_195188,3.51,44,3.51,0.623,0.0443,0.0637,433.5792598,107.8503661,131.2960978,181.3070382,90.25494157,244.3622706,3.383961997,8,2
SCPT_195188,4.01,61,4.01,0.509,0.0296,0.1639,308.1988421,99.90011517,121.6175315,154.0500718,87.97849557,239.4709934,3.40209675,8,2
SCPT_195188,4.51,74,4.51,0.519,0.023,0.1888,250.9871826,99.75336716,121.4388818,143.2624501,89.26606928,238.7719343,3.327634431,8,2
SCPT_195188,5.01,94,5.01,0.566,0.0072,0.2252,148.5925119,95.53059551,116.2981163,120.4142483,84.51559905,210.9807181,3.022818115,8,2
SCPT_195188,5.51,166,5.51,0.607,0.0152,0.2252,186.8195432,103.0175372,125.4126539,132.1261813,93.26746156,238.2903047,3.13671782,8,2
SCPT_195188,6.01,99,6.01,0.732,0.0108,0.2657,158.7706218,106.1805329,129.2632574,128.679266,95.41325097,233.3229544,2.952566836,8,2
SCPT_195188,6.51,144,6.51,7.545,0.148,0.039,416.3058151,211.877557,257.9378955,256.0468615,169.6320816,340.4273522,2.196250286,8,2
SCPT_195188,7.01,114,7.01,17.421,0.2601,0.047,474.6749358,255.5914668,311.1548292,302.0271321,204.6909327,375.5593689,1.858409247,8,2
SCPT_195188,7.51,96,7.51,4.65,0.1131,0.0351,357.8235196,194.1534766,236.3607541,229.3255146,160.9890535,339.6142854,2.414216821,8,2
SCPT_195188,8.01,104,8.01,1.463,0.0826,0.3088,316.805407,150.138305,182.7770669,185.0473512,135.1861467,328.5556925,3.03309091,8,2
SCPT_195188,8.51,126,8.51,1.105,0.0556,0.4104,235.0789224,136.0888509,165.6733837,157.995812,127.7684471,316.2368955,3.095407827,8,2
SCPT_195188,9.01,160,9.01,1.007,0.0114,0.3748,112.2386474,119.6368847,145.6449032,119.2810441,112.3028199,260.9306982,2.776454948,8,2
SCPT_195188,9.51,160,9.51,0.913,0.0089,0.4493,94.5539263,115.0145334,140.0176928,109.7424019,110.1182166,255.9573533,2.785538121,8,2
SCPT_195188,10.01,164,10.01,0.96,0.0109,0.4749,98.76872834,118.4238593,144.1681766,112.382448,114.417368,266.3200286,2.795499127,8,2
SCPT_195188,10.51,164,10.51,0.986,0.0095,0.5604,89.25085674,117.9749013,143.6216189,108.4864525,115.1046088,264.9012456,2.753258503,8,2
