File Name,depth_input,vs_input,Depth,Qc,Fs,u,Ic,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,A07-H,A07-P,R09,Mc15,Mc18
SCPT_140254.csv,0.51,122,0.51,1.3385,0.0277,-0.0015,2.801840049,97.48748091,118.6804115,251.6119825,56.68670306,141.9169784,0.224297076,0.027586782,-0.723867104,0.766481375,-0.151221183
SCPT_140254.csv,1.01,122,1.01,1.5514,0.0188,-0.0027,2.625650474,106.0143437,129.0609402,197.5629265,67.8013735,160.5849864,0.140446642,-0.056263653,-0.482036104,0.587438592,-0.274802268
SCPT_140254.csv,1.51,122,1.51,2.4104,0.1112,0.0064,2.812274327,141.1422211,171.8253126,282.2286159,93.63127661,224.7304932,-0.145746998,-0.342457292,-0.838696392,0.264656565,-0.610880832
SCPT_140254.csv,2.01,317,2.01,3.8538,0.115,-0.0339,2.534215861,160.220675,195.0512566,267.4504106,108.7707914,243.4975843,0.68234969,0.485639395,0.169967606,1.069658937,0.263794752
SCPT_140254.csv,2.51,317,2.51,4.3994,0.0316,-0.0064,2.120117796,147.393825,179.4359608,194.4192907,105.9375201,217.9704592,0.765793688,0.569083394,0.488884655,1.096052287,0.374542229
SCPT_140254.csv,3.01,92,3.01,3.1108,0.0139,0.0055,2.160134974,133.6908669,162.7540988,166.8866595,99.0154848,204.5861625,-0.373741594,-0.570451888,-0.595526319,-0.073487673,-0.799200642
SCPT_140254.csv,3.51,92,3.51,2.4298,0.0107,0.0091,2.256328778,128.5825371,156.5352625,157.766519,97.5830102,205.2086054,-0.334782433,-0.531492727,-0.539327635,-0.058914825,-0.802238472
SCPT_140254.csv,4.01,100,4.01,0.7735,0.0101,-0.0142,2.906694323,104.971104,127.7909093,145.1038635,85.4651223,208.8775028,-0.048514926,-0.245225221,-0.3722796,0.15706182,-0.736577783
SCPT_140254.csv,4.51,100,4.51,0.6226,0.0175,0.0159,3.153545125,104.9411712,127.7544693,147.658013,89.58126119,230.7483022,-0.048229733,-0.244940027,-0.389728691,0.110024026,-0.83615733
SCPT_140254.csv,5.01,326,5.01,0.2937,0.0049,-0.044,3.330583629,84.19650693,102.5000954,102.9617616,74.47956882,199.7131583,1.353743946,1.157033652,1.152539709,1.476372538,0.490015253
SCPT_140254.csv,5.51,326,5.51,7.4851,0.0462,0.0104,1.888804675,180.357781,219.5659943,203.475816,146.8614145,280.5069519,0.591954831,0.395244537,0.471350224,0.797407998,0.150298873
SCPT_140254.csv,6.01,189,6.01,8.2536,0.0387,0.017,1.790786991,180.4883133,219.7249032,197.7739154,150.3562856,280.4145753,0.046080986,-0.150629309,-0.045377522,0.2287393,-0.394522119
SCPT_140254.csv,6.51,189,6.51,4.9644,0.0143,0.0129,1.899796625,157.3737322,191.5854131,165.1845792,131.5500578,250.46027,0.183123579,-0.013586716,0.134683505,0.362359568,-0.28155329
SCPT_140254.csv,7.01,184,7.01,6.1717,0.0278,-0.0394,1.893221287,172.6611381,210.1961681,183.1901656,146.4203506,278.6770682,0.063604823,-0.133105471,0.004410988,0.228454159,-0.415117892
SCPT_140254.csv,7.51,184,7.51,6.1853,0.0308,0.0283,1.912868806,175.790667,214.0060294,185.1744196,150.5744847,287.3851494,0.045641863,-0.151068432,-0.006362432,0.200477881,-0.445887542
SCPT_140254.csv,8.01,172,8.01,2.6232,0.0167,0.195,2.292516792,148.1198938,180.3198708,153.4642608,128.7730113,268.0595447,0.149472438,-0.047237857,0.114026766,0.289443225,-0.443714661
SCPT_140254.csv,8.51,172,8.51,7.8434,0.0744,0.0279,1.978676241,202.2559393,246.2246218,217.237691,173.5750994,333.2389428,-0.162039445,-0.358749739,-0.233497627,-0.009115878,-0.661365302
SCPT_140254.csv,9.01,160,9.01,7.8009,0.048,0.0368,1.872939698,193.3089347,235.3326161,200.6847241,169.9194822,319.351058,-0.189115792,-0.385826086,-0.226561325,-0.060150875,-0.691117178
SCPT_140254.csv,9.51,160,9.51,3.7377,0.0512,0.0322,2.332520363,177.7146518,216.3482717,186.4821012,155.982707,324.6996302,-0.105005369,-0.301715663,-0.153161447,0.025428667,-0.707726725
SCPT_140254.csv,10.01,199,10.01,7.1198,0.0474,0.0146,1.924813585,193.7134719,235.8250962,197.0842652,172.4977606,327.2118499,0.026924706,-0.169785588,0.009673445,0.14292057,-0.497302995
SCPT_140254.csv,10.51,199,10.51,2.422,0.0212,0.0484,2.387737295,154.7224647,188.3577831,150.9164895,140.0329798,296.0000559,0.251671863,0.054961569,0.276578191,0.35142686,-0.397054818
SCPT_140254.csv,11.01,215,11.01,7.6848,0.0288,0.0101,1.772082098,187.3560724,228.0856534,184.4080279,171.8285654,314.3450686,0.137627091,-0.059083203,0.153487183,0.224140761,-0.379853299
SCPT_140254.csv,11.51,215,11.51,10.4477,0.0301,0.0539,1.60222453,193.9573573,236.1220002,193.0902625,182.4974338,320.4543785,0.102999701,-0.093710593,0.107480267,0.163901917,-0.399101893
SCPT_140254.csv,12.01,166,12.01,6.6825,0.0166,0.0501,1.756319688,177.6742059,216.2990333,169.1061828,164.8128091,298.815235,-0.067963781,-0.264674075,-0.01853903,0.007177449,-0.587837651
SCPT_140254.csv,12.51,166,12.51,10.1224,0.0503,0.058,1.727707066,207.3060827,252.3726224,205.2112285,194.01992,349.7911286,-0.222208573,-0.418918867,-0.212052043,-0.155973046,-0.745348413
SCPT_140254.csv,13.01,170,13.01,11.3527,0.059,0.0503,1.696342471,214.3818116,260.9865532,213.064035,202.0700308,360.9860396,-0.231960155,-0.428670449,-0.225794317,-0.172815887,-0.753040849
SCPT_140254.csv,13.51,170,13.51,11.2662,0.0553,0.0797,1.685580271,213.4494704,259.8515291,210.4591213,202.881361,361.3707349,-0.227601695,-0.424311989,-0.213492999,-0.176822943,-0.754105961
SCPT_140254.csv,14.01,181,14.01,8.2111,0.0523,0.0601,1.86243623,207.2520898,252.306892,198.7262412,194.9113179,361.227157,-0.135438846,-0.332149141,-0.093431174,-0.074047644,-0.691009973
SCPT_140254.csv,14.51,181,14.51,1.2089,0.0351,0.4435,2.921110826,142.951078,174.0273992,123.1357985,144.5060629,341.1624501,0.235994571,0.039284278,0.385209232,0.225175567,-0.633861726
