File Name,depth_input,vs_input,Depth,Qc,Fc,u,Ic,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Subset_Region,Subset_Geology
SDMT_92548,0.51,351,0.51,3.4072,0.021,-0.0015,2.18495829619078,112.385981227019,136.817716276372,202.974683551286,63.3770166440415,137.848885978217,7,1
SDMT_92548,1.01,113,1.01,9.4657,0.2366,-0.0245,2.20205747257505,184.481919056038,224.58668406822,322.259569611264,108.549638722227,226.203077625786,7,1
SDMT_92548,1.51,221,1.51,6.5826,0.0443,0.0013,1.95604398079344,150.757796260585,183.531230230278,209.572346475184,100.247640294428,200.876692390679,7,1
SDMT_92548,2.01,227,2.01,11.7531,0.0475,0.0019,1.62565172622828,165.900304194242,201.96558771473,207.143694812545,118.678991371619,218.855595723641,7,1
SDMT_92548,2.51,308,2.51,7.1973,0.0134,0.0001,1.68560326732392,145.221550709187,176.791453037271,170.86618664851,105.90323803223,195.678849301832,7,1
SDMT_92548,3.01,281,3.01,10.3329,0.0308,0.0016,1.61287971601851,164.57991615196,200.35815879369,192.829581341294,125.735241087392,228.904281752597,7,1
SDMT_92548,3.51,271,3.51,13.0524,0.0401,0.0022,1.52795475091602,175.108765321617,213.17588821762,202.623875315134,138.718249019143,246.710329367948,7,1
SDMT_92548,4.01,268,4.01,11.7646,0.0318,0.0015,1.54379164151066,172.4826864119,209.9789225884,195.342583422578,139.109414082248,247.396230598619,7,1
SDMT_92548,4.51,248,4.51,1.6389,0.0855,-0.0035,2.97331722410905,146.091349603491,177.850338647728,217.410052541925,117.47018230013,285.633869668769,7,1
SDMT_92548,5.01,275,5.01,2.4193,0.0101,0.0246,2.24930036454537,133.704029569385,162.770122954034,150.21130495202,107.147663545938,222.853665936865,7,1
SDMT_92548,5.51,282,5.51,5.0141,0.0259,-0.0006,2.00072614271446,162.276408719438,197.553888875837,179.763672068236,132.126411120005,259.406890218084,7,1
SDMT_92548,6.01,277,6.01,11.211,0.021,0.0021,1.50334302101575,173.679923803613,211.436428978312,186.348264783479,149.361241369386,259.579787966465,7,1
SDMT_92548,7.01,279,7.01,11.5801,0.029,-0.0497,1.53636488128021,182.959333211544,222.73310130101,194.47922135423,160.87221385553,281.520240456583,7,1
SDMT_92548,7.51,176,7.51,1.6812,0.0682,-0.0652,2.89472478903578,153.850675762465,187.296474841262,188.537247697314,133.333420185917,315.615418726992,7,1
SDMT_92548,8.01,216,8.01,1.5582,0.0108,-0.0633,2.51231823374612,132.276269046388,161.031979708646,136.80139340685,115.223105184081,252.318609052319,7,1
SDMT_92548,11.51,214,11.51,1.3544,0.0053,-0.0432,2.47540513894071,129.062112972944,157.119094054019,119.730558598588,117.728936336515,251.850375510137,7,1
