File Name,depth_input,vs_input,Depth,Qc,Fs,u,A07-H,A07-P,R09,Mc15,Mc18
SCPT_140254.csv,0.51,122,0.51,1.3385,0.0277,-0.0015,0.224297076,0.027586782,-0.723867104,0.766481375,-0.151221183
SCPT_140254.csv,1.01,122,1.01,1.5514,0.0188,-0.0027,0.140446642,-0.056263653,-0.482036104,0.587438592,-0.274802268
SCPT_140254.csv,1.51,122,1.51,2.4104,0.1112,0.0064,-0.145746997,-0.342457291,-0.838696392,0.264656565,-0.610880831
SCPT_140254.csv,2.01,317,2.01,3.8538,0.115,-0.0339,0.68234969,0.485639396,0.169967606,1.069658937,0.263794752
SCPT_140254.csv,2.51,317,2.51,4.3994,0.0316,-0.0064,0.765793688,0.569083394,0.488884655,1.096052287,0.374542228
SCPT_140254.csv,3.01,92,3.01,3.1108,0.0139,0.0055,-0.373741594,-0.570451889,-0.59552632,-0.073487673,-0.799200642
SCPT_140254.csv,3.51,92,3.51,2.4298,0.0107,0.0091,-0.334782433,-0.531492727,-0.539327635,-0.058914825,-0.802238472
SCPT_140254.csv,4.01,100,4.01,0.7735,0.0101,-0.0142,-0.048514927,-0.245225221,-0.3722796,0.15706182,-0.736577783
SCPT_140254.csv,4.51,100,4.51,0.6226,0.0175,0.0159,-0.048229733,-0.244940027,-0.389728691,0.110024026,-0.83615733
SCPT_140254.csv,5.01,326,5.01,0.2937,0.0049,-0.044,1.353743946,1.157033652,1.152539709,1.476372538,0.490015253
SCPT_140254.csv,5.51,326,5.51,7.4851,0.0462,0.0104,0.591954831,0.395244537,0.471350224,0.797407998,0.150298873
SCPT_140254.csv,6.01,189,6.01,8.2536,0.0387,0.017,0.046080986,-0.150629309,-0.045377522,0.2287393,-0.394522119
SCPT_140254.csv,6.51,189,6.51,4.9644,0.0143,0.0129,0.183123579,-0.013586716,0.134683505,0.362359568,-0.28155329
SCPT_140254.csv,7.01,184,7.01,6.1717,0.0278,-0.0394,0.063604823,-0.133105471,0.004410988,0.228454159,-0.415117892
SCPT_140254.csv,7.51,184,7.51,6.1853,0.0308,0.0283,0.045641863,-0.151068432,-0.006362432,0.200477881,-0.445887543
SCPT_140254.csv,8.01,172,8.01,2.6232,0.0167,0.195,0.149472437,-0.047237857,0.114026766,0.289443224,-0.443714661
SCPT_140254.csv,8.51,172,8.51,7.8434,0.0744,0.0279,-0.162039445,-0.358749739,-0.233497628,-0.009115879,-0.661365302
SCPT_140254.csv,9.01,160,9.01,7.8009,0.048,0.0368,-0.189115792,-0.385826086,-0.226561325,-0.060150875,-0.691117178
