depth_input,A07-H
1.51,0.288700239
2.01,0.353479562
2.51,0.395920703
3.01,0.303800911
3.51,0.654201746
4.01,0.479796377
4.51,0.479853554
5.01,0.568861237
5.51,0.535462878
6.01,0.606603933
6.51,0.544632805
7.01,0.636460844
7.51,0.489942355
8.01,0.423424394
8.51,0.437463624
9.01,0.44629616
9.51,0.420887967
10.01,0.455587332
10.51,0.444593499
11.01,0.582367033
11.51,0.497583298
12.01,0.485938397
12.51,0.400576194
13.01,0.275187639
13.51,0.40655894
14.01,0.419404289
14.51,0.365752195
15.01,0.336607851
15.51,0.296564642
16.01,0.270345674
16.51,0.314952926
17.01,0.222565663
17.51,0.222746066
18.01,0.27442927
18.51,0.243382088
19.01,0.215306284
19.51,0.227650985
20.01,0.267499776
20.51,0.249189283
21.01,0.174414452
21.51,0.224742647
22.01,0.215014769
22.51,0.212959156
23.01,0.195998775
23.51,0.206132469
24.01,0.259993634
24.51,0.285109945
25.01,0.260036322
25.51,0.275654908
26.01,0.319575251
26.51,0.353951152
27.01,0.353453415
27.51,0.272807534
28,0.325014631
0.5,0.408334222
1,0.236355917
1.5,0.039350551
2,0.066346943
2.5,-0.037793196
3,-0.030026898
3.5,-0.080971796
4,-0.05308457
4.5,-0.042699568
5,-0.008682845
5.5,0.07665378
6,-0.055381227
6.5,0.068831931
7,0.082495236
7.5,0.082301491
8,0.013002594
8.5,0.042767298
9,0.021928725
9.5,0.003702328
10,0.072705917
10.5,-0.05726135
11,-0.030448006
11.5,0.249863289
12,0.491519361
12.5,0.459641665
13,0.452952179
13.5,0.465863479
14,0.447499851
14.5,0.420725824
15,0.367966803
15.5,0.382967438
16,0.348872973
16.5,0.29442278
17,0.443031625
17.5,0.419727119
18,0.411927629
18.5,0.390963857
19,0.359217448
19.5,0.033898805
20,0.194365118
20.5,0.155487749
21,0.255000308
21.5,0.144607948
22,0.369175048
22.5,0.057420158
23,0.111915827
23.5,-0.132227261
24,0.131337764
24.5,0.287817957
25,0.034524401
25.5,0.230948139
26,0.055887406
26.5,0.110981526
27,-0.063272825
27.5,-0.0655503
28,-0.191323699
28.5,0.072155586
29,0.147177691
29.5,0.117838909
30,0.022845936
1,0.380304923
1.5,0.765178906
2,0.357116229
2.5,0.177816441
3,-0.028839855
3.5,-0.069524121
4,0.138804464
4.5,0.401270114
5,0.065216006
5.5,0.117244462
6,0.143429357
6.5,0.101063481
7,0.098096106
7.5,0.09181447
8,0.106269809
8.5,0.093611393
9,0.078869545
9.5,0.036063166
10,0.058360985
10.5,-0.019092275
11,0.138248989
11.5,0.02505571
12,0.109565144
12.5,0.098744624
13,0.064102106
13.5,0.064274237
14,-0.00035312
14.5,0.010106543
15,0.04939366
15.5,-0.058048185
16,0.085654021
16.5,0.101870517
17,0.073464084
17.5,0.073387811
18,0.102679436
18.5,0.082271599
19,0.248414043
19.5,0.422606367
20,0.146442628
20.5,0.359467247
21,0.325387149
21.5,0.435961759
22,0.425397617
22.5,0.399742929
23,0.366493042
23.5,0.340590954
24,0.370539765
24.5,0.32700341
25,0.415027677
25.5,0.395613556
26,0.412598394
26.5,0.406500527
27,0.448896085
27.5,0.438678062
28,0.393786358
28.5,0.414625106
29,0.397409737
29.5,0.357717393
30,0.399608684
0.1,1.013193144
0.5,0.677324217
1,0.703682376
1.5,0.557567793
2,0.497185159
2.5,0.331408953
3,0.377959255
3.5,0.46657376
4,-0.108959878
4.5,-0.127295737
5,-0.051645335
5.5,-0.012311863
6,-0.077730371
6.5,0.121624136
7,0.228974143
7.5,0.205828328
8,0.015185627
8.5,-0.006640486
9,0.168382913
9.5,0.170747502
10,0.144790249
10.5,0.148393794
11,-0.110828945
11.5,0.101653948
12,0.187693834
12.5,0.0778353
13,0.212718273
13.5,0.167334424
14,-0.024398258
14.5,-0.031632968
15,0.128748739
15.5,0.123089473
16,0.211681804
16.5,0.093256021
17,0.024252356
17.5,0.079197441
18,-0.110892995
18.5,-0.226597675
19,0.11883836
19.5,0.131606402
20,0.147262425
0.1,0.521247401
0.5,0.259416974
1,0.330799583
1.5,0.138010837
2,0.675003305
2.5,0.596223266
3,-0.004305491
3.5,0.042540111
4,0.115775605
4.5,0.086063062
5,0.292770029
5.5,0.351053608
6,0.099431491
6.5,0.124554082
7,0.090149203
7.5,0.060548204
8,0.163437725
8.5,0.10661444
9,0.267716504
9.5,0.272330121
10,0.126136589
10.5,0.140826554
11,0.187780346
11.5,0.104810443
12,0.092957206
12.5,0.282012077
13,0.103127896
13.5,-0.025325893
14,0.243727413
14.5,-0.059106399
15,0.348866295
15.5,0.147217746
16,0.130624289
16.5,0.132851843
17,0.068884071
17.5,0.096779876
18,-0.000158046
18.5,0.100456015
19,0.00245558
19.5,0.25575766
20,0.402156524
0.51,0.600412996
1.01,0.213628313
1.51,-0.035516542
2.01,-0.018014424
2.51,0.048483878
3.01,0.04093863
3.51,-0.082687216
4.01,0.133119537
4.51,-0.060591393
5.01,-0.112051644
5.51,-0.066728035
6.01,-0.065985432
6.51,0.106426242
7.01,0.102380093
7.51,0.102330312
8.01,0.012261533
8.51,0.0323194
9.01,0.082939821
9.51,0.020745064
10.01,-0.145427906
10.51,0.064085962
11.01,-0.13733668
11.51,-0.028843775
12.01,0.01344857
12.51,0.003860647
13.01,-0.007898012
13.51,-0.006318846
14.01,0.137071547
14.51,0.101181069
15.01,0.012606174
15.51,-0.173087237
16.01,0.0143501
16.51,0.03694024
17.01,0.052893843
17.51,-0.126607113
18.01,0.077627863
18.51,0.037232486
19,0.01439689
0.51,0.572622954
1.01,0.067062665
1.51,-0.253043645
2.01,0.104636577
2.51,-0.043777241
3.01,-0.000484128
3.51,0.043986519
4.01,-0.094593523
4.51,-0.143167157
5.01,-0.025505883
5.51,0.000292596
6.01,0.093809035
6.51,0.232614511
7.01,0.069519096
7.51,0.197634322
8.01,0.155226767
8.51,0.13370755
9.01,0.031338542
9.51,-0.040369471
10.01,-0.095557521
10.51,-0.072334336
11.01,-0.092669475
11.51,-0.154472508
12.01,-0.025770648
12.51,-0.038177544
13.01,-0.026623628
13.51,-0.0019968
14.01,-0.024839966
14.51,-0.167418161
15.01,-0.033024965
15.51,-0.042269689
16.01,0.038738255
16.51,-0.016751356
17.01,-0.081811481
17.51,-0.225383498
18.01,-0.094892059
18.51,-0.252783445
19,-0.250753375
0.51,0.729708275
1.01,0.077194067
1.51,0.147165602
2.01,0.088419567
2.51,0.046889693
3.01,-0.067325998
3.51,0.037863729
4.01,0.03621168
4.51,0.007806601
5.01,0.067689444
5.51,-0.018037988
6.01,0.192855621
6.51,0.077089634
7.01,0.011567831
7.51,-0.064568629
8.01,0.212327107
8.51,-0.084512529
9.01,-0.114444539
9.51,-0.010407203
10.01,-0.055197373
10.51,-0.040182147
11.01,-0.195636602
11.51,-0.089154651
12.01,0.162543527
12.51,0.261471298
13.01,-0.030743263
13.51,-0.179510471
14.01,0.189366915
14.51,-0.061549226
15.01,0.159157373
15.51,0.41493066
16.01,0.437503213
16.51,0.138875359
17.01,0.250590894
17.51,0.106595775
18.01,0.16730015
18.51,0.150123265
19,0.176237352
0.51,0.414366241
1.01,-0.091718887
1.51,-0.239341022
2.01,-0.043819619
2.51,-0.007267029
3.01,-0.025308796
3.51,-0.1491362
4.01,-0.182314232
4.51,-0.131037797
5.01,-0.202757448
5.51,0.049897546
6.01,0.149286753
6.51,0.311666402
7.01,0.275066832
7.51,-0.018407427
8.01,-0.071431083
8.51,0.055489267
9.01,-0.048588538
9.51,0.03950031
10.01,-0.0381023
10.51,-0.239322463
11.01,-0.207014779
11.51,-0.144262935
12.01,-0.050411846
12.51,-0.123912164
13.01,0.020707953
13.51,0.086262313
14.01,0.059660094
14.51,0.063725995
15.01,0.025335629
15.51,-0.099202193
16.01,0.009883735
16.51,-0.333574061
17,0.062661808
0.5,0.468361703
1,0.38315661
1.5,0.471529775
2,0.463210774
2.5,0.797765768
3,0.985245812
4,0.845546263
4.5,0.825565168
5,0.983697589
5.5,0.770968285
6,0.222784343
6.5,0.049292636
7,0.125981055
7.5,0.281943468
8,-0.044486059
8.5,0.101112915
9,0.244757854
9.5,0.372224874
10,0.235242544
10.5,0.234979559
11,0.362697102
11.5,0.272799856
12,0.372705695
12.5,0.345027189
13,0.275719193
13.5,0.021202326
14,-0.02573292
14.5,-0.078068619
15,0.080452554
15.5,0.326422159
16,0.477305559
16.5,0.237449701
17,0.299849336
17.5,0.321291315
18,0.593632089
18.5,0.464898581
19,0.639717066
19.5,0.482461868
20,-0.200877947
20.5,0.261124801
21,0.473830459
21.5,0.322266068
22,0.612258951
