depth_input,Mc18
0.1,0.446145889
0.5,-0.066096014
1,-0.012099881
1.5,-0.336262851
2,-0.360537736
2.5,-0.380317477
3,-0.453532769
3.5,-0.528241452
4,-0.656382499
4.5,-0.436689928
5,-0.460851131
5.5,-0.489460336
6,0.159290508
6.5,0.132509358
7,-0.041638788
7.5,0.026754384
8,-0.234515516
8.5,-0.186813116
9,-0.240747893
9.5,-0.099485584
10,-0.423753438
10.5,-0.342408816
11,-0.345131176
11.5,-0.703318311
12,0.086468896
12.5,0.037026128
13,0.094701454
13.5,0.114830817
14,-0.183027749
14.5,-0.283525996
15,-0.188084224
15.5,-0.252525007
16,0.042275408
16.5,0.026061745
17,-0.001057136
17.5,-0.163998813
18,-0.469705088
18.5,-0.460636637
19,-0.414370074
19.5,-0.343206662
20,-0.431152121
0.1,0.912623865
0.5,0.471279225
1,0.443686257
1.5,0.107953213
2,-0.206083124
2.5,-0.22153542
3,-0.193066753
3.5,-0.204120036
4,0.020784322
4.5,-0.18813722
5,-0.265813822
5.5,-0.034077144
6,0.561029842
6.5,0.396744504
7,0.363141595
7.5,0.415151459
8,0.026514932
8.5,0.056672074
9,-0.030852866
9.5,0.144005244
10,-0.320138385
10.5,-0.377410802
11,-0.378651952
11.5,-0.260492087
12,0.078047575
12.5,0.271650318
13,0.305980613
13.5,0.263137186
14,-0.011129844
14.5,-0.099521636
15,-0.13632953
15.5,-0.148829986
16,0.396685054
16.5,0.415386167
17,0.482284168
17.5,0.598366526
18,-0.40062024
18.5,-0.536642341
19,-0.594834007
19.5,-0.55493896
20,-0.268762839
20.5,-0.092300212
21,-0.154901755
21.5,-0.219476713
22,0.25346285
22.5,0.113193306
23,0.011261295
23.5,0.13484627
24,0.063149022
0.1,0.878912233
0.5,0.203936114
1,-0.01460386
1.5,-0.062388814
2,-0.133834499
2.5,-0.08270494
3,-0.091226709
3.5,-0.054641289
4,-0.061842027
4.5,0.048234751
5,-0.159787571
5.5,-0.498954334
6,-0.683608734
6.5,-0.459274689
7,0.406575512
7.5,0.504475522
8,0.522573645
8.5,0.390803928
9,-0.159741886
9.5,0.057863154
10,0.022657222
10.5,0.02873298
11,0.270640618
11.5,0.28824637
12,0.342740435
12.5,0.173495534
13,0.101788211
13.5,-0.07030217
14,0.126727551
14.5,-0.018002513
15,-0.011640701
15.5,-0.13412422
16,-0.152560916
16.5,-0.183812267
17,-0.147679288
17.5,-0.009990893
18,-0.197975124
18.5,-0.157028445
19,-0.063085349
19.5,-0.137913163
20,-0.061353958
20.5,-0.08923267
21,-0.208666871
21.5,-0.081489123
22,-0.109562975
22.5,-0.055880601
23,-0.079174486
23.5,-0.086399565
24,0.065767541
0.5,0.891699376
1,0.644473715
1.5,0.515068656
2,0.419137002
2.5,0.477341894
3,0.415894298
3.5,0.286690124
4,0.258012614
4.5,0.084073543
5,0.113516427
5.5,0.09586525
6,0.081658275
6.5,-0.040700418
7,-0.038195422
7.5,-0.014437374
8,0.071122197
8.5,0.187034581
9,0.040026009
9.5,0.003217624
10,-0.290341172
10.5,-0.246771249
11,-0.216778892
11.5,-0.271330784
12,-0.129313665
12.5,-0.122318079
13,-0.100292506
13.5,-0.028460665
14,-0.035117732
14.5,0.096430582
15,-0.182705464
15.5,-0.165386947
16,-0.01524691
16.5,-0.004104284
17,0.083471857
17.5,0.041198081
18,0.053912613
18.5,-0.041095925
19,-0.107143141
19.5,0.05113276
20,-0.256764604
20.5,-0.065692364
21,-0.165365993
21.5,-0.131106281
22,0.226503287
22.5,0.032575109
23,0.032436447
23.5,-0.062307462
24,0.060800313
0.1,0.20071481
0.5,-0.311594605
1,-0.525913689
1.5,-0.62439605
2,-0.693941333
2.5,-0.48219316
3,-0.699704186
3.5,-0.768497329
4,-0.575915085
4.5,-0.841892782
5,-0.287398283
5.5,-0.063936453
6,-0.366623715
6.5,-0.465826805
