depth_input,Mc15
0.1,0.618152033
0.5,0.19753474
1,-0.056813078
1.5,0.03099842
2,-0.050089677
2.5,0.205490962
3,-0.163433356
3.5,-0.260199331
4,0.118763172
4.5,-0.281506801
5,-0.16866893
5.5,-0.226994242
6,-0.284043832
6.5,-0.334199429
7,-0.004493307
7.5,-0.127780888
8,0.152111112
8.5,0.000617234
9,-0.242981621
9.5,-0.089493793
10,0.076028784
10.5,0.05041191
11,-0.015682498
11.5,-0.148929875
12,-0.157199828
12.5,-0.246671315
13,-0.109400486
13.5,-0.110143201
14,-0.012781297
14.5,-0.015197717
15,-0.210677141
15.5,-0.093238657
16,-0.179948758
16.5,-0.084138093
17,-0.178478852
17.5,-0.169846357
18,-0.000232848
18.5,0.067441873
19,-0.080059099
19.5,0.50871275
20,0.363748768
0.1,0.379652696
0.5,-0.109418724
1,0.026611458
1.5,0.088734479
2,0.005651213
2.5,0.047235695
3,-0.038859662
3.5,-0.03909891
4,-0.072697331
4.5,-0.085667206
5,0.052496131
5.5,-0.113029142
6,-0.130407161
6.5,-0.348042727
7,-0.348253996
7.5,-0.203068559
8,-0.172005509
8.5,-0.029050079
9,-0.061159595
9.5,-0.074185248
10,-0.169412724
10.5,-0.111323316
11,-0.158798289
11.5,-0.118800596
12,-0.073075614
12.5,-0.08365344
13,-0.180826777
13.5,-0.154828563
14,-0.2142244
14.5,-0.194080264
15,-0.170009486
15.5,-0.053581295
16,0.05502743
16.5,-0.094914931
17,-0.140881944
17.5,-0.17064032
18,-0.196883647
18.5,-0.107243925
19,-0.149110539
19.5,-0.09572601
20,-0.127839065
0.51,-0.38747707
1.01,-0.463514019
1.51,-0.582919963
2.01,0.352106612
2.51,0.230859184
3.01,0.196123363
3.51,0.14553063
4.01,0.007103128
4.51,-0.113785727
5.01,0.107516608
5.51,0.087253007
6.01,0.150583097
6.51,0.148981695
7.01,-0.071545355
7.51,-0.10224271
8.01,0.16394581
8.51,0.232229405
9.01,0.144582323
9.51,0.091706634
10.01,0.299952202
10.51,0.285989559
11.01,0.088526345
11.51,0.172478876
12.01,0.080980193
12.51,0.065502834
13.01,0.177855197
13.51,0.021377397
14.01,0.184852225
14.51,0.208703598
15.01,0.102896174
15.51,0.107038183
16.01,-0.361736795
16.51,-0.36906583
17.01,-0.07189203
17.51,-0.08744779
18.01,0.170399095
18.51,0.174415643
19.01,-0.288373461
19.51,-0.481741685
20.01,0.110063031
20.51,0.065789536
21.01,0.263648747
21.51,0.25625086
22.01,-0.565155161
22.51,-0.598920857
23.01,-0.077169577
23.51,-0.123225664
24.01,0.146725311
24.51,0.185113067
25.01,-0.223490359
25.51,-0.164540298
26.01,0.013746751
26.51,0.03337846
27.01,-0.327630195
27.51,-0.236913226
28.01,-0.06120425
28.51,-0.04627687
29,-0.359865563
1.01,0.363651855
1.51,0.474379
2.01,0.145411085
2.51,0.350333126
3.01,0.430659399
3.51,0.442719058
4.01,0.122749756
4.51,0.313426313
5.01,0.256866377
5.51,0.272710883
6.01,0.309903144
6.51,0.358693277
7.01,0.172238029
7.51,0.30820743
8.01,0.037388931
8.51,0.263102154
9.01,0.223647955
9.51,0.282325324
10.01,0.235279712
10.51,0.316653223
11.01,0.296093418
11.51,0.297140006
12.01,0.288879729
12.51,0.282245052
13.01,0.285660186
13.51,0.283822982
14.01,0.225447815
14.51,0.257519103
15.01,0.273941881
15.51,0.231816482
16.01,0.236869212
16.51,0.240074289
17.01,0.253601731
17.51,0.237634325
18.01,0.252333731
18.51,0.247412392
19.01,0.255269212
19.51,0.28503597
20.51,0.286070952
21.01,0.324408575
21.51,0.333535282
22.01,0.37938653
22.51,0.321829984
23.01,0.446661873
23.51,-0.332778582
24.01,-0.121533377
24.51,0.337460196
25.01,0.320457233
25.51,0.3309628
26.01,0.333132585
26.51,0.311582095
27.01,0.324074481
27.51,0.330853983
28.01,0.317491736
28.51,0.316030831
29,0.307544672
0.1,1.877762201
0.5,1.212890031
1,0.802976092
1.5,0.673880911
2,0.662123962
2.5,0.588234127
3,0.634244165
3.5,0.555803596
4,0.608649219
4.5,0.671864452
5,0.730980541
5.5,0.634790058
6,1.058013401
6.5,0.982723282
7,0.98912935
7.5,0.778875516
8,1.083389384
8.5,1.168749944
9,0.897228395
9.5,1.060093298
10,1.091684648
10.5,0.86769326
11,0.876417932
11.5,1.092052975
12,0.937207153
12.5,0.794696128
13,0.775616388
13.5,0.639288382
14,0.78249409
14.5,0.749735164
15,0.647792529
15.5,0.780613656
16,0.711192384
16.5,0.73838615
17,0.666590951
17.5,0.590383032
18,0.965015488
18.5,0.891791933
19,0.898768963
19.5,0.843315756
20,0.822686351
0.1,0.546393377
0.5,0.060578493
1,0.079412668
1.5,0.107537806
2,0.16431732
2.5,0.111513044
3,-0.006457768
3.5,0.066707877
4,-0.11702048
4.5,0.042270811
5,0.042542826
5.5,-0.038466161
6,-0.126654278
6.5,-0.061103052
7,0.058600664
7.5,0.019948541
8,-0.119208183
8.5,-0.102822661
9,-0.223483946
9.5,-0.013937075
10,-0.004438242
10.5,0.004332206
11,-0.227749431
11.5,0.216937044
12,-0.186649007
12.5,0.035934368
