depth_input,R09
1.51,-1.151676099
2.01,-0.606529248
2.51,-0.300746378
3.01,-0.250916081
3.51,-0.032118886
4.01,-0.100644855
4.51,-0.037517046
5.01,0.184530495
5.51,0.227713131
6.01,0.308320467
6.51,0.280463816
7.01,0.335852549
7.51,0.276625597
8.01,0.224344799
8.51,0.2461552
9.01,0.298331939
9.51,0.311943658
10.01,0.357414838
10.51,0.347659197
11.01,0.474703472
11.51,0.421705625
12.01,0.418346693
12.51,0.344780115
13.01,0.255256715
13.51,0.409630665
14.01,0.422064442
14.51,0.400309775
15.01,0.386991734
15.51,0.352100145
16.01,0.336690996
16.51,0.393013867
17.01,0.302477119
17.51,0.311730941
18.01,0.377585345
18.51,0.357415
19.01,0.332128473
19.51,0.354131545
20.01,0.408897779
20.51,0.402131135
21.01,0.318524982
21.51,0.380999065
22.01,0.376496519
22.51,0.373503998
23.01,0.362386665
23.51,0.385760797
24.01,0.46482454
24.51,0.510919895
25.01,0.478540278
25.51,0.505788337
26.01,0.548553671
26.51,0.613566435
27.01,0.608475972
27.51,0.505726433
28,0.577600234
0.5,-0.129085977
1,-0.122838741
1.5,-0.212665141
2,-0.139281082
2.5,-0.24535655
3,-0.215376299
3.5,-0.264350241
4,-0.216824555
4.5,-0.189964968
5,-0.134855284
5.5,-0.054104624
6,-0.228650996
6.5,-0.046088624
7,-0.017561667
7.5,-0.006508341
8,-0.095212133
8.5,-0.037570247
9,-0.058351172
9.5,-0.059727855
10,0.0404566
10.5,-0.135112074
11,-0.081866205
11.5,0.322274505
12,0.72372804
12.5,0.687309596
13,0.699899303
13.5,0.739381823
14,0.722718298
14.5,0.696002787
15,0.622938522
15.5,0.666095602
16,0.624212982
16.5,0.481661154
17,0.733427793
17.5,0.7089534
18,0.713483924
18.5,0.690950859
19,0.654157111
19.5,0.181651708
20,0.281874189
20.5,0.242217178
21,0.371492898
21.5,0.248682185
22,0.564980851
22.5,0.15108039
23,0.227123075
23.5,-0.087777571
24,0.280667248
24.5,0.507561601
25,0.15371064
25.5,0.449176014
26,0.212671742
26.5,0.29749375
27,0.161861506
27.5,0.16406837
28,-0.002804314
28.5,0.352387044
29,0.515264378
29.5,0.362538471
30,0.180272886
1,-0.000209015
1.5,0.409086631
2,0.005942397
2.5,-0.045937633
3,-0.224943777
3.5,-0.242799759
4,0.013393392
4.5,0.19411714
5,-0.110401489
5.5,-0.043643602
6,-0.002764668
6.5,-0.04754953
7,-0.039750744
7.5,-0.036173351
8,-0.004395736
8.5,-0.016193429
9,-0.025577234
9.5,-0.076578652
10,-0.052064949
10.5,-0.13617067
11,0.064096487
11.5,-0.03885782
12,0.093221368
12.5,0.082175962
13,0.023383623
13.5,0.041638417
14,-0.047740617
14.5,-0.021148691
15,0.042617589
15.5,-0.108880274
16,0.094205402
16.5,0.131954879
17,0.131133128
17.5,0.15824315
18,0.174908966
18.5,0.207098637
19,0.505836225
19.5,0.806213639
20,0.371364271
20.5,0.72091375
21,0.677784752
21.5,0.903817081
22,0.892282521
22.5,0.853503059
23,0.803617583
23.5,0.771044269
24,0.827262049
24.5,0.765823982
25,0.860781038
25.5,0.838996463
26,0.881894183
26.5,0.881479315
27,0.97440905
27.5,0.973630123
28,0.897376641
