File Name,depth_input,vs_input,Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic,Subset_Region,Subset_Geology
SCPT_196093,1.51,154,1.51,1.661,0.0252,0.0108,8322.88882,115.3824616,140.4656054,487.1775818,78.45540819,184.7794749,2.650231008,1,1
SCPT_196093,2.01,178,2.01,1.628,0.0456,0.0095,1793.090928,124.9987814,152.1724295,326.4617526,88.97718108,214.5359264,2.80714249,1,1
SCPT_196093,2.51,194,2.51,1.9,0.0388,0.0145,905.427312,130.5736527,158.9592293,262.0681377,95.48621297,222.4785308,2.672582992,1,1
SCPT_196093,3.01,184,3.01,2.133,0.0367,0.0174,639.3199844,135.7934317,165.3137429,236.4772097,101.6485705,231.4611995,2.588997967,1,1
SCPT_196093,3.51,217,3.51,0.833,0.0309,0.0243,703.7370376,112.8089418,137.3326247,224.0829375,91.33823926,233.6844591,3.11461934,1,1
SCPT_196093,4.01,201,4.01,1.167,0.0352,0.0376,600.0204839,124.40079,151.4444399,222.2826485,100.580364,246.4348659,2.943173949,1,1
SCPT_196093,4.51,223,4.51,1.528,0.0529,0.0274,602.6165928,138.0089058,168.0108418,231.525222,111.7479296,268.2119791,2.884524613,1,1
SCPT_196093,5.01,270,5.01,2.339,0.0569,0.0346,480.263814,152.8658473,186.0975533,224.5035374,123.0799698,278.9421335,2.644536546,1,1
SCPT_196093,5.51,276,5.51,2.928,0.0587,0.0324,415.7028354,161.5699196,196.6938152,219.7933386,130.87032,287.3734812,2.516031699,1,1
SCPT_196093,6.01,302,6.01,2.844,0.0674,0.0292,422.1567268,164.6501771,200.4436939,221.8733116,135.048436,299.0197419,2.570545591,1,1
SCPT_196093,6.51,281,6.51,2.689,0.0607,0.0297,376.9146783,162.9953812,198.4291598,212.2767512,135.7872756,300.8771781,2.576718846,1,1
SCPT_196093,7.01,292,7.01,1.861,0.0657,0.0276,403.5837851,154.5152749,188.1055521,208.7007177,132.3210186,308.8915551,2.822463468,1,1
SCPT_196093,7.51,274,7.51,2.778,0.0646,0.0295,343.546931,167.8693085,204.3626365,207.7847128,142.6896482,314.5650768,2.573469284,1,1
SCPT_196093,8.01,267,8.01,3.022,0.0775,0.0286,354.2012451,174.8317818,212.8386909,213.3435676,149.2801649,327.5987095,2.571496205,1,1
SCPT_196093,8.51,274,8.51,2.928,0.0859,0.0281,358.9371248,176.9141316,215.3737254,214.2134411,152.4213865,337.0572486,2.61937412,1,1
SCPT_196093,9.01,284,9.01,3.389,0.0807,0.0266,322.6267301,181.7583537,221.2710393,210.7436148,157.3374562,339.5636683,2.512588075,1,1
SCPT_196093,9.51,290,9.51,4.294,0.0809,0.0369,298.6090291,190.3744564,231.7602078,212.2866034,165.2889679,344.9498124,2.36861974,1,1
SCPT_196093,10.01,292,10.01,3.65,0.0753,0.0388,283.4843717,185.1500301,225.4000366,204.2488216,162.8105907,345.7911636,2.448273524,1,1
SCPT_196093,10.51,293,10.51,3.516,0.0871,0.0386,296.1324573,187.8378537,228.6721698,206.9574905,166.1406563,356.6714639,2.511271556,1,1
SCPT_196093,11.01,272,11.01,1.333,0.0658,0.0992,255.0343795,151.9323009,184.961062,169.2029014,142.9957034,345.4817067,3.02669868,1,1
SCPT_196093,11.51,302,11.51,2.905,0.0887,0.0993,280.9582707,183.6154673,223.5318732,198.0899841,166.022698,365.3163958,2.633197428,1,1
SCPT_196093,12.01,267,12.01,1.739,0.0741,0.0852,250.3398589,164.2369598,199.9406467,175.721783,153.7194529,359.3674353,2.896943752,1,1
SCPT_196093,12.51,280,12.51,2.855,0.1023,0.0852,282.0564341,187.5814984,228.3600851,198.3453074,171.5071827,380.0328795,2.684364928,1,1
SCPT_196093,13.01,244,13.01,2.928,0.0818,0.0857,243.1334124,185.3008251,225.5836132,189.0310922,170.8172281,372.8914854,2.605741871,1,1
SCPT_196093,13.51,268,13.51,2.528,0.0705,0.1107,218.5769987,178.4713423,217.2694602,177.9239685,166.9320031,368.859263,2.654620111,1,1
SCPT_196093,14.01,266,14.01,2.072,0.082,0.1099,226.2630577,174.8786001,212.8956871,174.4140145,165.9335859,379.0929331,2.81798997,1,1
SCPT_196093,14.51,257,14.51,2.439,0.069,0.1463,202.3422896,178.2743918,217.0296944,172.2188945,169.1002842,374.4357954,2.670651216,1,1
SCPT_196093,15.01,246,15.01,2.239,0.068,0.1718,193.3941282,175.6904579,213.8840358,167.0577902,168.4060481,376.704345,2.718919465,1,1
SCPT_196093,15.51,252,15.51,2.889,0.0766,0.1616,202.2244312,187.3286284,228.0522432,177.2088432,178.051869,386.4949397,2.595790051,1,1
SCPT_196093,16.01,256,16.01,3.544,0.0776,0.1555,200.263526,195.3576088,237.8266542,182.8171456,185.1928567,390.8580308,2.474488375,1,1
SCPT_196093,16.51,266,16.51,3.319,0.0786,0.1506,195.8607921,194.132979,236.3358005,179.555157,185.2237297,394.375702,2.518081186,1,1
SCPT_196093,17.01,256,17.01,4.189,0.0871,0.1561,203.1930868,204.9183858,249.4658609,189.1802615,194.7865748,403.3981699,2.404133213,1,1
SCPT_196093,17.51,254,17.51,3.75,0.093,0.1383,203.6214226,203.2807851,247.4722601,185.9733392,194.3103611,409.5074104,2.490211168,1,1
SCPT_196093,18.01,266,18.01,3.655,0.0895,0.1661,194.6853606,202.1615315,246.1096905,182.3469085,194.4946815,410.3052613,2.495145783,1,1
SCPT_196093,18.51,259,18.51,3.672,0.089,0.1317,190.2334415,203.0487248,247.1897519,181.1658775,196.0208025,412.8711719,2.490737929,1,1
SCPT_196093,19.01,260,19.01,4.161,0.0957,0.1476,194.3395965,209.6365563,255.2097207,186.5227393,202.2809634,419.9937677,2.434602427,1,1
SCPT_196093,19.51,266,19.51,4.505,0.0904,0.137,186.8278961,211.8429766,257.8957976,186.6741836,205.1178115,419.8885984,2.36999801,1,1
SCPT_196093,20.01,272,20.01,3.939,0.092,0.1472,181.8550861,208.1590166,253.4109767,180.7119428,202.9058108,423.1297317,2.45707105,1,1
SCPT_196093,20.51,268,20.51,4.244,0.0821,0.1527,170.6936724,208.8878902,254.2983011,179.2633306,204.5664519,419.7562929,2.379818911,1,1
SCPT_196093,21.01,262,21.01,4.861,0.1057,0.1606,190.2784993,220.0665612,267.907118,190.5318785,214.456384,436.8627996,2.367573559,1,1
SCPT_196093,21.51,274,21.51,5.044,0.0928,0.1592,176.8827321,218.8497584,266.4257929,187.1909168,214.6831457,432.2147181,2.30816691,1,1
SCPT_196093,22.01,275,22.01,4.828,0.1088,0.1615,185.3843565,221.7956203,270.0120595,188.7219143,217.5549047,443.6742873,2.380025444,1,1
SCPT_196093,22.51,282,22.51,5.572,0.1105,0.1636,186.5862187,227.9093393,277.4548478,194.1057421,223.7705242,447.5775905,2.296626281,1,1
SCPT_196093,23.01,278,23.01,6.039,0.0996,0.1766,176.8521442,228.5196811,278.1978726,193.4916673,225.8110199,444.3012296,2.217803883,1,1
SCPT_196093,23.51,281,23.51,5.128,0.1215,0.1453,185.9423693,228.6568025,278.3648031,191.0612146,225.5684729,457.8626337,2.374999427,1,1
SCPT_196093,24.01,286,24.01,4.228,0.1148,0.1681,172.3409486,220.5221573,268.4617567,179.6781637,219.6369768,456.2730484,2.47687616,1,1
SCPT_196093,24.51,286,24.51,3.866,0.1027,0.1866,158.1077768,215.0524315,261.80296,171.5838239,216.0634551,451.7659644,2.49969072,1,1
SCPT_196093,25.01,290,25.01,4.505,0.1124,0.1535,166.4632849,223.5968382,272.2048465,179.7093179,223.7891793,459.9593816,2.431848039,1,1
SCPT_196093,25.51,294,25.51,4.311,0.1164,0.1904,164.2308949,223.1680019,271.6827849,177.2908192,224.2521746,464.2236546,2.468970045,1,1
SCPT_196093,26.01,314,26.01,4.789,0.1181,0.1818,165.7532607,228.1076656,277.6962885,181.4244502,229.1811208,467.75298,2.408689241,1,1
SCPT_196093,26.51,313,26.51,3.778,0.122,0.2909,155.9011345,219.6975962,267.4579433,169.463363,223.2643153,471.1735828,2.563637412,1,1
SCPT_196093,27.01,322,27.01,4.283,0.1265,0.2823,160.1845077,226.1273034,275.2854128,175.2258255,229.2064811,476.0824577,2.497284074,1,1
SCPT_196093,27.51,312,27.51,5.905,0.1192,0.2541,164.3691223,237.5066572,289.1385392,188.1570065,240.0948266,475.7445428,2.282904006,1,1
SCPT_196093,28,326,28,5.128,0.1375,0.2885,165.1164459,235.540471,286.7449212,182.9654153,238.5531007,484.8614119,,1,1
