File Name,depth_input,vs_input,Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic,Subset_Region,Subset_Geology
SCPT_154771,0.5,193,0.5,7.007,0.033,-0.0031,897.0330691,128.2980364,156.1889138,219.5930731,72.59801833,146.2389016,1.853729332,3,1
SCPT_154771,1,193,1,9.436,0.055,0.0009,382.9643413,152.3734281,185.4980863,218.2254995,95.85999201,186.6467086,1.790814544,3,1
SCPT_154771,1.5,193,1.5,20.6512,0.112,-0.0023,355.0964095,185.5528298,225.8904015,238.7352816,127.4114362,228.1601439,1.498261599,3,1
SCPT_154771,2,193,2,18.732,0.077,0.0063,278.4050099,180.6105844,219.8737549,221.8432987,131.9274018,233.5507473,1.459179529,3,1
SCPT_154771,2.5,193,2.5,23.526,0.12,0.0201,320.9312449,200.4336732,244.0062109,246.6688475,150.4943218,262.2295293,1.437741235,3,1
SCPT_154771,3,193,3,22.726,0.101,0.031,284.0663036,198.8830746,242.1185256,239.383409,155.294301,268.4549904,1.411702886,3,1
SCPT_154771,3.5,193,3.5,25.796,0.121,0.0167,296.6192518,209.2776805,254.7728285,251.3987767,167.5727767,286.0332734,1.383693482,3,1
SCPT_154771,4,193,4,23.746,0.094,0.0259,258.074359,203.5221327,247.7660745,239.7303485,168.2848962,286.1323249,1.366052568,3,1
SCPT_154771,4.5,193,4.5,19.466,0.081,0.0166,247.8649068,201.4194918,245.2063378,233.3769966,166.9056375,288.7129216,1.448577936,3,1
SCPT_154771,5,193,5,17.456,0.06,0.0179,215.6044261,194.6830855,237.0054953,220.8636345,165.0281684,284.9372445,1.442209428,3,1
SCPT_154771,5.5,224,5.5,18.337,0.084,-0.0175,248.0129966,207.4711454,252.5735683,236.4532883,175.498377,305.0538092,1.494031892,3,1
SCPT_154771,6,224,6,34.228,0.166,-0.0533,311.1623799,236.7553381,288.2238898,281.5463389,208.1439449,342.2949536,1.302199118,3,1
SCPT_154771,6.5,224,6.5,19.065,0.077,-0.0031,228.2118959,209.1003166,254.5569072,234.5654552,183.5441584,314.7345218,1.448527522,3,1
SCPT_154771,7,224,7,17.351,0.067,-0.0001,214.3037978,206.2627448,251.102472,227.9685587,182.7182875,314.7243065,1.471532602,3,1
SCPT_154771,7.5,224,7.5,16.2902,0.064,0.0115,209.0975275,206.302711,251.1511265,225.4626229,183.871829,318.2159229,1.498585332,3,1
SCPT_154771,8,224,8,21.602,0.092,-0.0503,235.6677401,221.1062726,269.1728535,246.3758424,200.9270276,339.7889058,1.417982381,3,1
SCPT_154771,8.5,224,8.5,16.725,0.075,0.0183,218.2237335,214.6220886,261.2790644,232.5758245,193.6382243,335.3618195,1.521166798,3,1
SCPT_154771,9,224,9,17.9287,0.081,0.0108,221.7062542,219.1414314,266.780873,237.4595336,199.9919544,343.8447707,1.498421472,3,1
SCPT_154771,9.5,224,9.5,14.523,0.093,0.0252,238.9028223,223.1722119,271.6879102,237.7866652,199.225618,354.3446073,1.662608857,3,1
SCPT_154771,10,224,10,11.254,0.061,0.0298,197.9070948,208.2918321,253.5726651,215.1185888,188.0998263,339.1816161,1.709634412,3,1
SCPT_154771,10.5,224,10.5,20.414,0.115,-0.0311,250.8041802,237.2008859,288.7662959,256.4049743,218.9656632,374.5457171,1.512666737,3,1
SCPT_154771,11,224,11,16.3042,0.099,-0.0199,234.3664802,230.9252483,281.1263892,243.1095725,212.096664,371.0527856,1.608879452,3,1
SCPT_154771,11.5,186,11.5,1.506,0.025,0.0999,126.1458677,144.8767506,176.3716964,134.7568669,135.9338568,308.2935331,2.707027462,3,1
SCPT_154771,12,186,12,0.884,0.006,0.5333,56.97160498,113.7755118,138.5093187,90.1990264,113.1633745,257.8434004,2.733928296,3,1
SCPT_154771,12.5,186,12.5,0.899,0.009,0.5474,62.90828473,117.4608408,142.9958062,93.54448308,118.6594499,274.6548906,2.796612879,3,1
SCPT_154771,13,186,13,1.1537,0.0025,0.4917,51.54173708,118.2492275,143.9555812,92.37416784,111.8058357,235.276804,2.471231,3,1
SCPT_154771,13.5,186,13.5,0.939,0.006,0.58,53.33330511,116.7322902,142.108875,88.79806426,117.9508323,265.7612065,2.699685163,3,1
SCPT_154771,14,186,14,1.169,0.002,0.4853,48.03764061,118.8957219,144.742618,90.29015021,112.2515111,232.8980623,2.444565278,3,1
SCPT_154771,14.5,186,14.5,1.0782,0.006,0.5637,55.26881359,122.1220372,148.6703062,92.73480742,122.7364011,270.8865846,2.621551446,3,1
SCPT_154771,15,186,15,1.1752,0.01,0.603,64.93959231,128.7380694,156.7246063,99.76407532,130.8781929,292.1659976,2.661147566,3,1
SCPT_154771,15.5,186,15.5,1.108,0.01,0.6612,60.29161421,126.8213288,154.3911829,95.55013386,130.9615361,294.4715005,2.695285541,3,1
SCPT_154771,16,186,16,1.207,0.011,0.6241,64.12253709,131.2197896,159.7458308,99.63701093,134.823196,300.7376445,2.663756716,3,1
SCPT_154771,16.5,209,16.5,1.8252,0.0295,0.6192,105.2507028,155.6969473,189.5441097,129.1110773,156.6398624,345.6159309,2.630390608,3,1
SCPT_154771,17,209,17,1.338,0.01,0.6738,61.82094739,134.1961622,163.369241,100.3743262,138.0677678,301.85551,2.586123775,3,1
SCPT_154771,17.5,209,17.5,1.4275,0.011,0.7005,63.91257305,137.3602632,167.22119,102.8612355,141.6044672,308.0160123,2.566365265,3,1
SCPT_154771,18,209,18,1.3027,0.016,0.6989,67.34321647,138.435792,168.5305294,102.3962743,145.29917,325.483626,2.694616922,3,1
SCPT_154771,18.5,209,18.5,1.437,0.015,0.718,67.54164218,141.368562,172.1008581,104.7297678,147.7001419,325.2454625,2.623370275,3,1
SCPT_154771,19,209,19,1.3727,0.026,0.7426,78.14175451,145.9285041,177.6520919,108.6549365,154.7266074,351.6001174,2.771714873,3,1
SCPT_154771,19.5,209,19.5,3.897,0.071,0.0528,164.0533997,202.0338882,245.9542987,174.2833711,196.8643451,406.4185316,2.392408242,3,1
SCPT_154771,20,299,20,6.3582,0.198,-0.0716,272.4581895,246.1838109,299.7020306,225.5562073,231.6367672,469.0633404,2.390246446,3,1
SCPT_154771,20.5,299,20.5,9.005,0.175,-0.0906,256.6476486,255.9432716,311.5831132,234.680824,242.7186845,465.6843125,2.138346505,3,1
SCPT_154771,21,299,21,3.936,0.23,-0.0926,267.6139096,231.6999615,282.0695183,206.2214673,221.8738555,482.5132718,2.731718693,3,1
SCPT_154771,21.5,299,21.5,7.14,0.238,-0.0855,282.2372355,258.7430864,314.9915834,233.1685048,244.0192819,489.7100952,2.376985021,3,1
SCPT_154771,22,299,22,3.831,0.077,-0.0624,152.8057323,206.7000121,251.6347974,169.9429381,204.4499498,423.4020904,2.424801848,3,1
SCPT_154771,22.5,299,22.5,9.417,0.323,-0.0792,326.7770604,282.314985,343.6878078,257.0737948,263.7738769,516.4939199,2.306365195,3,1
SCPT_154771,23,299,23,9.7915,0.201,-0.0846,254.2468737,267.341735,325.4595035,238.2499895,256.5817265,488.4551239,2.129782574,3,1
SCPT_154771,23.5,299,23.5,19.662,0.57,-0.0921,455.2112356,341.2689358,415.4578349,326.4318326,311.1678287,565.2967657,2.052756032,3,1
SCPT_154771,24,299,24,6.987,0.244,-0.0904,258.8090962,262.1995381,319.1994376,225.8286048,251.3319905,505.0816941,2.398217873,3,1
SCPT_154771,24.5,299,24.5,4.017,0.139,0.0267,178.2636019,224.21953,272.9629061,179.9865224,222.7604501,469.9802115,2.564527405,3,1
SCPT_154771,25,299,25,12.2382,0.266,-0.0382,280.0719537,288.8533652,351.647575,256.3985151,277.550266,518.2297014,2.082177895,3,1
SCPT_154771,25.5,299,25.5,4.262,0.202,-0.0438,206.1648424,237.3404088,288.9361499,190.8079757,234.3389572,498.6194767,2.642128866,3,1
SCPT_154771,26,299,26,8.935,0.303,-0.0714,277.9836131,282.7480355,344.2149997,241.7180179,271.0801817,531.0967623,2.317496951,3,1
SCPT_154771,26.5,299,26.5,7.3,0.247,-0.0521,240.4910521,267.5916295,325.7637228,222.0604902,260.2510647,518.895799,2.375230757,3,1
SCPT_154771,27,235,27,5.4705,0.206,-0.0523,206.1441268,250.3495996,304.7734255,199.8813636,247.2087394,508.1113854,2.494949381,3,1
SCPT_154771,27.5,235,27.5,5.9515,0.183,-0.0309,195.0287523,250.9204142,305.4683304,199.440739,249.0473698,502.9928414,2.40644064,3,1
SCPT_154771,28,235,28,8.804,0.302,-0.0557,259.7372889,284.550065,346.4087747,235.6599386,276.0592202,540.8567724,2.325462009,3,1
SCPT_154771,28.5,235,28.5,5.2712,0.062,0.0429,117.3352702,218.6407404,266.1713362,165.2068739,225.9374233,440.5432536,2.172824133,3,1
SCPT_154771,29,235,29,2.8377,0.08,0.1233,106.3321561,202.8380389,246.9332648,140.3755226,212.1036336,455.3025673,2.618728078,3,1
SCPT_154771,29.5,287,29.5,7.087,0.157,0.0402,177.1892218,255.0968576,310.5526962,199.7254642,257.1310983,502.5567405,2.252442146,3,1
SCPT_154771,30,287,30,14.527,0.165,-0.0038,203.5871694,280.5175471,341.4996226,239.6571427,287.6484473,510.6748236,1.82669491,3,1
SCPT_154775,1,292.86,1,22.052,0.229,0.0012,671.6763667,200.2145929,243.7395045,292.9212185,121.9384521,226.0892344,1.672654624,3,1
SCPT_154775,1.5,292.86,1.5,4.7675,0.024,-0.0003,316.5928376,136.2533163,165.8736025,194.5342127,90.78259382,184.7386036,2.014983794,3,1
SCPT_154775,2,193.19,2,3.675,0.022,-0.002,310.5979819,135.1733369,164.558845,192.0453925,94.04209637,196.0731821,2.14997286,3,1
SCPT_154775,2.5,193.19,2.5,8.075,0.039,-0.0005,272.1031427,161.7185889,196.8748038,202.27169,117.5254796,224.7966481,1.805435844,3,1
SCPT_154775,3,193.19,3,17.818,0.104,0.0027,326.9598437,198.8426911,242.0693631,241.9226236,150.3124621,268.993709,1.568070408,3,1
SCPT_154775,3.5,193.19,3.5,24.159,0.114,0.0019,297.8622095,207.0992779,252.12086,246.2811869,165.1791441,283.6882744,1.407239175,3,1
SCPT_154775,4,193.19,4,22.2375,0.021,-0.0333,149.1151,168.1522295,204.707062,190.619781,147.2024643,235.3628301,1.139742496,3,1
SCPT_154775,4.5,252.65,4.5,39.093,0.03,-0.0535,150.9123832,169.1413943,205.9112626,208.0727944,169.9316295,255.0526364,0.884160529,3,1
SCPT_154775,5,252.65,5,29.8897,0.183,-0.0417,354.4325135,236.6989606,288.1552564,282.1409081,195.6095386,330.7018829,1.415236539,3,1
SCPT_154775,5.5,252.65,5.5,30.3877,0.133,-0.0536,285.4832662,224.698762,273.546319,263.9207143,196.0770772,325.0455263,1.310095974,3,1
SCPT_154775,6,252.65,6,27.359,0.108,-0.0572,257.4336,218.8914127,266.4765024,253.3494599,194.4735195,323.1555742,1.316535633,3,1
SCPT_154775,6.5,252.65,6.5,28.855,0.129,-0.0598,277.7089672,228.3641834,278.0085711,264.9535855,203.3567149,337.6052044,1.333114783,3,1
SCPT_154775,7,252.65,7,26.7905,0.124,-0.0339,272.7173181,229.042832,278.834752,262.8953056,204.7096501,342.0435748,1.367409778,3,1
SCPT_154775,7.5,252.65,7.5,25.172,0.1222,-0.0058,270.4749091,230.4861242,280.5918034,261.9565061,206.558902,347.2452414,1.401446057,3,1
SCPT_154775,8,252.65,8,21.957,0.108,0.0081,255.9725373,227.1783344,276.5649288,253.7630272,204.097424,346.9878361,1.450799534,3,1
SCPT_154775,8.5,252.65,8.5,23.151,0.111,0.014,254.5777944,230.0723302,280.0880542,256.7745752,209.6313042,353.7468221,1.425949647,3,1
SCPT_154775,9,252.65,9,22.9827,0.116,0.0244,257.7279117,233.4891447,284.2476544,259.1954384,213.5448021,360.9416644,1.442576082,3,1
SCPT_154775,9.5,252.65,9.5,26.057,0.141,-0.0115,278.17271,243.7009761,296.6794492,272.7576804,224.338229,375.6644968,1.421212907,3,1
SCPT_154775,10,252.65,10,26.536,0.121,-0.0202,253.9380225,238.3271111,290.1373526,266.1526671,225.2793139,373.1283399,1.366386913,3,1
SCPT_154775,10.5,252.65,10.5,29.554,0.176,-0.0557,303.3885976,257.5200052,313.5026151,289.5059362,239.2515402,396.9354209,1.410172573,3,1
SCPT_154775,11,252.65,11,20.609,0.07,-0.0389,197.5719667,220.0282931,267.8605307,236.9640981,213.1534288,355.31936,1.378501785,3,1
SCPT_154775,11.5,241.36,11.5,19.886,0.103,-0.0404,233.2731287,235.3876866,286.5589228,250.9233251,221.6910411,377.7412379,1.498398653,3,1
SCPT_154775,12,241.36,12,13.2735,0.063,-0.0032,188.6252793,216.3125712,263.3370432,219.8769842,203.1820699,357.1223037,1.617992782,3,1
SCPT_154775,12.5,241.36,12.5,14.161,0.064,-0.047,187.4976984,218.6658949,266.2019591,222.3190767,207.6965436,361.7424539,1.582810424,3,1
SCPT_154775,13,241.36,13,18.365,0.074,-0.0437,196.0975932,226.3737713,275.5854607,235.7816044,220.6251419,373.0276979,1.461328241,3,1
SCPT_154775,13.5,241.36,13.5,16.504,0.073,-0.0284,193.3698017,226.3348088,275.5380282,231.5165075,219.3003147,375.6438914,1.522506985,3,1
SCPT_154775,14,241.36,14,21.1672,0.103,-0.0012,221.8603533,241.4452442,293.9333407,253.1621549,236.2666579,397.1996864,1.460298102,3,1
SCPT_154775,14.5,241.36,14.5,19.311,0.095,-0.062,212.2210369,238.9329699,290.8749198,246.5188067,233.8756852,396.2824907,1.494628493,3,1
SCPT_154775,15,241.36,15,16.387,0.074,-0.0373,188.7033899,229.727985,279.6688513,231.2899239,225.8423307,386.4544063,1.530175859,3,1
SCPT_154775,15.5,241.36,15.5,24.3352,0.132,-0.0571,242.255526,255.785136,311.3906003,269.123362,253.1369248,421.3533241,1.444060143,3,1
SCPT_154775,16,241.36,16,15.3897,0.055,-0.0501,164.6612859,221.547181,269.7096117,219.6607241,222.317896,377.7763479,1.497742433,3,1
SCPT_154775,16.5,241.36,16.5,13.573,0.049,-0.0648,155.4732322,217.983436,265.3711395,211.5232066,218.1071769,374.7058599,1.546923913,3,1
SCPT_154775,17,241.36,17,11.446,0.064,-0.0569,168.4114746,224.2643547,273.0174752,211.6970973,219.4025646,390.3918718,1.711141511,3,1
SCPT_154775,17.5,241.36,17.5,9.221,0.072,-0.0508,172.2205941,224.2814607,273.0383,206.0350799,216.5055496,398.6951601,1.871756037,3,1
SCPT_154775,18,241.36,18,11.116,0.049,-0.0203,148.7005448,217.8071763,265.1565624,202.6297918,217.1133076,382.4804211,1.665787015,3,1
SCPT_154775,18.5,241.36,18.5,6.075,0.097,0.0504,183.5392823,222.2978159,270.6234281,196.2110681,212.238556,419.0180878,2.206738958,3,1
SCPT_154775,19,214.89,19,2.157,0.037,0.5656,96.85673908,167.622131,204.0617247,129.5789106,170.0381957,369.3355665,2.584235809,3,1
SCPT_154775,19.5,214.89,19.5,1.423,0.015,0.8475,54.12929867,140.8252701,171.4394593,95.95819527,149.6664733,329.5824608,2.629126478,3,1
SCPT_154775,20,214.89,20,3.2557,0.043,0.4208,112.5416403,185.6166716,225.968122,148.229537,185.3116975,382.7055954,2.372561954,3,1
SCPT_154775,20.5,214.89,20.5,1.669,0.019,0.8148,62.15790818,150.0035593,182.6130287,104.5026593,158.3637065,344.601868,2.584644507,3,1
SCPT_154775,21,214.89,21,1.74,0.023,0.6764,68.0683219,155.2038044,188.9437618,109.1083601,162.9510972,355.5379141,2.601770678,3,1
SCPT_154775,21.5,214.89,21.5,1.259,0.016,0.838,45.73722478,138.9569969,169.1650397,87.0349001,151.9082563,340.3631027,2.714775061,3,1
SCPT_154775,22,214.89,22,1.317,0.015,0.8259,45.65432441,140.4327396,170.961596,88.0446215,153.0549058,339.6014157,2.674680033,3,1
SCPT_154775,22.5,214.89,22.5,1.4137,0.016,0.8143,48.4219446,144.0821093,175.404307,91.52601145,156.4292513,344.595954,2.646358617,3,1
SCPT_154775,23,214.89,23,1.5415,0.019,0.8638,52.88650006,148.9533586,181.3345235,96.20763168,161.6510681,354.5729888,2.631730378,3,1
SCPT_154775,23.5,214.89,23.5,1.607,0.022,0.8241,56.43528695,152.8619636,186.0928252,99.39303094,165.6006578,363.4790552,2.639216461,3,1
SCPT_154775,24,214.89,24,1.5965,0.015,0.8681,48.24806657,148.3518036,180.6021957,93.95953585,161.2086895,347.6550268,2.561559453,3,1
SCPT_154775,24.5,214.89,24.5,1.7117,0.021,0.8744,55.19111515,154.9531571,188.6386261,99.91324779,168.4084108,365.2873626,2.591368643,3,1
SCPT_154775,25,236.92,25,1.7247,0.023,0.9088,55.72210768,156.4434893,190.4529435,100.1772877,170.826526,371.5479562,2.60703504,3,1
SCPT_154775,25.5,236.92,25.5,1.8,0.026,0.9632,58.03781053,159.5103764,194.1865452,102.3835514,174.5975004,379.5333753,2.609327939,3,1
SCPT_154775,26,236.92,26,1.7155,0.023,0.9318,53.08727809,156.8239969,190.9161702,98.08440159,172.56634,375.2382678,2.610223389,3,1
SCPT_154775,26.5,236.92,26.5,1.7442,0.023,0.9347,52.66040626,157.7832104,192.0839083,98.12510204,173.897545,377.0972738,2.600333769,3,1
SCPT_154775,27,236.92,27,1.586,0.018,0.9952,43.63377784,151.2337187,184.1106141,89.41723788,168.9539018,366.7435267,2.603280702,3,1
SCPT_154775,27.5,236.92,27.5,1.568,0.02,0.946,44.21703774,152.7869503,186.0015047,89.48691454,171.0281641,373.4998117,2.63277201,3,1
SCPT_154775,28,236.92,28,1.747,0.025,0.9559,50.93135212,159.8020998,194.5416867,96.57750919,177.8471683,386.559104,2.618221506,3,1
SCPT_154775,28.5,236.92,28.5,1.674,0.023,1.0741,45.76906791,156.5064817,190.5296299,91.55861396,176.4041873,383.986463,2.62482448,3,1
SCPT_154775,29,236.92,29,1.736,0.025,1.0817,47.52321471,159.2241239,193.8380638,93.53115003,179.4273516,389.9880665,2.621996993,3,1
SCPT_154775,29.5,236.92,29.5,1.805,0.034,1.0188,54.0923771,165.6712061,201.6866857,98.69768386,185.9832409,407.7696665,2.671088406,3,1
SCPT_154775,30,236.92,30,1.748,0.023,1.1105,44.42175549,158.8743832,193.4122926,91.29464392,180.0557139,389.1265451,2.59903673,3,1
