File Name,depth_input,vs_input,Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic,Subset_Region,Subset_Geology
SCPT_126232,0.5,184.3,0.5,7.2237,0.0075,-0.0005,210.9235844,115.3767847,140.4586945,158.4988726,64.47969375,120.6457292,1.628475891,6,1
SCPT_126232,1,184.3,1,6.3762,0.0101,-0.0001,192.0621915,125.6384396,152.9511438,165.5658126,78.71063482,149.3053233,1.717522038,6,1
SCPT_126232,1.5,184.3,1.5,2.851,0.0062,0.0006,203.8744057,115.0118412,140.0144154,158.95818,75.34584408,154.3436417,2.090675683,6,1
SCPT_126232,2,184.3,2,2.4911,0.0056,0.0003,193.5994281,115.9726156,141.1840538,155.3670684,79.37506525,163.6507811,2.151000992,6,1
SCPT_126232,2.5,184.3,2.5,0.5756,0.0007,-0.0006,158.2199568,82.99655468,101.039284,122.7204848,57.5500461,130.7152376,2.726986704,6,1
SCPT_126232,3,184.3,3,0.1499,0.0099,-0.0021,281.3081637,68.80793365,83.7661801,121.9033119,62.14564332,191.2515397,3.874617896,6,1
SCPT_126232,4,184.3,4,0.2217,0.0111,-0.0023,262.0644757,79.12418672,96.32509687,126.8651943,71.90226439,209.3782601,3.666816082,6,1
SCPT_126232,4.5,184.3,4.5,0.3299,0.0019,0.0027,145.6239749,80.72107524,98.26913508,110.4618082,67.95078905,171.9873555,3.110172795,6,1
SCPT_126232,5,184.3,5,0.1729,0.0014,0.0091,90.23561352,68.91454618,83.89596926,81.00572934,62.1587955,168.9489489,3.423490129,6,1
SCPT_126232,5.5,184.3,5.5,0.3625,0.0024,0.0118,132.8923389,85.2507215,103.783487,108.1230903,74.25685256,186.6542386,3.09121455,6,1
SCPT_126232,6,184.3,6,3.5436,0.0127,0.016,174.8351236,147.4929712,179.5566606,163.3464355,121.305255,240.9863236,2.070788398,6,1
SCPT_126232,6.5,184.3,6.5,6.1557,0.0362,0.0209,228.521125,175.4356359,213.5738177,194.9626192,146.4996205,282.9434221,1.950333882,6,1
SCPT_126232,7,210.8,7,9.7545,0.0374,0.022,202.0493543,185.8479305,226.2496545,198.6119983,160.2318854,290.51127,1.684824555,6,1
SCPT_126232,7.5,210.8,7.5,5.3276,0.0114,0.0209,143.7626142,159.0098816,193.5772472,163.1483815,135.6527208,252.1878851,1.82827589,6,1
SCPT_126232,8,149.3,8,3.861,0.0142,-0.0074,155.9974662,156.0917169,190.0246988,162.2039322,134.2769733,263.136192,2.040580554,6,1
SCPT_126232,8.5,149.3,8.5,1.4463,0.0163,-0.0205,179.0130018,134.941964,164.2771736,150.0216442,119.9181895,270.0679478,2.636799245,6,1
SCPT_126232,9,139.2,9,0.7072,0.0074,0.2041,117.8817763,108.9788573,132.6699133,114.3961079,102.9384341,245.9630368,2.898901307,6,1
SCPT_126232,9.5,139.2,9.5,0.4945,0.0036,0.2454,75.91732185,95.93653448,116.7923028,90.36772927,93.48846723,226.4539932,2.979307221,6,1
SCPT_126232,10,120.2,10,0.4905,0.0027,0.2492,66.08263632,95.00357077,115.6565209,85.57677242,92.48536889,220.9773563,2.940720924,6,1
SCPT_126232,10.5,120.2,10.5,0.4924,0.0027,0.2871,61.6098212,95.02855861,115.6869409,82.98508576,93.80056168,223.7283867,2.93858567,6,1
SCPT_126232,11,135.5,11,0.4905,0.0019,0.2769,54.0885525,94.28051477,114.7762788,78.93056365,92.23878126,216.2622921,2.894459655,6,1
SCPT_126232,11.5,135.5,11.5,0.5872,0.0038,0.2354,71.72076878,103.1487153,125.5723491,91.28995682,101.5123898,239.6498676,2.891282201,6,1
SCPT_126232,12,159.2,12,0.773,0.0029,0.224,72.64637436,109.6677761,133.508597,96.86824079,104.4977863,234.3564327,2.701218273,6,1
SCPT_126232,12.5,159.2,12.5,0.7724,0.0048,0.2357,80.48534521,112.7456148,137.255531,100.4114093,110.1922664,252.8188097,2.773899069,6,1
SCPT_126232,13,134.9,13,0.5679,0.0038,0.3266,58.42801375,102.3926129,124.6518766,82.9533207,104.5276683,247.1387825,2.910029906,6,1
SCPT_126232,13.5,134.9,13.5,1.0555,0.016,0.1878,126.3502222,132.0699144,160.7807654,125.4517719,130.1279402,302.1644638,2.819116869,6,1
SCPT_126232,14,130.1,14,1.0593,0.0178,0.2148,126.1079225,133.4912998,162.5111476,125.2990475,132.6871937,309.2216471,2.840266953,6,1
SCPT_126232,14.5,130.1,14.5,1.4385,0.0143,0.2361,116.8825231,140.6637098,171.2427771,128.5964974,137.5023243,303.9121604,2.613022631,6,1
SCPT_126232,15,162.5,15,1.9648,0.0136,0.176,116.1100703,149.9385357,182.5338696,135.4052667,144.5748548,305.2400091,2.421158946,6,1
SCPT_126232,15.5,162.5,15.5,0.7691,0.0089,0.428,70.46286144,117.243837,142.7316277,93.89640168,123.0583055,289.2615098,2.885182639,6,1
SCPT_126232,16,207.4,16,1.0748,0.0085,0.308,81.74159208,128.6819346,156.6562682,106.9928961,129.7824988,290.5751001,2.682769255,6,1
SCPT_126232,16.5,207.4,16.5,2.166,0.0259,-0.0292,142.3740965,163.563222,199.1204441,148.7868917,158.8243392,340.2483558,2.497856444,6,1
SCPT_126232,17,174.5,17,1.2412,0.0054,0.428,68.87093288,129.2922577,157.3992703,103.0988818,129.7730523,278.4639315,2.526507367,6,1
SCPT_126232,17.5,174.5,17.5,0.9084,0.0114,0.3916,73.81072214,126.5494862,154.060244,98.8668334,133.0752863,308.4162577,2.836817033,6,1
