File Name,,,depth_input,vs_input,Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic,Subset_Region,Subset_Geology
SCPT_140254,SCPT,140254,0.51,122,0.51,1.3385,0.0277,-0.0015,878.8741021,97.48748091,118.6804115,251.6119825,56.68670306,141.9169784,2.801840049,7,2
SCPT_140254,SCPT,140254,1.01,122,1.01,1.5514,0.0188,-0.0027,416.3607681,106.0143437,129.0609402,197.5629265,67.8013735,160.5849864,2.625650474,7,2
SCPT_140254,SCPT,140254,1.51,122,1.51,2.4104,0.1112,0.0064,886.1602712,141.1422211,171.8253126,282.2286159,93.63127661,224.7304932,2.812274327,7,2
SCPT_140254,SCPT,140254,2.01,317,2.01,3.8538,0.115,-0.0339,655.8757551,160.220675,195.0512566,267.4504106,108.7707914,243.4975843,2.534215861,7,2
SCPT_140254,SCPT,140254,2.51,317,2.51,4.3994,0.0316,-0.0064,268.7354237,147.393825,179.4359608,194.4192907,105.9375201,217.9704592,2.120117796,7,2
SCPT_140254,SCPT,140254,3.01,92,3.01,3.1108,0.0139,0.0055,196.1480133,133.6908669,162.7540988,166.8866595,99.0154848,204.5861625,2.160134974,7,2
SCPT_140254,SCPT,140254,3.51,92,3.51,2.4298,0.0107,0.0091,180.0786144,128.5825371,156.5352625,157.766519,97.5830102,205.2086054,2.256328778,7,2
SCPT_140254,SCPT,140254,4.01,100,4.01,0.7735,0.0101,-0.0142,209.4013384,104.971104,127.7909093,145.1038635,85.4651223,208.8775028,2.906694323,7,2
SCPT_140254,SCPT,140254,4.51,100,4.51,0.6226,0.0175,0.0159,242.283374,104.9411712,127.7544693,147.658013,89.58126119,230.7483022,3.153545125,7,2
SCPT_140254,SCPT,140254,5.01,326,5.01,0.2937,0.0049,-0.044,126.9831778,84.19650693,102.5000954,102.9617616,74.47956882,199.7131583,3.330583629,7,2
SCPT_140254,SCPT,140254,5.51,326,5.51,7.4851,0.0462,0.0104,229.8647996,180.357781,219.5659943,203.475816,146.8614145,280.5069519,1.888804675,7,2
SCPT_140254,SCPT,140254,6.01,189,6.01,8.2536,0.0387,0.017,202.1718941,180.4883133,219.7249032,197.7739154,150.3562856,280.4145753,1.790786991,7,2
SCPT_140254,SCPT,140254,6.51,189,6.51,4.9644,0.0143,0.0129,146.5376507,157.3737322,191.5854131,165.1845792,131.5500578,250.46027,1.899796625,7,2
