matched_depth,matched_Vsz,A07-P,A07-H,R09,Mc15,Mc18,Subset_Region,Subset_Geology
15,144.45,-0.464711005,-0.268019622,-0.440897736,-0.015660736,-0.681238547,2,1
15,195.7,0.045902157,0.242556628,0.067533976,0.480874977,-0.287554318,7,2
16,127.45,-0.316261523,-0.119586039,-0.296450889,0.088974857,-0.694362605,2,1
16,161.68,0.171421261,0.368102827,0.79721654,0.523460778,-0.367177491,8,1
17,111.07,-0.48296287,-0.286240501,-0.521589489,-0.075329107,-0.878846777,2,1
17,143.13,-0.335063933,-0.138366676,-0.301989212,0.081936719,-0.645645224,2,1
17,187.24,0.072187152,0.268917414,0.036217324,0.499091703,-0.291586532,6,2
17,211.39,-0.006271978,0.190405614,-0.004342702,0.425002857,-0.28671183,7,2
17,215.43,0.130148549,0.326826662,0.125454076,0.531524535,-0.295519266,8,2
18,100.44,-0.660511667,-0.463799136,-0.728362087,-0.292523975,-1.012505611,2,1
18,128.44,-0.387924014,-0.191183862,-0.361808118,0.008601195,-0.780006075,2,1
18,221.84,0.174759167,0.37151848,0.155195522,0.600561753,-0.224584993,7,2
18,278.76,0.514035438,0.710808323,0.554177881,0.915161366,0.142240258,2,3
18,373.84,0.585040599,0.781755069,0.683828441,1.008236153,0.240214118,2,3
19,125.33,-0.220699012,-0.02396646,-0.172660421,0.121780483,-0.750664582,8,2
19,127.91,-0.215940752,-0.019203068,-0.14161954,0.138289335,-0.701438876,2,1
19,169.14,0.064026256,0.26073381,0.026540423,0.478673002,-0.341921979,6,1
19,207.15,-0.039053596,0.157632476,0.134283374,0.359541017,-0.319852704,6,1
19,209.72,-0.014626441,0.182073638,0.068271081,0.398716995,-0.338248539,7,2
19,219.3,0.126300741,0.323047028,0.225426136,0.542873461,-0.171432573,6,2
20,76.04,-0.486438067,-0.289685587,-0.313612035,-0.214691309,-1.173136622,8,2
20,134.27,-0.404695218,-0.207969801,-0.426274369,-0.06306186,-0.80222833,2,1
20,134.91,-0.488746892,-0.292008922,-0.480895839,-0.079135709,-0.79867446,2,1
20,140.94,-0.26191662,-0.065163592,-0.115399357,0.089840562,-0.670906505,2,1
20,144.98,-0.354237156,-0.157554218,-0.304015738,0.033597156,-0.685774226,2,1
20,145.48,-0.392736657,-0.195998112,-0.321024972,0.014609919,-0.693937355,2,1
20,147.81,-0.364613045,-0.167886408,-0.267953524,0.026114366,-0.693924904,2,1
20,147.92,-0.382349807,-0.185617453,-0.332756774,0.020075785,-0.710438678,2,1
20,151.53,-0.393849034,-0.197136804,-0.335283647,0.013955569,-0.696145387,2,1
20,155.01,-0.490926998,-0.294240738,-0.457319499,-0.097822987,-0.709305205,2,1
20,155.18,-0.395708512,-0.199011421,-0.343298076,0.014867025,-0.668453762,2,1
20,155.32,-0.469834609,-0.273122565,-0.425732197,-0.057483854,-0.701354459,2,1
20,159.28,-0.316579916,-0.119901444,-0.207297927,0.084389367,-0.662289192,2,1
20,160.78,-0.386714297,-0.189983796,-0.360994498,0.037450916,-0.64322128,2,1
20,167.36,-0.44708984,-0.250351303,-0.378413517,-0.030076127,-0.65480801,2,1
20,167.5,-0.353469813,-0.156774101,-0.348088936,0.059528208,-0.610900554,2,1
20,168.99,-0.297134857,-0.100413094,-0.235528812,0.064716062,-0.604504469,2,1
20,169.4,-0.382737309,-0.18600426,-0.359810519,0.049430865,-0.625439534,2,1
20,176.48,-0.341309308,-0.144569242,-0.289988454,0.074561384,-0.581172972,2,1
20,176.77,-0.39965922,-0.202972015,-0.362721007,0.033244377,-0.60894496,2,1
20,178.41,-0.440943554,-0.244252075,-0.372512102,-0.0128646,-0.634127472,2,1
20,183.98,0.113193897,0.309848618,0.172822302,0.463999298,-0.37995867,8,2
20,197.75,-0.030331766,0.166378529,0.118282528,0.35476238,-0.330022004,4,1
20,203.82,-0.036041673,0.160656275,0.123724999,0.352157359,-0.307213374,4,1
19,206.72,-0.160089995,0.03665435,-0.114035051,0.249402006,-0.388520236,5,1
19,206.55,-0.107710693,0.089007161,-0.012509184,0.300954627,-0.360256033,5,1
17,206.58,-0.200129266,-0.003431032,-0.196715481,0.25927098,-0.410711592,5,1
19,215.08,-0.135337228,0.061406613,-0.081315127,0.272913482,-0.353685544,5,1
20,218.2,0.196128628,0.392872864,0.246852745,0.579753027,-0.245154339,2,3
20,267.18,0.318159029,0.514876034,0.262573883,0.771114791,-0.047616733,7,2
20,341.29,0.4464501,0.643114606,0.523178557,0.865561633,0.110259183,2,1
19,206.83,-0.110953317,0.085768265,0.008107037,0.314816058,-0.368680144,6,1
20,205.49,0.051116582,0.247851372,0.062137396,0.445250485,-0.354024103,7,2
