matched_depth,A07-P,A07-H,R09,Mc15,Mc18
16,0.171421261,0.368102827,0.79721654,0.523460778,-0.367177491
19,0.064026256,0.26073381,0.026540423,0.478673002,-0.341921979
19,-0.039053596,0.157632476,0.134283374,0.359541017,-0.319852704
20,-0.030331766,0.166378529,0.118282528,0.35476238,-0.330022004
20,-0.036041673,0.160656275,0.123724999,0.352157359,-0.307213374
19,-0.160089995,0.03665435,-0.114035051,0.249402006,-0.388520236
19,-0.107710693,0.089007161,-0.012509184,0.300954627,-0.360256033
17,-0.200129266,-0.003431032,-0.196715481,0.25927098,-0.410711592
19,-0.135337228,0.061406613,-0.081315127,0.272913482,-0.353685544
19,-0.110953317,0.085768265,0.008107037,0.314816058,-0.368680144
23,0.314265695,0.511005423,0.442807053,0.717487031,-0.038833412
24,-0.025046412,0.171631984,0.234491957,0.315469205,-0.371656198
24,-0.002654775,0.194076269,0.278280573,0.316209985,-0.370020552
24,0.002208644,0.198961665,0.186832377,0.362216292,-0.309756097
25,0.190123188,0.386818971,0.364559223,0.532379425,-0.278603009
26,0.053642901,0.250370594,0.339174047,0.348573115,-0.433091027
27,0.079260246,0.275963448,0.335136982,0.386877629,-0.307895328
28,0.033016727,0.22974388,0.224430622,0.331223161,-0.500146585
29,-0.073454266,0.12326644,0.281921577,0.213988371,-0.584172125
28,0.140241916,0.336956244,0.207946496,0.47643582,-0.312759166
29,0.02771455,0.224441073,0.017475462,0.325669798,-0.504039162
29,-0.01352971,0.183167086,0.353200114,0.248479803,-0.392342154
29,0.055678207,0.252392418,0.362615259,0.347724535,-0.330286958
25,-0.089428611,0.107292475,0.070363833,0.28873815,-0.377141708
23,0.02368883,0.220440717,0.183124209,0.383237744,-0.363318759
23,-0.024969857,0.1717299,-0.392438256,0.197734504,-0.665783582
24,0.078842427,0.275524234,0.052396635,0.371297151,-0.487880605
18,-0.02102969,0.175709687,2.415352266,0.274636606,-0.646457276
17,0.84304027,1.03976996,-0.026649721,0.806109853,-0.409446505
17,-0.066713275,0.129986399,0.046226605,0.361581167,-0.300731093
16,-0.096414723,0.100320459,-0.045418349,0.249720536,-0.63960011
19,-0.127349458,0.069382042,0.058065808,0.172052244,-0.724950697
19,0.116419645,0.313111555,0.529129294,0.476508963,-0.370838375
19,0.051103001,0.247794912,0.463812651,0.411192319,-0.436155018
28,0.142920569,0.339607771,0.301604063,0.47403804,-0.168710745
29,-0.218851983,-0.022124928,0.001680774,0.118758141,-0.537586042
27,-0.004913532,0.191783976,0.116798396,0.34627284,-0.327076588
18,-0.141998844,0.054738946,-0.088917762,0.266844646,-0.43985245
24,-0.217517237,-0.020787981,-0.075162534,0.15515629,-0.583206164
17,0.150170191,0.346848079,0.173606498,0.58206958,-0.17014263
28,-0.038265681,0.158442862,0.090437793,0.315392669,-0.294241935
19,-0.125490797,0.071202017,-0.008823957,0.293489398,-0.383084331
15,0.021419677,0.218152384,0.145739294,0.508790731,-0.169750108
15,0.329962422,0.52669513,0.454282039,0.817333477,0.138792638
22,0.310210309,0.506963096,0.443518337,0.702109717,-0.007603514
28,-0.195904353,0.000812159,1.645451249,0.136742441,-0.549198463
27,-0.175460466,0.021249828,0.951076848,0.17952206,-0.491808329
28,-0.184380946,0.012333378,-0.018383581,0.163752008,-0.494671781
