matched_depth,A07-P,A07-H,R09,Mc15,Mc18
15,0.045902157,0.242556628,0.067533976,0.480874977,-0.287554318
17,0.072187152,0.268917414,0.036217324,0.499091703,-0.291586532
17,-0.006271978,0.190405614,-0.004342702,0.425002857,-0.28671183
17,0.130148549,0.326826662,0.125454076,0.531524535,-0.295519266
18,0.174759167,0.37151848,0.155195522,0.600561753,-0.224584993
19,-0.220699012,-0.02396646,-0.172660421,0.121780483,-0.750664582
19,-0.014626441,0.182073638,0.068271081,0.398716995,-0.338248539
19,0.126300741,0.323047028,0.225426136,0.542873461,-0.171432573
20,-0.486438067,-0.289685587,-0.313612035,-0.214691309,-1.173136622
20,0.113193897,0.309848618,0.172822302,0.463999298,-0.37995867
20,0.318159029,0.514876034,0.262573883,0.771114791,-0.047616733
20,0.051116582,0.247851372,0.062137396,0.445250485,-0.354024103
21,0.288591577,0.485271101,0.351439754,0.664765888,-0.1647116
23,-0.086187217,0.110477328,0.04667868,0.28562691,-0.459178688
23,0.103405458,0.300138166,0.12705188,0.533250352,-0.249999353
24,0.070924218,0.267636752,0.19724865,0.459180538,-0.258310975
24,0.201409928,0.39809025,0.299651926,0.578667776,-0.202874895
26,0.112663932,0.30942785,0.217434778,0.494180876,-0.25098966
26,0.097554761,0.294272597,0.15797342,0.489730423,-0.303303045
27,0.10348588,0.300215409,0.186630281,0.449063992,-0.365540278
28,0.189313489,0.386043815,0.404155381,0.485632925,-0.3490157
28,0.161548126,0.358248722,0.356756286,0.466479764,-0.375150026
29,0.085676048,0.2823667,0.175973962,0.480555348,-0.256680724
29,0.044731113,0.241476885,0.156412848,0.368272222,-0.442438693
29,0.089331236,0.286050079,0.224380549,0.428244515,-0.411128221
23,-0.055124726,0.141589613,-0.007540923,0.323560136,-0.33468009
15,0.132088465,0.32883679,0.048586592,0.564706568,-0.158037045
29,0.434783266,0.631496195,0.449248409,0.790342153,-0.025638458
18,0.147251027,0.344025106,0.222224524,0.52434153,-0.285796176
29,-0.098000085,0.098710209,-0.00644981,0.289386328,-0.435471646
19,0.385335234,0.582031072,0.246646584,0.825580573,-0.013211894
24,0.197470129,0.394200052,0.427895855,0.488231214,-0.369096157
20,-0.029158825,0.16756382,0.069741733,0.375336201,-0.334066923
21,-0.073749931,0.122966259,-0.013819983,0.327925756,-0.379937678
16,0.328513853,0.525256059,0.303483555,0.759526394,-0.004709695
19,0.083754694,0.280457831,0.118029092,0.482956191,-0.311765205
28,0.027112999,0.223843292,0.116930014,0.366314347,-0.44811643
17,-0.276097251,-0.079325458,-0.262193537,0.101079118,-0.729495802
21,0.04490603,0.241574324,0.106293874,0.447324059,-0.244936262
25,0.075161318,0.271854326,0.189807299,0.454100596,-0.221897077
29,0.124756998,0.321476613,0.294136892,0.464372703,-0.17683762
19,0.221780522,0.418502119,0.244601999,0.645370955,-0.074146644
