matched_depth,A07-P,A07-H,R09,Mc15,Mc18
15,-0.464711005,-0.268019622,-0.440897736,-0.015660736,-0.681238547
16,-0.316261523,-0.119586039,-0.296450889,0.088974857,-0.694362605
17,-0.48296287,-0.286240501,-0.521589489,-0.075329107,-0.878846777
17,-0.335063933,-0.138366676,-0.301989212,0.081936719,-0.645645224
18,-0.660511667,-0.463799136,-0.728362087,-0.292523975,-1.012505611
18,-0.387924014,-0.191183862,-0.361808118,0.008601195,-0.780006075
18,0.514035438,0.710808323,0.554177881,0.915161366,0.142240258
18,0.585040599,0.781755069,0.683828441,1.008236153,0.240214118
19,-0.215940752,-0.019203068,-0.14161954,0.138289335,-0.701438876
20,-0.404695218,-0.207969801,-0.426274369,-0.06306186,-0.80222833
20,-0.488746892,-0.292008922,-0.480895839,-0.079135709,-0.79867446
20,-0.26191662,-0.065163592,-0.115399357,0.089840562,-0.670906505
20,-0.354237156,-0.157554218,-0.304015738,0.033597156,-0.685774226
20,-0.392736657,-0.195998112,-0.321024972,0.014609919,-0.693937355
20,-0.364613045,-0.167886408,-0.267953524,0.026114366,-0.693924904
20,-0.382349807,-0.185617453,-0.332756774,0.020075785,-0.710438678
20,-0.393849034,-0.197136804,-0.335283647,0.013955569,-0.696145387
20,-0.490926998,-0.294240738,-0.457319499,-0.097822987,-0.709305205
20,-0.395708512,-0.199011421,-0.343298076,0.014867025,-0.668453762
20,-0.469834609,-0.273122565,-0.425732197,-0.057483854,-0.701354459
20,-0.316579916,-0.119901444,-0.207297927,0.084389367,-0.662289192
20,-0.386714297,-0.189983796,-0.360994498,0.037450916,-0.64322128
20,-0.44708984,-0.250351303,-0.378413517,-0.030076127,-0.65480801
20,-0.353469813,-0.156774101,-0.348088936,0.059528208,-0.610900554
20,-0.297134857,-0.100413094,-0.235528812,0.064716062,-0.604504469
20,-0.382737309,-0.18600426,-0.359810519,0.049430865,-0.625439534
20,-0.341309308,-0.144569242,-0.289988454,0.074561384,-0.581172972
20,-0.39965922,-0.202972015,-0.362721007,0.033244377,-0.60894496
20,-0.440943554,-0.244252075,-0.372512102,-0.0128646,-0.634127472
20,0.196128628,0.392872864,0.246852745,0.579753027,-0.245154339
20,0.4464501,0.643114606,0.523178557,0.865561633,0.110259183
22,0.226913104,0.423627836,0.306721924,0.614823695,-0.181541645
23,0.120000376,0.316758051,0.226335773,0.492041448,-0.305313823
23,0.44257348,0.639251412,0.615357485,0.833055564,0.107311502
24,0.363695624,0.560419716,0.472856554,0.774730004,0.017965793
24,0.488082145,0.684758558,0.557545174,0.893915318,0.121100296
24,0.436203528,0.632928971,0.571112952,0.83961894,0.134146544
24,0.399136719,0.595844656,0.538440548,0.765909967,-0.023123457
29,0.05363981,0.250317419,0.288371064,0.281266407,-0.581632311
29,-0.437887324,-0.241186718,-0.389065591,-0.055296091,-0.719917639
