matched_depth,A07-P,A07-H,R09,Mc15,Mc18
17,0.072187152,0.268917414,0.036217324,0.499091703,-0.291586532
19,0.064026256,0.26073381,0.026540423,0.478673002,-0.341921979
19,-0.039053596,0.157632476,0.134283374,0.359541017,-0.319852704
19,0.126300741,0.323047028,0.225426136,0.542873461,-0.171432573
19,-0.110953317,0.085768265,0.008107037,0.314816058,-0.368680144
23,0.314265695,0.511005423,0.442807053,0.717487031,-0.038833412
24,-0.025046412,0.171631984,0.234491957,0.315469205,-0.371656198
24,-0.002654775,0.194076269,0.278280573,0.316209985,-0.370020552
24,0.002208644,0.198961665,0.186832377,0.362216292,-0.309756097
25,0.190123188,0.386818971,0.364559223,0.532379425,-0.278603009
27,0.079260246,0.275963448,0.335136982,0.386877629,-0.307895328
27,0.10348588,0.300215409,0.186630281,0.449063992,-0.365540278
29,0.044731113,0.241476885,0.156412848,0.368272222,-0.442438693
23,0.02368883,0.220440717,0.183124209,0.383237744,-0.363318759
29,0.434783266,0.631496195,0.449248409,0.790342153,-0.025638458
18,0.147251027,0.344025106,0.222224524,0.52434153,-0.285796176
29,-0.098000085,0.098710209,-0.00644981,0.289386328,-0.435471646
19,0.385335234,0.582031072,0.246646584,0.825580573,-0.013211894
17,-0.066713275,0.129986399,0.046226605,0.361581167,-0.300731093
16,-0.096414723,0.100320459,-0.045418349,0.249720536,-0.63960011
19,-0.127349458,0.069382042,0.058065808,0.172052244,-0.724950697
24,0.197470129,0.394200052,0.427895855,0.488231214,-0.369096157
