matched_depth,A07-P,A07-H,R09,Mc15,Mc18
15,0.045902157,0.242556628,0.067533976,0.480874977,-0.287554318
17,-0.006271978,0.190405614,-0.004342702,0.425002857,-0.28671183
18,0.174759167,0.37151848,0.155195522,0.600561753,-0.224584993
19,-0.014626441,0.182073638,0.068271081,0.398716995,-0.338248539
20,0.318159029,0.514876034,0.262573883,0.771114791,-0.047616733
20,0.051116582,0.247851372,0.062137396,0.445250485,-0.354024103
21,0.288591577,0.485271101,0.351439754,0.664765888,-0.1647116
23,-0.086187217,0.110477328,0.04667868,0.28562691,-0.459178688
23,0.103405458,0.300138166,0.12705188,0.533250352,-0.249999353
24,0.070924218,0.267636752,0.19724865,0.459180538,-0.258310975
24,0.201409928,0.39809025,0.299651926,0.578667776,-0.202874895
26,0.112663932,0.30942785,0.217434778,0.494180876,-0.25098966
29,0.085676048,0.2823667,0.175973962,0.480555348,-0.256680724
25,-0.089428611,0.107292475,0.070363833,0.28873815,-0.377141708
23,-0.055124726,0.141589613,-0.007540923,0.323560136,-0.33468009
15,0.132088465,0.32883679,0.048586592,0.564706568,-0.158037045
20,-0.029158825,0.16756382,0.069741733,0.375336201,-0.334066923
21,-0.073749931,0.122966259,-0.013819983,0.327925756,-0.379937678
16,0.328513853,0.525256059,0.303483555,0.759526394,-0.004709695
19,0.083754694,0.280457831,0.118029092,0.482956191,-0.311765205
28,0.142920569,0.339607771,0.301604063,0.47403804,-0.168710745
28,0.027112999,0.223843292,0.116930014,0.366314347,-0.44811643
17,-0.276097251,-0.079325458,-0.262193537,0.101079118,-0.729495802
29,-0.218851983,-0.022124928,0.001680774,0.118758141,-0.537586042
27,-0.004913532,0.191783976,0.116798396,0.34627284,-0.327076588
18,-0.141998844,0.054738946,-0.088917762,0.266844646,-0.43985245
24,-0.217517237,-0.020787981,-0.075162534,0.15515629,-0.583206164
17,0.150170191,0.346848079,0.173606498,0.58206958,-0.17014263
28,-0.038265681,0.158442862,0.090437793,0.315392669,-0.294241935
19,-0.125490797,0.071202017,-0.008823957,0.293489398,-0.383084331
15,0.021419677,0.218152384,0.145739294,0.508790731,-0.169750108
21,0.04490603,0.241574324,0.106293874,0.447324059,-0.244936262
25,0.075161318,0.271854326,0.189807299,0.454100596,-0.221897077
29,0.124756998,0.321476613,0.294136892,0.464372703,-0.17683762
15,0.329962422,0.52669513,0.454282039,0.817333477,0.138792638
22,0.310210309,0.506963096,0.443518337,0.702109717,-0.007603514
19,0.221780522,0.418502119,0.244601999,0.645370955,-0.074146644
28,-0.195904353,0.000812159,1.645451249,0.136742441,-0.549198463
27,-0.175460466,0.021249828,0.951076848,0.17952206,-0.491808329
28,-0.184380946,0.012333378,-0.018383581,0.163752008,-0.494671781
