matched_depth,A07-P,A07-H,R09,Mc15,Mc18
16,0.171421261,0.368102827,0.79721654,0.523460778,-0.367177491
17,0.130148549,0.326826662,0.125454076,0.531524535,-0.295519266
19,-0.220699012,-0.02396646,-0.172660421,0.121780483,-0.750664582
20,-0.486438067,-0.289685587,-0.313612035,-0.214691309,-1.173136622
20,0.113193897,0.309848618,0.172822302,0.463999298,-0.37995867
26,0.053642901,0.250370594,0.339174047,0.348573115,-0.433091027
26,0.097554761,0.294272597,0.15797342,0.489730423,-0.303303045
28,0.033016727,0.22974388,0.224430622,0.331223161,-0.500146585
28,0.189313489,0.386043815,0.404155381,0.485632925,-0.3490157
28,0.161548126,0.358248722,0.356756286,0.466479764,-0.375150026
29,-0.073454266,0.12326644,0.281921577,0.213988371,-0.584172125
29,0.02771455,0.224441073,0.017475462,0.325669798,-0.504039162
29,0.089331236,0.286050079,0.224380549,0.428244515,-0.411128221
23,-0.024969857,0.1717299,-0.392438256,0.197734504,-0.665783582
24,0.078842427,0.275524234,0.052396635,0.371297151,-0.487880605
18,-0.02102969,0.175709687,2.415352266,0.274636606,-0.646457276
17,0.84304027,1.03976996,-0.026649721,0.806109853,-0.409446505
19,0.116419645,0.313111555,0.529129294,0.476508963,-0.370838375
19,0.051103001,0.247794912,0.463812651,0.411192319,-0.436155018
