Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic
0.0,0.6672,0.0,-0.0003,,,,,,,
0.01,1.0583,0.0,0.0007,,,,,,,
0.02,1.3986,0.0,-0.0001,,,,,,,
0.03,1.6098,0.0,-0.0003,,,,,,,
0.04,2.0439,0.0,-0.0003,,,,,,,
0.05,2.4584,0.0,-0.0005,,,,,,,
0.06,2.6188,0.0071,-0.0003,1129.2766253926793,76.65384325761012,93.3177222266558,225.48517824960024,30.76132579748309,69.5327753611161,2.1533454949839945
0.07,2.9512,0.0143,-0.0003,,,,,,,2.1533454949839945
0.08,3.0998,0.0131,0.0011,1328.8578447061082,84.85415137703315,103.30070602421428,244.69138489668683,35.922156944962865,81.08166527164843,2.151913309073014
0.09,3.3971,0.0159,-0.0005,,,,,,,2.151913309073014
0.1,3.4831,0.0163,-0.0007,1002.2618372094529,90.25446953732316,109.87500639326298,233.71016417323702,39.579699263472655,88.33945019151426,2.1236313074397564
0.11,3.6826,0.0175,-0.0005,,,,,,,2.1236313074397564
0.12,3.753,0.0177,-0.0005,827.259830138798,93.93790181131183,114.35918481377094,225.1482343477402,42.376248216861015,93.5576999969236,2.0956841647556144
0.13,3.8899,0.0179,-0.0005,,,,,,,2.0956841647556144
0.14,3.9642,0.0186,-0.0009,720.7050626736159,96.88854606953186,117.95127347595182,219.22342246761713,44.76570119580593,97.94746091846638,2.0732389176062354
0.15,4.0385,0.0191,-0.0009,,,,,,,2.0732389176062354
0.16,4.1832,0.0205,-0.0007,667.26790896025,100.05427457850489,121.8052038347016,217.73416571868324,47.199347105098326,102.64298579809467,2.0604530405049313
0.17,4.2575,0.0205,-0.0005,,,,,,,2.0604530405049313
0.18,4.41,0.0206,-0.0005,594.5237441314295,102.29954831921496,124.53858056252257,211.96782542524002,49.16247239988399,105.85595227767391,2.0307037580826908
0.19,4.4843,0.0206,-0.0007,,,,,,,2.0307037580826908
0.2,4.5586,0.0209,-0.0007,549.9757092452971,104.23278194932365,126.89208237308966,208.79013874381116,50.926993431263604,108.94685917529856,2.0142113002615383
0.21,4.6916,0.021,-0.0007,,,,,,,2.0142113002615383
0.22,4.7542,0.0212,-0.0005,509.76874485687745,106.18330879864038,129.26663679834482,205.6011612319075,52.67400700988026,111.84761523319679,1.992531421956981
0.23,4.8989,0.0216,-0.0007,,,,,,,1.992531421956981
0.24,4.9771,0.0219,-0.0005,479.8777691247881,108.27299956790576,131.8106081696244,203.56582316421282,54.46757079258209,114.8599332623623,1.9721027753121096
0.25,5.1257,0.0225,-0.0005,,,,,,,1.9721027753121096
0.26,5.204,0.0229,-0.0011,458.23878716762647,110.40202930654074,134.40247046013656,202.52030632267963,56.25994823531442,117.93087506437307,1.9547281242325185
0.27,5.3526,0.0243,-0.0011,,,,,,,1.9547281242325185
0.28,5.4191,0.0249,-0.0005,451.4027079093045,112.8297192856819,137.35791913039537,203.85564070279406,58.16983251009214,121.5143906718309,1.9473964903219607
0.29,5.5247,0.0253,-0.0007,,,,,,,1.9473964903219607
0.3,5.5559,0.0261,-0.0005,442.03506163424584,114.64270204757662,139.5650285796585,204.2673326989937,59.742491500024144,124.43595394675602,1.942146519298357
0.31,5.5559,0.0267,-0.0005,,,,,,,1.942146519298357
0.32,5.4816,0.0281,-0.0009,454.06509646479924,116.18432076381879,141.4417817994316,207.92788658150724,61.07940512920319,127.69163147317768,1.9649956574246406
0.33,5.4112,0.0284,-0.0013,,,,,,,1.9649956574246406
0.34,5.2509,0.0288,-0.0009,463.38715690159165,116.71329957401667,142.08575600315075,210.3869683899927,61.86032510189901,130.039315430288,1.995411593471672
0.35,5.1531,0.029,-0.0009,,,,,,,1.995411593471672
0.36,4.9732,0.029,-0.0009,471.92134275371836,116.80867886605638,142.20186992389472,212.33956521984868,62.397117181969186,131.99914971777494,2.0289275509471514
0.37,4.8715,0.029,-0.0011,,,,,,,2.0289275509471514
0.38,4.6369,0.0287,-0.0007,480.9381263545899,116.39885297048177,141.70295144232563,213.93976089512935,62.65253581159817,133.56717394361792,2.068100228568255
0.39,4.5117,0.0283,-0.0007,,,,,,,2.068100228568255
0.4,4.4061,0.0276,-0.0003,475.231520421266,115.90988175670039,141.10768213859177,213.09216792289362,62.88249728745222,134.5752254565892,2.0899930777884896
0.41,4.2027,0.0263,-0.0005,,,,,,,2.0899930777884896
0.42,4.1323,0.0254,-0.0007,461.8410257693339,114.71021066087778,139.64721297845992,210.46386351501815,62.721140909464886,134.71936548640832,2.110441449260971
0.43,4.0268,0.0245,-0.0007,,,,,,,2.110441449260971
0.44,3.9837,0.0242,-0.0005,450.1258383235005,114.28445912668043,139.1289067629153,208.5622515644535,62.94998290991722,135.4226790584895,2.122003307030883
0.45,3.9446,0.0239,-0.0007,,,,,,,2.122003307030883
0.46,3.9505,0.0238,-0.0001,439.03489432160455,114.60999899967555,139.52521617351806,207.22192490653546,63.56796157249729,136.64939603486258,2.1235070682282604
0.47,3.9564,0.0239,-0.0003,,,,,,,2.1235070682282604
0.48,4.0268,0.024,-0.0005,427.26126593694164,115.61600457473708,140.7499186127234,206.18720264176142,64.54679291473201,138.29865431802557,2.1139770322405367
0.49,4.0659,0.0245,-0.0005,,,,,,,2.1139770322405367
0.5,4.1245,0.0256,-0.0005,428.5582366262814,117.26819146400929,142.7612765648809,207.75480691609917,65.86108327838205,140.93670366685117,2.113184919144334
0.51,4.1245,0.0263,-0.0007,,,,,,,2.113184919144334
0.52,4.0424,0.0271,-0.0005,440.5178591982266,118.11051166836707,143.7867098571425,210.51016795031293,66.70513397261882,143.37840337098223,2.1370352439908364
0.53,3.972,0.028,0.0001,,,,,,,2.1370352439908364
0.54,3.7764,0.0282,-0.0005,462.1318227172617,117.92336533198333,143.5588795345884,214.03985523509658,66.97198860041446,145.43138424609523,2.1859041232579415
0.55,3.6787,0.0285,-0.0003,,,,,,,2.1859041232579415
0.56,3.5613,0.0288,-0.0005,476.60324100603907,117.64663051527648,143.2219849751192,216.26152975962188,67.20093313513297,147.1140843368117,2.2253364479494797
0.57,3.3267,0.0296,-0.0009,,,,,,,2.2253364479494797
0.58,3.225,0.0294,-0.0001,503.6092016229477,116.57741877798168,141.92033590362988,219.74398516513696,67.01189713602739,148.71518327315593,2.288959427256172
0.59,2.8808,0.0293,0.0001,,,,,,,2.288959427256172
0.6,2.8495,0.0279,-0.0003,516.4361581771025,114.23582892702109,139.06970478072134,220.00380506374879,66.1630788696356,148.84212312015578,2.351016813662025
0.61,2.7713,0.0267,0.0009,,,,,,,2.351016813662025
0.62,2.5719,0.0262,0.002,519.0587629543318,112.15028993289664,136.53078774439592,218.87153844311646,65.44829047600682,148.74757727983746,2.398051963240727
0.63,2.4741,0.0248,0.0013,,,,,,,2.398051963240727
0.64,2.3294,0.0238,0.0003,510.5199521738375,109.82981407250855,133.70586061001043,215.88176951154364,64.57655748272607,147.97757274403995,2.435742564554703
0.65,2.1925,0.0216,0.0034,,,,,,,2.435742564554703
0.66,2.1612,0.0205,0.0009,480.6099975781783,107.52050996857699,130.8945338747894,209.6646393027949,63.6389025476962,146.1871218473462,2.4479537646769995
0.67,2.0713,0.0185,0.0005,,,,,,,2.4479537646769995
0.68,1.9852,0.0178,0.0001,458.1299494227762,105.15966953923316,128.02046726515343,204.42082225932108,62.6504183441142,144.52496144704136,2.468493866375423
0.69,1.9422,0.0161,0.0001,,,,,,,2.468493866375423
0.7,1.8601,0.0151,-0.0003,427.63211888381113,103.04741443276903,125.4490262659797,197.99697563489576,61.7196409495958,142.43972654515014,2.473393765460643
0.71,1.821,0.0142,0.0001,,,,,,,2.473393765460643
0.72,1.7623,0.0126,0.0005,394.9292548638039,101.08762743857432,123.06319862087308,191.14516525154568,60.80265022185012,140.06642327945406,2.469801892679641
0.73,1.7349,0.012,0.0007,,,,,,,2.469801892679641
0.74,1.688,0.0111,-0.0001,373.8658594886517,99.77378323763459,121.46373611538124,186.56138551786682,60.25147455624639,138.69152509360046,2.4711777918264817
0.75,1.6684,0.0106,0.0003,,,,,,,2.4711777918264817
0.76,1.6411,0.0098,0.0001,352.5111298902234,98.77247722963436,120.24475488825053,182.05333235452602,59.83223314292392,137.35895667460437,2.465078762147485
0.77,1.6293,0.0093,0.0005,,,,,,,2.465078762147485
0.78,1.6254,0.0088,0.0005,332.8112183702944,98.23711109177731,119.59300480738108,178.07123223145365,59.647254881120304,136.33380103336194,2.4520329457043393
0.79,1.6293,0.0085,0.0001,,,,,,,2.4520329457043393
0.8,1.6332,0.0084,-0.0001,321.1489200085584,98.34970814344625,119.73007947897806,175.95566415293132,59.87833140380295,136.3874220766569,2.4415321129692966
0.81,1.6411,0.0082,0.0001,,,,,,,2.4415321129692966
0.82,1.6528,0.008,0.0003,308.8898270476068,98.5693511260076,119.99747093600926,173.7591488412545,60.150364952394014,136.3864384856682,2.4267881945912633
0.83,1.6841,0.0079,0.0009,,,,,,,2.4267881945912633
0.84,1.7036,0.0078,0.0005,297.9170964117664,99.2576486144638,120.83539831326028,172.0986451985747,60.69155369097113,136.80023190510076,2.405650614634526
0.85,1.7545,0.0077,0.0005,,,,,,,2.405650614634526
0.86,1.7858,0.0075,0.0001,284.0429579726817,100.16511975652277,121.94014579054947,169.96831667887307,61.30591845468649,136.9649334045418,2.3730359994257344
0.87,1.821,0.0076,0.0007,,,,,,,2.3730359994257344
0.88,1.8992,0.0077,0.0003,276.5171005940802,101.71876859336584,123.83154437453233,169.51643051320173,62.38453137828773,138.29901562434193,2.342608361475446
0.89,1.9422,0.0079,0.0005,,,,,,,2.342608361475446
0.9,2.0243,0.0082,0.0003,273.011427483764,103.54493042070811,126.05469790347075,170.05905752370944,63.68649856996087,140.29601815904107,2.3165766067608007
0.91,2.0595,0.0084,0.0005,,,,,,,2.3165766067608007
0.92,2.1299,0.0085,0.0003,268.3132396282407,104.97699563056024,127.79808163720378,170.06617404374367,64.74054284285067,141.79221740837252,2.2936356094939123
0.93,2.1417,0.0088,0.0003,,,,,,,2.2936356094939123
0.94,2.1847,0.009,0.0003,268.83592312589485,106.09465896582616,129.1587152627449,170.92976226647673,65.67830180748388,143.65611853154476,2.288332789932586
0.95,2.2316,0.0092,0.0001,,,,,,,2.288332789932586
0.96,2.2512,0.0093,0.0003,266.3900597452819,107.1385337996989,130.4295194083291,171.12259781911433,66.53052308976278,145.07247650540828,2.2766601153908956
0.97,2.2903,0.0095,0.0007,,,,,,,2.2766601153908956
0.98,2.3098,0.0096,0.0005,264.4152218740112,108.09902803958263,131.59881674383973,171.35203887524258,67.33826070131454,146.46223705713624,2.2672541369462897
0.99,2.3489,0.0098,0.0003,,,,,,,2.2672541369462897
1.0,2.3685,0.0101,0.0001,266.1748612426212,109.18906681002687,132.92582046438054,172.35995586027963,68.24968716657563,148.21516337985256,2.2612990457414965
1.01,2.3959,0.0103,0.0001,,,,,,,2.2612990457414965
1.02,2.4428,0.0106,0.0005,267.09495908905257,110.37273097000464,134.36680292000565,173.26058159611176,69.20937332265916,149.93248251049047,2.2517451670985604
1.03,2.4702,0.0109,0.0003,,,,,,,2.2517451670985604
1.04,2.5288,0.0111,0.0001,267.43861729272953,111.6188334927569,135.88379729553017,174.0871781385112,70.19959136698984,151.61520052925542,2.2397747541177586
1.05,2.5601,0.0116,-0.0001,,,,,,,2.2397747541177586
1.06,2.5914,0.0119,0.0009,271.6090869393486,112.86739112341539,137.40378049807092,175.71486420171018,71.23152016249999,153.76001024627152,2.2376319184683022
1.07,2.6462,0.0124,0.0005,,,,,,,2.2376319184683022
1.08,2.6775,0.0127,0.0007,274.53337291653384,114.25321390913905,139.09086910677797,177.1797273172439,72.32998598110964,155.83881867901997,2.2302058033018684
1.09,2.7322,0.0132,0.0005,,,,,,,2.2302058033018684
1.1,2.7557,0.0135,0.0003,277.5733619014215,115.55251051581449,140.6726214975133,178.60648429579516,73.37296868725315,157.8458655740742,2.2244648205381035
1.11,2.7791,0.0138,0.0003,,,,,,,2.2244648205381035
1.12,2.8261,0.0143,0.0003,280.7235592649239,116.77016422251914,142.15498253176244,179.99698799244246,74.36427154167062,159.78808344531794,2.220282477968341
1.13,2.8495,0.0146,0.0005,,,,,,,2.220282477968341
1.14,2.8926,0.0148,0.0005,281.2728070680486,117.75880231386625,143.35854194731544,180.69353768937268,75.1959795412938,161.25167695472743,2.213123091748535
1.15,2.9082,0.0153,0.0005,,,,,,,2.213123091748535
1.16,2.9512,0.0156,0.0005,284.6047081445919,118.8583851639787,144.69716454745233,182.03738632913547,76.11080058295468,163.09919383604907,2.2112195730555033
1.17,2.9708,0.0159,0.0003,,,,,,,2.2112195730555033
