Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic
0.0,0.1014,0.0,0.0,,,,,,,
0.02,0.8973,0.0,-0.0003,,,,,,,
0.04,1.6686,0.0,-0.0026,,,,,,,
0.06,2.3465,0.0,-0.0032,,,,,,,
0.08,2.4955,0.0651,-0.005,6966.375332160183,93.89918840969618,114.31205545528232,500.1941709753969,39.773586296777765,99.71167612428222,2.640938718197186
0.1,2.6445,0.0716,-0.0068,7108.915243511945,98.44700104288785,119.84852300873304,506.548791061034,43.012340794304286,106.86212122770907,2.631327163237934
0.12,2.7372,0.0723,-0.037,4541.627357157908,101.51467643395975,123.58308435438579,443.6761726439293,45.51041844046559,112.07704131698323,2.6129397783619073
0.14,2.7415,0.0659,-0.0379,3266.264636635647,102.59822375864088,124.90218544530195,398.4238896519516,47.14973046150461,115.14003718715624,2.5868791007985585
0.16,2.8052,0.0612,-0.0392,2522.193547268719,104.00980183348929,126.62062831903046,366.0425059993046,48.79443996489296,117.97628822151286,2.5531253452565466
0.18,2.8362,0.0582,-0.0428,2104.0559722950206,105.25255452952362,128.13354464463745,345.49558975623506,50.28822351080799,120.76301297632197,2.5331689537987176
0.2,2.837,0.0558,-0.0419,1833.1755924112515,106.21607204913228,129.3065224945958,330.8183181237305,51.60437763258975,123.34852178765288,2.5219775564952407
0.22,2.8217,0.0546,-0.042,1661.6030106950175,107.15858630168661,130.45393114987937,321.22788843222634,52.85327198440718,125.9973808574233,2.5196084090357918
0.24,2.7645,0.0557,-0.0446,1598.2595339720056,108.1448740977174,131.65462933635163,318.84688544714214,54.07733974475399,129.11667622474803,2.5372509834645856
0.26,2.664,0.0578,-0.0453,1592.7504744569612,108.89108671432697,132.56306208700676,320.3035041893433,55.16928456759655,132.3572041242459,2.5694749303044
0.28,2.5499,0.0589,-0.0473,1580.7617308182096,109.23737118686151,132.98462579270097,320.6647801256105,56.05142505964605,135.14936109722564,2.60109607650718
0.3,2.4208,0.0596,-0.0472,1576.197546852232,109.26129808832415,133.01375419448158,321.11047698089465,56.76662239189829,137.6875723046931,2.635870700087451
0.32,2.3002,0.0598,-0.0459,1564.028039215144,109.13759143823158,132.86315479436888,320.6723925397252,57.386529542164205,139.96225122264937,2.6678955481377122
0.34,2.188,0.0594,-0.0442,1541.8492013888988,108.8691505970135,132.5363572485382,319.18738673482443,57.91086482596981,141.94905623684178,2.6965814525487417
0.36,2.0963,0.0585,-0.0418,1504.4095528729717,108.60535836099378,132.2152188742533,316.38707832698384,58.402730165951766,143.685619940115,2.718605697038827
0.38,2.0197,0.0566,-0.0396,1444.8591413241763,108.23980897346513,131.77020222856626,311.5949667537057,58.80885655092228,145.0007552192694,2.7325149235281985
0.4,1.9338,0.0517,-0.0375,1338.1545143783023,107.16793052328279,130.46530672399643,302.0556536425704,58.83740088545983,145.12898213219344,2.7351284582801036
0.42,1.8489,0.0446,-0.0354,1193.9328085776797,105.53549570791898,128.4779947748579,288.24827299619875,58.53443784872549,144.08889699667463,2.7242145524115435
0.44,1.798,0.0374,-0.0334,1037.224544656686,104.01422004708336,126.62600701384062,272.45831800054907,58.20170737055784,142.46626364337953,2.696822705649492
0.46,1.7809,0.0375,-0.0324,1012.3198241259563,104.41876913985931,127.11850156156785,270.4803510958189,58.85741557225465,144.11735543335217,2.703260794382972
0.48,1.766,0.0394,-0.0319,1021.2265194689343,105.23631395276735,128.1137735077168,272.1332085871953,59.730442770529756,146.60744612296455,2.7206579949775307
0.5,1.6961,0.0392,-0.0288,1014.4387463345435,104.89571116738472,127.69912663855531,271.2027903643302,60.036482209870506,147.9872486639249,2.74382759429662
0.52,1.5562,0.039,-0.0236,1039.1482657889146,103.58847053291088,126.10770325745672,272.41893007904446,59.921480365016215,149.26853976350895,2.7946635555391
0.54,1.4163,0.0394,-0.0184,1081.0065950342316,102.20546743463166,124.42404731172549,275.0596690149216,59.78824856437378,150.7955183142489,2.854307587500993
0.56,1.2659,0.0434,-0.0135,1207.6901341971534,101.10594109070031,123.08549350172213,285.27732915680593,59.906128763836385,153.98653500969277,2.947180799846179
0.58,1.1697,0.0463,-0.0082,1284.167377535885,100.37120218948537,122.19102875241698,290.7030241314543,60.13076845139137,156.58001049513737,3.012071718537032
0.6,1.231,0.048,0.0001,1243.6414484005504,102.11784625450132,124.31737804895812,289.0807739868593,61.33156587583991,158.73083183947924,2.9904567926954178
0.62,1.4106,0.05,0.0047,1143.05352440728,105.79025495034274,128.78813646128683,283.7085709732489,63.33319267512234,161.0669897801402,2.9183095491356985
0.64,1.649,0.0533,-0.0043,1059.6019823952665,110.25245884149012,134.22038467659667,280.02890382519496,65.69525285569958,163.90992774822544,2.8401069861091823
0.66,1.8094,0.0586,-0.0121,1045.9892262500198,113.68784259086038,138.40259098017788,281.73880762835256,67.68174067653516,167.35427746639508,2.8087647505535136
0.68,1.9031,0.0634,-0.0162,1048.9442677943912,116.06103723138915,141.29169749908246,284.0573121758219,69.19443713296064,170.42140042106482,2.7991444341200054
0.7,2.02,0.0661,-0.0157,1019.7829959815176,118.2723338740538,143.98371080319595,283.08726772915037,70.59962536257946,172.68529204308012,2.7740599360260747
0.72,2.1023,0.0687,-0.0175,1002.4013207309115,120.02806320045964,146.12112041795086,282.81827664236306,71.7945870063489,174.8466007766468,2.760178425363668
0.74,2.1589,0.0713,-0.0207,993.1917724908627,121.47513654730176,147.88277492714997,283.0686623492889,72.84506847258963,176.9499075526397,2.754110814816077
0.76,2.1881,0.0753,-0.0215,1004.5811304138056,122.80473613042962,149.50141789791434,285.270689662889,73.86312139153328,179.4342890156988,2.760924931150851
0.78,2.1882,0.0767,-0.0221,998.4283275349396,123.41210502161407,150.24082350457365,285.07690140451245,74.51276300224572,181.05050107392117,2.7659943764707697
0.8,2.2096,0.0788,-0.026,993.6880025554403,124.35667673834455,151.39073689885424,285.3130211905262,75.31295406846245,182.86805742624986,2.7675403800779343
0.82,2.1899,0.0815,-0.034,1005.0628027015032,124.94356281839012,152.1052069093445,286.84123344011886,75.94606074886812,184.80949865628298,2.782412365867615
0.84,2.1432,0.083,-0.0382,1012.4263060332582,125.02256192702325,152.2013797372457,287.5067004044396,76.33504660650733,186.35130171910535,2.8007092722491835
0.86,2.1222,0.0819,-0.0387,990.6260496410003,124.99828007030595,152.17181921602463,285.1723812499264,76.64223924433905,187.12550676861906,2.802998121382246
0.88,2.1156,0.0824,-0.0387,979.4730852413988,125.34861912475327,152.59831893448225,284.21633919326877,77.13800397145017,188.36170691231362,2.8066087172040355
0.9,2.0917,0.0833,-0.0385,976.3579462043065,125.54323967254622,152.8352482970128,283.92373258784227,77.5644449140621,189.68747521683693,2.816608398101468
0.92,2.0997,0.0851,-0.0378,972.7856508861889,126.22169279387244,153.66119122732297,284.00898977198756,78.2214092924201,191.28146185077026,2.8202801474833525
0.94,2.2488,0.0866,-0.0352,934.3678325172191,128.45124497702074,156.37542866767743,281.88859997904217,79.58702506712058,192.86031177220102,2.7832004386284637
0.96,2.4454,0.0921,-0.0309,919.2650601654808,131.61037670685496,160.22132816486692,282.9132579187552,81.44138708624911,195.56985718314678,2.7492833314902225
0.98,2.7565,0.1009,-0.0324,908.1177737183694,136.15463963769955,165.7534743415473,285.50540332931007,83.96788039155072,199.11521788256206,2.701932128592203
1.0,3.0425,0.1112,-0.0432,919.3498198357053,140.39330074967665,170.91358352134552,290.1030930311245,86.34351505570346,202.82864254343085,2.6694368535467166
1.02,3.2444,0.1192,-0.0613,929.7551141665796,143.46301814733286,174.6506307880574,293.60429998901355,88.13389270719586,205.79456767275508,2.6502614846889596
1.04,3.289,0.1241,-0.0723,944.7948820256604,144.7927296111255,176.2694099613702,296.1136889467854,89.0826949590384,207.9149865622271,2.653699082598491
1.06,3.2363,0.1243,-0.0764,947.5833489619589,144.74520862341146,176.2115583241531,296.15513250446253,89.35955154285777,208.9381509387871,2.664084992639699
1.08,3.1376,0.1212,-0.0784,939.0532923182718,143.90096658115186,175.18378540314143,294.3282556934298,89.23811653666299,209.19250872081352,2.675672431748868
1.1,3.0422,0.1186,-0.0785,932.8733200772323,143.10097478317337,174.2098823447328,292.7874802514776,89.13598261288787,209.52637712625113,2.688265342074012
1.12,2.9795,0.1127,-0.0782,902.9719481391219,142.1494783513713,173.051538862539,288.58963285488977,88.93787865878875,209.05987448309435,2.686160536774774
1.14,2.8655,0.1071,-0.0785,882.3840238615329,140.73208040277277,171.3260109251147,284.9665422474567,88.50071047850763,208.55115387525763,2.6953177380886757
1.16,2.6868,0.0978,-0.0787,849.4023523831279,138.1368978291436,168.16665822678354,278.96723911240804,87.4470489127855,206.91311519986937,2.708698973815181
1.18,2.5053,0.0807,-0.0792,765.611283508864,134.1673765704059,163.33419756397242,265.9517657766415,85.60661538381294,202.5774149259211,2.697341962649073
1.2,2.3247,0.0635,-0.0795,672.8683350945964,129.68200772455347,157.873748534239,250.90034810245922,83.40983545648795,197.08987321395855,2.6774905551432178
1.22,2.2482,0.0539,-0.0793,611.6980094592708,127.24352460917689,154.90516039378056,240.93026335819746,82.26440394109946,193.69522324239702,2.654399272292455
1.24,2.2224,0.0528,-0.0792,603.7532933849767,126.99514158748428,154.60278106302434,239.5212049730662,82.35881095963715,193.95649894046267,2.6560306498605426
1.26,2.1511,0.0557,-0.078,630.844246614807,127.08504757640739,154.71223183214812,242.9565003912519,82.70465268634575,196.05429780947279,2.689896707023555
1.28,2.0803,0.058,-0.074,653.8544879848077,126.97849385842518,154.58251426243066,245.6245595538424,82.94626933465521,197.82612723508885,2.720991120482919
1.3,2.0129,0.056,-0.0699,645.3993700593335,126.02271574318381,153.41895829604985,243.61101250526147,82.66926529972554,197.65151671630161,2.7317466698743527
1.32,1.9401,0.0502,-0.0691,609.2046859063748,124.18554382166181,151.182401174197,237.31514211602052,81.83563507747398,195.5628427675907,2.725470121481652
1.34,1.8542,0.0412,-0.0706,547.7495514266502,121.28979990910999,147.65714771543824,226.60887874077875,80.31635172481379,191.26621611127274,2.7023676084802024
1.36,1.892,0.0344,-0.0709,485.01338268927464,120.12872807805219,146.24366896458528,216.6179358649821,79.68060689747084,187.56288885075307,2.645547484287586
1.38,1.9527,0.0259,-0.071,405.3720338133603,118.23770923442858,143.941559068,202.68590646090865,78.49818318010114,181.48002753769433,2.5597610757477467
1.4,1.9488,0.0186,-0.0707,339.47063944950645,115.34742625485276,140.4229537015599,189.10814266563455,76.65446878231909,174.46612249372035,2.48853459556565
1.42,1.8587,0.0103,-0.0706,262.33873634383156,109.84381762193941,133.72290840931754,170.13025365826462,72.77556929577898,162.08756371198675,2.4025108718158577
1.44,1.7593,0.0061,-0.0702,218.6458635343533,105.5755273205563,128.5267289119816,157.52315626888037,69.39911274363158,151.89163596294105,2.350892861395534
1.46,1.6812,0.0052,-0.0698,209.9129745384549,104.01957888080652,126.63253081141664,154.31787096384295,68.30073627407776,149.24199505353198,2.354121860767049
1.48,1.5805,0.0043,-0.0694,201.28173878416072,102.07933767440909,124.27049803841108,150.8319024287028,66.88902564246234,146.03533388193486,2.363677729792476
1.5,1.4397,0.0039,-0.069,200.3573511783016,100.04197346903557,121.79022857099983,149.07975927378345,65.70837455670609,144.58407327935058,2.402129161013216
1.52,1.2645,0.005,-0.0684,224.20919725243968,98.9613147089836,120.47464399354524,153.63953196051136,66.07865018075412,149.68782674495503,2.5050710620154404
1.54,1.1565,0.0063,-0.0676,250.0681100451101,98.66940766736222,120.11927889939749,158.82806274085456,66.74009503720684,154.6621513519871,2.5898371830246374
1.56,1.0975,0.0073,-0.0669,268.9562316815994,98.66748203300772,120.11693464887895,162.5258878673791,67.29464569339407,158.10705311243635,2.643976701615761
1.58,1.0892,0.0101,-0.0659,309.0787870740355,100.66738299691838,122.55159669190064,171.51543298230513,69.30214331792705,165.44603879200784,2.7071094802601277
1.6,1.1432,0.0156,-0.065,372.2966335626586,104.79247304008334,127.57344544010145,185.50446191184773,72.60426260401587,175.68650899317322,2.7664392100269426
1.62,1.2592,0.0199,-0.0639,404.4708660068737,108.83094390860383,132.4898447583003,193.72682555978216,75.38439285098335,182.03657466844993,2.7621235214644746
1.64,1.415,0.0231,-0.0629,415.8487130500494,112.72499401900212,137.2304275013939,198.44004933724622,77.8812896448589,186.33755986774187,2.726163181075071
1.66,1.5874,0.0234,-0.0618,397.69170023753276,115.48823815626605,140.59437688588912,197.5659374804825,79.53378039244447,187.3830235618583,2.66041320945439
1.68,1.7978,0.0221,-0.0608,365.2381031510909,117.81332535742489,143.42491782643032,193.81886227975468,80.85765095047176,186.732144764181,2.5734327744024084
1.7,2.1183,0.0201,-0.0611,324.6559647031611,120.57146032259507,146.7826473492462,188.56549505198154,82.41193115335936,185.22138495780595,2.455625817564056
1.72,2.3492,0.0126,-0.0652,250.7406289569933,118.66180593871121,144.45785070799627,172.50988301976415,80.73056005996405,174.96107211707564,2.303821440945114
1.74,2.5855,0.0094,-0.0686,215.71016232516746,118.3502686724908,144.07858794911925,164.47317267884605,80.14317430554277,169.03559467035322,2.2005529458271216
1.76,2.8122,0.0078,-0.0707,196.77819722626754,118.7626023253793,144.58055935263567,160.2320451414175,80.12662495671083,165.56544495789208,2.126943211533616
1.78,2.8026,0.009,-0.0731,206.1536495352748,119.90169519601365,145.96728110819055,163.18008141240648,81.29905788045671,169.15291816936295,2.1490288220254703
1.8,2.7244,0.0122,-0.0737,232.64147237588614,121.97932675442394,148.49657170103785,170.59867711656426,83.29720917922539,176.43773812961925,2.213350085395421
1.82,2.5646,0.0165,-0.0737,269.91348568017025,123.69568371775013,150.58604974334798,179.64810404453362,84.93127896578852,183.93207683821967,2.3033408089401357
1.84,2.2919,0.0195,-0.0736,303.7295488462827,123.17286302748936,149.9495723812914,185.85322194994245,84.99203468545744,188.33394865662896,2.402790864208623
1.86,2.0757,0.0201,-0.0734,319.12754195852347,121.55072705418753,147.97479815292397,187.46809819023656,84.2518400439132,189.45629311820775,2.4676329213187436
1.88,1.9264,0.0185,-0.0731,314.0096825721825,119.36084238140486,145.30885159475375,184.81744571654318,83.02568170560191,187.82834845560822,2.4942252294618554
