d,vs
0.0,65.0
0.1,65.0
0.5,65.0
1.0,65.0
1.1,65.0
1.5,82.0
2.0,96.0
2.1,96.0
2.5,97.0
3.0,82.0
3.1,82.0
3.5,111.5
4.0,187.0
4.1,187.0
4.5,208.5
5.0,157.0
5.1,157.0
5.5,160.0
6.0,182.0
6.1,182.0
6.5,197.0
7.0,230.5
7.1,230.5
7.5,251.0
8.0,215.0
8.1,215.0
8.5,219.5
9.0,191.0
9.1,191.0
9.5,207.0
10.0,158.0
10.1,158.0
10.5,168.0
11.0,185.0
11.1,185.0
11.5,177.0
12.0,217.0
12.1,217.0
12.5,214.0
13.0,195.0
13.1,195.0
13.5,185.0
14.0,204.0
14.1,204.0
14.5,207.0
15.0,210.0
15.1,210.0
15.5,196.0
16.0,185.0
16.1,185.0
16.5,302.0
17.0,288.0
17.1,288.0
17.5,270.0
18.0,294.0
18.1,294.0
18.5,350.0
19.0,350.0
19.1,350.0
19.5,455.0
20.0,455.0
