Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
0.01,-9999.0,-9999.0,-9999.0,,,,,,
0.02,-9999.0,-9999.0,-9999.0,,,,,,
0.03,-9999.0,-9999.0,-9999.0,,,,,,
0.04,-9999.0,-9999.0,-9999.0,,,,,,
0.05,-9999.0,-9999.0,-9999.0,,,,,,
0.06,-9999.0,-9999.0,-9999.0,,,,,,
0.07,-9999.0,-9999.0,-9999.0,,,,,,
0.08,-9999.0,-9999.0,-9999.0,,,,,,
0.09,-9999.0,-9999.0,-9999.0,,,,,,
0.1,-9999.0,-9999.0,-9999.0,,,,,,
0.11,-9999.0,-9999.0,-9999.0,,,,,,
0.12,-9999.0,-9999.0,-9999.0,,,,,,
0.13,-9999.0,-9999.0,-9999.0,,,,,,
0.14,-9999.0,-9999.0,-9999.0,,,,,,
0.15,-9999.0,-9999.0,-9999.0,,,,,,
0.16,-9999.0,-9999.0,-9999.0,,,,,,
0.17,-9999.0,-9999.0,-9999.0,,,,,,
0.18,-9999.0,-9999.0,-9999.0,,,,,,
0.19,-9999.0,-9999.0,-9999.0,,,,,,
0.2,-9999.0,-9999.0,-9999.0,,,,,,
0.21,-9999.0,-9999.0,-9999.0,,,,,,
0.22,-9999.0,-9999.0,-9999.0,,,,,,
0.23,-9999.0,-9999.0,-9999.0,,,,,,
0.24,-9999.0,-9999.0,-9999.0,,,,,,
0.25,-9999.0,-9999.0,-9999.0,,,,,,
0.26,-9999.0,-9999.0,-9999.0,,,,,,
0.27,-9999.0,-9999.0,-9999.0,,,,,,
0.28,-9999.0,-9999.0,-9999.0,,,,,,
0.29,-9999.0,-9999.0,-9999.0,,,,,,
0.3,-9999.0,-9999.0,-9999.0,,,,,,
0.31,-9999.0,-9999.0,-9999.0,,,,,,
0.32,-9999.0,-9999.0,-9999.0,,,,,,
0.33,-9999.0,-9999.0,-9999.0,,,,,,
0.34,-9999.0,-9999.0,-9999.0,,,,,,
0.35,-9999.0,-9999.0,-9999.0,,,,,,
0.36,-9999.0,-9999.0,-9999.0,,,,,,
0.37,-9999.0,-9999.0,-9999.0,,,,,,
0.38,-9999.0,-9999.0,-9999.0,,,,,,
0.39,-9999.0,-9999.0,-9999.0,,,,,,
0.4,-9999.0,-9999.0,-9999.0,,,,,,
0.41,-9999.0,-9999.0,-9999.0,,,,,,
0.42,-9999.0,-9999.0,-9999.0,,,,,,
0.43,-9999.0,-9999.0,-9999.0,,,,,,
0.44,-9999.0,-9999.0,-9999.0,,,,,,
0.45,-9999.0,-9999.0,-9999.0,,,,,,
0.46,-9999.0,-9999.0,-9999.0,,,,,,
0.47,-9999.0,-9999.0,-9999.0,,,,,,
0.48,-9999.0,-9999.0,-9999.0,,,,,,
0.49,-9999.0,-9999.0,-9999.0,,,,,,
0.5,-9999.0,-9999.0,-9999.0,,,,,,
0.51,-9999.0,-9999.0,-9999.0,,,,,,
0.52,-9999.0,-9999.0,-9999.0,,,,,,
0.53,-9999.0,-9999.0,-9999.0,,,,,,
0.54,-9999.0,-9999.0,-9999.0,,,,,,
0.55,-9999.0,-9999.0,-9999.0,,,,,,
