Depth,Qc,Fs,u
0.01,0.6017,0.0455,0
0.02,1.1524,0.0349,0.0003
0.03,18.6748,0.0326,-0.0011
0.04,25.3267,0.0357,0.0015
0.05,45.7312,0.065,0.002
0.06,57.0556,0.0486,0.0011
0.07,68.907,0.0626,0.0009
0.08,76.7882,0.0865,0
0.09,81.8663,0.0977,0.0003
0.1,69.874,0.109,0.0003
0.11,68.5284,0.1202,0.0001
0.12,68.1045,0.1268,-0.0015
0.13,64.3596,0.111,0.0011
0.14,53.1866,0.1297,0.0197
0.15,57.0473,0.1341,0.0104
0.16,47.5602,0.127,0
0.17,49.6728,0.1447,-0.0001
0.18,47.4163,0.1616,0.0015
0.19,45.1599,0.168,0.0031
0.2,42.9034,0.144,0.0047
0.21,37.8341,0.1722,0.0189
0.22,38.7988,0.1648,0.0113
0.23,35.8308,0.1659,0.013
0.24,34.862,0.1445,0.0081
0.25,30.133,0.1327,0.0115
0.26,29.3061,0.1355,0.0062
0.27,26.66,0.1422,0.0094
0.28,25.5037,0.1355,0.0064
0.29,22.8493,0.1355,0.0047
0.3,22.1127,0.1336,0.0039
0.31,21.1456,0.1749,0.003
0.32,19.8542,0.1669,0.0018
0.33,17.2661,0.1683,0.0011
0.34,16.0131,0.1735,0.0022
0.35,14.8746,0.174,0.002
0.36,12.7452,0.1657,0.0013
0.37,12.2948,0.1644,0.0011
0.38,11.7051,0.1498,0.0005
0.39,9.7632,0.1538,0.0001
0.4,8.3164,0.1607,0.0001
0.41,7.6835,0.1547,0.0001
0.42,7.0176,0.1525,0.0005
0.43,6.3682,0.1519,0.002
0.44,6.286,0.1513,0.0022
0.45,5.8092,0.1532,0.0028
0.46,5.5585,0.1668,0.0037
0.47,5.612,0.1709,0.0051
0.48,5.5709,0.1607,0.0047
0.49,5.8832,0.144,0.0047
0.5,6.2326,0.1389,0.0047
0.51,6.0106,0.1352,0.0037
0.52,5.764,0.1353,0.0034
0.53,5.5256,0.1318,0.0032
0.54,5.2667,0.1267,0.003
0.55,5.3982,0.1164,0.0026
0.56,5.5462,0.1027,0.003
0.57,5.3941,0.1002,0.0028
0.58,5.353,0.0971,0.0026
0.59,4.9091,0.0958,0.0017
0.6,4.8434,0.093,0.0015
0.61,4.5515,0.0913,0.0017
0.62,4.4241,0.0848,0.0015
0.63,4.4858,0.0775,0.0015
0.64,4.531,0.0735,0.0017
0.65,4.4241,0.0694,0.0011
0.66,4.1241,0.0654,0.0009
0.67,3.7377,0.0696,0.0009
0.68,3.6596,0.0712,0.0013
0.69,3.6021,0.0669,0.0015
0.7,3.7377,0.067,0.0028
0.71,3.8199,0.066,0.0028
0.72,3.8199,0.0632,0.0026
0.73,3.9336,0.0686,0.0025
0.74,4.0474,0.0739,0.0025
0.75,4.1611,0.072,0.0024
0.76,4.72,0.0741,0.0024
0.77,4.831,0.0764,0.0026
0.78,4.8803,0.08,0.0024
0.79,5.0036,0.0829,0.0022
0.8,4.9872,0.0855,0.002
0.81,4.6255,0.0962,0.0017
0.82,4.2166,0.0975,0.0012
0.83,3.8076,0.0964,0.0007
0.84,3.9802,0.0944,0.0007
0.85,4.0254,0.0886,0.0005
0.86,4.1693,0.1018,0.0007
0.87,4.4077,0.107,0.0005
0.88,4.4693,0.1104,0.0001
0.89,4.3748,0.1117,0
0.9,4.2679,0.1129,-0.0003
0.91,4.3049,0.096,-0.0001
0.92,4.1446,0.0934,-0.0005
0.93,3.9391,0.0908,-0.0007
0.94,3.6596,0.0912,-0.0007
0.95,3.4418,0.0889,-0.0007
0.96,3.3801,0.094,-0.0009
0.97,3.4418,0.0924,-0.0009
0.98,3.6391,0.089,-0.0009
0.99,3.8528,0.0907,-0.0009
1,3.9062,0.0905,-0.0011
1.01,3.9268,0.0889,-0.0011
1.02,4.0501,0.0804,-0.0013
1.03,4.0912,0.0722,-0.0013
1.04,3.9391,0.0724,-0.0017
1.05,3.8734,0.0714,-0.0017
1.06,4.046,0.0676,-0.0017
1.07,4.0583,0.0688,-0.0018
1.08,4.2227,0.0739,-0.0017
1.09,4.1734,0.0891,-0.0017
1.1,4.2351,0.0927,-0.0018
1.11,4.3008,0.0953,-0.0018
1.12,4.2268,0.0979,-0.002
1.13,4.1282,0.0971,-0.002
1.14,4.3131,0.0957,-0.0022
1.15,3.8939,0.0764,-0.0028
1.16,3.4541,0.0696,-0.003
1.17,3.3062,0.0663,-0.0032
1.18,3.1376,0.0667,-0.0032
1.19,3.0226,0.0753,-0.0018
1.2,3.0061,0.0732,-0.0005
1.21,3.4993,0.0718,0.0001
1.22,3.7131,0.0745,-0.0013
1.23,3.7007,0.0753,-0.0039
1.24,3.7501,0.0753,0.0058
1.25,3.6843,0.0805,0.0028
1.26,3.4582,0.0812,0.0005
1.27,3.0883,0.0781,-0.0011
1.28,2.5417,0.0743,-0.0026
1.29,2.254,0.0728,-0.0037
1.3,1.9704,0.0667,-0.006
1.31,1.7566,0.055,-0.0064
1.32,1.6251,0.0469,-0.0064
1.33,1.5429,0.0418,-0.0058
1.34,1.6662,0.0399,-0.0053
1.35,1.9909,0.0401,0
1.36,2.4512,0.0408,0.0026
1.37,3.339,0.0418,0.0053
1.38,4.1611,0.0381,0.0062
1.39,5.2914,0.039,0.0066
1.4,5.3982,0.0404,0.0047
1.41,5.4886,0.0496,0.0036
1.42,5.1927,0.0573,0.0028
1.43,5.0735,0.0577,0.0022
1.44,4.4776,0.061,0.0017
1.45,4.0994,0.0662,0.0009
1.46,4.0706,0.0708,0.0007
1.47,3.9391,0.0711,0.0007
1.48,3.6391,0.0732,0.0005
1.49,3.2527,0.0728,0
1.5,2.5704,0.0734,-0.0001
1.51,2.3855,0.0747,-0.0001
1.52,2.2704,0.0715,0.0001
1.53,2.0854,0.0711,0.0009
1.54,1.9005,0.0697,0.002
1.55,1.7854,0.068,0.003
1.56,1.6868,0.0665,0.0036
1.57,1.5881,0.0639,0.0041
1.58,1.4895,0.0568,0.003
1.59,1.399,0.0545,0.002
1.6,1.3744,0.0529,0.0011
1.61,1.2963,0.0504,0
1.62,1.1237,0.049,-0.0005
1.63,1.0456,0.0455,-0.0022
1.64,0.9634,0.0445,-0.003
1.65,0.8894,0.0403,-0.0037
1.66,0.836,0.0369,-0.0047
1.67,0.7579,0.0353,-0.0053
1.68,0.7332,0.0347,-0.0058
1.69,0.7373,0.0348,-0.0064
1.7,0.6921,0.0339,-0.0066
1.71,0.6469,0.0342,-0.0056
1.72,0.6592,0.0326,-0.0026
1.73,0.6633,0.0311,-0.002
1.74,0.6921,0.0312,0.0106
1.75,0.7496,0.0313,0.0106
1.76,0.799,0.0314,0.0108
1.77,0.8688,0.0299,0.011
1.78,0.9264,0.028,0.0108
1.79,1.0415,0.0305,0.0093
1.8,1.136,0.0311,0.0051
1.81,1.2511,0.0269,0.0045
1.82,1.0826,0.0322,0.003
1.83,1.1388,0.0371,0.0023
1.84,1.1949,0.036,0.0016
1.85,1.2511,0.036,0.0009
1.86,1.4648,0.0352,0.0007
1.87,1.7402,0.0347,-0.0001
1.88,1.584,0.035,-0.0001
1.89,1.7854,0.0341,-0.0001
1.9,1.3908,0.0333,-0.0003
1.91,1.0004,0.0332,-0.0005
1.92,0.8154,0.0318,-0.0007
1.93,0.7661,0.03,-0.0009
1.94,0.7455,0.0251,-0.0007
1.95,0.7127,0.0228,-0.0007
1.96,0.6715,0.0214,-0.0005
1.97,0.6551,0.0218,-0.0001
1.98,0.614,0.0204,0.0003
1.99,0.5852,0.018,0.0015
2,0.5893,0.0161,0.0017
2.01,0.5935,0.016,0.003
2.02,0.5976,0.0154,0.0032
2.03,0.6099,0.0157,0.0036
2.04,0.6222,0.0182,0.0036
2.05,0.6058,0.0186,0.0034
2.06,0.577,0.0177,0.0024
2.07,0.5441,0.0175,0.0022
2.08,0.5195,0.0133,0.002
2.09,0.4989,0.0104,0.0015
2.1,0.4866,0.0107,0.0011
2.11,0.4989,0.0085,0.0013
2.12,0.8853,0.0131,0.0018
2.13,1.5182,0.0176,0.0028
2.14,1.9662,0.0222,0.0026
2.15,1.9662,0.0198,0.0003
2.16,1.547,0.018,-0.0015
2.17,1.3456,0.0201,-0.0028
2.18,1.21,0.021,-0.0043
2.19,1.2593,0.0194,-0.0051
2.2,1.1607,0.0205,-0.0056
2.21,1.1525,0.0224,-0.0061
2.22,1.1442,0.0224,-0.0067
2.23,1.136,0.0224,-0.0072
2.24,0.9346,0.0228,-0.0075
2.25,0.7168,0.0187,-0.0077
2.26,0.6633,0.0192,0.018
2.27,0.7784,0.0194,0.0132
2.28,0.6757,0.0184,-0.0024
2.29,0.5852,0.0187,-0.01
2.3,0.5236,0.019,-0.0115
2.31,0.5318,0.0186,-0.0115
2.32,0.5441,0.0181,-0.0113
2.33,0.5277,0.0146,-0.0113
2.34,0.3181,0.0126,-0.0094
2.35,0.4907,0.0116,-0.0094
2.36,0.4743,0.0109,-0.0093
2.37,0.4743,0.0112,-0.0081
2.38,0.4743,0.0109,-0.0079
2.39,0.4743,0.0102,-0.0077
2.4,0.4743,0.0102,-0.0077
2.41,0.4784,0.0102,-0.0075
2.42,0.5277,0.0105,-0.0074
2.43,0.5154,0.0109,-0.0074
2.44,0.5195,0.0111,-0.0068
2.45,0.5359,0.0109,-0.0066
2.46,0.5236,0.0118,-0.0064
2.47,0.5729,0.0121,-0.0062
2.48,0.577,0.0126,-0.0062
2.49,0.6017,0.0152,-0.0058
2.5,0.6469,0.0137,-0.0058
2.51,0.6346,0.0146,-0.0058
2.52,0.6346,0.0152,-0.0058
2.53,0.6428,0.0167,-0.0056
2.54,0.7209,0.017,-0.0056
2.55,0.7332,0.0194,-0.0053
2.56,0.8606,0.018,-0.0051
2.57,0.8195,0.0164,-0.0053
2.58,0.8812,0.0187,-0.0055
2.59,0.8031,0.0183,-0.0056
2.6,0.8031,0.019,-0.0049
2.61,0.8524,0.0185,-0.0049
2.62,0.9469,0.0178,-0.0049
2.63,0.9716,0.0201,-0.0058
2.64,1.0127,0.0172,-0.006
2.65,0.9223,0.0166,-0.0068
2.66,0.9017,0.0162,-0.0043
2.67,0.9716,0.0153,-0.0051
2.68,0.9387,0.0146,-0.0058
2.69,0.9099,0.0136,-0.0066
2.7,0.8894,0.0119,-0.0068
2.71,0.9182,0.0125,-0.0066
2.72,0.9428,0.0108,-0.0045
2.73,0.7949,0.0126,-0.0062
2.74,0.7702,0.0116,-0.0072
2.75,0.7743,0.011,-0.0077
2.76,0.7538,0.0115,-0.0081
2.77,0.7825,0.0131,-0.0089
2.78,0.7702,0.0129,-0.0087
2.79,0.6674,0.0125,-0.0085
2.8,0.6263,0.0135,-0.0083
2.81,0.5976,0.0163,-0.0083
2.82,0.6798,0.0168,-0.0081
2.83,0.5852,0.0177,-0.0079
2.84,0.5976,0.0175,-0.0075
2.85,0.6263,0.0179,-0.0074
2.86,0.7168,0.0166,-0.0072
2.87,0.7784,0.0142,-0.0072
2.88,0.836,0.0126,-0.0072
2.89,0.8771,0.0129,-0.0072
2.9,0.9469,0.012,-0.0075
2.91,1.0497,0.0141,-0.0081
2.92,1.0579,0.0148,-0.0091
2.93,1.173,0.0143,-0.0098
2.94,1.21,0.0151,-0.0212
2.95,1.1894,0.0161,-0.0205
2.96,1.1648,0.0144,-0.0201
2.97,1.1565,0.0136,-0.0201
