Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
0.0,0.0,0.0,-0.0001,,,,,,
0.01,0.4168,0.0,-0.0001,,,,,,
0.02,0.2399,0.0,-0.0003,,,,,,
0.03,0.2444,0.0,-0.0005,,,,,,
0.04,0.2489,0.0,-0.0006,,,,,,
0.05,0.2589,0.0001,-0.0006,4959.309307223151,41.437096270879564,50.44516067759252,355.8072035750034,14.710332845878817,37.50216529423481
0.06,0.2792,0.0001,-0.0006,,,,,,
0.07,0.3539,0.0003,-0.0007,4262.834447127541,46.86485567797522,57.052867781882874,341.9264854829585,18.50951091269227,47.212504454350544
0.08,0.3893,0.0005,-0.0007,,,,,,
0.09,0.4483,0.001,-0.0007,2601.000147165951,52.25659798469902,63.61672798137272,297.4029542678639,22.694631691927906,58.93926544393339
0.1,0.4797,0.001,-0.0007,,,,,,
0.11,0.5112,0.0011,-0.0007,1772.5352562091514,55.3675078027559,67.40392254248545,263.0752943514272,24.648906876219304,62.84297349942156
0.12,0.5151,0.0013,-0.0007,,,,,,
0.13,0.5426,0.0014,-0.0007,1485.0852844421963,57.70977009836926,70.25537229366694,250.7511184734925,26.569769792798677,67.67359042768508
0.14,0.5505,0.0015,-0.0007,,,,,,
0.15,0.5702,0.0016,-0.0007,1275.780771221225,59.66185905001608,72.63182840871524,240.16571084664932,28.156655696428256,71.4234859803456
0.16,0.5898,0.0016,-0.0007,,,,,,
0.17,0.6488,0.0016,-0.0007,1017.3597978961951,62.35831254801419,75.91446744975642,223.56145888411046,29.700827049000917,73.79187582976732
0.18,0.6881,0.0017,-0.0007,,,,,,
0.19,0.7235,0.0017,-0.0007,864.4307485235937,64.88224818990781,78.98708475293125,213.08842347332018,31.275029906357993,76.56012280492757
0.2,0.7471,0.0017,-0.0007,,,,,,
0.21,0.755,0.0017,-0.0007,769.8239626867631,66.30419248436263,80.71814737226755,205.8090973134731,32.3553728229293,78.5482301938101
0.22,0.7353,0.0018,-0.0007,,,,,,
0.23,0.7117,0.0018,-0.0007,756.366025365715,66.32663930079761,80.74547393140578,205.21597662859625,33.05951990724055,80.94114080067207
0.24,0.6999,0.0018,-0.0007,,,,,,
0.25,0.6685,0.0017,-0.0007,723.0148456868668,65.97721752227073,80.32009089667743,201.96403535860244,33.37236686455029,82.01677491156919
0.26,0.637,0.0017,-0.0007,,,,,,
0.27,0.6056,0.0017,-0.0007,723.83905900544,65.17360478112484,79.34177973354329,201.8289981328122,33.61235755080843,83.56825292807223
0.28,0.578,0.0014,-0.0007,,,,,,
0.29,0.5466,0.0014,-0.0007,685.2507375783741,63.85243037624395,77.73339350151439,196.78538064866532,33.2443250274589,82.9090327952795
0.3,0.5112,0.0013,-0.0007,,,,,,
0.31,0.4797,0.0012,-0.0007,670.8096810545455,62.201810038906835,75.7239426560605,193.9426679871504,32.813160044655646,82.56709442784916
0.32,0.4483,0.0012,-0.0007,,,,,,
0.33,0.4207,0.0011,-0.0007,670.6948141336596,60.65546813832847,73.84143947274771,192.67262937136806,32.527623382639135,82.85948465193806
0.34,0.3972,0.0011,-0.0007,,,,,,
0.35,0.3618,0.001,-0.0007,676.7722272168555,58.81150923743093,71.59661994122027,191.68613796692142,32.098756803103875,82.97392567661657
0.36,0.346,0.001,-0.0007,,,,,,
0.37,0.3224,0.0009,-0.0007,649.7401878388837,57.44270049216575,69.93024407741918,186.84082182081102,31.78256291398761,82.93320343625152
0.38,0.2792,0.0008,-0.0007,,,,,,
0.39,0.2635,0.0008,-0.0007,598.9754569094753,54.89051052402568,66.8232302031617,176.342916345726,31.022919212912,82.6446178606593
0.4,0.2517,0.0006,-0.0007,,,,,,
0.41,0.2399,0.0005,-0.0007,530.3820260054418,53.34077060381348,64.93659030029468,166.6844428033848,29.847681464037393,78.68145738030368
0.42,0.2241,0.0004,-0.0007,,,,,,
0.43,0.2123,0.0004,-0.0007,489.1388690131526,51.80075707568603,63.0617912225743,159.15257779630068,29.17251233190411,77.28843323217835
0.44,0.2005,0.0004,-0.0007,,,,,,
0.45,0.1887,0.0004,-0.0007,464.81929643202477,50.5633286150719,61.55535657487014,153.66435471084273,29.04644822033471,78.11438759816951
0.46,0.1809,0.0004,-0.0007,,,,,,
0.47,0.173,0.0004,-0.0007,444.3040255624642,49.726920413728294,60.53712050366923,149.34653142923176,29.034252248735584,78.92777380588088
0.48,0.1593,0.0004,-0.0009,,,,,,
0.49,0.1455,0.0004,-0.001,420.8938110000562,47.82954650368359,58.22727400448437,142.8126436451388,28.64940346595982,79.66220966650549
0.5,0.1455,0.0004,-0.001,,,,,,
0.51,0.1416,0.0003,-0.0011,390.88787234713027,47.44655746766712,57.76102648237736,138.60223299416464,28.175816135184288,77.50302276581819
0.52,0.1376,0.0003,-0.0011,,,,,,
0.53,0.1357,0.0003,-0.0011,377.1566392797542,47.15024784358808,57.400301722628974,136.02344046333084,28.30473394147227,78.23631820649234
0.54,0.1337,0.0003,-0.0011,,,,,,
0.55,0.1337,0.0003,-0.0011,365.7633790511284,47.185128121730344,57.44276466993259,134.29196524183467,28.536626922853316,78.96427483079648
0.56,0.114,0.0003,-0.0011,,,,,,
0.57,0.1101,0.0002,-0.0011,328.6169721136107,44.717819315450264,54.439084384026415,125.53254299611426,27.099039404612256,75.48127361039884
0.58,0.1062,0.0002,-0.0011,,,,,,
0.59,0.0983,0.0002,-0.0011,313.611454626998,43.5780957879636,53.05159487230351,121.34533329563189,26.917075858542542,76.07887988437678
0.6,0.0904,0.0002,-0.0011,,,,,,
0.61,0.0865,0.0002,-0.0011,298.52615571438287,42.29325769554273,51.487444151095495,116.89660733292506,26.671984263978345,76.65068181513989
0.62,0.0826,0.0002,-0.0011,,,,,,
0.63,0.0826,0.0001,-0.0011,270.18482889882796,41.53852251915551,50.56863611027627,112.02465048709531,25.239434641726675,70.59575167362786
0.64,0.0786,0.0001,-0.0011,,,,,,
0.65,0.0767,0.0,-0.0011,,,,,,
0.66,0.0747,0.0,-0.0011,,,,,,
0.67,0.0747,0.0,-0.0011,,,,,,
0.68,0.0708,0.0,-0.0011,,,,,,
0.69,0.0688,0.0,-0.0012,,,,,,
0.7,0.0668,0.0,-0.0012,,,,,,
0.71,0.0668,0.0,-0.0012,,,,,,
0.72,0.0649,0.0,-0.0013,,,,,,
0.73,0.0639,0.0,-0.0013,,,,,,
0.74,0.0629,0.0,-0.0013,,,,,,
0.75,0.0629,0.0,-0.0013,,,,,,
0.76,0.059,0.0,-0.0013,,,,,,
0.77,0.059,0.0,-0.0013,,,,,,
0.78,0.0551,0.0,-0.0013,,,,,,
0.79,0.0511,0.0,-0.0013,,,,,,
0.8,0.0472,0.0,-0.0013,,,,,,
0.81,0.0472,0.0,-0.0013,,,,,,
0.82,0.0433,-0.0001,-0.0013,,,,,,
0.83,0.0433,-0.0001,-0.0013,,,,,,
0.84,0.0393,-0.0001,-0.0013,,,,,,
0.85,0.0393,-0.0001,-0.0013,,,,,,
0.86,0.0374,-0.0001,-0.0013,,,,,,
0.87,0.0364,-0.0001,-0.0013,,,,,,
0.88,0.0362,-0.0001,-0.0013,,,,,,
0.89,0.036,-0.0001,-0.0013,,,,,,
0.9,0.0361,-0.0001,-0.0014,,,,,,
0.91,0.0362,-0.0001,-0.0014,,,,,,
0.92,0.0364,-0.0001,-0.0014,,,,,,
0.93,0.0374,-0.0001,-0.0014,,,,,,
0.94,0.0393,-0.0001,-0.0014,,,,,,
0.95,0.0433,0.0,-0.0014,,,,,,
0.96,0.0433,0.0,-0.0013,,,,,,
0.97,0.0413,0.0,-0.0014,,,,,,
0.98,0.0403,0.0,-0.0014,,,,,,
0.99,0.0398,0.0,-0.0014,,,,,,
1.0,0.0396,0.0,-0.0015,,,,,,
1.01,0.0394,-0.0001,-0.0015,,,,,,
1.02,0.0393,-0.0001,-0.0015,,,,,,
1.03,0.0393,-0.0001,-0.0015,,,,,,
1.04,0.0374,-0.0001,-0.0015,,,,,,
1.05,0.0364,-0.0001,-0.0015,,,,,,
1.06,0.0362,-0.0001,-0.0015,,,,,,
1.07,0.036,-0.0001,-0.0015,,,,,,
1.08,0.0361,-0.0001,-0.0015,,,,,,
1.09,0.0362,-0.0001,-0.0015,,,,,,
1.1,0.0364,-0.0001,-0.0015,,,,,,
1.11,0.0374,-0.0001,-0.0015,,,,,,
1.12,0.0393,-0.0001,-0.0015,,,,,,
1.13,0.0374,-0.0001,-0.0015,,,,,,
1.14,0.0364,-0.0001,-0.0015,,,,,,
1.15,0.0362,-0.0001,-0.0015,,,,,,
1.16,0.036,-0.0001,-0.0015,,,,,,
1.17,0.0361,-0.0001,-0.0015,,,,,,
1.18,0.0362,-0.0001,-0.0015,,,,,,
1.19,0.0364,-0.0002,-0.0015,,,,,,
1.2,0.0374,-0.0002,-0.0015,,,,,,
1.21,0.0393,-0.0002,-0.0015,,,,,,
1.22,0.0393,-0.0002,-0.0015,,,,,,
1.23,0.0393,-0.0002,-0.0015,,,,,,
1.24,0.0393,-0.0002,-0.0015,,,,,,
1.25,0.0393,-0.0002,-0.0015,,,,,,
1.26,0.0393,-0.0001,-0.0015,,,,,,
1.27,0.0393,-0.0001,-0.0016,,,,,,
1.28,0.0393,-0.0001,-0.0016,,,,,,
1.29,0.0393,-0.0001,-0.0016,,,,,,
1.3,0.0393,-0.0001,-0.0017,,,,,,
1.31,0.0394,-0.0001,-0.0017,,,,,,
1.32,0.0394,-0.0001,-0.0017,,,,,,
1.33,0.0396,-0.0001,-0.0017,,,,,,
1.34,0.0398,-0.0001,-0.0017,,,,,,
1.35,0.0403,-0.0001,-0.0017,,,,,,
1.36,0.0413,-0.0001,-0.0017,,,,,,
1.37,0.0433,-0.0001,-0.0017,,,,,,
1.38,0.0424,-0.0001,-0.0017,,,,,,
1.39,0.0425,-0.0001,-0.0017,,,,,,
1.4,0.0427,-0.0001,-0.0017,,,,,,
1.41,0.0433,-0.0002,-0.0017,,,,,,
1.42,0.0433,-0.0002,-0.0017,,,,,,
1.43,0.0393,-0.0002,-0.0017,,,,,,
1.44,0.0354,-0.0002,-0.0017,,,,,,
1.45,0.0354,-0.0002,-0.0017,,,,,,
1.46,0.0334,-0.0002,-0.0017,,,,,,
1.47,0.0324,-0.0002,-0.0017,,,,,,
1.48,0.0321,-0.0002,-0.0017,,,,,,
1.49,0.0322,-0.0003,-0.0017,,,,,,
1.5,0.0322,-0.0003,-0.0017,,,,,,
1.51,0.0323,-0.0003,-0.0017,,,,,,
1.52,0.0325,-0.0003,-0.0017,,,,,,
1.53,0.0334,-0.0003,-0.0017,,,,,,
1.54,0.0354,-0.0003,-0.0017,,,,,,
1.55,0.0354,-0.0003,-0.0017,,,,,,
1.56,0.0364,-0.0003,-0.0017,,,,,,
1.57,0.0374,-0.0002,-0.0017,,,,,,
1.58,0.0393,-0.0002,-0.0017,,,,,,
1.59,0.0393,-0.0002,-0.0017,,,,,,
1.6,0.0403,-0.0002,-0.0017,,,,,,
1.61,0.0413,-0.0002,-0.0017,,,,,,
1.62,0.0433,-0.0002,-0.0017,,,,,,
1.63,0.0433,-0.0002,-0.0016,,,,,,
1.64,0.0452,-0.0002,-0.0016,,,,,,
1.65,0.0472,-0.0002,-0.0016,,,,,,
1.66,0.0472,-0.0002,-0.0015,,,,,,
1.67,0.0511,-0.0002,-0.0015,,,,,,
1.68,0.0551,-0.0002,-0.0015,,,,,,
1.69,0.059,-0.0002,-0.0016,,,,,,
1.7,0.059,-0.0002,-0.0016,,,,,,
1.71,0.0629,-0.0002,-0.0016,,,,,,
1.72,0.0668,-0.0002,-0.0016,,,,,,
1.73,0.0708,-0.0002,-0.0015,,,,,,
1.74,0.0747,-0.0001,-0.0015,,,,,,
1.75,0.0786,-0.0001,-0.0015,,,,,,
1.76,0.0826,-0.0001,-0.0015,,,,,,
1.77,0.0865,0.0,-0.0015,,,,,,
1.78,0.0865,0.0,-0.0015,,,,,,
1.79,0.0904,0.0,-0.0015,,,,,,
1.8,0.0944,0.0,-0.0015,,,,,,
1.81,0.0983,0.0,-0.0015,,,,,,
1.82,0.0983,0.0001,-0.0015,,,,,,
1.83,0.1022,0.0001,-0.0015,262.3203280481708,50.26908570167605,61.197147810736055,112.44205309221252,35.00581191018115,92.60401523355168
1.84,0.114,0.0001,-0.0015,,,,,,
1.85,0.114,0.0002,-0.0015,286.413006430247,52.24041274469073,63.59702421092785,118.20207809072123,37.780817569762746,101.69724736020696
1.86,0.1258,0.0003,-0.0015,,,,,,
1.87,0.1337,0.0003,-0.0015,313.26722107864214,54.93017348351924,66.87151554515387,125.35749407942428,40.10086829613563,107.62045340330039
1.88,0.1416,0.0004,-0.0015,,,,,,
1.89,0.1494,0.0005,-0.0015,345.5394356489572,57.25392288602402,69.70042786124664,132.20333347468636,42.637840531475824,115.41463616975541
1.9,0.1652,0.0006,-0.0015,,,,,,
1.91,0.1769,0.0006,-0.0015,366.8079455112991,60.11516466027133,73.18367871685206,138.81973162269625,44.484064401575566,118.64625809232865
1.92,0.1809,0.0006,-0.0015,,,,,,
1.93,0.1966,0.0007,-0.0015,381.9390213262336,62.06457769488324,75.55687719377092,143.2385994851666,45.879842481769636,121.46216496107334
1.94,0.2123,0.0007,-0.0015,,,,,,
1.95,0.2713,0.0007,-0.0015,400.21947443717767,67.2629033168982,81.88527360318042,153.26563233556257,48.19559570544203,122.0699553613041
1.96,0.3185,0.0007,-0.0015,,,,,,
1.97,0.3696,0.0007,-0.0015,391.10329280081316,72.56799419837938,88.34364511107054,157.95538557878032,50.533103788151685,122.66584993540262
1.98,0.3657,0.0008,-0.0015,,,,,,
1.99,0.4207,0.0008,-0.0015,381.7015907522883,75.1628816454099,91.50263852484683,158.4458231837973,52.20444570739671,125.25315630473447
2.0,0.4837,0.0011,-0.0015,,,,,,
2.01,0.4483,0.0013,-0.0015,417.1162293165262,77.42081482542461,94.2514267439952,165.3765074829518,55.0033984359834,133.81432336279823
2.02,0.5151,0.0014,-0.0015,,,,,,
2.03,0.5426,0.0015,-0.0015,397.8096830090346,81.33391255380238,99.01519789158552,165.33232368117106,57.36967448787151,136.8621213135033
2.04,0.5426,0.0018,-0.0015,,,,,,
2.05,0.5859,0.0019,-0.0014,409.8963918496374,83.52689186066523,101.68491183037507,168.70730232688643,59.31827717151595,141.5641691101329
2.06,0.6134,0.0019,-0.0014,,,,,,
2.07,0.6292,0.0019,-0.0014,394.1118512481789,84.95266412111698,103.42063458222937,167.28324283240033,60.09242121278486,141.98722042378782
2.08,0.6645,0.002,-0.0013,,,,,,
2.09,0.7117,0.002,-0.0014,376.319898625022,87.53377894747098,106.56286132735598,166.23766702806466,61.59348015159102,143.41601892339924
2.1,0.7353,0.0021,-0.0014,,,,,,
2.11,0.7157,0.0021,-0.0014,378.287964495333,87.90100907767288,107.00992409455829,166.793985273256,62.05743392245294,144.68274320190196
2.12,0.7147,0.0022,-0.0015,,,,,,
2.13,0.7152,0.0023,-0.0015,386.61661344091647,88.29765068840736,107.49279214240897,168.38212830004412,62.685677493665374,146.7530639408239
2.14,0.7156,0.0023,-0.0015,,,,,,
2.15,0.7196,0.0024,-0.0015,388.0981214833201,88.66553091728657,107.94064633408802,168.85970686663958,63.126887126952646,147.9233118740461
2.16,0.7864,0.0024,-0.0015,,,,,,
2.17,0.873,0.0025,-0.0015,357.79044251608224,92.63180534340337,112.76915433109977,166.5669095385863,65.29631925365634,149.27248907230353
2.18,0.9555,0.0025,-0.0015,,,,,,
2.19,1.0342,0.0025,-0.0015,329.95088533800583,96.05577458664796,116.93746471418012,163.95049175283737,67.08004734671277,149.80709800347375
2.2,1.1561,0.0026,-0.0015,,,,,,
2.21,1.2151,0.0026,-0.0015,309.52751912114184,99.50909326367733,121.14150484273763,162.3759365721996,69.05351560520435,151.09972183881965
2.22,1.2819,0.0028,-0.0015,,,,,,
2.23,1.3448,0.0031,-0.0015,309.39567869122635,102.32704525319112,124.57205509084136,164.07883932187488,71.27813115477691,155.06363944981996
2.24,1.3409,0.0031,-0.0015,,,,,,
