Depth,Qc,Fs,u
0,0.6672,0,-0.0003
0.01,1.0583,0,0.0007
0.02,1.3986,0,-0.0001
0.03,1.6098,0,-0.0003
0.04,2.0439,0,-0.0003
0.05,2.4584,0,-0.0005
0.06,2.6188,0.0071,-0.0003
0.07,2.9512,0.0143,-0.0003
0.08,3.0998,0.0131,0.0011
0.09,3.3971,0.0159,-0.0005
0.09999999,3.4831,0.0163,-0.0007
0.11,3.6826,0.0175,-0.0005
0.12,3.753,0.0177,-0.0005
0.13,3.8899,0.0179,-0.0005
0.14,3.9642,0.0186,-0.0009
0.15,4.0385,0.0191,-0.0009
0.16,4.1832,0.0205,-0.0007
0.17,4.2575,0.0205,-0.0005
0.18,4.41,0.0206,-0.0005
0.19,4.4843,0.0206,-0.0007
0.2,4.5586,0.0209,-0.0007
0.21,4.6916,0.021,-0.0007
0.22,4.7542,0.0212,-0.0005
0.23,4.8989,0.0216,-0.0007
0.2400001,4.9771,0.0219,-0.0005
0.2500001,5.1257,0.0225,-0.0005
0.2600001,5.204,0.0229,-0.0011
0.27,5.3526,0.0243,-0.0011
0.28,5.4191,0.0249,-0.0005
0.29,5.5247,0.0253,-0.0007
0.3,5.5559,0.0261,-0.0005
0.31,5.5559,0.0267,-0.0005
0.32,5.4816,0.0281,-0.0009
0.33,5.4112,0.0284,-0.0013
0.34,5.2509,0.0288,-0.0009
0.35,5.1531,0.029,-0.0009
0.36,4.9732,0.029,-0.0009
0.3699999,4.8715,0.029,-0.0011
0.3799999,4.6369,0.0287,-0.0007
0.3899999,4.5117,0.0283,-0.0007
0.3999999,4.4061,0.0276,-0.0003
0.4099999,4.2027,0.0263,-0.0005
0.4199999,4.1323,0.0254,-0.0007
0.4299999,4.0268,0.0245,-0.0007
0.4399999,3.9837,0.0242,-0.0005
0.4499999,3.9446,0.0239,-0.0007
0.4599999,3.9505,0.0238,-0.0001
0.4699998,3.9564,0.0239,-0.0003
0.4799998,4.0268,0.024,-0.0005
0.4899998,4.0659,0.0245,-0.0005
0.4999998,4.1245,0.0256,-0.0005
0.5099998,4.1245,0.0263,-0.0007
0.5199998,4.0424,0.0271,-0.0005
0.5299998,3.972,0.028,0.0001
0.5399998,3.7764,0.0282,-0.0005
0.5499998,3.6787,0.0285,-0.0003
0.5599998,3.5613,0.0288,-0.0005
0.5699998,3.3267,0.0296,-0.0009
0.5799997,3.225,0.0294,-0.0001
0.5899997,2.8808,0.0293,0.0001
0.5999997,2.8495,0.0279,-0.0003
0.6099997,2.7713,0.0267,0.0009
0.6199997,2.5719,0.0262,0.002
0.6299997,2.4741,0.0248,0.0013
0.6399997,2.3294,0.0238,0.0003
0.6499997,2.1925,0.0216,0.0034
0.6599997,2.1612,0.0205,0.0009
0.6699997,2.0713,0.0185,0.0005
0.6799996,1.9852,0.0178,0.0001
0.6899996,1.9422,0.0161,0.0001
0.6999996,1.8601,0.0151,-0.0003
0.7099996,1.821,0.0142,0.0001
0.7199996,1.7623,0.0126,0.0005
0.7299996,1.7349,0.012,0.0007
0.7399996,1.688,0.0111,-0.0001
0.7499996,1.6684,0.0106,0.0003
0.7599996,1.6411,0.0098,0.0001
0.7699996,1.6293,0.0093,0.0005
0.7799996,1.6254,0.0088,0.0005
0.7899995,1.6293,0.0085,0.0001
0.7999995,1.6332,0.0084,-0.0001
0.8099995,1.6411,0.0082,0.0001
0.8199995,1.6528,0.008,0.0003
0.8299995,1.6841,0.0079,0.0009
0.8399995,1.7036,0.0078,0.0005
0.8499995,1.7545,0.0077,0.0005
0.8599995,1.7858,0.0075,0.0001
0.8699995,1.821,0.0076,0.0007
0.8799995,1.8992,0.0077,0.0003
0.8899994,1.9422,0.0079,0.0005
0.8999994,2.0243,0.0082,0.0003
0.9099994,2.0595,0.0084,0.0005
0.9199994,2.1299,0.0085,0.0003
0.9299994,2.1417,0.0088,0.0003
0.9399994,2.1847,0.009,0.0003
0.9499994,2.2316,0.0092,0.0001
0.9599994,2.2512,0.0093,0.0003
0.9699994,2.2903,0.0095,0.0007
0.9799994,2.3098,0.0096,0.0005
0.9899994,2.3489,0.0098,0.0003
0.9999993,2.3685,0.0101,0.0001
1.009999,2.3959,0.0103,0.0001
1.019999,2.4428,0.0106,0.0005
1.029999,2.4702,0.0109,0.0003
1.039999,2.5288,0.0111,0.0001
1.049999,2.5601,0.0116,-0.0001
1.059999,2.5914,0.0119,0.0009
1.069999,2.6462,0.0124,0.0005
1.079999,2.6775,0.0127,0.0007
1.089999,2.7322,0.0132,0.0005
1.099999,2.7557,0.0135,0.0003
1.109999,2.7791,0.0138,0.0003
1.119999,2.8261,0.0143,0.0003
1.129999,2.8495,0.0146,0.0005
1.139999,2.8926,0.0148,0.0005
1.149999,2.9082,0.0153,0.0005
1.159999,2.9512,0.0156,0.0005
1.169999,2.9708,0.0159,0.0003
1.179999,2.9864,0.0161,0.0003
1.189999,3.0138,0.0164,0.0003
1.199999,3.0216,0.0166,0.0003
1.209999,3.0451,0.0167,0.0003
1.219999,3.0529,0.017,0.0001
1.229999,3.0686,0.0171,0.0003
1.239999,3.0764,0.0172,0.0001
1.249999,3.0842,0.0173,0.0001
1.259999,3.0998,0.0175,0.0001
1.269999,3.1077,0.0175,0.0001
1.279999,3.1311,0.0176,0.0001
1.289999,3.1468,0.0177,0.0001
1.299999,3.1585,0.0178,0.0001
1.309999,3.1976,0.018,0.0001
1.319999,3.2172,0.018,-0.0001
1.329999,3.2524,0.0181,-0.0001
1.339999,3.268,0.0182,-0.0001
1.349999,3.2915,0.0182,-0.0001
1.359999,3.3267,0.0182,0.0001
1.369999,3.3462,0.0184,0.0001
1.379999,3.3932,0.0184,0.0001
1.389999,3.4205,0.0187,0.0001
1.399999,3.4831,0.019,0.0001
1.409999,3.5144,0.0192,0.0003
1.419999,3.5496,0.0196,0.0003
1.429999,3.6239,0.02,0.0003
1.439999,3.663,0.0203,0.0005
1.449999,3.6943,0.0211,0.0005
1.459999,3.7569,0.0214,0.0005
1.469999,3.7804,0.0223,0.0005
1.479999,3.8312,0.0227,0.0005
1.489999,3.8586,0.023,0.0005
1.499999,3.8899,0.0238,0.0009
1.509999,3.9485,0.0243,0.0009
1.519999,3.9876,0.0248,0.0011
1.529999,4.0189,0.0256,0.0011
1.539999,4.0776,0.0128,0.0013
1.549999,4.1011,0.0186,0.0014
1.559999,4.1245,0.0243,0.0014
1.569999,4.1636,0.0243,0.0013
1.579999,4.1871,0.0251,0.0011
1.589999,4.2067,0.0256,0.0009
1.599999,4.2497,0.0261,0.0005
1.609999,3.3775,0.0271,0.0024
1.619999,3.7686,0.0275,-0.0009
1.629999,4.1597,0.0279,0.0022
1.639999,4.2027,0.0281,0.0018
1.649999,4.2106,0.0282,0.0014
1.659999,4.2145,0.0283,0.0007
