Depth,Qc,Fs,u
0.01,0.248,0.0000,0.0000
0.02,3.093,0.0003,0.0002
0.03,6.105,0.0025,-0.0002
0.04,11.539,0.0002,-0.0002
0.05,19.160,0.0002,-0.0002
0.06,24.176,0.0001,-0.0004
0.07,27.078,0.0001,-0.0004
0.08,26.671,0.0006,-0.0006
0.09,26.565,0.0040,-0.0002
0.10,29.976,0.0136,-0.0002
0.11,4.314,0.0174,0.0006
0.12,9.902,0.0221,0.0006
0.13,16.858,0.0235,-0.0002
0.14,12.387,0.0438,-0.0002
0.15,26.105,0.0632,0.0000
0.16,27.774,0.1012,0.0000
0.17,32.035,0.1160,0.0018
0.18,35.018,0.1236,0.0029
0.19,41.546,0.1345,0.0008
0.20,38.551,0.1850,0.0004
0.21,37.131,0.1850,-0.0002
0.22,37.924,0.2454,-0.0002
0.23,34.099,0.4380,-0.0002
0.24,35.438,0.4315,-0.0006
0.25,33.289,0.4057,-0.0002
0.26,29.707,0.4068,-0.0006
0.27,25.006,0.3867,-0.0006
0.28,22.011,0.4012,-0.0018
0.29,16.212,0.4101,-0.0004
0.30,16.171,0.3953,0.0002
0.31,15.396,0.3856,0.0000
0.32,15.055,0.3268,-0.0002
0.33,15.010,0.3039,-0.0006
0.34,14.417,0.2798,-0.0016
0.35,13.098,0.2717,-0.0008
0.36,11.076,0.2380,-0.0018
0.37,10.357,0.2250,-0.0006
0.38,8.636,0.2385,-0.0012
0.39,7.900,0.1588,-0.0002
0.40,7.179,0.1575,-0.0006
0.41,6.260,0.1526,0.0002
0.42,5.840,0.1486,0.0002
0.43,5.397,0.1481,0.0002
0.44,5.254,0.0209,0.0012
0.45,5.202,0.1166,0.0014
0.46,4.973,0.1156,0.0010
0.47,5.010,0.1097,0.0010
0.48,4.896,0.1080,0.0010
0.49,4.843,0.1048,0.0010
0.50,4.766,0.0982,0.0006
0.51,4.493,0.0949,0.0012
0.52,4.526,0.0924,0.0024
0.53,4.469,0.0906,0.0002
0.54,4.432,0.0893,0.0000
0.55,4.461,0.0857,0.0002
0.56,4.493,0.0831,0.0004
0.57,4.526,0.0813,0.0006
0.58,4.591,0.0790,0.0008
0.59,4.664,0.0760,0.0008
0.60,4.725,0.0724,0.0008
0.61,4.795,0.0705,0.0008
0.62,4.835,0.0702,0.0008
0.63,4.860,0.0701,0.0010
0.64,4.864,0.0689,0.0010
0.65,4.811,0.0675,0.0010
0.66,4.733,0.0664,0.0010
0.67,4.648,0.0652,0.0008
0.68,4.542,0.0650,0.0008
0.69,4.428,0.0646,0.0008
0.70,4.322,0.0639,0.0008
0.71,4.229,0.0633,0.0008
0.72,4.135,0.0628,0.0006
0.73,4.066,0.0622,0.0004
0.74,3.993,0.0619,0.0004
0.75,3.952,0.0617,0.0004
0.76,3.924,0.0609,0.0004
0.77,3.960,0.0600,0.0004
0.78,4.025,0.0590,0.0004
0.79,4.123,0.0580,0.0006
0.80,4.237,0.0565,0.0008
0.81,4.347,0.0551,0.0008
0.82,4.432,0.0546,0.0010
0.83,4.497,0.0550,0.0010
0.84,4.550,0.0558,0.0010
0.85,4.591,0.0572,0.0010
0.86,4.615,0.0581,0.0010
0.87,4.611,0.0591,0.0010
0.88,4.615,0.0601,0.0010
0.89,4.652,0.0611,0.0010
0.90,4.689,0.0621,0.0010
0.91,4.733,0.0629,0.0010
0.92,4.790,0.0631,0.0010
0.93,4.847,0.0632,0.0010
0.94,4.912,0.0629,0.0010
0.95,4.982,0.0628,0.0012
0.96,5.063,0.0631,0.0012
0.97,5.149,0.0632,0.0014
0.98,5.263,0.0634,0.0014
0.99,5.380,0.0639,0.0016
1.00,5.495,0.0643,0.0016
1.01,5.609,0.0649,0.0018
1.02,5.722,0.0656,0.0018
1.03,5.950,0.0660,0.0020
1.04,6.064,0.0664,0.0020
1.05,6.182,0.0668,0.0022
1.06,6.296,0.0672,0.0024
1.07,6.423,0.0675,0.0025
1.08,6.536,0.0682,0.0025
1.09,6.667,0.0693,0.0027
1.10,6.793,0.0714,0.0027
1.11,6.923,0.0724,0.0029
1.12,7.053,0.0735,0.0031
1.13,7.184,0.0748,0.0031
1.14,7.310,0.0762,0.0033
1.15,7.542,0.0776,0.0035
1.16,7.644,0.0791,0.0035
1.17,7.737,0.0806,0.0039
1.18,7.814,0.0820,0.0039
1.19,7.884,0.0836,0.0039
1.20,7.957,0.0848,0.0041
1.21,8.006,0.0871,0.0041
1.22,8.067,0.0881,0.0043
1.23,8.128,0.0889,0.0043
1.24,8.189,0.0898,0.0043
1.25,8.250,0.0906,0.0045
1.26,8.307,0.0912,0.0045
1.27,8.372,0.0922,0.0047
1.28,8.498,0.0931,0.0047
1.29,8.559,0.0942,0.0047
1.30,8.616,0.0952,0.0049
1.31,8.673,0.0962,0.0049
1.32,8.714,0.0970,0.0051
1.33,8.751,0.0981,0.0051
1.34,8.779,0.0991,0.0051
1.35,8.799,0.1006,0.0051
1.36,8.807,0.1013,0.0051
1.37,8.807,0.1019,0.0051
1.38,8.820,0.1025,0.0051
1.39,8.844,0.1030,0.0053
1.40,8.864,0.1038,0.0053
1.41,8.889,0.1044,0.0053
1.42,8.897,0.1051,0.0053
1.43,8.917,0.1058,0.0053
1.44,8.921,0.1065,0.0053
1.45,8.934,0.1070,0.0053
1.46,8.942,0.1071,0.0053
1.47,8.954,0.1072,0.0055
1.48,8.974,0.1075,0.0055
1.49,9.011,0.1081,0.0055
1.50,9.117,0.1086,0.0057
1.51,9.190,0.1091,0.0057
1.52,9.263,0.1095,0.0061
1.53,9.320,0.1100,0.0061
1.54,9.369,0.1108,0.0061
1.55,9.410,0.1117,0.0063
1.56,9.455,0.1136,0.0063
1.57,9.499,0.1143,0.0065
1.58,9.548,0.1154,0.0067
1.59,9.589,0.1165,0.0067
1.60,9.634,0.1175,0.0067
1.61,9.691,0.1185,0.0069
1.62,9.752,0.1137,0.0069
1.63,9.862,0.1003,0.0071
1.64,9.906,0.0980,0.0071
1.65,9.927,0.0983,0.0073
1.66,9.959,0.0988,0.0075
1.67,9.984,0.0995,0.0075
1.68,9.992,0.1002,0.0075
1.69,7.745,0.1009,0.0073
1.70,9.475,0.1013,0.0075
1.71,9.687,0.1020,0.0073
1.72,9.796,0.1024,0.0067
1.73,9.866,0.1027,0.0061
1.74,9.906,0.1026,0.0053
1.75,9.967,0.1023,0.0047
1.76,10.077,0.1014,0.0043
1.77,10.280,0.1007,0.0039
1.78,10.394,0.1004,0.0035
1.79,10.495,0.1002,0.0031
1.80,10.572,0.1005,0.0025
1.81,10.637,0.1009,0.0024
1.82,10.678,0.1019,0.0024
1.83,10.698,0.1020,0.0022
1.84,10.690,0.1017,0.0022
1.85,10.674,0.1015,0.0020
1.86,10.642,0.1017,0.0020
1.87,10.609,0.1019,0.0020
1.88,10.597,0.1023,0.0018
1.89,10.593,0.1025,0.0018
1.90,10.609,0.1026,0.0018
1.91,10.621,0.1031,0.0018
1.92,10.629,0.1035,0.0018
1.93,10.613,0.1039,0.0018
1.94,10.589,0.1038,0.0018
1.95,10.552,0.1037,0.0018
1.96,10.475,0.1030,0.0018
1.97,10.386,0.1025,0.0016
1.98,10.280,0.1018,0.0014
1.99,10.199,0.1012,0.0014
2.00,10.041,0.1007,0.0014
2.01,9.943,0.1002,0.0012
2.02,9.854,0.0998,0.0012
2.03,9.764,0.0992,0.0008
2.04,9.674,0.0986,0.0006
2.05,9.597,0.0977,0.0004
2.06,9.475,0.0968,0.0002
2.07,9.341,0.0949,-0.0002
2.08,9.219,0.0944,-0.0004
2.09,9.105,0.0941,-0.0006
2.10,8.999,0.0942,-0.0008
2.11,8.824,0.0943,-0.0008
2.12,8.718,0.0946,-0.0010
2.13,8.604,0.0954,-0.0012
