Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
0.0,0.2685,0.0,0.0,,,,,,
0.02,13.056,0.0,0.0001,,,,,,
0.04,35.0535,0.0,0.0002,,,,,,
0.06,34.1755,0.0178,-0.0016,119.76726142587641,99.13478001542211,120.68581914920954,102.17343313378821,48.05998966999147,79.86125158052135
0.08,20.1656,0.0415,-0.0007,271.44506463678687,110.8377669759407,134.93293370984085,140.69627828905783,51.76531210144186,95.5084720359643
0.1,18.4992,0.0213,-0.0002,198.13376164335284,106.48945810872463,129.63934030627345,132.31000705952448,51.46871844204609,92.60320879132163
0.12,20.761,0.0237,0.0002,181.70592152249176,109.81950919361891,133.69331554005782,134.94958639514167,55.541559889786036,98.41414705094498
0.14,20.5132,0.0377,-0.0002,224.10345636574107,117.34859098653875,142.85915424448197,152.676051544375,60.14652775215697,108.68348884163947
0.16,19.981,0.094,0.0003,438.0870776776685,136.4656845829451,166.13213775315057,207.90760370870063,67.08442006092677,126.57073422649846
0.18,17.9073,0.1644,-0.0003,790.7297763185998,151.07311538071298,183.9150969852158,269.9667072873801,71.47263039739417,140.114589164856
0.2,19.3483,0.1969,-0.0007,841.4554083667626,158.48796845166618,192.941874636811,283.75973023684423,75.54454699080847,147.39862906388734
0.22,21.3564,0.1767,-0.0001,668.704482769444,158.33037874967596,192.75002630395335,263.8720556498467,77.98013820936097,148.99508855067216
0.24,22.93,0.1347,-0.0001,477.3324472741276,152.9575452643468,186.2091855392048,233.83253687967817,78.91367020998852,147.10857107039166
0.26,25.2166,0.137,-0.0002,438.6906377408107,155.13101492993636,188.85514861035733,230.434988080374,81.91644207299086,150.5546475415017
0.28,26.7032,0.0262,-0.0002,152.26745100187188,122.14113719472392,148.69355832401175,151.0774020075775,73.49738363756438,123.7731585243596
0.3,27.4123,0.0136,-0.0004,143.33668110106657,121.35513347828486,147.73668423443374,149.16510229309336,71.22056419948423,115.6837311442337
0.32,26.7318,0.1406,-0.001,413.0069752001159,159.95661591505467,194.72979328789268,232.48022150476413,87.70500140673971,159.2798361693023
0.34,24.0391,0.2682,-0.0013,796.2554674698983,181.07073113839027,220.4339335597795,304.251087762965,92.67941024375338,175.7690302648574
0.36,20.5338,0.258,-0.0011,850.6916836241976,179.17574828033983,218.12699790650066,310.5622550998731,91.75504171549284,177.22587241857084
0.38,7.6,0.217,-0.0011,1499.3271897949542,156.46562127541614,190.47988677007186,359.997435635858,79.57212900754874,174.38245654955023
0.4,0.7705,0.2344,-0.0012,3899.8655607540045,98.95285027043391,120.46433945965869,403.5126917579966,58.42412846931271,175.44360383745564
0.42,2.3789,0.0825,-0.0012,1463.3361525143875,116.8388007424239,142.23854003425518,323.0245303444427,63.877068114955364,156.37453201065975
0.44,8.8409,0.0883,-0.0012,594.4771543300197,145.06209068779296,176.5973277938349,254.07240029801807,78.61544884946585,161.1878297587615
0.46,9.0146,0.0958,-0.0009,613.2001931808472,147.7047024640847,179.81442039105966,258.9914949421344,80.35818662309006,164.77131465804302
0.48,8.2419,0.0987,-0.0009,655.5896553791256,147.5182430012476,179.58742626238842,265.0456851842601,80.47095358264565,167.09121640035207
0.5,6.5466,0.0935,-0.0007,721.5281714555872,143.02547527855435,174.11796990432705,270.66458883975156,78.38178039717408,167.3567343694255
0.52,5.0797,0.0812,-0.0006,753.3409974816706,136.41229834369605,166.06714580971695,269.7980971630076,75.50932434179249,165.64338114533578
0.54,4.3469,0.0767,-0.0006,783.754892407989,132.99396155230076,161.90569232454004,270.9515171776915,74.26072296145546,165.80640511259395
0.56,3.6087,0.0773,-0.0005,870.057846081166,129.69940060877624,157.89492248024936,278.3924358529455,73.07881639386707,167.27808815326762
0.58,3.0667,0.0892,0.0096,1048.9118294452787,128.4056192296833,156.31988427961446,296.2218049231577,72.9477253579519,171.733822397497
0.6,2.9778,0.092,0.0137,1069.4484806877415,128.63527276832218,156.59946250056612,298.40977188935204,73.51555088934346,173.8726471687751
0.62,2.8765,0.0883,-0.0109,1039.0290457972537,127.91574524284347,155.72351594780943,294.70285478691653,73.56884224154513,174.34333154881634
0.64,3.2326,0.0836,-0.0465,913.2919526717446,130.55131561900484,158.93203640574504,283.8006359874617,75.13710541697967,174.65490605020267
0.66,3.4128,0.0807,-0.0578,846.3972745306465,131.85818762422625,160.52301102079718,277.41739965663425,76.15343563589121,175.28427263788885
0.68,2.5933,0.071,-0.0537,892.2102841071647,124.49435961814378,151.55835083947937,276.2640930531025,73.03054491571415,173.34471532880198
0.7,2.3139,0.0593,-0.0547,825.5731442390652,120.3380343585234,146.49847661037631,265.2945078651139,71.34839994189126,170.43658337279393
0.72,2.2441,0.0522,-0.0583,757.1349100773976,118.71953445782268,144.52812890517544,255.972741691314,70.8390920866361,168.79506871324855
0.74,2.1083,0.0414,-0.0599,662.2507196086711,115.39055038025887,140.47545263683688,241.5625408002217,69.39393840437741,164.84756052305383
0.76,2.0704,0.0302,-0.0631,541.4003467396522,112.34279897012269,136.7651465723233,222.90182515337798,67.92605481152071,159.2741508437932
0.78,2.0853,0.0188,-0.0658,406.8659124028529,108.62175528208083,132.23518034340273,199.42339347303266,65.84692435006761,150.7516441878356
0.8,2.1397,0.0156,-0.0669,360.4493383462695,107.90865044774333,131.36705271899189,190.87082075269683,65.5355572716781,148.11271103034605
0.82,2.2354,0.0156,-0.0627,348.6610268128676,109.02961532535993,132.73170561348164,189.52865429512138,66.40405049508877,149.0891664639347
0.84,2.3576,0.0147,-0.0622,326.68114840598525,109.84503262102362,133.72438753863747,186.0191805196935,67.03328473333337,148.90522844315365
0.86,2.3729,0.0132,-0.0622,306.45208442375593,109.42130273727197,133.2085424627659,181.784981188353,66.93546234961383,147.7200828169775
0.88,2.2825,0.0116,-0.062,291.22001079183934,108.04067246757236,131.52777517791418,177.71998450983912,66.27430348647982,146.0648274107235
0.9,2.202,0.0116,-0.0616,292.75608231220036,107.69149622578466,131.102691057477,177.70616516235583,66.3457254272076,146.85863829733316
0.92,2.1851,0.0151,-0.0627,328.25283865728477,109.90452529653642,133.79681340447914,186.07899679035404,68.15375603039183,152.8189342525987
0.94,2.0567,0.0163,-0.0625,346.42916452198955,109.68452714759067,133.52898957097995,189.1623603646901,68.39991373542733,155.11827123276723
0.96,2.0137,0.015,-0.0622,332.20918876857485,108.89412454450502,132.5667603150496,185.90299028806692,68.12084824496623,154.24667192952649
0.98,1.9296,0.0139,-0.0619,322.96684065384017,107.76572919348634,131.19306162685294,183.26726482655627,67.66376980222712,153.4773650720549
1.0,1.8863,0.0137,-0.0614,322.5435881968911,107.49330454472404,130.8614142283597,182.82704383644892,67.74130833277819,153.9476092292091
1.02,1.8488,0.0158,-0.0618,347.1298562443721,108.49737507415985,132.08376095984678,187.900647603563,68.7273121172972,157.59266712898264
1.04,1.7774,0.0192,-0.0579,388.2289438649609,109.5693049419834,133.38871905980588,195.65003561647583,69.8290540166909,162.38531805853492
1.06,1.6434,0.0215,-0.0473,424.72599146321414,109.15338948580282,132.8823872001078,201.09450377998434,70.06679919553319,165.49147981057462
1.08,1.5094,0.0218,-0.0383,442.09356019714585,107.73997509118627,131.16170880666155,202.52084460206737,69.65452609435314,166.47095151180469
1.1,1.4208,0.0205,-0.0383,437.12861823436964,106.25111171409125,129.34917947802415,200.41047067152283,69.05025782610245,165.83983252518084
1.12,1.3562,0.0188,-0.0416,424.0585464143918,104.88368493175463,127.68448600387522,197.13793478262548,68.44002403193251,164.67650121572953
