Depth,Qc,Fs,u
0,0.2844,0,0
0.02,13.7759,0,0.0032
0.04,32.2718,0,0.0042
0.06,24.5406,0,0.0016
0.08,15.4184,0,0.0005
0.1,17.8188,0.026,0.001
0.12,21.9528,0.0053,0.0047
0.14,23.187,0.0236,0.0011
0.16,23.4942,0.032,0.0006
0.18,23.6074,0.0446,0.0005
0.2,22.4574,0.0548,0.0014
0.22,21.839,0.0362,0.0009
0.24,22.7105,0.0421,0.0008
0.26,19.791,0.077,0.0007
0.28,18.5045,0.057,0.001
0.3,16.9634,0.0697,0.0007
0.32,17.6003,0.0399,0.0014
0.34,16.4873,0.0653,0.0006
0.36,15.8951,0.049,0.0006
0.38,14.5743,0.0471,0.0009
0.4,12.1131,0.0525,0.001
0.42,12.8965,0.0515,0.0012
0.44,10.9492,0.0464,0.0012
0.46,10.4287,0.035,0.0009
0.48,8.5184,0.0739,0.001
0.5,7.4962,0.0812,0.0006
0.52,5.7544,0.0846,0.0015
0.54,4.396,0.0859,0.0003
0.56,2.6717,0.0866,0.0012
0.58,1.6218,0.0835,0.01
0.6,1.4677,0.0737,0.0233
0.62,1.4928,0.0653,0.0268
0.64,1.4702,0.0464,0.0326
0.66,1.4236,0.0474,0.0315
0.68,1.3163,0.0458,0.033
0.7,1.27,0.0434,0.0289
0.72,1.2475,0.0426,0.029
0.74,1.2478,0.0422,0.0303
0.76,1.379,0.048,0.0222
0.78,1.5738,0.0514,-0.0301
0.8,1.5559,0.0548,-0.0311
0.82,1.6391,0.0581,-0.027
0.84,1.7951,0.0566,-0.0257
0.86,1.7567,0.0521,-0.0285
0.88,1.9079,0.0506,-0.0332
0.9,1.801,0.0441,-0.0377
0.92,1.6842,0.038,-0.0111
0.94,1.4994,0.0308,-0.0058
0.96,1.3787,0.0224,-0.0082
0.98,1.2547,0.0162,-0.0099
1,1.1386,0.0134,-0.0106
1.02,1.0046,0.0111,-0.0098
1.04,0.8205,0.0085,-0.0114
1.06,0.7207,0.006,-0.012
1.08,0.6242,0.0054,-0.0095
1.1,0.7035,0.0087,-0.0174
1.12,0.7174,0.0135,-0.0222
1.14,0.7048,0.025,-0.0171
1.16,0.8267,0.0372,-0.0173
1.18,0.9571,0.0371,-0.0195
1.2,1.1334,0.035,-0.0181
1.22,1.0787,0.0358,-0.0173
1.24,0.9602,0.0331,-0.0178
1.26,0.5395,0.0284,-0.0161
1.28,0.4134,0.0248,-0.0081
1.3,0.3672,0.0223,0.0007
1.32,0.3164,0.022,0.0034
1.34,0.312,0.0217,0.001
1.36,0.3114,0.0219,-0.0014
1.38,0.3039,0.0212,-0.0041
1.4,0.2952,0.0209,-0.0045
1.42,0.2784,0.0195,-0.0045
1.44,0.2639,0.018,-0.0047
1.46,0.2518,0.0161,-0.0041
1.48,0.2498,0.0151,-0.0034
1.5,0.2374,0.0138,-0.0025
1.52,0.2219,0.013,-0.0016
1.54,0.2106,0.0119,-0.0005
1.56,0.2468,0.0123,0.0005
1.58,0.2393,0.012,0.0013
1.6,0.2285,0.012,0.0023
1.62,0.2373,0.0121,0.0033
1.64,0.2833,0.0125,0.0052
1.66,0.2353,0.0119,0.0074
1.68,0.2376,0.0108,0.0087
1.7,0.2276,0.0083,0.0097
1.72,0.2284,0.007,0.0108
1.74,0.2262,0.0056,0.012
1.76,0.2247,0.0046,0.0131
1.78,0.2242,0.004,0.0142
1.8,0.2257,0.0036,0.0153
1.82,0.2283,0.0035,0.0163
1.84,0.2338,0.0037,0.0173
1.86,0.2366,0.004,0.0184
1.88,0.2353,0.0044,0.0193
1.9,0.233,0.0048,0.0202
1.92,0.2343,0.0051,0.0213
1.94,0.245,0.0054,0.0224
1.96,0.2494,0.0057,0.0235
1.98,0.2482,0.0064,0.0245
2,0.2445,0.0073,0.0257
2.02,0.2467,0.0085,0.0268
2.04,0.2554,0.0097,0.0277
2.06,0.2663,0.0109,0.0277
2.08,0.2675,0.011,0.027
2.1,0.2674,0.0112,0.0268
2.12,0.2583,0.0109,0.0274
2.14,0.2485,0.0102,0.0278
2.16,0.2357,0.0099,0.0295
2.18,0.2298,0.0097,0.0326
2.2,0.2286,0.0092,0.0358
2.22,0.2264,0.008,0.0372
2.24,0.2201,0.0074,0.0386
2.26,0.2154,0.0073,0.043
2.28,0.2107,0.0076,0.048
2.3,0.2059,0.0082,0.0514
2.32,0.2019,0.0096,0.0498
2.34,0.2045,0.0106,0.0475
2.36,0.2099,0.0118,0.0433
2.38,0.2131,0.013,0.0402
2.4,0.2175,0.0139,0.0373
2.42,0.2113,0.0145,0.0387
2.44,0.2136,0.0145,0.04
2.46,0.2156,0.0139,0.0405
2.48,0.2146,0.0134,0.0398
2.5,0.2167,0.0123,0.0378
2.52,0.2094,0.0117,0.0379
2.54,0.2062,0.0115,0.0371
2.56,0.2047,0.0112,0.0371
2.58,0.2067,0.0109,0.0385
2.6,0.2131,0.0106,0.0395
2.62,0.2256,0.0102,0.0408
2.64,0.2271,0.0101,0.0419
2.66,0.2227,0.0097,0.0426
2.68,0.2196,0.0097,0.0439
2.7,0.2186,0.0095,0.0449
2.72,0.2218,0.0097,0.0446
2.74,0.2213,0.0105,0.0469
2.76,0.2395,0.0106,0.0486
2.78,0.2567,0.0103,0.0508
2.8,0.2787,0.0095,0.0511
2.82,0.2829,0.0088,0.05
2.84,0.2841,0.0079,0.0522
2.86,0.2759,0.0075,0.0543
2.88,0.2695,0.0082,0.0552
2.9,0.2687,0.0097,0.056
2.92,0.2867,0.011,0.0568
2.94,0.3171,0.0134,0.0519
2.96,0.3505,0.0162,0.0466
2.98,0.3958,0.0181,0.0401
3,0.4132,0.0189,0.0363
3.02,0.4289,0.0197,0.032
3.04,0.427,0.0203,0.0286
3.06,0.4823,0.0221,0.0296
3.08,0.5525,0.0251,0.0304
3.1,0.5942,0.0258,0.0302
3.12,0.6355,0.0253,0.0286
3.14,0.588,0.0241,0.0246
3.16,0.5201,0.0216,0.0208
3.18,0.4465,0.018,0.0219
3.2,0.3859,0.0143,0.0252
3.22,0.3486,0.0114,0.0282
3.24,0.3169,0.0087,0.0316
3.26,0.3103,0.0061,0.0364
3.28,0.3401,0.0039,0.0585
3.3,0.3754,0.0049,0.0805
3.32,0.4412,0.0088,0.0817
3.34,0.562,0.0097,0.0816
3.36,0.6999,0.0098,0.0753
3.38,0.8682,0.0095,0.056
3.4,1.0039,0.0096,0.0399
3.42,1.0064,0.0078,0.0167
3.44,0.9013,0.0063,-0.0135
3.46,0.7439,0.005,-0.015
3.48,0.6005,0.0041,-0.0138
3.5,0.4938,0.0052,-0.0122
3.52,0.4518,0.0071,-0.0104
3.54,0.5079,0.0081,-0.0084
3.56,0.6932,0.0103,-0.0067
3.58,1.0964,0.0115,-0.0049
3.6,1.5883,0.0122,-0.0097
3.62,1.7723,0.0128,-0.0514
3.64,1.4375,0.0102,-0.0677
3.66,1.1076,0.0088,-0.0687
3.68,0.8781,0.0088,-0.0679
3.7,0.6884,0.0078,-0.0675
3.72,0.5483,0.006,-0.0671
3.74,0.4898,0.0039,-0.0665
3.76,0.4731,0.0012,-0.0662
3.78,0.4687,0.0017,-0.0657
3.8,0.4755,0.0022,-0.0653
3.82,0.5064,0.0026,-0.0649
3.84,0.5926,0.0031,-0.0643
3.86,0.769,0.0065,-0.0639
3.88,1.4604,0.0111,-0.0656
3.9,2.2791,0.0146,-0.0672
3.92,3.0979,0.0153,-0.0689
3.94,3.9166,0.0195,-0.0705
3.96,4.4382,0.0276,-0.0733
3.98,4.3229,0.0297,-0.0753
4,4.1685,0.0309,-0.0752
4.02,3.8294,0.0302,-0.0753
4.04,3.5343,0.0341,-0.0747
4.06,3.8975,0.0395,-0.0742
4.08,4.9351,0.0333,-0.0747
4.1,6.0875,0.0201,-0.076
4.12,6.4599,0.0089,-0.0788
4.14,6.1158,0.0104,-0.0818
4.16,5.6762,0.0198,-0.0827
4.18,5.2201,0.0185,-0.0822
4.2,4.9023,0.0164,-0.0814
4.22,4.5844,0.0142,-0.0806
4.24,4.6437,0.0121,-0.0802
4.26,5.387,0.0103,-0.0805
4.28,5.6794,0.009,-0.0712
4.3,5.6492,0.0078,-0.0606
4.32,5.6189,0.0069,-0.05
4.34,5.5886,0.0104,-0.0394
4.36,5.5228,0.0143,-0.0369
4.38,5.3801,0.0171,-0.0362
4.4,5.2204,0.0191,-0.0353
4.42,5.0475,0.0213,-0.0343
4.44,4.876,0.0229,-0.0331
4.46,4.7522,0.023,-0.0316
4.48,4.7438,0.0197,-0.03
4.5,4.8894,0.0177,-0.0282
4.52,5.0618,0.0165,-0.0266
4.54,5.1891,0.0161,-0.0259
4.56,5.174,0.0149,-0.0301
4.58,5.0782,0.0129,-0.0293
4.6,5.0571,0.0113,-0.0282
4.62,5.098,0.0104,-0.027
4.64,5.1779,0.0106,-0.0259
4.66,5.1842,0.0118,-0.0253
4.68,5.1666,0.0115,-0.0247
4.7,5.2146,0.011,-0.0237
4.72,5.3545,0.0122,-0.0227
4.74,5.442,0.0136,-0.0216
4.76,5.4673,0.0146,-0.0212
4.78,5.3997,0.0147,-0.0211
4.8,5.2935,0.0146,-0.0208
4.82,5.1793,0.015,-0.0202
4.84,5.0868,0.0159,-0.0193
4.86,5.0304,0.0169,-0.0181
4.88,5.0141,0.0164,-0.0168
4.9,4.9911,0.0159,-0.0157
4.92,4.9451,0.0159,-0.0144
4.94,4.9223,0.0163,-0.0128
4.96,4.9224,0.0172,-0.0093
4.98,4.9135,0.0183,0.0131
5,4.9068,0.0199,0.0354
5.02,4.9377,0.0234,0.0411
5.04,4.9941,0.0248,0.0304
5.06,4.9611,0.0246,0.0146
5.08,4.6959,0.0217,0.0136
5.1,4.202,0.0217,0.0166
5.12,3.6219,0.0186,0.022
5.14,3.2403,0.021,0.0304
5.16,3.4822,0.016,0.0464
5.18,4.8827,0.012,0.0552
5.2,6.2,0.012,-0.0211
5.22,6.3694,0.013,-0.0457
5.24,6.3604,0.014,-0.0436
5.26,6.3976,0.017,-0.0454
5.28,6.4084,0.021,0.0137
5.3,6.5843,0.022,0.0196
