Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
0.0,0.2844,0.0,0.0,,,,,,
0.02,13.7759,0.0,0.0032,,,,,,
0.04,32.2718,0.0,0.0042,,,,,,
0.06,24.5406,0.0,0.0016,,,,,,
0.08,15.4184,0.0,0.0005,,,,,,
0.1,17.8188,0.026,0.001,239.3840451912081,108.24334589668045,131.77450804813273,130.02730741745992,52.045970133166314,95.00857213169364
0.12,21.9528,0.0053,0.0047,213.07710949833339,113.18891310137815,137.7951985581995,125.31031803651035,49.44468963713971,81.03553414635367
0.14,23.187,0.0236,0.0011,167.87717527706778,111.731195685832,136.02058605231724,124.28375823344338,58.882783279391326,102.35557882400401
0.16,23.4942,0.032,0.0006,184.6596399940327,116.65443921738276,142.01409991681382,136.58082464944334,62.79267167754306,110.15817114031601
0.18,23.6074,0.0446,0.0005,216.9733535554141,123.20430945273071,149.98785498593307,151.84191622498633,66.74170661381747,118.499846344124
0.2,22.4574,0.0548,0.0014,256.026187919017,128.7595014032563,156.75069736048596,166.85923299215276,69.40946748708086,124.95737030794469
0.22,21.839,0.0362,0.0009,201.94846260907806,123.33335605878845,150.14495520200333,154.0537676413615,68.58571261684838,121.26490480184054
0.24,22.7105,0.0421,0.0008,209.94885411862137,126.8841852030039,154.46770372539603,160.0969507620301,71.55312508966607,126.45789536007331
0.26,19.791,0.077,0.0007,350.2477368137382,140.34298332578285,170.85232752704002,199.2907914487253,75.41374329869392,139.43945221402518
0.28,18.5045,0.057,0.001,293.48916019528326,135.2783411093909,164.68667613317155,186.66739143597738,74.36238457583949,136.56277116372814
0.3,16.9634,0.0697,0.0007,358.32717637303045,140.30758038188412,170.80922829098938,203.80342720669398,76.11946205699839,142.55750618966803
0.32,17.6003,0.0399,0.0014,238.938398338111,131.04996041098553,159.53908223946064,174.7338558111226,74.38496405383194,134.80500749268035
0.34,16.4873,0.0653,0.0006,339.29236550136307,141.0374365003213,171.69774878299984,202.8758862406244,78.06858176328383,145.87119527087484
0.36,15.8951,0.049,0.0006,284.5830857338807,136.3499157037009,165.9912017262446,189.78187080290866,77.04387234022688,142.5342144898831
0.38,14.5743,0.0471,0.0009,292.4286888840104,136.20813185775597,165.81859530509422,192.0261497013207,76.98658007287554,143.66410522056105
0.4,12.1131,0.0525,0.001,353.74023644568456,137.7767243830291,167.72818620542674,205.758433092715,76.72775413685844,147.4068724794282
0.42,12.8965,0.0515,0.0012,329.4899953262905,138.76256244599927,168.92833689078174,202.38328547248253,78.35542560954987,148.9341384408781
0.44,10.9492,0.0464,0.0012,341.28004713478225,136.3932143093617,166.04391307226643,203.56823549659757,76.8581140372285,148.4882365915975
0.46,10.4287,0.035,0.0009,294.4914665653404,132.28358113717556,161.04088138438766,191.93955637130983,75.48267681763822,144.7108971156582
0.48,8.5184,0.0739,0.001,542.0708701116008,142.82305466847066,173.8715448137904,242.89649331557112,78.93542136726042,160.96157571558672
0.5,7.4962,0.0812,0.0006,623.8757680048784,143.1061606756934,174.21619560519196,255.38279516424166,78.99539270498397,164.4808247280951
0.52,5.7544,0.0846,0.0015,756.8477112842429,139.54612016972166,169.88223325009596,270.6325877795505,77.13979839150007,166.68278526442583
0.54,4.396,0.0859,0.0003,899.5630122446636,134.83848037139063,164.151193495606,284.05978105485156,75.08358961393697,168.2802369270375
0.56,2.6717,0.0866,0.0012,1232.6783856543284,124.32282252618167,151.34952307535158,308.75307246684946,70.6456632768122,169.38965407607228
0.58,1.6218,0.0835,0.01,1617.6235666831421,112.73325865986847,137.24048880331816,329.30054734306754,66.18969704886106,169.4650950671026
0.6,1.4677,0.0737,0.0233,1521.3972289484211,109.61805976995974,133.44807276342925,318.78812977237527,65.18376513058668,168.04899174816742
0.62,1.4928,0.0653,0.0268,1337.2984732164127,109.31156169900619,133.074944677051,303.74294999398944,65.28249451669085,166.8250172591369
0.64,1.4702,0.0464,0.0326,1030.5251396869799,106.28945176776895,129.3958543259796,273.59702769953765,63.8791387912997,160.84560989080126
0.66,1.4236,0.0474,0.0315,1040.9404980601855,106.18739792872883,129.27161486975683,274.3773225508005,64.24339868531635,162.51394264332743
0.68,1.3163,0.0458,0.033,1039.8592176585237,104.56551811319335,127.2971524856267,272.63092484594847,63.869606182421805,162.9221935062946
0.7,1.27,0.0434,0.0289,1000.6538758139118,103.73758086893389,126.28922888391953,267.98009262762776,63.76971286511267,162.93386959529195
0.72,1.2475,0.0426,0.029,976.0285985069258,103.55782203120184,126.07039203798486,265.2794404269079,64.00694417427108,163.68120929331775
0.74,1.2478,0.0422,0.0303,948.4353974949219,103.82878262913533,126.40025711372998,262.6693287435345,64.44809012059116,164.61805723398402
0.76,1.379,0.048,0.0222,958.1406017472073,107.5227584758033,130.89727118793448,266.8780175269061,66.5770087390227,168.6551979521769
0.78,1.5738,0.0514,-0.0301,919.0915455206584,111.74251001770446,136.03436002155328,266.6229356734164,68.73703509472273,171.45190778088852
0.8,1.5559,0.0548,-0.0311,947.6556613779735,112.44756771430987,136.8926911304642,270.01094730154233,69.47698885493044,173.98173568513764
0.82,1.6391,0.0581,-0.027,939.2890299253636,114.51786270555318,139.41305025023865,270.88088582738425,70.82521112606024,176.4759943533036
0.84,1.7951,0.0566,-0.0257,861.332438556978,116.67450305567839,142.03852545908674,264.52526172447955,72.08418514788487,177.07155730357613
0.86,1.7567,0.0521,-0.0285,810.2924106123643,115.70753534630066,140.86134737810517,257.9914211321666,71.83603908555035,176.1925454504783
0.88,1.9079,0.0506,-0.0332,748.0238487940223,117.6300190383704,143.2017623075814,252.4361175340064,72.9841419135821,176.65647087874507
0.9,1.801,0.0441,-0.0377,694.427914449201,115.31662993085698,140.38546252452153,244.00039455572013,72.007812560266,174.44194823748714
0.92,1.6842,0.038,-0.0111,642.260135787501,112.59634582726711,137.07381231145564,235.16535891184014,70.87181662965666,171.96705599877194
0.94,1.4994,0.0308,-0.0058,589.3580301923914,108.47627083363551,132.05806884094758,224.82310748624593,68.90158250289565,168.10262107594212
0.96,1.3787,0.0224,-0.0082,502.6208721713281,104.38656232899234,127.07929327007764,209.5024011747915,66.68734986042307,162.0461421109495
0.98,1.2547,0.0162,-0.0099,434.18501721234816,100.33194446021488,122.14323673417465,195.99902058015712,64.41072144289902,156.06520950118903
1.0,1.1386,0.0134,-0.0106,409.1113874995978,97.38246980359183,118.55257193480745,189.57069743088647,62.876009532304984,152.93275984127456
1.02,1.0046,0.0111,-0.0098,391.4831783715619,94.01212935169538,114.449548775977,183.91109800459984,61.130436241286716,149.84502743939015
