Depth,Qc,Fs,u
0.01,-9999,-9999,-9999
0.02,-9999,-9999,-9999
0.03,-9999,-9999,-9999
0.04,-9999,-9999,-9999
0.05,-9999,-9999,-9999
0.06,-9999,-9999,-9999
0.07,-9999,-9999,-9999
0.08,-9999,-9999,-9999
0.09,-9999,-9999,-9999
0.1,-9999,-9999,-9999
0.11,-9999,-9999,-9999
0.12,-9999,-9999,-9999
0.13,-9999,-9999,-9999
0.14,-9999,-9999,-9999
0.15,-9999,-9999,-9999
0.16,-9999,-9999,-9999
0.17,-9999,-9999,-9999
0.18,-9999,-9999,-9999
0.19,-9999,-9999,-9999
0.2,-9999,-9999,-9999
0.21,-9999,-9999,-9999
0.22,-9999,-9999,-9999
0.23,-9999,-9999,-9999
0.24,-9999,-9999,-9999
0.25,-9999,-9999,-9999
0.26,-9999,-9999,-9999
0.27,-9999,-9999,-9999
0.28,-9999,-9999,-9999
0.29,-9999,-9999,-9999
0.3,-9999,-9999,-9999
0.31,-9999,-9999,-9999
0.32,-9999,-9999,-9999
0.33,-9999,-9999,-9999
0.34,-9999,-9999,-9999
0.35,-9999,-9999,-9999
0.36,-9999,-9999,-9999
0.37,-9999,-9999,-9999
0.38,-9999,-9999,-9999
0.39,-9999,-9999,-9999
0.4,-9999,-9999,-9999
0.41,-9999,-9999,-9999
0.42,-9999,-9999,-9999
0.43,-9999,-9999,-9999
0.44,-9999,-9999,-9999
0.45,-9999,-9999,-9999
0.46,-9999,-9999,-9999
0.47,-9999,-9999,-9999
0.48,-9999,-9999,-9999
0.49,-9999,-9999,-9999
0.5,-9999,-9999,-9999
0.51,-9999,-9999,-9999
0.52,-9999,-9999,-9999
0.53,-9999,-9999,-9999
0.54,-9999,-9999,-9999
0.55,-9999,-9999,-9999
0.56,-9999,-9999,-9999
0.57,-9999,-9999,-9999
0.58,-9999,-9999,-9999
0.59,-9999,-9999,-9999
0.6,16.472,0.12,0.0032
0.61,18.223,0.112,0.0013
0.62,18.699,0.095,0.0039
0.63,19.65,0.086,0.0022
0.64,20.114,0.074,0.0017
0.65,20.258,0.039,0.0055
0.66,21.082,0.041,0.0049
0.67,20.355,0.0445,0.0062
0.68,20.604,0.048,0.0029
0.69,19.962,0.0515,0.0004
0.7,19.726,0.055,-0.002
0.71,19.652,0.081,0.0025
0.72,19.88,0.082,-0.0027
0.73,20.458,0.072,-0.003
0.74,22.536,0.072,-0.0016
0.75,20.4752,0.08,-0.0007
0.76,18.4145,0.094,0.0002
0.77,16.3537,0.125,0.0012
0.78,14.293,0.139,0.0022
0.79,20.178,0.171,0.0056
0.8,23.315,0.22,0.0065
0.81,21.997,0.264,0.0027
0.82,21.67,0.311,0.0014
0.83,21.227,0.345,0.0004
0.84,21.386,0.346,0.0006
0.85,22.215,0.357,0.0012
0.86,23.491,0.367,0.0023
0.87,23.929,0.386,0.0051
0.88,23.92,0.391,0.0101
0.89,23.3,0.397,0.0079
0.9,23.466,0.408,0.0065
0.91,23.53,0.421,0.002
0.92,23.658,0.432,0
0.93,23.706,0.4035,-0.0053
0.94,23.495,0.375,-0.0059
0.95,23.412,0.3465,-0.0017
0.96,23.261,0.318,-0.0007
0.97,23.2,0.287,-0.001
0.98,22.971,0.265,-0.001
0.99,22.597,0.248,-0.0006
1,22.052,0.229,0.0012
1.01,21.3887,0.205,0.0004
1.02,20.7255,0.2,-0.0002
1.03,20.0622,0.191,-0.001
1.04,19.399,0.177,-0.0017
1.05,19.283,0.161,-0.0018
1.06,19.025,0.146,-0.0019
1.07,18.685,0.135,-0.002
1.08,18.27,0.133,-0.0019
1.09,17.596,0.134,-0.0019
1.1,17.176,0.134,-0.0022
1.11,16.735,0.132,-0.0021
1.12,16.287,0.13,-0.0022
1.13,15.863,0.128,-0.0022
1.14,15.422,0.121,-0.0023
1.15,14.767,0.113,-0.0024
1.16,14.356,0.106,-0.0024
1.17,13.934,0.099,-0.0024
1.18,13.497,0.091,-0.0025
1.19,13.074,0.083,-0.0025
1.2,12.674,0.075,-0.0026
1.21,12.3,0.073,-0.0025
1.22,11.758,0.07,-0.0025
1.23,11.419,0.068,-0.0025
1.24,11.054,0.064,-0.0024
1.25,10.686,0.061,-0.0024
1.26,10.342,0.058,-0.0024
1.27,9.999,0.053,-0.0023
1.28,9.512,0.05,-0.0016
1.29,9.193,0.048,-0.0015
1.3,8.887,0.046,-0.0015
1.31,8.583,0.043,-0.0013
1.32,8.305,0.04,-0.0013
1.33,8.041,0.037,-0.0011
1.34,7.779,0.034,-0.0009
1.35,7.418,0.033,-0.0009
1.36,7.192,0.031,-0.0007
1.37,6.981,0.03,-0.0006
1.38,6.796,0.03,-0.0004
1.39,6.616,0.03,-0.0004
1.4,6.433,0.03,-0.0002
1.41,6.177,0.03,-0.0001
1.42,6.024,0.029,0
1.43,5.867,0.028,0
1.44,5.715,0.027,0
1.45,5.577,0.026,0
1.46,5.436,0.025,0.0001
1.47,5.226,0.025,0.0002
1.48,5.084,0.025,0.0003
1.49,4.948,0.025,0.0003
1.5,4.7675,0.024,-0.0003
1.51,4.587,0.024,-0.0011
1.52,4.4065,0.023,-0.0019
1.53,4.226,0.023,-0.0026
1.54,4.121,0.022,-0.0027
1.55,4.04,0.021,-0.0028
1.56,3.96,0.021,-0.0028
1.57,3.892,0.02,-0.0029
1.58,3.828,0.02,-0.0029
1.59,3.775,0.019,-0.0029
1.6,3.736,0.018,-0.003
1.61,3.705,0.017,-0.003
1.62,3.673,0.016,-0.0032
1.63,3.651,0.016,-0.0032
1.64,3.628,0.016,-0.0033
1.65,3.607,0.016,-0.0033
1.66,3.59,0.016,-0.0034
1.67,3.574,0.016,-0.0034
1.68,3.556,0.016,-0.0034
1.69,3.555,0.016,-0.0035
1.7,3.553,0.016,-0.0035
1.71,3.56,0.016,-0.0036
1.72,3.581,0.015,-0.0036
1.73,3.606,0.015,-0.0036
1.74,3.637,0.016,-0.0036
1.75,3.707,0.016,-0.0036
1.76,3.764,0.017,-0.0036
1.77,3.82,0.018,-0.0036
1.78,3.874,0.018,-0.0037
1.79,3.921,0.021,-0.0036
1.8,3.952,0.02,-0.0036
1.81,3.967,0.018,-0.0036
1.82,3.973,0.016,-0.0037
1.83,3.966,0.017,-0.0037
1.84,3.965,0.018,-0.0036
1.85,3.953,0.019,-0.0036
1.86,3.939,0.02,-0.0037
1.87,3.932,0.02,-0.0037
1.88,3.92,0.021,-0.0036
1.89,3.909,0.022,-0.0036
1.9,3.853,0.023,-0.0036
1.91,3.787,0.024,-0.0037
1.92,3.771,0.0225,-0.0036
1.93,3.764,0.021,-0.0037
1.94,3.727,0.0195,-0.0036
1.95,3.572,0.018,-0.0036
1.96,3.583,0.018,-0.0036
1.97,3.641,0.019,-0.0034
1.98,3.674,0.02,-0.003
1.99,3.692,0.021,-0.0025
