File Name, max_depth of CPT, Vsz_Hegazy 2006, Vs30_Boore 2004, Vsz_Andrus 2007-H, Vs30_Boore 2004, Vsz_Andrus 2007-P, Vs30_Boore 2004, Vsz_Robertson 2009, Vs30_Boore 2004, Vsz_McGann 2015, Vs30_Boore 2004,Vsz_McGann 2018, Vs30_Boore 2004
SCPT_195941_Raw01, 20.00, 98.52, 109.12, 101.59, 112.56, 123.68, 137.28, 104.05, 115.30, 94.25, 104.35, 245.77, 274.59
SCPT_140254_Raw01, 23.00, 162.43, 174.65, 163.94, 176.27, 199.57, 214.77, 174.74, 187.94, 137.60, 147.84, 289.79, 312.34
SCPT_114322_Raw01, 20.00, 165.52, 184.23, 173.57, 193.28, 211.30, 235.74, 180.10, 200.62, 143.32, 159.31, 277.12, 309.96
SCPT_14538_Raw02, 20.00, 250.49, 279.91, 179.40, 199.83, 218.39, 243.73, 202.26, 225.55, 143.62, 159.64, 305.66, 342.20
SCPT_57279_Raw01, 20.00, 235.31, 262.79, 165.31, 184.00, 201.25, 224.42, 205.64, 229.36, 143.01, 158.96, 299.49, 335.24
SCPT_57280_Modified, 18.00, 234.14, 268.21, 159.71, 181.94, 194.43, 222.13, 208.08, 237.96, 134.57, 152.93, 276.46, 317.44
SCPT_57339_Raw01, 17.00, 225.78, 261.80, 147.88, 170.10, 180.03, 207.85, 187.12, 216.20, 119.76, 137.20, 267.47, 311.14
SCPT_188664_Raw01, 10.00, 253.10, 327.74, 132.52, 168.38, 161.32, 206.17, 181.17, 232.32, 101.08, 127.43, 242.93, 314.20
SCPT_200163_Raw01, 10.00, 313.06, 407.90, 161.11, 205.89, 196.14, 252.10, 225.62, 291.17, 118.69, 150.33, 234.40, 302.84
SCPT_154775_Raw01,N,N,N,N,N,N,N,N,N,N,N,N,N
SCPT_14529_Raw03, 14.00, 286.57, 348.74, 165.21, 197.79, 201.12, 242.20, 210.36, 253.66, 125.01, 148.43, 268.36, 325.96
SCPT_116073_Raw01,N,N,N,N,N,N,N,N,N,N,N,N,N
CPT_170525_Raw01,N,N,N,N,N,N,N,N,N,N,N,N,N
SCPT_94658_Raw01, 19.00, 173.20, 195.14, 130.32, 146.34, 158.65, 178.57, 164.71, 185.47, 104.80, 117.39, 238.09, 269.25
SCPT_126232_Raw01, 25.00, 108.74, 114.03, 123.06, 129.12, 149.81, 157.33, 125.83, 132.04, 106.39, 111.56, 239.39, 251.94
SCPT_195934_Raw01,N,N,N,N,N,N,N,N,N,N,N,N,N
SCPT_57349_Raw01, 20.00, 293.18, 328.11, 204.03, 227.55, 248.39, 277.54, 242.76, 271.19, 161.23, 179.41, 316.62, 354.59
SCPT_57350_Raw01, 20.00, 298.13, 333.70, 216.55, 241.64, 263.62, 294.73, 254.06, 283.94, 170.99, 190.38, 324.99, 364.06
SCPT_192473_Raw01, 26.00, 281.50, 293.14, 189.42, 196.90, 230.60, 239.91, 217.08, 225.79, 155.79, 161.80, 344.31, 358.86
SCPT_188665_Raw01, 10.00, 284.91, 370.21, 125.11, 158.71, 152.31, 194.32, 181.97, 233.37, 98.45, 124.02, 233.75, 301.98
SCPT_163485_Raw01, 12.00, 236.25, 294.77, 177.28, 218.97, 215.82, 268.42, 208.39, 258.87, 140.48, 172.09, 269.52, 337.85
SCPT_57345_Raw01, 20.00, 145.46, 161.71, 150.43, 167.29, 183.14, 204.04, 158.18, 175.99, 128.83, 143.05, 275.68, 308.34
SCPT_129759_Raw01, 14.00, 173.29, 207.77, 146.05, 174.21, 177.80, 213.33, 175.47, 210.45, 113.81, 134.76, 233.72, 282.72
SCPT_57365_Raw01, 20.00, 206.17, 229.96, 179.57, 200.02, 218.60, 243.96, 195.97, 218.47, 146.39, 162.76, 308.88, 345.84
SCPT_140262_Raw01, 15.00, 204.33, 242.60, 153.55, 180.94, 186.92, 221.42, 182.92, 216.55, 120.99, 141.69, 260.90, 311.76
SCPT_14557_Raw03,N,N,N,N,N,N,N,N,N,N,N,N,N
SCPT_148998_Raw01, 24.00, 101.09, 107.20, 154.91, 164.59, 188.59, 200.54, 142.40, 151.24, 137.10, 145.59, 272.31, 290.01
SCPT_156298_Raw01, 24.00, 148.95, 158.23, 159.48, 169.46, 194.15, 206.47, 171.11, 181.87, 131.68, 139.81, 269.85, 287.39
SCPT_129760_Raw01, 14.00, 187.05, 224.77, 156.63, 187.23, 190.68, 229.27, 186.85, 224.52, 122.77, 145.69, 244.96, 296.72
SCPT_14526_Raw03, 23.00, 182.35, 196.16, 176.58, 189.92, 214.96, 231.40, 180.85, 194.53, 145.47, 156.34, 300.58, 324.02
SCPT_205817_Raw01, 27.00, 196.53, 202.22, 167.10, 171.82, 203.43, 209.34, 187.20, 192.57, 143.99, 147.96, 325.17, 335.30
SCPT_195933_Raw01, 10.00, 269.06, 349.03, 125.56, 159.29, 152.85, 195.04, 177.94, 228.06, 95.69, 120.45, 231.56, 299.07
SCPT_156308_Raw01, 19.00, 237.99, 269.14, 199.28, 224.90, 242.61, 274.42, 231.69, 261.94, 161.09, 181.35, 304.87, 345.78
SCPT_36413_Raw01, 29.00, 279.42, 282.08, 221.18, 223.20, 269.26, 271.80, 256.43, 258.83, 183.66, 185.29, 356.99, 360.51
SCPT_156307_Raw01, 19.00, 242.31, 274.09, 202.27, 228.31, 246.25, 278.59, 233.30, 263.78, 163.71, 184.33, 306.34, 347.46
SCPT_156300_Raw01, 23.00, 170.50, 183.36, 143.41, 154.12, 174.59, 187.78, 170.51, 183.37, 113.59, 121.94, 248.60, 267.78
CPT_170533_Raw01, 13.00, 231.69, 284.64, 117.29, 141.01, 142.79, 172.75, 163.40, 198.53, 94.29, 112.57, 231.49, 284.39
SCPT_140251_Raw01, 20.00, 291.69, 326.42, 159.66, 177.65, 194.37, 216.67, 205.48, 229.18, 123.57, 137.16, 280.21, 313.45
SCPT_140263_Raw01, 21.00, 235.78, 259.95, 162.50, 178.68, 197.82, 217.83, 185.77, 204.47, 135.80, 149.13, 311.27, 343.87
SCPT_171664_Raw01, 12.00, 403.13, 512.54, 135.95, 166.36, 165.51, 203.94, 231.57, 288.73, 115.07, 139.98, 268.13, 336.04
SCPT_140253_Raw01, 17.00, 230.41, 267.27, 174.74, 201.63, 212.72, 246.38, 212.31, 245.89, 138.20, 158.76, 281.58, 327.88
SCPT_14651_Raw02, 23.00, 185.02, 199.04, 158.29, 170.18, 192.71, 207.35, 173.27, 186.35, 132.84, 142.71, 294.86, 317.83
SCPT_57280_Raw01,N,N,N,N,N,N,N,N,N,N,N,N,N
SCPT_165739_Raw01, 26.00, 109.58, 113.63, 143.69, 149.18, 174.93, 181.77, 131.48, 136.44, 130.25, 135.16, 284.61, 296.39
