d,vs
0.5,68
1,75
1.5,82
2,92
2.5,96
3,111
3.5,134
4,155.333333333333
4.5,159.333333333333
5,155
5.5,152
6,169.666666666667
6.5,156.333333333333
7,164
7.5,169
8,170.666666666667
8.5,164.666666666667
9,181.333333333333
9.5,198
10,181
10.5,181
11,169.666666666667
11.5,185.666666666667
12,174.666666666667
12.5,191.333333333333
13,174.333333333333
13.5,183.333333333333
14,204
14.5,209.333333333333
15,207.333333333333
15.5,216
16,189
16.5,220.666666666667
17,225.333333333333
17.5,229
18,205.333333333333
18.5,195.333333333333
19,218
19.5,187
20,207
