d,vs
0.0,30.0
0.1,30.0
0.5,118.0
1.0,82.0
1.1,82.0
1.5,86.0
2.0,81.0
2.1,81.0
2.5,97.0
3.0,124.0
3.1,124.0
3.5,186.0
4.0,244.0
4.1,244.0
4.5,129.0
5.0,189.0
5.1,189.0
5.5,157.0
6.0,308.0
6.1,308.0
6.5,232.0
7.0,276.0
7.1,276.0
7.5,293.0
8.0,379.0
8.1,379.0
8.5,262.0
9.0,278.0
9.1,278.0
9.5,307.0
10.0,311.0
10.1,311.0
10.5,315.0
11.0,266.0
11.1,266.0
11.5,277.0
12.0,354.0
12.1,354.0
12.5,226.0
13.0,253.0
13.1,253.0
13.5,320.0
14.0,294.0
14.1,294.0
14.5,281.0
15.0,275.0
15.1,275.0
15.5,280.0
16.0,289.0
16.1,289.0
16.5,252.0
17.0,290.0
17.1,290.0
17.5,274.0
18.0,244.0
18.1,244.0
18.5,257.0
19.0,273.0
19.1,273.0
19.5,313.0
20.0,265.0
20.1,265.0
20.5,274.0
21.0,330.0
21.1,330.0
21.5,274.0
22.0,323.0
22.1,323.0
22.5,289.0
23.0,314.0
23.1,314.0
23.5,311.0
24.0,361.0
24.1,361.0
24.5,289.0
25.0,293.0
25.1,293.0
25.5,332.0
26.0,281.0
26.1,281.0
26.5,357.0
27.0,377.0
27.1,377.0
27.5,305.0
28.0,326.0
28.1,326.0
28.5,331.0
29.0,331.0
