Depth,Qc,Fc,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
0.0,0.1625,0.0,0.0004,,,,,,
0.01,0.2977,0.0,0.0006,,,,,,
0.02,0.3015,0.0,0.0048,,,,,,
0.03,0.0274,0.0008,0.0917,1630.9160961747018,14.30417560993899,17.413779003403988,147.57842086771564,10.976151221192676,42.47295576455444
0.04,0.0274,0.0016,0.0457,,,,,,
0.05,0.0178,0.0033,0.0228,6004.653201356921,19.644730257136878,23.91532379129707,246.86154975443532,13.372993131768052,57.92407226807154
0.06,0.0159,0.0066,0.0114,,,,,,
0.07,0.0152,0.0064,0.0058,5648.695527814168,21.924561945971185,26.690771064660574,245.79256258967828,15.165386834028926,68.66233979178072
0.08,0.0155,0.0062,0.003,,,,,,
0.09,0.0158,0.0057,0.0016,4112.133706922382,23.29577292425804,28.360071386053267,223.76373138585157,16.197257038419153,72.09695188055318
0.1,0.0158,0.0029,0.0012,,,,,,
0.11,0.0274,0.0016,0.0008,2055.9758377790426,26.632682082055304,32.42239557815429,191.19487785293774,16.684109406850496,64.5664720077967
0.12,0.0429,0.0009,0.0008,,,,,,
0.13,0.0544,0.0002,0.0004,1084.8163064931646,30.758480463971487,37.44510665179138,169.37652074033608,16.23326230110062,51.66123151998953
0.14,0.0467,0.0002,0.0004,,,,,,
0.15,0.0474,0.0002,0.0004,951.6336919064084,30.152210068085058,36.70703834375572,158.6759542601649,16.56032149996217,53.51130015907385
0.16,0.0482,0.0001,0.0004,,,,,,
0.17,0.0506,0.0001,0.0004,794.2041053216441,30.789407713278905,37.48275721616563,150.49471925193274,16.3410627455729,50.49798469180141
0.18,0.0506,0.0,0.0004,,,,,,
0.19,0.0969,0.0001,0.0002,817.5911440391721,37.36019554044547,45.48197717967275,167.77965135622745,18.507252404361083,52.18950916552435
0.2,0.1201,0.0001,-0.0001,,,,,,
0.21,0.0622,0.0001,-0.0003,700.1177969024665,33.50010318179626,40.78273430827371,148.84892881574402,17.852564151307103,53.35256281819458
0.22,0.0564,0.0001,-0.0003,,,,,,
0.23,0.0554,0.0002,-0.0002,695.4739950154838,33.20611325287234,40.4248335252359,146.06924530992072,19.0734413030704,59.691538087696344
0.24,0.0544,0.0002,-0.0001,,,,,,
0.25,0.0544,0.0002,0.0004,645.8792943284811,33.356498989814725,40.607911813687494,141.96617297421466,19.469593164262577,60.9559225954737
0.26,0.039,0.0002,0.0,,,,,,
0.27,0.0313,0.0002,0.0,563.5036972936101,28.94831780725442,35.24143037404886,124.24608442137783,18.368801612383702,61.90072209769298
0.28,0.0293,0.0002,0.0,,,,,,
0.29,0.0316,0.0001,0.0002,474.52881951382625,28.848761953170783,35.12023194299052,117.07422865103278,17.714112819159542,57.60287146948918
0.3,0.0338,0.0002,0.0006,,,,,,
0.31,0.0392,0.0002,0.0006,517.8937371589647,31.30024777719603,38.10464946789082,124.94500509920849,19.716737623282,64.20938056969834
0.32,0.0506,0.0002,0.0005,,,,,,
0.33,0.0506,0.0012,0.0004,769.9015948535396,35.7368810311228,43.505768211801666,149.75230543217214,24.150960974171927,82.49888102119525
0.34,0.0544,0.0023,0.0004,,,,,,
0.35,0.0757,0.0044,0.0,1131.1700441553867,42.35624265163975,51.564121488952736,182.76795001952084,28.977780481073896,99.44046078934066
0.36,0.0969,0.0055,-0.0001,,,,,,
0.37,0.1548,0.0065,-0.0001,1214.2030224077532,52.2843573338511,63.650521971644814,208.91751148430848,33.69587423877748,106.65907993418953
0.38,0.3787,0.007,0.0,,,,,,
0.39,0.4058,0.0075,0.0001,1167.2044450254689,66.8986053543734,81.4417804314111,237.8017999757844,39.752166500952235,110.90690204500491
0.4,0.4058,0.0128,0.0004,,,,,,
0.41,0.9308,0.0275,0.0002,1755.6844245779953,87.97922532418121,107.10514387291627,310.74505029381777,50.60013397248678,133.80639142440782
0.42,2.726,0.0361,0.001,,,,,,
0.43,3.0098,0.0369,0.0006,832.3156215427831,113.38878501281283,138.03852088516345,254.82391548240403,62.214936458179444,141.93250924556366
0.44,3.2936,0.0389,0.0007,,,,,,
0.45,4.1198,0.0385,0.0008,652.7740152998505,120.232339627612,146.3698047640494,238.5197346280352,66.15250672033703,144.70465415563228
0.46,4.8726,0.0489,0.0012,,,,,,
0.47,5.6409,0.0604,0.0016,689.6007176353083,132.35712871099773,161.13041756121464,252.4404667058452,72.72458692401084,155.4874329872896
0.48,6.3088,0.0703,0.0019,,,,,,
0.49,6.8223,0.09,0.0019,789.0303150163736,142.80605879398016,173.85085418397585,272.9939132253922,78.15927074491874,165.73032342846278
0.5,7.5365,0.1113,0.002,,,,,,
0.51,8.0654,0.1169,0.0025,837.7198034049279,151.41481975414118,184.33108491808494,285.6741385254604,82.7380093237856,173.42029799509015
0.52,8.3163,0.1176,0.0027,,,,,,
0.53,8.0461,0.1158,0.0029,813.5647902835161,151.91134172938635,184.93554645316598,283.73062627365255,83.53310532522303,174.89806123055953
0.54,7.7064,0.114,0.0069,,,,,,
0.55,7.2624,0.1121,0.0065,834.2682078512196,149.97644029580403,182.58001427315273,285.35087400668505,82.93759933215112,175.66783087425407
0.56,6.552,0.1113,0.0069,,,,,,
0.57,6.054,0.1106,0.0364,916.6595794044656,146.55809665858035,178.4185524539239,292.79186821491044,81.50735807189973,176.71416961299164
0.58,6.0418,0.1107,0.4504,,,,,,
0.59,6.0363,0.1104,0.3783,886.433726562527,146.43074967638825,178.26352134516833,289.64476740541653,82.24549386992057,178.21694632356088
0.6,6.0917,0.1101,0.0124,,,,,,
0.61,6.147,0.1094,0.0023,861.4974672223098,148.00171283061619,180.17599822857625,288.28412814702773,83.16593176022617,179.5380745532071
0.62,6.2586,0.1081,-0.0013,,,,,,
0.63,6.8068,0.1057,-0.0017,767.9426025765848,150.13773497491627,182.77637301294158,278.9285665464878,84.91345466081104,180.33766447626925
0.64,7.4747,0.0952,-0.0021,,,,,,
0.65,8.3974,0.0843,0.0017,554.9256955612398,150.5008616377191,183.2184402546146,250.52160785379903,86.64196272423665,176.7759139064344
0.66,8.4437,0.0762,-0.0116,,,,,,
0.67,8.3434,0.072,-0.0175,491.23137096155347,148.07127058596564,180.26067723508862,239.25883730049355,86.158596683436,174.51302382990474
0.68,8.1079,0.0723,-0.0196,,,,,,
0.69,7.467,0.0705,-0.0217,512.2456152856082,146.4028168204657,178.2295161292626,241.60574708256618,85.33960192844374,175.1920691875822
0.7,6.579,0.0699,-0.0217,,,,,,
0.71,5.6332,0.0685,-0.0223,589.7022241684248,141.27203470298488,171.98334659493813,249.59449910829053,82.40218086913636,175.43792424438897
0.72,4.6564,0.067,-0.0228,,,,,,
0.73,4.0001,0.067,-0.0231,705.1023062701554,134.4064741842124,163.62527291991077,260.0975036371932,78.90126913539204,175.72173702338782
0.74,3.475,0.067,-0.0231,,,,,,
0.75,3.0851,0.0669,-0.0231,810.0748657475758,129.1281854412878,157.19953010243734,268.7375747588081,76.5684742909403,176.55346395266048
0.76,3.0602,0.066,-0.023,,,,,,
0.77,3.0812,0.0619,-0.0175,753.5276748803433,128.5325260753864,156.4743795700356,261.6166117224606,76.6210735254626,175.94552296154478
0.78,3.1022,0.0582,-0.0085,,,,,,
0.79,3.282,0.0533,0.0297,642.7259065237381,128.31004284514177,156.20353042017257,247.50747528780502,76.91312687283568,173.7614260474864
0.8,3.5831,0.0521,0.0442,,,,,,
0.81,4.1699,0.0478,0.044,513.6435596673213,132.24164735677888,160.9898315647743,232.29338055589108,79.44512740592923,172.7114067201579
0.82,4.6487,0.0456,0.1658,,,,,,
0.83,4.722,0.044,0.078,448.24700583707266,133.87042496250072,162.97269125869653,223.2642994350779,80.87275655965198,172.07742279493422
0.84,4.5946,0.0426,0.0372,,,,,,
0.85,4.3939,0.0399,0.0172,435.00093059005997,131.73964907533426,160.37870322214604,219.5851565160107,79.91852484611125,170.83872096910795
0.86,3.8958,0.0376,0.0083,,,,,,
0.87,3.7986,0.0336,0.005,419.7709607772131,127.24024693045237,154.9011701762029,213.80225145237384,77.65262269136772,167.86936466392075
0.88,3.7821,0.0266,0.0034,,,,,,
0.89,3.7772,0.0179,0.0031,298.0367630199295,120.6446364767714,146.87173136302604,186.81329562962844,74.10500206168912,155.5598010261672
0.9,3.8674,0.0154,0.003,,,,,,
0.91,3.9576,0.0144,0.0029,262.0044549304931,119.72614050897865,145.75356235875662,178.6988918221852,73.72344315045837,152.12666609893063
0.92,4.1622,0.0137,0.0029,,,,,,
0.93,4.3282,0.0133,0.0029,241.87074664189484,120.82019271889519,147.08545200561153,175.0731274484653,74.6386925229801,151.49396378329266
0.94,4.3109,0.0132,0.0029,,,,,,
0.95,4.2935,0.0132,0.0055,239.97809762862414,120.93613783389463,147.2266025803935,174.74722988083806,74.94755557701339,152.1532535452944
0.96,4.2394,0.0133,0.0057,,,,,,
0.97,4.1468,0.0136,0.0048,244.4263315720021,120.94119137432644,147.23275471657132,175.75366346999158,75.19254414710548,153.5126395374658
0.98,4.0541,0.0141,0.0046,,,,,,
0.99,4.0039,0.0157,0.0046,261.3445738636584,121.97875555312928,148.4958763255487,180.18342130120456,76.14154102773948,157.17403054964925
1.0,3.946,0.0157,0.0048,,,,,,
1.01,3.9398,0.016,0.005,264.4263155663682,122.18531598982703,148.74734120500685,180.86148626210573,76.50845021338355,158.34165124970386
1.02,3.9419,0.0161,0.0048,,,,,,
1.03,3.944,0.0161,0.0057,264.09421438800644,122.55906002531798,149.20233394386537,180.93172177264603,76.97824998903745,159.25932483750088
1.04,3.9499,0.0159,0.0061,,,,,,
1.05,4.031,0.0157,0.0038,257.9193659873253,122.9891629163731,149.72593746341073,179.79258673391885,77.47249849616932,159.53929096280146
1.06,4.0889,0.0157,0.0023,,,,,,
1.07,4.0966,0.0156,0.0015,254.63304459570918,123.49693386802915,150.3440934045572,179.32361671492956,78.01980268050256,160.188739240426
1.08,4.0812,0.0155,0.0014,,,,,,
1.09,4.031,0.0151,0.0014,251.99050774469637,123.1957983443707,149.9774936366252,178.41879409518685,78.02915772276435,160.24176402145818
1.1,3.9383,0.0151,0.0015,,,,,,
1.11,3.8148,0.0149,0.0031,255.51091149491674,122.39375786442713,149.00109653060696,178.49916329711326,77.71842786389848,160.63625663584102
1.12,3.6758,0.0147,0.0031,,,,,,
1.13,3.5445,0.0146,0.0052,260.24647908619704,121.18048971381123,147.52407443420498,178.54565556803956,77.15264768444615,160.85004240064848
1.14,3.3862,0.0144,0.0057,,,,,,
1.15,3.2665,0.0142,0.0059,265.0957006359292,119.72828357769217,145.75617131197308,178.43888717764966,76.44686120319467,160.88590784770852
1.16,3.1855,0.0136,0.0056,,,,,,
1.17,3.143,0.0127,0.0052,255.97185823099304,118.31805353122633,144.03936951627554,175.38918517415897,75.68447318321462,159.21559734708458
1.18,3.1295,0.0115,0.0057,,,,,,
1.19,3.116,0.0107,0.0048,239.03424953981994,117.01512452568889,142.4531950747517,170.66136118438016,74.87498777352195,156.36719616635577
1.2,3.1005,0.0107,0.0055,,,,,,
1.21,3.0851,0.0098,0.0044,231.40957629246066,116.40586890045817,141.71149257447084,168.41816018086038,74.56906396937937,155.2331378666643
