Depth,Qc,Fc,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic
0.0,0.0019,0.0,0.0,,,,,,,
0.01,-0.0019,0.0,0.0,,,,,,,
0.02,0.0173,0.0,0.0002,,,,,,,
0.03,0.0481,0.0001,0.0004,3605.066549938086,24.482843039415425,29.805200221897042,248.66219317139306,10.01581796674182,32.54762521162595,3.825850603631553
0.04,0.0865,0.0002,0.0007,,,,,,,3.825850603631553
0.05,0.1288,0.0004,0.001,4792.901231193949,34.88548010940345,42.469280133186814,317.381376431627,14.925550141329012,44.676623449672256,3.4347219198993746
0.06,0.1634,0.0007,0.0016,,,,,,,3.4347219198993746
0.07,0.2095,0.0015,0.002,3616.8716305887674,42.81153488436858,52.11839029401392,312.03462939622494,19.616483286031116,57.974656618868174,3.3272312193161095
0.08,0.2557,0.0016,0.0048,,,,,,,3.3272312193161095
0.09,0.3326,0.0017,0.0024,2712.9143938154784,49.57665106658759,60.35418390715011,303.5122437828829,22.718586360326498,63.00916069440636,3.09084523054377
0.1,0.421,0.0019,0.0012,,,,,,,3.09084523054377
0.11,0.5363,0.002,0.0006,1701.3458910362067,57.0799619770492,69.48864936336425,265.8246785903621,26.082258921533885,67.9459573051179,2.8526323507986255
0.12,0.644,0.0019,0.0003,,,,,,,2.8526323507986255
0.13,0.7593,0.0019,0.0,1063.3812913999889,62.78106437300711,76.42912184539996,227.46739699568303,28.602905641800007,70.58955609471369,2.6623867795264484
0.14,0.867,0.0017,0.0,,,,,,,2.6623867795264484
0.15,1.0784,0.0003,-0.0001,688.9581617533287,68.30378378880184,83.15243243854138,197.01634797769935,26.859168253904368,57.72702523191957,2.460225320871485
0.16,1.1707,-0.0003,-0.0002,,,,,,,2.460225320871485
0.17,1.2899,-0.0004,-0.0002,,,,,,,2.460225320871485
0.18,1.436,-0.0003,-0.0002,,,,,,,2.460225320871485
0.19,1.5821,-0.0003,-0.0002,,,,,,,2.460225320871485
0.2,1.709,0.0012,-0.0002,,,,,,,2.460225320871485
0.21,1.8435,0.0018,-0.0002,422.9614011138145,79.95269274974379,97.33371291273158,173.79977877795142,36.96877136611972,79.65855459906126,2.2143020633071044
0.22,1.9896,0.0021,-0.0002,,,,,,,2.2143020633071044
