d,vs
1.50,156
2.00,122
2.50,122
3.00,122
3.50,182
4.00,96
4.50,139
5.00,142
5.50,138
6.00,146
6.50,122
7.00,126
7.50,151
8.00,116
8.50,129
9.00,127
9.50,134
10.00,134
10.50,142
11.00,172
11.50,165
12.00,150
12.50,142
13.00,126
13.50,130
14.00,126
14.50,134
15.00,164
15.50,257
16.00,234
16.50,245
17.00,278
17.50,274
18.00,257
18.50,342
19.00,220
19.50,210
20.00,230
20.50,232
21.00,194
21.50,286
22.00,215
22.50,240
23.00,234
23.50,232
24.00,228
24.50,222
25.00,212
25.50,233
26.00,225
26.50,215
27.00,235
27.50,239
28.00,243
28.50,258
