d,vs
0.0,617.0
0.01,617.0
0.02,617.0
0.03,617.0
0.04,617.0
0.05,617.0
0.06,617.0
0.07,617.0
0.08,617.0
0.09,617.0
0.1,617.0
0.11,617.0
0.12,617.0
0.13,617.0
0.14,617.0
0.15,617.0
0.16,617.0
0.17,617.0
0.18,617.0
0.19,617.0
0.2,617.0
0.21,617.0
0.22,617.0
0.23,617.0
0.24,617.0
0.25,617.0
0.26,617.0
0.27,617.0
0.28,617.0
0.29,617.0
0.3,617.0
0.31,617.0
0.32,617.0
0.33,617.0
0.34,617.0
0.35,617.0
0.36,617.0
0.37,617.0
0.38,617.0
0.39,617.0
0.4,617.0
0.41,617.0
0.42,617.0
0.43,617.0
0.44,617.0
0.45,617.0
0.46,617.0
0.47,617.0
0.48,617.0
0.49,617.0
0.5,617.0
0.51,617.0
0.52,617.0
0.53,617.0
0.54,617.0
0.55,617.0
0.56,617.0
0.57,617.0
0.58,617.0
0.59,617.0
0.6,617.0
0.61,617.0
0.62,617.0
0.63,617.0
0.64,617.0
0.65,617.0
0.66,617.0
0.67,617.0
0.68,617.0
0.69,617.0
0.7,617.0
0.71,617.0
0.72,617.0
0.73,617.0
0.74,617.0
0.75,617.0
0.76,617.0
0.77,617.0
0.78,617.0
0.79,617.0
0.8,617.0
0.81,617.0
0.82,617.0
0.83,617.0
0.84,617.0
0.85,617.0
0.86,617.0
0.87,617.0
0.88,617.0
0.89,617.0
0.9,617.0
0.91,617.0
0.92,617.0
0.93,617.0
0.94,617.0
0.95,617.0
0.96,617.0
0.97,617.0
0.98,617.0
0.99,617.0
1.0,617.0
1.01,617.0
1.02,617.0
1.03,617.0
1.04,617.0
1.05,617.0
1.06,617.0
1.07,617.0
1.08,617.0
1.09,617.0
1.1,617.0
1.11,617.0
1.12,617.0
1.13,617.0
1.14,617.0
1.15,617.0
1.16,617.0
1.17,617.0
1.18,617.0
1.19,617.0
1.2,617.0
1.21,617.0
1.22,617.0
1.23,617.0
1.24,617.0
1.25,617.0
1.26,617.0
1.27,617.0
1.28,617.0
1.29,617.0
1.3,617.0
1.31,617.0
1.32,617.0
1.33,617.0
1.34,617.0
1.35,617.0
1.36,617.0
1.37,617.0
1.38,617.0
1.39,617.0
1.4,617.0
1.41,617.0
1.42,617.0
1.43,617.0
1.44,617.0
1.45,617.0
1.46,617.0
1.47,617.0
1.48,617.0
1.49,617.0
1.5,617.0
1.51,617.0
1.52,617.0
1.53,617.0
1.54,617.0
1.55,617.0
1.56,617.0
1.57,617.0
1.58,617.0
1.59,617.0
1.6,617.0
1.61,617.0
1.62,617.0
1.63,617.0
1.64,617.0
1.65,617.0
1.66,617.0
1.67,617.0
1.68,617.0
1.69,617.0
1.7,617.0
1.71,617.0
1.72,617.0
1.73,617.0
1.74,617.0
1.75,617.0
1.76,617.0
1.77,617.0
1.78,617.0
1.79,617.0
1.8,617.0
1.81,617.0
1.82,617.0
1.83,617.0
1.84,617.0
1.85,617.0
1.86,617.0
1.87,617.0
1.88,617.0
1.89,617.0
1.9,617.0
1.91,617.0
1.92,617.0
1.93,617.0
1.94,617.0
1.95,617.0
1.96,617.0
1.97,617.0
1.98,617.0
1.99,617.0
2.0,749.0
2.01,749.0
2.02,749.0
2.03,749.0
2.04,749.0
2.05,749.0
2.06,749.0
2.07,749.0
2.08,749.0
2.09,749.0
2.1,749.0
2.11,749.0
2.12,749.0
2.13,749.0
2.14,749.0
2.15,749.0
2.16,749.0
2.17,749.0
2.18,749.0
2.19,749.0
2.2,749.0
2.21,749.0
2.22,749.0
2.23,749.0
2.24,749.0
2.25,749.0
2.26,749.0
2.27,749.0
2.28,749.0
2.29,749.0
2.3,749.0
2.31,749.0
2.32,749.0
2.33,749.0
2.34,749.0
2.35,749.0
2.36,749.0
2.37,749.0
2.38,749.0
2.39,749.0
2.4,749.0
2.41,749.0
2.42,749.0
2.43,749.0
2.44,749.0
2.45,749.0
2.46,749.0
2.47,749.0
2.48,749.0
2.49,749.0
2.5,151.0
2.51,151.0
2.52,151.0
2.53,151.0
2.54,151.0
2.55,151.0
2.56,151.0
2.57,151.0
2.58,151.0
2.59,151.0
2.6,151.0
2.61,151.0
2.62,151.0
2.63,151.0
2.64,151.0
2.65,151.0
2.66,151.0
2.67,151.0
2.68,151.0
2.69,151.0
2.7,151.0
2.71,151.0
2.72,151.0
2.73,151.0
2.74,151.0
2.75,151.0
2.76,151.0
2.77,151.0
2.78,151.0
2.79,151.0
2.8,151.0
2.81,151.0
2.82,151.0
2.83,151.0
2.84,151.0
2.85,151.0
2.86,151.0
2.87,151.0
2.88,151.0
2.89,151.0
2.9,151.0
2.91,151.0
2.92,151.0
2.93,151.0
2.94,151.0
2.95,151.0
2.96,151.0
2.97,151.0
2.98,151.0
2.99,151.0
3.0,133.0
3.01,133.0
3.02,133.0
3.03,133.0
3.04,133.0
3.05,133.0
3.06,133.0
3.07,133.0
3.08,133.0
3.09,133.0
3.1,133.0
3.11,133.0
3.12,133.0
3.13,133.0
3.14,133.0
3.15,133.0
3.16,133.0
3.17,133.0
3.18,133.0
3.19,133.0
3.2,133.0
3.21,133.0
3.22,133.0
3.23,133.0
3.24,133.0
3.25,133.0
3.26,133.0
3.27,133.0
3.28,133.0
3.29,133.0
3.3,133.0
3.31,133.0
3.32,133.0
3.33,133.0
3.34,133.0
3.35,133.0
3.36,133.0
3.37,133.0
3.38,133.0
3.39,133.0
3.4,133.0
3.41,133.0
3.42,133.0
3.43,133.0
3.44,133.0
3.45,133.0
3.46,133.0
3.47,133.0
3.48,133.0
3.49,133.0
3.5,124.0
3.51,124.0
3.52,124.0
3.53,124.0
3.54,124.0
3.55,124.0
3.56,124.0
3.57,124.0
3.58,124.0
3.59,124.0
3.6,124.0
3.61,124.0
3.62,124.0
3.63,124.0
3.64,124.0
3.65,124.0
3.66,124.0
3.67,124.0
3.68,124.0
3.69,124.0
3.7,124.0
3.71,124.0
3.72,124.0
3.73,124.0
3.74,124.0
3.75,124.0
3.76,124.0
3.77,124.0
3.78,124.0
3.79,124.0
3.8,124.0
3.81,124.0
3.82,124.0
3.83,124.0
3.84,124.0
3.85,124.0
3.86,124.0
3.87,124.0
3.88,124.0
3.89,124.0
3.9,124.0
3.91,124.0
3.92,124.0
3.93,124.0
3.94,124.0
3.95,124.0
3.96,124.0
3.97,124.0
3.98,124.0
3.99,124.0
4.0,148.0
4.01,148.0
4.02,148.0
4.03,148.0
4.04,148.0
4.05,148.0
4.06,148.0
4.07,148.0
4.08,148.0
4.09,148.0
4.1,148.0
4.11,148.0
4.12,148.0
4.13,148.0
4.14,148.0
4.15,148.0
4.16,148.0
4.17,148.0
4.18,148.0
4.19,148.0
4.2,148.0
4.21,148.0
4.22,148.0
4.23,148.0
4.24,148.0
4.25,148.0
4.26,148.0
4.27,148.0
4.28,148.0
4.29,148.0
4.3,148.0
4.31,148.0
4.32,148.0
4.33,148.0
4.34,148.0
4.35,148.0
4.36,148.0
4.37,148.0
4.38,148.0
4.39,148.0
4.4,148.0
4.41,148.0
4.42,148.0
4.43,148.0
4.44,148.0
4.45,148.0
4.46,148.0
4.47,148.0
4.48,148.0
4.49,148.0
4.5,157.0
4.51,157.0
4.52,157.0
4.53,157.0
4.54,157.0
4.55,157.0
