d,vs
0.0,137.0
0.1,137.0
1.1,137.0
2.0,137.0
2.1,137.0
2.5,122.0
3.0,136.0
3.1,136.0
3.5,145.0
4.0,162.0
4.1,162.0
4.5,179.0
5.0,185.0
5.1,185.0
5.5,195.0
6.0,185.0
6.1,185.0
6.5,207.0
7.0,185.0
7.1,185.0
7.5,179.0
8.0,186.0
8.1,186.0
8.5,187.0
9.0,193.0
9.1,193.0
9.5,189.0
10.0,187.0
10.1,187.0
10.5,186.0
11.0,203.0
11.1,203.0
11.5,124.0
12.0,136.0
12.1,136.0
12.5,138.0
13.0,163.0
13.1,163.0
13.5,143.0
14.0,186.0
14.1,186.0
14.5,174.0
15.0,170.0
15.1,170.0
15.5,160.0
16.0,164.0
16.1,164.0
16.5,157.0
17.0,177.0
17.1,177.0
17.5,162.0
18.0,164.0
18.1,164.0
18.5,173.0
19.0,143.0
19.1,143.0
19.5,190.0
20.0,147.0
20.1,147.0
20.5,189.0
21.0,222.0
21.1,222.0
21.5,217.0
22.0,178.0
22.1,178.0
22.5,208.0
23.0,200.0
23.1,200.0
23.5,204.0
24.0,238.0
24.1,238.0
24.5,208.0
25.0,218.0
25.1,218.0
25.5,214.0
26.0,208.0
26.1,208.0
26.5,210.0
27.0,232.0
27.1,232.0
27.5,234.0
28.0,201.0
28.1,201.0
28.5,201.0
