File Name,depth_input,vs_input,Depth,Qc,Fc,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic
SDMT_92548.csv,0.51,351,0.51,3.4072,0.021,-0.0015,414.795353176858,112.385981227019,136.817716276372,202.974683551286,63.3770166440415,137.848885978217,2.18495829619078
SDMT_92548.csv,1.01,113,1.01,9.4657,0.2366,-0.0245,875.383823086378,184.481919056038,224.58668406822,322.259569611264,108.549638722227,226.203077625786,2.20205747257505
SDMT_92548.csv,1.51,221,1.51,6.5826,0.0443,0.0013,308.377521744502,150.757796260585,183.531230230278,209.572346475184,100.247640294428,200.876692390679,1.95604398079344
SDMT_92548.csv,2.01,227,2.01,11.7531,0.0475,0.0019,243.038573256736,165.900304194242,201.96558771473,207.143694812545,118.678991371619,218.855595723641,1.62565172622828
SDMT_92548.csv,2.51,308,2.51,7.1973,0.0134,0.0001,164.317915287981,145.221550709187,176.791453037271,170.86618664851,105.90323803223,195.678849301832,1.68560326732392
SDMT_92548.csv,3.01,281,3.01,10.3329,0.0308,0.0016,195.489188654309,164.57991615196,200.35815879369,192.829581341294,125.735241087392,228.904281752597,1.61287971601851
SDMT_92548.csv,3.51,271,3.51,13.0524,0.0401,0.0022,200.916153003745,175.108765321617,213.17588821762,202.623875315134,138.718249019143,246.710329367948,1.52795475091602
SDMT_92548.csv,4.01,268,4.01,11.7646,0.0318,0.0015,183.597172600607,172.4826864119,209.9789225884,195.342583422578,139.109414082248,247.396230598619,1.54379164151066
SDMT_92548.csv,4.51,248,4.51,1.6389,0.0855,-0.0035,465.94741592625,146.091349603491,177.850338647728,217.410052541925,117.47018230013,285.633869668769,2.97331722410905
SDMT_92548.csv,5.01,275,5.01,2.4193,0.0101,0.0246,149.921675041343,133.704029569385,162.770122954034,150.21130495202,107.147663545938,222.853665936865,2.24930036454537
SDMT_92548.csv,5.51,282,5.51,5.0141,0.0259,-0.0006,185.18989101817,162.276408719438,197.553888875837,179.763672068236,132.126411120005,259.406890218084,2.00072614271446
SDMT_92548.csv,6.01,277,6.01,11.211,0.021,0.0021,151.219686709744,173.679923803613,211.436428978312,186.348264783479,149.361241369386,259.579787966465,1.50334302101575
SDMT_92548.csv,7.01,279,7.01,11.5801,0.029,-0.0497,163.955983027025,182.959333211544,222.73310130101,194.47922135423,160.87221385553,281.520240456583,1.53636488128021
SDMT_92548.csv,7.51,176,7.51,1.6812,0.0682,-0.0652,306.97431265318,153.850675762465,187.296474841262,188.537247697314,133.333420185917,315.615418726992,2.89472478903578
SDMT_92548.csv,8.01,216,8.01,1.5582,0.0108,-0.0633,131.33374831111,132.276269046388,161.031979708646,136.80139340685,115.223105184081,252.318609052319,2.51231823374612
SDMT_92548.csv,11.51,214,11.51,1.3544,0.0053,-0.0432,96.7833974256159,129.062112972944,157.119094054019,119.730558598588,117.728936336515,251.850375510137,2.47540513894071
SDMT_92548.csv,12.01,199,12.01,1.4967,0.0126,-0.04,123.965853961602,139.346195583223,169.638846796968,133.173012951096,129.861656852192,285.12040835452,2.56475563797051
SDMT_92548.csv,12.51,235,12.51,2.723,0.0614,-0.0364,235.733744027167,177.678396371134,216.304134712685,184.24515251034,163.27518716127,355.506131535898,2.57210807170817
SDMT_92548.csv,13.01,257,13.01,1.7004,0.0079,-0.0344,101.114513008784,139.705185099397,170.07587751231,126.480033447428,130.103601237137,274.07505593842,2.40874141684037
SDMT_92548.csv,13.51,289,13.51,1.266,0.0036,-0.0329,77.0613456189864,127.476804121051,155.189152843019,109.403300349551,118.049342143938,249.283132412837,2.46159893382013
SDMT_92548.csv,14.01,296,14.01,3.7801,0.018,-0.0311,130.616685967218,170.018352763054,206.978864233284,157.196513109181,159.542251324409,312.656566033847,2.09464397136293
SDMT_92548.csv,14.51,320,14.51,6.102,0.026,-0.053,145.274361566236,187.549806360727,228.321503395667,175.878442797944,177.955800643756,332.063117067261,1.88660703184834
SDMT_92548.csv,15.0,247,15.0,3.2919,0.0116,-0.0507,109.873373977481,164.089824098973,199.761524990054,146.549960621068,155.003999992455,300.545129230501,2.0678558373098
SDMT_92556.csv,0.51,132,0.51,0.9123,0.0097,0.033,621.550068455695,83.5575355268008,101.722217163062,209.764841783236,49.1681888605196,123.46968899465,2.80241063536384
SDMT_92556.csv,1.01,132,1.01,2.2386,0.0011,0.0046,178.722158963466,100.870303346751,122.798630161262,146.134095910052,56.4743672510573,111.333006751192,2.1218734022421
SDMT_92556.csv,1.51,132,1.51,3.0613,0.0022,0.0122,166.09136299938,112.914419790831,137.461032788837,148.283143261527,69.9785509438345,135.192181243552,1.98556899916987
SDMT_92556.csv,2.01,133,2.01,2.9959,0.0051,0.0159,177.671123797109,119.086743419066,144.975165901472,153.676456070607,80.9943239306857,162.098420453885,2.04386227967754
SDMT_92556.csv,2.51,154,2.51,2.0771,0.0018,0.0205,152.103928539901,111.280489210745,135.471899908734,140.316565726714,74.9598315495835,149.352266420936,2.15832000077047
