Depth,Qc,Fc,u
0,0.392,0,-0.0005
0.01,0.738,0,-0.0005
0.02,0.865,0,-0.0003
0.03,1.038,0.0009,-0.0003
0.04,1.269,0.0018,-0.0004
0.05,1.695,0.0036,-0.0005
0.06,1.907,0.0071,-0.0005
0.07,2.353,0.0142,-0.0013
0.08,2.864,0.0127,-0.0034
0.09,3.491,0.0144,-0.0037
0.1,4.694,0.0173,-0.004
0.11,4.529,0.0347,-0.0036
0.12,4.928,0.0345,-0.005
0.13,5.04,0.035,-0.0061
0.14,4.875,0.0431,-0.0066
0.15,4.801,0.0467,-0.0065
0.16,4.136,0.0482,-0.0064
0.17,3.183,0.0498,-0.0061
0.18,2.822,0.0496,-0.0058
0.19,2.168,0.0507,-0.0054
0.2,2.049,0.0538,-0.004
0.21,1.803,0.0537,-0.0036
0.22,1.665,0.0558,-0.0001
0.23,1.615,0.0618,0.0043
0.24,1.588,0.0618,-0.0003
0.25,1.568,0.0619,-0.0036
0.26,1.507,0.0624,-0.0058
0.27,1.461,0.0657,-0.0094
0.28,1.353,0.067,-0.0137
0.29,1.234,0.0671,-0.0152
0.3,1.207,0.067,-0.0156
0.31,1.161,0.0669,-0.0139
0.32,1.111,0.0666,-0.0122
0.33,1.026,0.0648,-0.0087
0.34,1.019,0.0633,-0.0042
0.35,1.011,0.0579,0.003
0.36,1.009,0.0553,0.0059
0.37,1.012,0.0501,0.0113
0.38,1.015,0.0489,0.0119
0.39,1.023,0.0462,0.0109
0.4,1.05,0.0455,0.0115
0.41,1.065,0.0451,0.0101
0.42,1.111,0.044,0.008
0.43,1.146,0.0436,0.0066
0.44,1.223,0.0434,0.0033
0.45,1.369,0.0455,0.0026
0.46,1.568,0.0476,0.0018
0.47,2.034,0.0567,0.002
0.48,4.928,0.0658,0.0002
0.49,6.02,0.071,-0.0003
0.5,8.365,0.0735,-0.0006
0.51,8.742,0.0759,-0.0007
0.52,9.046,0.0759,-0.0007
0.53,9.184,0.0755,-0.0006
0.54,8.788,0.0751,-0.0006
0.55,8.938,0.0743,-0.0005
0.56,8.669,0.0723,-0.0005
0.57,8.54,0.0744,-0.0004
0.58,8.411,0.0766,-0.0003
0.59,8.361,0.0823,-0.0004
0.6,8.123,0.094,-0.0004
0.61,7.4,0.1036,-0.0004
0.62,6.493,0.1046,-0.0003
0.63,6.262,0.1057,0
0.64,6.051,0.1066,-0.0002
0.65,5.663,0.1067,-0.0004
0.66,4.136,0.1067,-0.0005
0.67,2.902,0.1067,-0.0004
0.68,2.726,0.1044,-0.0004
0.69,2.522,0.1039,-0.0003
0.7,2.187,0.1033,-0.0003
0.71,1.676,0.1012,-0.0002
0.72,1.611,0.0996,0.0002
0.73,1.422,0.0952,0.0012
0.74,1.246,0.0568,0.0008
0.75,1.176,0.0539,0.0022
0.76,1.108,0.0521,0.0047
0.77,1.076,0.0488,0.0107
0.78,1.065,0.0498,0.0138
0.79,1.082,0.0472,0.0155
0.8,1.099,0.044,0.0179
0.81,1.176,0.0407,0.0177
0.82,1.238,0.0386,0.0182
0.83,1.253,0.0358,0.0192
0.84,1.249,0.0339,0.0182
0.85,1.184,0.0338,0.0167
0.86,1.088,0.0337,0.0103
0.87,1.05,0.0341,0.0054
0.88,1,0.0344,0.0049
0.89,0.961,0.0345,0.0059
0.9,0.857,0.0347,0.0069
0.91,0.8,0.0346,0.0091
0.92,0.78,0.0344,0.0144
0.93,0.777,0.034,0.0161
0.94,0.75,0.0331,0.0157
0.95,0.738,0.0331,0.0146
0.96,0.704,0.0331,0.0148
0.97,0.702,0.033,0.0142
0.98,0.7,0.0328,0.0122
0.99,0.694,0.0325,0.0103
1,0.688,0.0323,0.0103
1.01,0.692,0.0321,0.0098
1.02,0.688,0.0321,0.0093
1.03,0.65,0.0306,0.0095
1.04,0.619,0.0301,0.0072
1.05,0.615,0.0294,0.0067
1.06,0.6,0.028,0.007
1.07,0.581,0.0253,0.0073
1.08,0.569,0.0248,0.008
1.09,0.565,0.0249,0.0113
1.1,0.538,0.0239,0.0115
1.11,0.534,0.0233,0.0128
1.12,0.534,0.0209,0.0107
1.13,0.531,0.0195,0.0106
1.14,0.492,0.0186,0.0105
1.15,0.473,0.0181,0.0107
1.16,0.463,0.0179,0.0105
1.17,0.454,0.0178,0.0103
1.18,0.454,0.0172,0.0111
1.19,0.45,0.0152,0.0099
1.2,0.446,0.0143,0.0097
1.21,0.442,0.0142,0.0097
1.22,0.434,0.0137,0.0098
1.23,0.419,0.0135,0.0099
1.24,0.417,0.0128,0.0101
1.25,0.415,0.0123,0.0101
1.26,0.438,0.0118,0.0096
1.27,0.404,0.0114,0.0091
1.28,0.388,0.0108,0.0091
1.29,0.388,0.0103,0.0087
1.3,0.377,0.0099,0.0085
1.31,0.365,0.0094,0.0085
1.32,0.358,0.0085,0.0085
1.33,0.354,0.0078,0.0086
1.34,0.338,0.0072,0.0088
1.35,0.336,0.0067,0.0099
1.36,0.335,0.0064,0.0113
1.37,0.335,0.0061,0.0117
1.38,0.337,0.006,0.0119
1.39,0.338,0.0058,0.012
1.4,0.346,0.0056,0.0124
1.41,0.358,0.0055,0.0124
1.42,0.365,0.0055,0.0126
1.43,0.373,0.0055,0.0128
1.44,0.411,0.0056,0.0132
1.45,0.427,0.0057,0.0136
1.46,0.45,0.0058,0.014
1.47,0.477,0.0058,0.0144
1.48,0.515,0.0062,0.0148
1.49,0.55,0.0064,0.015
1.5,0.573,0.0063,0.0153
1.51,0.588,0.0064,0.0155
1.52,0.6,0.0066,0.0156
1.53,0.611,0.0067,0.0157
1.54,0.615,0.0068,0.0157
1.55,0.611,0.007,0.0161
1.56,0.613,0.007,0.0163
1.57,0.615,0.007,0.0169
1.58,0.619,0.007,0.0175
1.59,0.631,0.007,0.0181
1.6,0.642,0.007,0.0184
1.61,0.669,0.007,0.019
1.62,0.719,0.0071,0.0194
1.63,0.742,0.0072,0.0204
1.64,0.765,0.0074,0.0208
1.65,0.78,0.0076,0.021
1.66,0.792,0.0078,0.0215
1.67,0.811,0.0079,0.0217
1.68,0.819,0.008,0.0221
1.69,0.83,0.008,0.0231
1.7,0.834,0.0096,0.0225
1.71,0.861,0.0102,0.0235
1.72,0.961,0.011,0.025
1.73,1.484,0.0126,0.0266
1.74,1.776,0.0142,0.0235
1.75,1.907,0.0143,0.0109
1.76,1.845,0.0143,0.0047
1.77,1.661,0.0142,0.0045
1.78,1.503,0.0135,0.0049
1.79,1.296,0.0133,0.0054
1.8,1.169,0.0128,0.0064
1.81,0.996,0.0123,0.0084
1.82,0.865,0.0123,0.0097
1.83,0.792,0.0123,0.0117
1.84,0.78,0.0121,0.0126
1.85,0.796,0.0119,0.0136
1.86,0.769,0.0114,0.0142
1.87,0.769,0.011,0.0144
1.88,0.769,0.0103,0.0144
1.89,0.769,0.0097,0.0146
1.9,0.769,0.0081,0.0151
1.91,0.775,0.0077,0.0153
1.92,0.78,0.0081,0.0161
1.93,0.834,0.0084,0.0169
1.94,0.85,0.0094,0.0171
1.95,0.857,0.0115,0.0175
1.96,0.869,0.0138,0.0177
1.97,0.927,0.0147,0.0182
1.98,0.93,0.0157,0.0194
1.99,0.942,0.016,0.0225
2,0.988,0.0163,0.0244
2.01,1.061,0.0167,0.0256
2.02,1.261,0.0193,0.026
2.03,1.599,0.0223,0.0602
2.04,1.938,0.0235,0.0602
