Depth,Qc,Fc,u
0,0.1807,0,0.0001
0.01,0.3806,0,-0.0003
0.02,0.4075,0,-0.0003
0.03,0.6228,0.0004,-0.0003
0.04,1.0418,0.0008,-0.0003
0.05,1.48,0.0016,-0.0003
0.06,1.3609,0.0032,-0.0003
0.07,1.3955,0.0064,-0.0004
0.08,1.6223,0.0059,-0.0005
0.09,2.3527,0.0128,-0.0005
0.09999999,3.5444,0.0127,-0.0005
0.11,3.6097,0.0126,-0.0005
0.12,3.2561,0.0124,-0.0005
0.13,3.0961,0.0109,-0.0005
0.14,3.0253,0.0102,-0.0005
0.15,3.0273,0.0102,-0.0005
0.16,3.0293,0.0108,-0.0005
0.17,3.0677,0.0114,-0.0005
0.18,3.1061,0.02,-0.0006
0.19,3.2887,0.0285,-0.0006
0.2,3.4713,0.0295,-0.0006
0.21,3.3711,0.0305,-0.0006
0.22,3.3227,0.0339,-0.0005
0.23,3.5354,0.0344,-0.0006
0.2400001,3.7481,0.0333,-0.0006
0.2500001,3.7712,0.0323,-0.0007
0.2600001,3.7943,0.0298,-0.0007
0.27,4.4209,0.0247,-0.0007
0.28,4.0095,0.0257,-0.0007
0.29,4.0571,0.02,-0.0007
0.3,4.1047,0.0198,-0.0007
0.31,4.2306,0.0196,-0.0007
0.32,4.4824,0.0195,-0.0007
0.33,5.0513,0.0194,-0.0007
0.34,4.7534,0.019,-0.0007
0.35,4.7563,0.0187,-0.0007
0.36,4.7592,0.0192,-0.0007
0.3699999,4.5746,0.0198,-0.0007
0.3799999,4.5554,0.0212,-0.0007
0.3899999,4.6938,0.0218,-0.0007
0.3999999,4.394,0.0225,-0.0007
0.4099999,4.2457,0.0231,-0.0007
0.4199999,4.2557,0.0233,-0.0007
0.4299999,4.2656,0.0232,-0.0007
0.4399999,4.3555,0.023,-0.0007
0.4499999,4.4401,0.0175,-0.0007
0.4599999,4.417,0.0109,-0.0007
0.4699998,4.7265,0.0087,-0.0007
0.4799998,5.0359,0.0077,-0.0007
0.4899998,5.7202,0.0078,-0.0007
0.4999998,6.8389,0.0079,-0.0007
0.5099998,7.1772,0.0111,-0.0007
0.5199998,7.3194,0.013,-0.0007
0.5299998,7.0037,0.0149,-0.0007
0.5399998,6.8588,0.0174,-0.0007
0.5499998,6.8162,0.0198,-0.0007
0.5599998,6.7735,0.0224,-0.0007
0.5699998,6.7197,0.0232,-0.0007
0.5799997,5.2935,0.0213,-0.0007
0.5899997,5.2876,0.0193,-0.0007
0.5999997,5.3156,0.0179,-0.0007
0.6099997,5.3435,0.0178,-0.0007
0.6199997,5.7702,0.0179,-0.0007
0.6299997,6.8543,0.0179,-0.0006
0.6399997,7.4386,0.0219,-0.0006
0.6499997,8.7879,0.0449,-0.0005
0.6599997,9.2684,0.0489,-0.0005
0.6699997,9.749,0.0474,-0.0006
0.6799996,10.4755,0.0458,-0.0005
0.6899996,10.3564,0.042,-0.0006
0.6999996,8.2459,0.042,-0.0006
0.7099996,7.9922,0.042,-0.0007
0.7199996,7.7923,0.0424,-0.0007
0.7299996,7.1195,0.0425,-0.0007
0.7399996,6.7159,0.0423,-0.0007
0.7499996,6.8889,0.042,-0.0006
0.7599996,6.4314,0.0394,-0.0006
0.7699996,6.113,0.0383,-0.0005
0.7799996,6.0161,0.0371,-0.0005
0.7899995,6.1238,0.0368,-0.0005
0.7999995,6.2315,0.0364,-0.0005
0.8099995,6.9196,0.0351,-0.0005
0.8199995,7.8615,0.0339,-0.0004
0.8299995,6.9619,0.03,-0.0003
0.8399995,5.1205,0.0284,-0.0003
0.8499995,4.2056,0.028,-0.0003
0.8599995,4.1345,0.0285,-0.0003
0.8699995,4.0634,0.029,-0.0003
0.8799995,4.0566,0.0285,-0.0003
0.8899994,4.0638,0.0281,-0.0003
0.8999994,4.071,0.0266,-0.0003
0.9099994,4.6515,0.0195,-0.0002
0.9199994,4.6121,0.0164,-0.0001
0.9299994,4.874,0.0158,-0.0001
0.9399994,5.1359,0.0157,-0.0001
0.9499994,5.7971,0.0163,-0.0001
0.9599994,5.4184,0.0169,-0.0001
0.9699994,6.0998,0.0861,-0.0001
0.9799994,6.7812,0.1679,-0.0001
0.9899994,7.6577,0.1749,-0.0001
0.9999993,9.4837,0.1964,-0.0001
1.009999,8.9532,0.1967,0
1.019999,7.3502,0.1967,0.0001
