Depth,Qc,Fc,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
0.0,-0.0016,0.0,-0.0003,,,,,,
0.01,0.9403,0.0,-0.0003,,,,,,
0.02,1.2194,0.0,0.0002,,,,,,
0.03,1.2194,0.0,0.0002,,,,,,
0.04,1.7155,0.0,-0.0005,,,,,,
0.05,1.8783,0.004,-0.0001,1251.153744201541,68.78362708588354,83.73658949585823,230.7943444646304,26.57814200649928,61.4741915571844
0.06,2.0178,0.008,-0.0007,,,,,,
0.07,2.1496,0.016,-0.0009,2460.9176254476197,79.79574774189582,97.14264942491666,312.3916954667604,33.385396523848,80.23513799992722
0.08,2.2659,0.0321,-0.0015,,,,,,
0.09,2.2659,0.0641,-0.0015,5258.234823937085,93.43780375247118,113.7503697856171,463.95463586073123,40.4781936314213,102.44798847095159
0.1,2.3744,0.0685,-0.0019,,,,,,
0.11,2.4519,0.0685,-0.0019,3926.67912766005,97.81500179915882,119.07913262506291,426.02469272894655,43.52870064630896,108.78128868905289
0.12,2.4907,0.0687,-0.0026,,,,,,
0.13,2.5372,0.07,-0.0029,3218.020246317415,100.70406014543481,122.59624713357282,401.8116101510404,45.905454273738926,113.82624089708696
0.14,2.5372,0.07,-0.0028,,,,,,
0.15,2.5953,0.0701,-0.0027,2739.437830169111,102.94870392574859,125.32885695308525,382.81675934822505,47.930151102128825,118.06445706061194
0.16,2.5798,0.0701,-0.0024,,,,,,
0.17,2.5682,0.0701,-0.0024,2474.3481979808353,104.35622840823264,127.042365018718,371.76103031814324,49.5522948095887,121.85347764762817
0.18,2.5178,0.0692,-0.0024,,,,,,
0.19,2.5178,0.0655,-0.0023,2163.4728341186387,104.75286270992459,127.52522416860384,355.0505265144873,50.67647625618619,124.21193934107296
0.2,2.4984,0.0655,-0.0017,,,,,,
0.21,2.4597,0.0635,-0.002,1985.2498593028108,105.30118284319424,128.19274433084516,345.35529594648625,51.797885880037214,126.86281653074448
0.22,2.4597,0.0635,-0.0019,,,,,,
0.23,2.3628,0.0603,-0.0017,1835.0615265946608,105.20395736678752,128.07438288130655,336.0432231721507,52.59179342580905,128.90848608120896
0.24,2.3202,0.0564,-0.0013,,,,,,
0.25,2.3202,0.0564,-0.0013,1656.2619589407107,105.29442685113254,128.18451964485703,324.0369752806201,53.38717884210696,130.49977090051496
0.26,2.2039,0.0503,-0.0017,,,,,,
0.27,2.1419,0.0478,-0.0019,1468.6239309800242,103.19930206510116,125.63393294881881,308.2935840550483,53.18198563053294,130.15723926685533
0.28,2.1419,0.0436,-0.002,,,,,,
0.29,1.9558,0.0404,-0.0019,1321.5386414592888,100.87677066020557,122.80650341242418,294.61441200104207,52.80132724463181,129.57816552176357
0.3,1.9558,0.0369,-0.0018,,,,,,
0.31,1.8667,0.0369,-0.0013,1222.8081370349219,100.05045594580344,121.80055506445636,285.74078353958924,53.02910461883806,130.19480127768352
0.32,1.8085,0.0344,-0.0012,,,,,,
0.33,1.8085,0.0344,-0.0011,1139.8027514798046,99.64028194219536,121.30121279919436,278.21887566008667,53.401433450163616,131.03898990384155
0.34,1.7194,0.03,-0.0003,,,,,,
0.35,1.6922,0.0287,-0.0007,1013.5806759251226,97.6532755407449,118.8822484843851,264.77366547109455,52.96268331919554,129.8446797945501
0.36,1.6612,0.0281,0.0008,,,,,,
0.37,1.6457,0.0278,0.0002,974.3116998323186,97.55475997747625,118.76231649431892,260.98113747896144,53.43036201277585,131.11174875981612
0.38,1.6225,0.0277,-0.0002,,,,,,
0.39,1.6225,0.0285,-0.0003,965.4090229929345,98.12485719244114,119.45634788645009,260.71031204418534,54.219125021119645,133.28592785149715
0.4,1.5837,0.0293,-0.0003,,,,,,
0.41,1.5837,0.0293,-0.0002,966.4836928872869,98.49420823294564,119.90599263141209,261.2235754637098,54.9129338705233,135.44545653952832
0.42,1.5295,0.0314,-0.0002,,,,,,
0.43,1.5217,0.0337,-0.0001,1056.951200598668,99.4212208868697,121.03452977531965,270.8786051564841,55.971986057918805,139.562389540585
0.44,1.5217,0.0337,0.0004,,,,,,
0.45,1.4558,0.039,0.0016,1166.6466605389512,100.27937492712215,122.07923904171392,281.73172214805146,57.01063931453349,143.83609138742096
0.46,1.4209,0.041,0.0058,,,,,,
0.47,1.4132,0.043,0.0064,1233.5431283920036,100.99210909491396,122.94691541989526,288.22316978265894,57.92529201801605,147.2525822996701
0.48,1.4127,0.0449,0.0061,,,,,,
0.49,1.4127,0.0476,0.0076,1284.4978512428484,102.34807227355631,124.5976532025903,293.7932189153105,59.09366181571031,150.79211655084268
0.5,1.4129,0.0476,0.0092,,,,,,
0.51,1.4132,0.0496,0.0062,1282.1382821084867,103.22103549555248,125.6603910380639,294.34968832336114,59.962072289548544,153.14369971172562
0.52,1.4132,0.0496,0.005,,,,,,
0.53,1.3977,0.0518,0.0047,1292.8735333323216,103.85896109750914,126.43699611870679,295.7613653840615,60.728911341670425,155.50361248729945
0.54,1.3977,0.0518,0.006,,,,,,
