Depth,Qc,Fc,u
0,-0.0023,0,-0.0002
0.01,0.8233,0,-0.0008
0.02,0.8233,0,-0.0006
0.03,1.4899,0,-0.0004
0.04,1.6605,0,0
0.05,1.614,0.0029,-0.0002
0.06,1.4202,0.0057,-0.0008
0.07,1.4202,0.0115,-0.0008
0.08,1.414,0.0229,-0.0009
0.09,1.4113,0.0458,-0.001
0.09999999,1.4868,0.0458,-0.001
0.11,1.5623,0.0523,-0.001
0.12,1.7147,0.0533,-0.001
0.13,1.8581,0.0543,-0.001
0.14,1.8814,0.0534,-0.0006
0.15,1.9279,0.0545,-0.0008
0.16,1.8814,0.0577,-0.0001
0.17,1.8078,0.0632,0.0005
0.18,1.8078,0.0683,0.0021
0.19,1.7147,0.0691,0.0061
0.2,1.6527,0.0692,0.004
0.21,1.6527,0.0691,0.004
0.22,1.5946,0.0691,0.003
0.23,1.5403,0.0691,0.002
0.2400001,1.4744,0.0658,0.0022
0.2500001,1.393,0.0637,0.0005
0.2600001,1.3,0.0602,-0.0079
0.27,1.2225,0.0571,-0.0135
0.28,1.145,0.0543,-0.0161
0.29,1.145,0.0543,-0.0162
0.3,1.0054,0.0481,-0.0148
0.31,1.0054,0.0455,-0.0135
0.32,0.955,0.0455,-0.0107
0.33,0.9163,0.0434,-0.0039
0.34,0.8891,0.0433,0.0011
0.35,0.8814,0.0431,0.0076
0.36,0.8659,0.0432,0.0175
0.3699999,0.8591,0.043,0.0175
0.3799999,0.8594,0.0427,0.0232
0.3899999,0.8597,0.0421,0.0252
0.3999999,0.8626,0.0421,0.0252
0.4099999,0.8698,0.0403,0.0227
0.4199999,0.8736,0.0403,0.0213
0.4299999,0.862,0.0388,0.0189
0.4399999,0.8233,0.0367,0.016
0.4499999,0.7806,0.0321,0.0068
0.4599999,0.7109,0.0275,0.0066
0.4699998,0.6566,0.0287,0.0066
0.4799998,0.6566,0.027,0.0079
0.4899998,0.5868,0.0251,0.0093
0.4999998,0.5868,0.0238,0.0093
0.5099998,0.5752,0.0238,0.0126
0.5199998,0.5866,0.0224,0.0168
0.5299998,0.598,0.022,0.035
0.5399998,0.6285,0.0216,0.0532
0.5499998,0.6953,0.0216,0.0452
0.5599998,0.6682,0.0205,0.0525
0.5699998,0.6411,0.0198,0.0502
0.5799997,0.6256,0.0192,0.0337
0.5899997,0.6256,0.0186,0.0337
0.5999997,0.5558,0.018,0.0334
0.6099997,0.5461,0.0174,0.0333
0.6199997,0.5364,0.0174,0.034
0.6299997,0.5364,0.0154,0.0347
0.6399997,0.4744,0.0154,0.0383
0.6499997,0.4395,0.0144,0.0372
0.6599997,0.4163,0.0135,0.0387
0.6699997,0.393,0.0125,0.0393
0.6799996,0.3814,0.0116,0.0385
0.6899996,0.362,0.0104,0.0374
0.6999996,0.362,0.0104,0.0374
0.7099996,0.3,0.0083,0.0341
0.7199996,0.3,0.0073,0.0341
0.7299996,0.2845,0.0073,0.0334
0.7399996,0.2748,0.0073,0.0326
0.7499996,0.2762,0.0073,0.0325
0.7599996,0.2775,0.009,0.0324
0.7699996,0.285,0.009,0.0324
0.7799996,0.3025,0.015,0.0347
0.7899995,0.3388,0.015,0.037
0.7999995,0.4434,0.0184,0.0408
0.8099995,0.6101,0.0212,0.0446
0.8199995,0.8155,0.0229,0.0446
0.8299995,1.0016,0.0243,0.0194
0.8399995,1.1101,0.0243,-0.0262
0.8499995,1.1101,0.0242,-0.0262
0.8599995,1.1062,0.024,-0.0356
0.8699995,1.1062,0.0236,-0.0361
0.8799995,1.0364,0.0232,-0.0358
0.8899994,0.9473,0.0232,-0.0355
0.8999994,0.8388,0.0186,-0.0346
0.9099994,0.7302,0.0158,-0.0315
0.9199994,0.6488,0.013,-0.0293
0.9299994,0.5674,0.0112,-0.0281
0.9399994,0.4822,0.0097,-0.0262
0.9499994,0.4531,0.0089,-0.0243
0.9599994,0.424,0.0082,-0.0243
0.9699994,0.424,0.0082,-0.0225
0.9799994,0.3504,0.0057,-0.0207
0.9899994,0.3349,0.0047,-0.0191
0.9999993,0.3233,0.0046,-0.018
1.009999,0.3078,0.0045,-0.0176
1.019999,0.2922,0.0045,-0.0163
1.029999,0.2845,0.0045,-0.0153
1.039999,0.2806,0.0049,-0.0153
1.049999,0.2801,0.0053,-0.0144
1.059999,0.2799,0.0055,-0.0134
1.069999,0.2841,0.0055,-0.013
1.079999,0.2884,0.0055,-0.0119
1.089999,0.3271,0.0054,-0.0115
1.099999,0.3659,0.0035,-0.0115
1.109999,0.4085,0.0042,-0.0102
1.119999,0.4085,0.0048,-0.0102
1.129999,0.4938,0.0062,-0.0125
1.139999,0.5946,0.0747,-0.0167
1.149999,0.5946,0.0897,-0.0167
1.159999,1.7612,0.1196,-0.0331
1.169999,4.3814,0.1662,-0.0438
1.179999,6.6837,0.1772,-0.0472
1.189999,10.252,0.2041,-0.0471
1.199999,10.252,0.2638,-0.0469
1.209999,18.0478,0.2677,-0.0464
1.219999,24.0937,0.2951,-0.0073
1.229999,25.7623,0.3643,-0.0077
1.239999,27.0902,0.4109,-0.0072
1.249999,27.2141,0.4327,-0.0068
1.259999,24.1363,0.4412,-0.0052
1.269999,19.2886,0.4416,-0.0065
1.279999,15.516,0.4407,-0.0063
1.289999,13.385,0.4397,-0.0065
1.299999,11.1499,0.4122,-0.0063
1.309999,7.2341,0.3846,-0.0062
1.319999,4.9473,0.3627,-0.002
1.329999,3.145,0.3186,0.0009
1.339999,0.4899,0.2791,0.0042
1.349999,0.2457,0.2393,0.0047
1.359999,0.2046,0.1669,0.0057
1.369999,0.2275,0.0974,0.0179
1.379999,0.2505,0.0737,0.0042
1.389999,0.3,0.0481,0.0032
1.399999,0.2806,0.0247,-0.001
1.409999,0.2729,0.0201,-0.002
1.419999,0.2419,0.0083,0.0003
1.429999,0.2341,0.0081,0.0025
1.439999,0.2419,0.0081,0.0074
1.449999,0.2225,0.0081,0.0269
1.459999,0.2173,0.008,0.0416
1.469999,0.2162,0.008,0.0624
1.479999,0.2194,0.008,0.0736
1.489999,0.2225,0.0081,0.0759
1.499999,0.2826,0.0082,0.0708
1.509999,0.3426,0.0085,0.04
1.519999,0.3736,0.0085,0.0259
1.529999,0.3775,0.0087,0.0189
1.539999,0.3698,0.009,0.0155
1.549999,0.3632,0.009,0.0146
1.559999,0.3634,0.009,0.0185
1.569999,0.3635,0.009,0.0224
1.579999,0.3659,0.0085,0.0307
1.589999,0.3814,0.0085,0.0313
1.599999,0.3814,0.0067,0.0313
1.609999,0.3775,0.0058,0.0279
1.619999,0.3426,0.0058,0.029
1.629999,0.2961,0.0057,0.03
1.639999,0.2983,0.0056,0.0334
1.649999,0.3005,0.0056,0.0334
1.659999,0.3103,0.0054,0.0559
1.669999,0.331,0.0055,0.0652
1.679999,0.393,0.0057,0.0578
1.689999,0.4434,0.006,0.0601
1.699999,0.4434,0.0063,0.0601
1.709999,0.5519,0.0065,0.0553
1.719999,0.707,0.0065,0.0147
1.729999,0.707,0.0066,0.0147
1.739999,0.7147,0.0066,-0.0011
1.749999,0.5713,0.0066,-0.0016
1.759999,0.4667,0.0062,-0.0011
1.769999,0.3853,0.0059,-0.0006
