d,vs
2.00,238
2.50,207
3.00,161
3.50,198
4.00,306
4.50,251
5.00,261
5.50,167
6.00,242
6.50,111
7.00,298
7.50,212
8.00,198
8.50,204
9.00,205
9.50,164
10.00,214
10.50,247
11.00,268
11.50,228
12.00,271
12.50,275
13.00,253
13.50,364
14.00,317
14.50,172
15.00,231
15.50,333
16.00,289
16.50,293
17.00,289
17.50,261
18.00,349
18.50,281
19.00,274
19.50,278
20.00,254
20.50,222
21.00,246
21.50,226
22.00,287
22.50,260
23.00,309
23.50,269
24.00,282
24.50,401
25.00,383
25.50,393
26.00,292
26.50,502
27.00,349
27.50,379
28.00,379
28.50,343
29.00,651
29.50,641
