File Name, max_depth of CPT, Vsz_Hegazy 2006, Vs30_Boore 2004, Vsz_Andrus 2007-H, Vs30_Boore 2004, Vsz_Andrus 2007-P, Vs30_Boore 2004, Vsz_Robertson 2009, Vs30_Boore 2004, Vsz_McGann 2015, Vs30_Boore 2004,Vsz_McGann 2018, Vs30_Boore 2004
CPT_93615_Rep01, 14.00, 273.51, 332.39, 158.66, 189.72, 193.15, 232.32, 206.78, 249.22, 130.40, 155.03, 271.16, 329.46
CPT_91971_Rep01, 15.00, 139.21, 163.63, 143.41, 168.69, 174.59, 206.43, 154.18, 181.71, 107.24, 125.18, 211.37, 251.19
CPT_91972_Rep01, 22.00, 166.98, 181.70, 168.09, 182.91, 204.64, 222.87, 179.10, 194.95, 138.29, 150.35, 281.20, 306.68
CPT_91951_Rep01, 29.00, 123.77, 124.80, 170.46, 171.95, 207.52, 209.39, 166.45, 167.90, 148.06, 149.32, 285.42, 288.13
CPT_66997_Rep01, 19.00, 180.09, 203.00, 132.39, 148.69, 161.17, 181.44, 156.47, 176.08, 112.34, 125.93, 271.25, 307.22
CPT_156430_Rep01, 19.00, 200.86, 226.70, 123.52, 138.62, 150.37, 169.14, 172.74, 194.61, 96.82, 108.35, 224.00, 253.14
SCPT_163043_Rep01, 16.00, 111.85, 129.15, 100.45, 115.69, 122.29, 141.50, 116.21, 134.31, 86.51, 99.28, 210.52, 246.74
CPT_91957_Rep01, 28.00, 194.23, 197.78, 203.92, 207.68, 248.25, 252.98, 218.27, 222.34, 174.30, 177.43, 320.67, 327.04
CPT_185461_Rep01, 24.00, 102.25, 108.45, 127.36, 135.20, 155.05, 164.74, 123.14, 130.70, 115.93, 123.01, 273.23, 291.00
CPT_156427_Rep01, 29.00, 147.15, 148.40, 135.56, 136.70, 165.03, 166.46, 162.66, 164.07, 115.65, 116.59, 261.53, 263.99
CPT_91950_Rep01, 17.00, 160.83, 185.29, 121.95, 139.77, 148.47, 170.79, 146.42, 168.38, 101.82, 116.29, 233.64, 271.09
