File Name, max_depth of CPT, Vsz_Andrus 2007-H, Vsz_Andrus 2007-P, Vsz_Robertson 2009, Vsz_McGann 2015,Vsz_McGann 2018
CPT_93615_Rep01,14,158.66,193.15,206.78,130.4,271.16
CPT_91971_Rep01,15,143.41,174.59,154.18,107.24,211.37
CPT_91972_Rep01,22,168.09,204.64,179.1,138.29,281.2
CPT_91951_Rep01,29,170.46,207.52,166.45,148.06,285.42
CPT_66997_Rep01,19,132.39,161.17,156.47,112.34,271.25
CPT_156430_Rep01,19,123.52,150.37,172.74,96.82,224
SCPT_163043_Rep01,16,100.45,122.29,116.21,86.51,210.52
CPT_91957_Rep01,28,203.92,248.25,218.27,174.3,320.67
CPT_185461_Rep01,24,127.36,155.05,123.14,115.93,273.23
CPT_156427_Rep01,29,135.56,165.03,162.66,115.65,261.53
CPT_91950_Rep01,17,121.95,148.47,146.42,101.82,233.64
CPT_91925_Rep01,16,167.87,204.37,209.55,132.81,285.19
CPT_76072_Rep01,14,184.72,224.88,248.94,136.05,284.85
CPT_139731_Rep01,23,176.59,214.98,204.99,147.21,284.32
CPT_66995_Rep01,19,144.72,176.18,169.37,121.71,287
CPT_126784_Rep01_3,15,50.96,62.04,163.7,65.1,224.81
CPT_91919_Rep01,20,173.5,211.22,191.33,140.95,286.52
CPT_91956_Rep01,24,150.68,183.44,159.1,126.37,264.43
CPT_91920_Rep01,21,181.74,221.25,208.38,148.06,300.51
CPT_91960_Rep01,19,183.88,223.85,199.2,147.23,289.62
CPT_91962_Rep01,21,187.08,227.74,214.18,152.29,304.31
CPT_91968_Rep01,18,155.87,189.76,179.95,126.08,255.6
SCPT_163107_Rep01,19,101.05,123.02,102.2,91.19,223.62
CPT_91952_Rep01,27,167.59,204.02,180.64,143.6,281.57
CPT_121824_Rep01,24,124.95,152.11,103.18,111.28,232.71
CPT_91964_Rep01,29,191.58,233.23,196.89,166.07,315.33
CPT_192322_Rep01,17,168.14,204.69,182.83,133.38,258.66
CPT_156429_Rep01,29,159.62,194.32,177.32,131.91,272.32
CPT_126784_Rep01_2,16,53.18,64.74,162.57,67.53,230.24
CPT_66982_Rep01_2,19,135.99,165.55,109.57,115.49,269.49
CPT_91982_Rep01,27,171.81,209.16,67.8,146.66,286.99
CPT_91981_Rep01,28,172.31,209.77,33.27,150.41,298.66
CPT_91941_Rep01,28,170.13,207.11,176.72,148.73,282.84
CPT_66982_Rep01,20,138.67,168.82,112.22,118.38,273.75
CPT_139730_Rep01,15,150.25,182.92,198.85,118.68,244.49
CPT_126784_Rep01_1,17,55.24,67.25,160.47,69.78,235.31
CPT_91949_Rep01,28,142.86,173.92,158.98,123.89,279.73
CPT_100699_Rep01,25,198.57,241.74,206.04,165.62,322.33
CPT_121811_Rep01,23,145.97,177.71,151.52,124.04,261.69
CPT_91934_Rep01,13,132.13,160.86,173.26,101.57,233.14
CPT_156434_Rep01,29,158.88,193.42,180.06,128.28,262.18
CPT_91983_Rep01,28,177.28,215.82,182.81,152.37,294.34
CPT_124014_Rep01,14,161.19,196.23,197.55,125.66,255.9
CPT_91956_Rep01_2,17,143.27,174.41,170.37,113.24,240.26
CPT_91963_Rep01,25,185.95,226.37,201.85,154.97,304.67
CPT_91980_Rep01,19,158,192.35,188.01,125.93,258.59
CPT_141746_Rep01,18,110.52,134.55,11.77,100.11,251.48
CPT_121825_Rep01,18,117.58,143.15,132.81,98.18,220.73
CPT_123151_Rep01,23,135.57,165.04,238.33,132.09,313.25
CPT_67001_Rep01,24,127.08,154.71,139.02,113.32,269.14
CPT_126784_Rep01,18,57.69,70.23, nan,72.52,241.61
CPT_91926_Rep01,19,149.69,182.23,176.09,122.25,270.64
CPT_123167_Rep01,24,125.37,152.62,156.71,113.92,268.99
