Lat,Lon,Vs30,uncertainty,xcoord,ycoord,gid,tid
-43.291569,172.714373,220.5,0.2,1576829.39214948,5206766.53155217,10,16
-43.304781,172.606226,225.3,0.2,1568063.20919338,5205263.61501424,4,16
-43.307775,172.641398,185.6,0.2,1570917.2417464,5204943.96443647,10,16
-43.300348,172.680375,160.5,0.2,1574075.13752549,5205781.59801193,10,16
-43.309414,172.700931,199.9,0.2,1575746.04526709,5204780.95326357,6,16
-43.30795,172.605912,227.9,0.2,1568039.40273343,5204911.56343585,4,16
-43.312292,172.625507,200.3,0.2,1569630.72359472,5204436.67597995,10,16
-43.312292,172.625507,200.3,0.2,1569630.72359472,5204436.67597995,10,16
-43.316725,172.666176,151.5,0.2,1572930.72090892,5203958.35557594,10,16
-43.312914,172.699869,200.5,0.2,1575661.31561519,5204391.95375526,6,16
-43.312998,172.700026,213.5,0.2,1575674.08081135,5204382.67091625,6,16
-43.329064,172.667753,180.7,0.2,1573064.04949081,5202588.56152214,10,16
-43.329175,172.667762,170.5,0.2,1573064.82818946,5202576.23734,10,16
-43.334813,172.681705,184.8,0.2,1574197.60158906,5201954.51341905,10,16
-43.328956,172.685334,217.8,0.2,1574489.33315911,5202606.07692462,10,16
-43.355683,172.664438,209.1,0.2,1572807.17865355,5199631.31151322,6,16
-43.351851,172.676969,214.9,0.2,1573821.00245557,5200060.88217035,10,16
-43.357683,172.664722,209.7,0.2,1572831.0854004,5199409.29328745,6,16
-43.37236,172.668385,257.6,0.2,1573134.39087616,5197780.51740831,6,16
-43.3706,172.698434,196.2,0.2,1575568.08919497,5197985.21299246,6,15
-43.370628,172.698693,194.3,0.2,1575589.08378587,5197982.17924573,6,15
-43.37577,172.632733,259.8,0.2,1570247.72836267,5197389.71994911,10,16
-43.380924,172.642402,205.7,0.2,1571033.4675092,5196820.74126071,10,15
-43.379962,172.653476,208.9,0.2,1571930.05225115,5196931.36284364,10,15
-43.378611,172.665096,223.6,0.2,1572870.7209683,5197085.24371852,10,15
-43.380526,172.673111,237.6,0.2,1573520.8189419,5196875.14721293,10,16
-43.376582,172.703006,172,0.2,1575940.86309756,5197322.20666815,6,15
-43.382671,172.630709,210.7,0.2,1570087.15688741,5196622.59990073,10,15
-43.387448,172.645153,206.8,0.2,1571259.38932554,5196097.16411319,10,15
-43.384741,172.657056,198.3,0.2,1572222.22999055,5196401.82528576,6,16
-43.385894,172.667663,210.6,0.2,1573081.88627926,5196277.25552755,10,16
-43.386119,172.673357,206.4,0.2,1573543.17815335,5196254.08977096,10,16
-43.386202,172.703096,190.8,0.2,1575951.95646049,5196253.87565525,6,15
-43.393317,172.642431,181.5,0.2,1571041.71684472,5195444.43472004,10,15
-43.394084,172.658973,203.1,0.2,1572381.74576709,5195364.86568218,6,15
-43.393943,172.661192,201.3,0.2,1572561.38917684,5195381.25705374,10,16
-43.399631,172.693299,187.7,0.2,1575163.92248918,5194759.63280005,10,16
-43.397325,172.701158,191.1,0.2,1575799.4123036,5195018.03896944,6,255
-43.403076,172.644162,175.9,0.2,1571186.52935643,5194361.23703854,10,16
-43.40322,172.650239,208.1,0.2,1571678.67313326,5194347.32693334,6,16
-43.404541,172.667903,202.4,0.2,1573109.57198836,5194206.4697072,6,15
-43.40685,172.693864,202,0.2,1575212.61859716,5193958.08586887,6,16
-43.402828,172.701121,191.3,0.2,1575798.60643859,5194406.88606224,6,255
-43.41438,172.605116,207.1,0.2,1568030.77870109,5193091.62254836,10,16
-43.411652,172.646954,173.3,0.2,1571416.64057213,5193409.77871405,10,15
-43.411341,172.647971,169.9,0.2,1571498.83328959,5193444.66544053,10,15
-43.413022,172.692756,206.3,0.2,1575125.43137609,5193272.31590787,6,15
-43.423735,172.654082,201.3,0.2,1571999.30748383,5192070.30152664,6,16
-43.425712,172.690262,202.6,0.2,1574928.7528554,5191862.26096635,6,16
-43.434764,172.646424,175.7,0.2,1571384.61855042,5190842.8552038,10,16
-43.430833,172.650331,202.2,0.2,1571698.98580359,5191280.75384768,10,15
-43.435677,172.677851,196.9,0.2,1573928.44150253,5190751.77203633,6,16
-43.430711,172.692751,192.3,0.2,1575132.26771501,5191307.83403363,10,16
-43.430665,172.70147,194.1,0.2,1575837.93721472,5191315.50734405,6,16
-43.444593,172.633898,165.9,0.2,1570375.66765437,5189746.89865419,10,15
-43.437562,172.645679,180.8,0.2,1571325.64587383,5190531.86186033,10,16
-43.437414,172.647138,182.3,0.2,1571443.6497514,5190548.79930205,10,16
-43.44115,172.665996,194.4,0.2,1572971.45054788,5190140.18018192,10,16
-43.435874,172.677987,196.3,0.2,1573939.53254661,5190729.93636874,6,16
-43.434788,172.695304,185.9,0.2,1575340.55474329,5190855.81398666,6,15
-43.450541,172.61136,171.5,0.2,1568555.0120194,5189078.07057605,10,16
-43.448796,172.616995,166.3,0.2,1569010.05114952,5189273.97686873,10,16
-43.449766,172.632835,137.3,0.2,1570292.18325661,5189172.02156556,10,15
-43.447231,172.641276,194,0.2,1570973.9443044,5189456.52681548,10,16
-43.451396,172.649906,176.4,0.2,1571674.18265005,5188996.94411156,10,16
-43.44511,172.666674,211.1,0.2,1573028.07560455,5189700.61400754,10,15
-43.46112,172.609337,196.2,0.2,1568396.84011373,5187902.4295715,10,16
-43.457635,172.619786,180.3,0.2,1569240.35876601,5188293.37606898,10,16
-43.458712,172.622252,169.8,0.2,1569440.4028678,5188174.67494647,10,16
-43.454537,172.643244,169.2,0.2,1571136.65917273,5188645.82661549,10,16
-43.457274,172.65334,224.1,0.2,1571954.74145645,5188345.31136331,10,16
-43.459647,172.666192,208.9,0.2,1572995.54224452,5188086.01905933,6,15
-43.470743,172.610908,188.7,0.2,1568528.92087548,5186834.31791685,10,15
-43.469948,172.615909,180.7,0.2,1568933.01183372,5186924.48643264,10,15
-43.4649,172.63453,164.4,0.2,1570436.70217168,5187491.88284901,10,16
-43.46671,172.642996,153.6,0.2,1571122.38898982,5187293.83898934,10,16
-43.464813,172.653682,212,0.2,1571985.89086003,5187508.16474091,10,15
-43.467096,172.666883,203.2,0.2,1573054.75151701,5187258.97602932,1,15
-43.471565,172.704101,197.8,0.2,1576067.01507653,5186774.02839459,6,15
-43.479317,172.582265,193.1,0.2,1566216.95254201,5185870.88648461,10,16
-43.479485,172.588231,180.8,0.2,1566699.52737064,5185854.63204154,10,15
-43.477254,172.607364,196.2,0.2,1568245.67927956,5186109.87599501,10,16
-43.476259,172.615172,167.6,0.2,1568876.63882446,5186223.32636743,10,15
-43.474582,172.629785,200.3,0.2,1570057.65317634,5186414.92817397,10,16
-43.47663,172.666125,206.7,0.2,1572997.68318433,5186199.90737205,6,16
-43.473903,172.677766,204.4,0.2,1573937.98382871,5186506.47064168,1,15
-43.47639,172.691768,182.8,0.2,1575071.47682729,5186234.55718104,6,15
-43.476241,172.703515,180.4,0.2,1576021.46692636,5186254.55440792,6,15
-43.476098,172.714195,210.1,0.2,1576885.16894029,5186273.45563309,6,15
-43.483588,172.573714,199.8,0.2,1565527.84418479,5185393.05354715,10,16
-43.484087,172.581364,209.1,0.2,1566146.75035279,5185340.77459422,10,16
-43.483863,172.59151,185.6,0.2,1566967.09140745,5185369.72696524,10,15
-43.480251,172.608208,174.3,0.2,1568315.50368337,5185777.35736354,10,15
-43.48804,172.620745,160.9,0.2,1569333.32089322,5184917.02197637,10,15
-43.483334,172.62967,174.5,0.2,1570052.67504329,5185442.90930117,10,16
-43.483758,172.668089,203.5,0.2,1573159.67836427,5185408.92266202,6,16
-43.484549,172.679649,192.2,0.2,1574094.82810301,5185324.73760239,1,16
-43.488806,172.689554,180.7,0.2,1574897.55889667,5184854.99844749,3,15
-43.485695,172.70336,193,0.2,1576012.67168497,5185204.56976132,6,16
-43.48711,172.715646,207.1,0.2,1577006.69698215,5185050.88933883,6,15
-43.493866,172.591093,176.6,0.2,1566938.82677929,5184258.64846084,10,16
-43.494423,172.604164,163.8,0.2,1567995.94552703,5184201.89743164,10,16
-43.491979,172.618748,176.7,0.2,1569173.84609607,5184478.82704103,1,16
-43.497066,172.631161,184.8,0.2,1570180.00397084,5183918.39636497,10,15
-43.49831,172.641899,175.9,0.2,1571048.74770998,5183784.03090539,10,15
-43.494301,172.658665,212.2,0.2,1572402.39717144,5184234.9577049,10,15
-43.491567,172.66623,224.2,0.2,1573012.82520736,5184541.07051791,6,15
-43.497661,172.67695,186.2,0.2,1573882.22426152,5183867.70224821,10,15
-43.49454,172.691189,188.7,0.2,1575032.12615382,5184218.6837483,6,15
-43.493991,172.705307,185.2,0.2,1576173.37423469,5184283.79232822,6,16
-43.494114,172.716603,199,0.2,1577086.72945865,5184273.30342849,6,15
-43.490824,172.723562,205,0.2,1577648.16682733,5184640.57611128,6,15
-43.502841,172.542524,205.5,0.2,1563017.37324773,5183241.46573443,10,16
-43.507569,172.592543,217.6,0.2,1567063.51298853,5182737.39268461,10,16
-43.50391,172.604849,190,0.2,1568056.33092946,5183148.55170471,10,15
-43.502737,172.617001,175,0.2,1569038.08955329,5183283.41532692,10,16
-43.502581,172.628048,175.5,0.2,1569931.06012219,5183304.7906547,10,15
-43.502627,172.642838,181.4,0.2,1571126.72002721,5183304.91896078,10,15
-43.503099,172.653774,179.7,0.2,1572011.01422052,5183256.23517498,10,16
-43.500011,172.665404,198.2,0.2,1572949.80790468,5183603.02812442,10,16
-43.503149,172.677544,179.9,0.2,1573932.60888524,5183258.40135044,10,15
-43.50344,172.691969,168.3,0.2,1575098.8482651,5183230.50022308,10,15
-43.502749,172.703751,197.1,0.2,1576051.02961951,5183310.69901849,10,15
-43.503465,172.715921,185.7,0.2,1577035.13253794,5183234.61124819,6,15
-43.509462,172.544074,225.4,0.2,1563146.70455164,5182506.83594851,10,16
-43.513243,172.570869,196.9,0.2,1565314.75887498,5182098.44133289,10,16
-43.512282,172.582344,194.1,0.2,1566241.71044817,5182209.88756269,10,16
-43.51077,172.591135,234.9,0.2,1566951.44481435,5182381.33663223,10,15
-43.513671,172.607019,209.4,0.2,1568236.87100712,5182065.34167465,10,15
-43.512299,172.616471,175.2,0.2,1569000.13783322,5182221.2783376,10,16
-43.514469,172.629037,181.9,0.2,1570016.89695348,5181984.8859959,10,15
-43.51226,172.641987,192.5,0.2,1571062.52662124,5182234.79873919,1,16
-43.51201,172.654476,193.9,0.2,1572071.87285273,5182266.83050362,10,16
-43.512082,172.666601,194.4,0.2,1573051.94896938,5182262.83215248,10,15
-43.512821,172.679782,174.8,0.2,1574117.6622935,5182184.94405028,10,15
-43.512523,172.690953,186.1,0.2,1575020.46098051,5182221.4533401,10,15
-43.51233,172.703655,190.1,0.2,1576047.05780955,5182246.62210516,6,15
-43.511901,172.715789,175.6,0.2,1577027.66119533,5182297.68728238,3,15
-43.512466,172.729638,194.4,0.2,1578147.25892396,5182238.66923764,6,15
-43.521683,172.582225,205,0.2,1566237.33396204,5181165.77801827,10,16
-43.52235,172.592162,209.7,0.2,1567040.76072823,5181095.6863521,10,15
-43.520968,172.604272,201.1,0.2,1568018.69561287,5181253.89542326,10,16
-43.52136,172.617582,212.5,0.2,1569094.56259557,5181215.39051026,10,15
-43.521761,172.629069,178.2,0.2,1570023.09356312,5181175.05879171,10,16
-43.520443,172.641148,178.2,0.2,1570998.63115767,5181325.71511349,1,16
-43.520321,172.65476,184.2,0.2,1572098.65768271,5181343.91886389,10,15
-43.520489,172.667666,166.5,0.2,1573141.76008282,5181329.50800275,6,16
-43.520693,172.678448,193.5,0.2,1574013.21713004,5181310.27604955,10,15
-43.521723,172.69123,192.2,0.2,1575046.64169595,5181199.79858993,6,15
-43.519369,172.704435,192.3,0.2,1576112.88033872,5181465.10602707,6,15
-43.519341,172.712252,186.4,0.2,1576744.62807963,5181470.43013979,3,16
-43.525123,172.737221,199.1,0.2,1578764.61498979,5180834.96554462,6,255
