Filename,NZTM_X,NZTM_Y,NZGD_Depth,Depth,Vs30,NZGD_Rounddown_Depth,gid,tid
CPT_10001_measurement_num_0,1570256.81,5178665.74,23.34,23,146.6,23,10,16
CPT_10002_measurement_num_0,1571351.91,5180852.63,20.0,19,167.04,20,10,16
CPT_10003_measurement_num_0,1571621.24,5179830.33,27.3,27,168.86,27,10,16
CPT_10004_measurement_num_0,1571595.25,5179847.32,27.24,27,167.0,27,10,16
CPT_10005_measurement_num_0,1570681.58,5180752.94,20.06,20,156.14,20,10,15
CPT_10007_measurement_num_0,1570646.59,5180732.95,16.24,16,161.88,16,10,15
CPT_10008_measurement_num_0,1571874.57,5180614.56,18.76,18,153.24,18,10,15
CPT_10010_measurement_num_0,1571560.32,5180772.64,16.26,16,162.19,16,10,13
CPT_10012_measurement_num_0,1571602.58,5181066.05,15.42,15,149.79,15,10,15
CPT_10013_measurement_num_0,1573937.02,5182068.18,20.02,20,181.78,20,10,15
CPT_10014_measurement_num_0,1573571.29,5181935.11,16.48,16,170.94,16,10,15
CPT_10020_measurement_num_0,1573640.71,5181902.26,16.52,16,166.45,16,10,15
CPT_10021_measurement_num_0,1573742.53,5181966.29,20.51,20,168.96,20,10,15
CPT_10022_measurement_num_0,1573206.27,5182577.38,20.0,19,168.74,20,10,15
CPT_10025_measurement_num_0,1571489.46,5196989.62,10.46,10,252.79,10,10,15
CPT_100360_measurement_num_0,1744528.96,5923061.79,11.05,10,194.38,11,12,9
CPT_100374_measurement_num_0,1570065.1,5182794.96,20.21,20,160.37,20,10,15
CPT_100375_measurement_num_0,1570088.5,5182802.84,20.23,20,164.44,20,10,15
CPT_100380_measurement_num_0,1579072.5,5176350.89,22.19,22,149.62,22,6,255
CPT_10039_measurement_num_0,1575364.75,5191197.29,20.01,19,179.39,20,6,16
CPT_10043_measurement_num_0,1579731.52,5177559.15,20.04,20,185.96,20,6,15
CPT_100454_measurement_num_0,1573105.0,5179227.0,10.0,10,146.05,10,6,15
CPT_100457_measurement_num_0,1573105.0,5179270.0,10.0,10,120.78,10,6,15
CPT_100460_measurement_num_0,1573014.0,5179321.0,10.0,10,136.91,10,6,15
CPT_100462_measurement_num_0,1573148.0,5179248.0,10.0,10,144.17,10,6,15
CPT_100463_measurement_num_0,1573063.0,5179295.0,10.0,10,137.39,10,6,15
CPT_100464_measurement_num_0,1573005.0,5179304.0,10.0,10,146.13,10,6,15
CPT_100465_measurement_num_0,1572970.0,5179344.0,10.0,10,145.15,10,6,15
