easting,northing,Vs30,uncertainty,station,q,gid,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv
1576480.11040564,5207643.26943023,224.85387,0.2,NA,255,6,211.89963,0.31248862,16,238.32666,0.38188857
1577001.15247628,5207261.89818414,205.06209,0.2,NA,255,6,217.67502,0.31248862,16,238.32666,0.38188857
1573315.25142704,5206270.3514768,164.72166,0.2,NA,255,10,197,0.26063582,16,238.32666,0.38188857
1573808.0613481,5206002.93866306,151.65314,0.2,NA,255,10,197,0.26063582,15,227.4589,0.32270417
1576829.95183842,5206767.58601935,220.53214,0.2,NA,255,6,217.4745,0.31248862,16,238.32666,0.38188857
1568063.6539701,5205264.81817215,225.27951,0.2,NA,255,4,256.94333,0.44912073,16,238.32666,0.38188857
1570917.60632844,5204945.38420422,185.5686,0.2,NA,255,10,197,0.26063582,16,238.32666,0.38188857
1574075.70638379,5205783.01372625,160.4534,0.2,NA,255,10,197,0.26063582,16,238.32666,0.38188857
1575746.55678221,5204782.3478861,199.89568,0.2,NA,255,6,210.48042,0.31248862,16,238.32666,0.38188857
1568039.90609857,5204912.9448416,227.85147,0.2,NA,255,4,258.11334,0.44912073,16,238.32666,0.38188857
1569631.06817741,5204438.09052374,200.34004,0.2,NA,255,10,197,0.26063582,16,238.32666,0.38188857
1572931.09190099,5203959.70859567,151.51978,0.2,NA,255,10,197,0.26063582,16,238.32666,0.38188857
1575661.82952855,5204392.99453929,200.48517,0.2,NA,255,6,216.96404,0.31248862,16,238.32666,0.38188857
1575674.57452298,5204383.99762161,213.54175,0.2,NA,255,6,216.96404,0.31248862,16,238.32666,0.38188857
1573064.51617869,5202589.7117941,180.70317,0.2,NA,255,10,197,0.26063582,15,227.4589,0.32270417
1573065.26568534,5202577.71621646,170.5126,0.2,NA,255,10,197,0.26063582,15,227.4589,0.32270417
1574198.08035335,5201955.92897979,184.84479,0.2,NA,255,10,197,0.26063582,16,238.32666,0.38188857
1574489.73267583,5202607.18184523,217.80423,0.2,NA,255,10,197,0.26063582,16,238.32666,0.38188857
1572807.56788589,5199632.3114869,209.11757,0.2,NA,255,6,204.76987,0.31248862,16,238.32666,0.38188857
1573821.4422439,5200062.1399689,214.86989,0.2,NA,255,10,197,0.26063582,16,238.32666,0.38188857
1572831.55620767,5199410.3937683,209.66026,0.2,NA,255,6,209.68175,0.31248862,16,238.32666,0.38188857
1573134.67501028,5197781.49868573,257.55875,0.2,NA,255,6,210.48042,0.31248862,16,238.32666,0.38188857
1575568.50315952,5197986.40043208,196.16525,0.2,NA,255,10,197,0.26063582,15,227.4589,0.32270417
1575589.49510989,5197983.40135616,194.31044,0.2,NA,255,10,197,0.26063582,15,227.4589,0.32270417
