File Name,Depth, Hegazy Vs, Andrus-H Vs,Andrus-P Vs, Rob Vs, Mc15 Vs,  Mc18 Vs
SCPT_195188_Raw01,0.01,9258.46,33.52,40.81,410.29,12.62,44.92
SCPT_195188_Raw01,0.03,8127.33,58.93,71.74,491.32,22.66,63.07
SCPT_195188_Raw01,0.05,5315.68,69.24,84.29,440.68,28.47,77.08
SCPT_195188_Raw01,0.07,4703.42,75.88,92.38,435.06,32.71,87.92
SCPT_195188_Raw01,0.09,3606.04,85.98,104.67,407.21,37.84,98.24
SCPT_195188_Raw01,0.11,3549.34,92.58,112.7,415.42,41.72,107.54
SCPT_195188_Raw01,0.13,3860.33,96.39,117.35,436.25,44.5,115.57
SCPT_195188_Raw01,0.15,4064.29,98.3,119.67,449.06,46.5,121.86
SCPT_195188_Raw01,0.17,4002.62,100.17,121.95,449.74,48.33,127.03
SCPT_195188_Raw01,0.19,3814.65,100.83,122.74,442.89,49.6,130.74
SCPT_195188_Raw01,0.21,3691.96,101.17,123.16,436.97,50.7,134.49
SCPT_195188_Raw01,0.23,3409.36,100.75,122.65,421.49,51.44,137.2
SCPT_195188_Raw01,0.25,3189.82,100.68,122.57,409.3,52.25,139.97
SCPT_195188_Raw01,0.27,3004.44,99.66,121.32,396.15,52.67,142.42
SCPT_195188_Raw01,0.29,2828.11,98.97,120.48,384.5,53.16,144.64
SCPT_195188_Raw01,0.31,2684.34,98.52,119.93,374.82,53.68,146.88
SCPT_195188_Raw01,0.33,2565.09,98.19,119.54,366.52,54.23,149.15
SCPT_195188_Raw01,0.35,2396.66,98.03,119.34,356.9,54.73,150.46
SCPT_195188_Raw01,0.37,2229.84,97.58,118.79,346.69,55.08,151.37
SCPT_195188_Raw01,0.39,2048.96,97.18,118.3,335.94,55.36,151.65
SCPT_195188_Raw01,0.41,1924.25,96.92,117.99,327.77,55.75,152.58
SCPT_195188_Raw01,0.43,1830.44,96.44,117.41,320.49,56.06,153.79
SCPT_195188_Raw01,0.45,1758.13,97.27,118.41,316.89,56.87,155.45
SCPT_195188_Raw01,0.47,1723.17,98.11,119.44,315.06,57.74,157.76
SCPT_195188_Raw01,0.49,1676.97,98.69,120.15,312.22,58.47,159.66
SCPT_195188_Raw01,0.51,1635.9,99.39,121,309.89,59.23,161.56
SCPT_195188_Raw01,0.53,1610.87,99.86,121.57,307.93,59.91,163.71
SCPT_195188_Raw01,0.55,1527.74,99.67,121.33,301.86,60.19,164.17
SCPT_195188_Raw01,0.57,1420.38,99.76,121.45,295,60.48,163.79
SCPT_195188_Raw01,0.59,1366.01,99.49,121.12,290.18,60.74,164.6
SCPT_195188_Raw01,0.61,1339.44,99.49,121.11,287.38,61.16,166.16
SCPT_195188_Raw01,0.63,1300.31,100.14,121.9,285.09,61.79,167.34
SCPT_195188_Raw01,0.65,1281.14,101,122.95,284.3,62.54,169.11
SCPT_195188_Raw01,0.67,1238.34,101.82,123.96,282.1,63.21,170.05
SCPT_195188_Raw01,0.69,1200.56,101.71,123.82,278.53,63.49,170.86
SCPT_195188_Raw01,0.71,1144.02,101.37,123.41,273.47,63.61,170.86
SCPT_195188_Raw01,0.73,1099.2,100.91,122.85,268.86,63.68,171.11
SCPT_195188_Raw01,0.75,1071.37,101.16,123.16,266.53,64.11,172.06
SCPT_195188_Raw01,0.77,1051.19,101.14,123.13,264.22,64.43,173.19
SCPT_195188_Raw01,0.79,1011.82,100.64,122.52,259.9,64.46,173.34
SCPT_195188_Raw01,0.81,997.85,100.24,122.03,257.43,64.63,174.52
SCPT_195188_Raw01,0.83,985.72,100.22,122.01,255.72,64.96,175.82
SCPT_195188_Raw01,0.85,981.84,100.75,122.65,255.44,65.55,177.56
SCPT_195188_Raw01,0.87,975.63,101.22,123.22,254.94,66.1,179.15
SCPT_195188_Raw01,0.89,966.47,101.08,123.06,253.31,66.38,180.46
SCPT_195188_Raw01,0.91,956.7,101.31,123.33,252.21,66.79,181.78
SCPT_195188_Raw01,0.93,943.08,101.05,123.02,250.13,66.98,182.79
SCPT_195188_Raw01,0.95,908.79,100.53,122.39,246.22,66.94,182.69
SCPT_195188_Raw01,0.97,884.56,100.32,122.13,243.49,67.08,183.07
SCPT_195188_Raw01,0.99,859.93,100.23,122.02,240.9,67.25,183.38
SCPT_195188_Raw01,1.01,849.4,100.4,122.22,239.86,67.57,184.05
SCPT_195188_Raw01,1.03,836.47,100.33,122.14,238.31,67.76,184.52
SCPT_195188_Raw01,1.05,827.93,100.07,121.82,236.79,67.89,185.17
SCPT_195188_Raw01,1.07,819.75,100.4,122.23,236.2,68.28,185.93
SCPT_195188_Raw01,1.09,811.66,100.73,122.63,235.61,68.66,186.68
SCPT_195188_Raw01,1.11,807.5,101.75,123.87,236.32,69.37,187.77
SCPT_195188_Raw01,1.13,795.53,102.59,124.89,236.18,69.95,188.34
SCPT_195188_Raw01,1.15,788.94,103.79,126.35,236.97,70.73,189.28
SCPT_195188_Raw01,1.17,791.14,104.33,127.01,237.45,71.26,190.62
SCPT_195188_Raw01,1.19,777.98,104.51,127.23,236.26,71.53,190.94
SCPT_195188_Raw01,1.21,769.13,104.07,126.69,234.48,71.54,191.39
SCPT_195188_Raw01,1.23,755.23,103.21,125.64,231.73,71.32,191.41
SCPT_195188_Raw01,1.25,749.2,103.24,125.68,230.88,71.56,192.09
SCPT_195188_Raw01,1.27,740.2,103.34,125.81,229.9,71.8,192.57
SCPT_195188_Raw01,1.29,725.67,103.75,126.3,228.91,72.14,192.7
SCPT_195188_Raw01,1.31,725.8,104.19,126.84,229.13,72.6,193.82
SCPT_195188_Raw01,1.33,731.54,104.18,126.83,229.17,72.89,195.24
SCPT_195188_Raw01,1.35,729.55,104.14,126.78,228.55,73.1,196.11
SCPT_195188_Raw01,1.37,730.55,103.98,126.58,228.01,73.28,197.16
SCPT_195188_Raw01,1.39,731.36,103.49,125.99,227,73.3,198.13
SCPT_195188_Raw01,1.41,734.86,102.52,124.81,225.53,73.12,199.2
SCPT_195188_Raw01,1.43,720.97,101.67,123.77,222.88,72.87,199.08
SCPT_195188_Raw01,1.45,697.64,100.55,122.41,219.08,72.41,198.19
SCPT_195188_Raw01,1.47,674.51,99.57,121.21,215.48,72.01,197.27
SCPT_195188_Raw01,1.49,650.12,98.7,120.15,211.92,71.63,196.19
SCPT_195188_Raw01,1.51,627.42,98.79,120.26,209.79,71.7,195.29
SCPT_195188_Raw01,1.53,612.96,98.68,120.13,208.07,71.74,194.99
