File Key,,Start Depth,End Depth,Depth,Measured Vs,Qc,Fs,u,Ic,Subset_Region,Subset_Geology,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,A07-H,A07-P,R09,Mc15,Mc18
SCPT,36413,0,2,1,45,1.582836792,0.037063999,0.003795899,2.726251456,2,1,106.9696527,130.223925,241.0124841,66.73846794,163.8468879,-0.865882685,-1.062592979,-1.678186244,-0.394119028,-1.292269892
SCPT,36413,2,3,2.5,129,3.285239137,0.030333482,0.015581282,2.285495108,2,1,140.5027554,171.0468327,194.747874,100.9289921,215.7594878,-0.085414696,-0.28212499,-0.411893364,0.245395184,-0.5143519
SCPT,36413,3,4,3.5,134,4.949160669,0.037161286,0.004369213,2.085292627,2,1,158.4163124,192.8546412,197.2397657,119.6701357,242.1499659,-0.167386657,-0.364096951,-0.386580273,0.113100712,-0.591717428
SCPT,36413,4,5,4.5,135,9.286421185,0.060446858,0.012688281,1.822238512,2,1,185.3105372,225.5954365,216.5737344,146.347679,276.2716683,-0.316758219,-0.513468513,-0.472656286,-0.080710376,-0.716109909
SCPT,36413,5,6,5.5,168,9.662297303,0.058466165,0.024026186,1.790809301,2,1,189.9423765,231.2341975,214.3796905,155.2303596,289.5389863,-0.122756765,-0.319467059,-0.243784718,0.079053775,-0.544325976
SCPT,36413,6,7,6.5,181,8.248486723,0.067421922,0.037311047,1.904154839,2,1,192.6230283,234.4975997,216.6536057,160.8558631,307.357378,-0.062238026,-0.258948321,-0.17980276,0.117988327,-0.529514137
SCPT,36413,7,8,7.5,172,13.24094598,0.119013266,0.040342554,1.786264912,2,1,223.0402992,271.5273207,248.4367157,187.8564418,344.3486529,-0.259857992,-0.456568286,-0.367693671,-0.088183587,-0.694160193
SCPT,36413,8,9,8.5,236,11.78656269,0.108923626,0.039743211,1.833122748,2,1,221.5167414,269.6725548,240.4758589,189.8836182,351.0698018,0.063333636,-0.133376658,-0.018787901,0.217420456,-0.397153264
SCPT,36413,9,10,9.5,223,13.70226267,0.128027974,0.026495672,1.787206654,2,1,232.942581,283.5822726,250.7126304,202.8493474,369.1772873,-0.043620218,-0.240330513,-0.117135613,0.094708199,-0.504105211
SCPT,36413,10,11,10.5,305,21.05534713,0.214071779,0.044623529,1.679356355,2,1,264.0470062,321.4485293,289.3651522,231.5599381,406.1109665,0.144184635,-0.052525659,0.052622384,0.275473025,-0.286314662
SCPT,36413,11,12,11.5,254,16.3758133,0.155001617,0.060145109,1.73464758,2,1,249.0209376,303.1559241,262.8711628,222.9959109,397.7502825,0.019797287,-0.176913007,-0.03432977,0.130180832,-0.44849011
SCPT,36413,12,13,12.5,241,15.2431448,0.142689848,0.090289709,1.753642357,2,1,246.9879162,300.6809415,255.2644139,224.338583,401.6747552,-0.02454248,-0.221252774,-0.057502992,0.071640491,-0.510845761
