d,vs
0.02,53.66666309373308
0.04,68.03535735931551
0.06,72.71937688580785
0.08,81.65552900779124
0.1,87.85282429099007
0.12,90.95327279642582
0.14,95.31469547321045
0.16,96.12364112646833
0.18,98.47599098987234
0.2,100.8409577097572
0.22,103.47250389452918
0.24,103.93809968847664
0.26,105.85518988046775
0.28,114.10405489311782
0.3,112.00093998548131
0.32,115.02090925441107
0.34,120.13583101097267
0.36,127.87495424926375
0.38,134.1667354309612
0.4,137.81074681840562
0.42,140.43505634731315
0.44,139.81016450966118
0.46,130.1440347494111
0.48,119.83318193837466
0.5,127.03809463461099
0.52,124.33836613082887
0.54,121.32337371830855
0.56,122.49807860330561
0.58,119.67815402158539
0.6,116.15643917381504
0.62,112.0074991728529
0.64,109.10936369657122
0.66,108.43039284220707
0.68,104.10129078632775
0.7,102.99149263667493
0.72,100.93227932753936
0.74,100.05774889044406
0.76,99.43209106635398
0.78,101.54327122153269
0.8,105.39790434897341
0.82,105.37972336555607
0.84,109.23310649103574
0.86,116.3290728548955
0.88,122.38660358572405
0.9,126.34505272020847
0.92,127.20768846024892
0.94,124.47092383748115
0.96,121.42355160722526
0.98,121.45335243203012
1.0,120.93380222549314
1.02,118.83927190011214
1.04,119.11976062282886
1.06,121.43012269028178
1.08,123.2684945375554
1.1,128.27399991537982
1.12,133.72493170445392
1.14,142.28890033593873
1.16,142.1227208290392
1.18,146.03591154527888
1.2,147.80468685695155
1.22,174.04165023216376
1.24,162.84644412067138
1.26,162.53098114196402
1.28,179.34323385606498
1.3,174.3630682848698
1.32,173.5452723669732
1.34,169.3480086926903
1.36,161.60288610042483
1.38,157.21506932566274
1.4,137.68129570550445
1.42,137.02107742745798
1.44,137.89006341732383
1.46,138.64429752246934
1.48,137.43871621921366
1.5,137.30256837793277
1.52,137.30629314383714
1.54,138.13243816458424
1.56,140.12410016943446
1.58,143.52810747583933
1.6,144.99078322544418
1.62,147.1782623358028
1.64,147.8804334562957
1.66,147.0622550490397
1.68,147.92214802155414
1.7,146.56016438658713
1.72,147.50162899289396
1.74,148.1780202138369
1.76,153.7768305272321
1.78,166.57933841511104
1.8,175.91626919282982
1.82,174.8348667968974
1.84,189.68129044322254
1.86,189.65556886130796
1.88,188.4073413580097
1.9,189.25267282254273
1.92,188.37358405927813
1.94,178.57490164869765
1.96,179.73031889569128
1.98,180.38682410370805
2.0,177.19745077396672
2.02,168.48149089646674
2.04,165.69531984216903
2.06,165.31841342855512
2.08,178.48528800564145
2.1,177.22558357610225
