d,vs
0.02,11.776231045094582
0.04,17.082437266201584
0.06,20.778198116307887
0.08,24.432471771664403
0.1,27.58577358570712
0.12,29.242229071180414
0.14,31.313176856826637
0.16,32.32368701955556
0.18,33.779967301324255
0.2,35.18289414292532
0.22,36.45637108665956
0.24,37.2114880069259
0.26,37.96761321330869
0.28,41.59366990391202
0.3,41.49839077282427
0.32,42.98087628319221
0.34,45.0602172745112
0.36,48.353787499396034
0.38,51.0195534666767
0.4,52.42290396809565
0.42,53.79522792369966
0.44,54.14839463938892
0.46,51.02205585050789
0.48,47.86078099423283
0.5,50.84843498607766
0.52,50.116787204232004
0.54,49.40433305910624
0.56,50.130778229715496
0.58,49.758662704510456
0.6,48.78838832549907
0.62,47.61751708777444
0.64,46.588740142946264
0.66,46.60609392383169
0.68,44.97755075006648
0.7,44.95973027364525
0.72,44.72552527678146
0.74,44.37393794271365
0.76,43.708716576745545
0.78,44.78823219918677
0.8,46.36551764823423
0.82,46.78713164500801
0.84,48.100942146062124
0.86,51.122897990662224
0.88,53.68394977613634
0.9,56.091306242091335
0.92,56.66950500811667
0.94,56.067500908023995
0.96,55.27759634408954
0.98,55.68812283426186
1.0,55.53899738608462
1.02,55.01767563891193
1.04,55.3818508370366
1.06,56.11862765767844
1.08,57.10031871796508
1.1,59.01471328355204
1.12,61.69342621211643
1.14,65.52513166957722
1.16,65.80363735352093
1.18,68.34660996346933
1.2,69.21236967779639
1.22,82.46067235450265
1.24,79.02413057918166
1.26,76.34309565440265
1.28,82.42424667438573
1.3,80.55364931107731
1.32,80.50861493066449
1.34,79.4318380689013
1.36,77.27697445236075
1.38,75.73284693129924
1.4,67.76955468064068
1.42,67.94418176142362
1.44,68.20156234159752
1.46,68.63579194676423
1.48,68.67716390122938
1.5,68.835152789819
1.52,69.12704463030188
1.54,69.74112413603287
1.56,70.52644921364819
1.58,71.7957157600549
1.6,72.8345103500548
1.62,74.02722704690726
1.64,74.63716262096975
1.66,74.69721931166693
1.68,74.6348586606782
1.7,74.57031881065492
1.72,74.99262585824148
1.74,75.63469688887207
1.76,78.12460317991733
1.78,85.10705657951141
1.8,87.9066287438207
1.82,87.28644442101674
1.84,92.23862329346052
1.86,91.60929208540264
1.88,90.98890463050209
1.9,91.138818068741
1.92,90.83937423040366
1.94,87.69450400971957
1.96,88.48864631691653
1.98,89.24802270399958
2.0,88.35228127788777
2.02,85.31137785682276
2.04,83.83496336225708
2.06,83.99059349518097
2.08,89.19132043965406
2.1,88.56125847096274
2.12,89.8715939058693
2.14,90.48497043115171
2.16,90.35693557568986
2.18,89.40006785910906
2.2,88.71516858202847
2.22,87.8286414793733
2.24,86.89187212151178
2.26,85.87117006780676
2.28,85.75185063441015
2.3,85.13479210695996
2.32,84.77525430048603
2.34,84.74224080884939
2.36,84.8842383460301
2.38,85.46635684746421
2.4,85.64811936152863
2.42,86.81969386691438
2.44,88.11150516778696
2.46,89.60673411183475
2.48,91.52866580779641
2.5,92.49926438470783
2.52,93.69597324237864
2.54,94.41025601363172
2.56,96.36022547158099
2.58,98.1005558261283
2.6,100.05801773073337
2.62,101.00159401961648
2.64,103.23557690374713
2.66,104.09459946113984
2.68,107.06542407965216
2.7,107.97312859009047
2.72,109.81003615770497
