d,vs
1.02469949,162.3940553
1.087587794,159.9386182
1.145093377,157.756111
1.20715632,155.3006207
1.26177314,153.1179272
1.319284682,150.8443281
1.387110251,148.61694
1.445740648,145.6420025
1.51288388,143.7516118
1.612782305,143.3025905
1.699445165,143.3081774
1.788578147,143.4050157
1.88019913,143.3198299
1.978422997,143.2350697
2.057383485,147.4304043
2.095149839,150.4935392
2.135381549,153.7207991
2.173133601,157.0025544
2.210060292,160.2842566
2.250288426,163.5661716
2.29051656,166.8480866
2.329919333,170.1299483
2.370147467,173.4118633
2.408724879,176.6936719
2.452254455,179.9757997
2.500736195,183.2582468
2.541160985,183.5341296
2.588403194,180.5311303
2.637314002,177.2549618
2.687857653,174.2521753
2.734274501,171.2491228
2.785661391,167.9731139
2.83704828,164.697105
2.894212694,161.4214685
2.944433352,158.3093505
2.998637194,154.8695571
3.052500165,151.5937078
3.108013857,148.3179649
3.16352755,145.042222
3.219866603,141.7665324
3.271253492,138.4905235
3.331719348,135.2150998
3.388883762,131.9394634
3.4684223,127.2988853
3.545413245,123.7512501
3.647075618,121.5715895
3.710287213,120.4825573
3.808163952,119.3957598
4.05853425,115.0394714
4.137858254,113.6782011
4.224538992,113.4105123
4.311291241,112.0497209
4.400465938,111.508916
4.479772064,110.4209214
4.566452802,110.1532326
4.652990517,112.0717489
4.737070028,113.71683
4.816197376,115.3615919
4.895324723,117.0063538
4.9810192,119.1980926
5.058531582,120.2961967
5.136186987,119.2080957
5.224625713,117.3008593
5.316348004,115.6671115
5.385749803,114.5784784
5.455151602,113.4898452
5.554277109,112.2391622
5.644966656,113.7753587
5.719486286,115.2012021
5.789208099,116.7907022
5.860907202,118.4349852
5.924830037,120.3520437
5.991117515,121.4494242
6.033946876,122.8185693
6.089982005,124.1885657
6.16125055,126.1060977
6.231693734,128.0235765
6.286078142,129.3934665
6.332208945,130.7628244
6.402239448,132.6802766
6.472691571,134.4611176
6.531612483,135.8768462
6.565374796,137.0632222
6.610823261,136.2463217
6.662102883,134.6099667
6.730320275,132.7014268
6.80266447,130.7931529
6.863848419,129.1574364
6.920080205,127.5214006
6.979613433,125.8855777
7.075236925,124.0959232
7.152939153,125.8967513
7.212239969,127.8135118
7.279770554,130.095172
7.377779887,133.2897196
7.44449107,135.4802347
7.50874405,137.3973144
7.582819118,140.5721007
7.645289081,144.5113139
7.717551335,150.1636929
7.763224465,153.4823958
7.807572251,156.8738871
7.848134104,160.1011683
7.892489041,163.3833493
7.932717175,166.6652643
7.979063703,169.7836076
8.022252409,173.2296796
8.073687568,176.7855938
8.127045788,178.7019713
8.200603293,178.4334364
8.292182561,178.9858938
8.372230439,179.4282971
8.458126816,179.5431452
8.498917506,179.272498
8.5894098,181.3005801
8.601353095,184.1980841
8.620427268,189.1182962
8.63011706,192.3982425
8.639017248,195.1315843
8.655238414,199.5050589
8.667404288,202.7851648
8.672967278,206.0648451
8.682657071,209.3447914
8.697299027,212.6250569
8.702862017,215.9047372
8.708425007,219.1844174
8.728019126,222.4650022
8.730280674,225.7444696
8.739970466,229.0244159
8.752961701,232.3045751
8.757699331,235.5842021
8.769039845,238.8642548
8.778729637,242.1442011
8.787274652,245.2601076
8.807942038,249.7978348
8.815155749,253.0776215
8.831341159,257.9976474
8.842681673,261.2777001
8.847472936,263.7375002
8.870207597,269.4777787
8.874945226,272.7574057
8.899312731,278.7710663
8.905754715,281.2309728
8.920307282,285.8776166
8.930822435,289.1576161
8.934788337,291.617363
8.953503463,295.7177215
8.959066452,298.9974018
8.967769388,302.2226291
8.98174748,305.5575072
8.988961191,308.8372939
8.992962849,310.7504895
9.014943661,315.3976122
9.020506651,318.6772924
9.022032227,320.5903284
9.051394802,325.9484466
9.060269961,329.0643743
9.069134393,332.3442674
9.075522743,335.6240009
9.087688618,338.9041068
9.154370005,341.5500813
9.223545351,343.9229397
9.303845188,346.5697921
9.36848701,348.851266
9.447554765,351.4069467
9.516323391,353.6886866
9.597201873,355.0602846
9.643123505,352.0572001
9.681304626,348.7803399
9.721136467,345.5035861
9.756016145,342.226513
9.791721184,338.9494931
9.834029107,335.6728989
9.877162391,332.3963579
9.917837471,328.8463817
9.963464714,325.2967246
9.999496322,322.0743812
10.044797,318.4700477
10.09926798,315.2723167
10.19607039,314.9272013
10.27689018,315.9344264
10.31978509,316.3015608
10.40388248,317.6733662
10.49953492,319.0459166
10.59265745,342.2307135
10.81410138,356.1957452
11.0225192,369.7693778
11.113702,375.9723938
11.19185868,381.7840107
11.29606759,389.5328332
11.41655914,398.8291114
11.51751152,406.9610872
11.5956682,417.7751364
11.64451613,425.4959233
11.69987711,431.6807986
11.81711214,447.9018723
11.92132104,461.8075345
12.00164875,474.1618929
12.02064516,478.0195378
12.09066052,493.4470938
12.11834101,499.6179513
