File Name, Hegazy Depth, Hegazy Vs, Andrus Depth, Andrus Vs, Rob Depth, Rob Vs, Mc15 Depth, Mc15 Vs, Mc18 Depth, Mc18 Vs
CPT_6457, 0.08, 835.60, 0.08, 187.21, 0.08, 225.74, 0.08, 37.33, 0.08, 58.79
CPT_6457, 0.10, 469.90, 0.10, 144.91, 0.10, 168.14, 0.10, 46.38, 0.10, 91.95
CPT_6457, 0.12, 429.31, 0.12, 155.56, 0.12, 177.63, 0.12, 52.43, 0.12, 102.68
CPT_6457, 0.14, 203.56, 0.14, 146.34, 0.14, 137.97, 0.14, 53.35, 0.14, 96.20
CPT_6457, 0.16, 203.45, 0.16, 150.07, 0.16, 143.55, 0.16, 57.35, 0.16, 103.35
CPT_6457, 0.18, 297.98, 0.18, 169.45, 0.18, 175.38, 0.18, 65.72, 0.18, 121.29
CPT_6457, 0.20, 272.49, 0.20, 173.37, 0.20, 175.37, 0.20, 70.43, 0.20, 127.26
CPT_6457, 0.22, 159.99, 0.22, 153.71, 0.22, 143.76, 0.22, 67.91, 0.22, 116.26
CPT_6457, 0.24, 159.61, 0.24, 154.16, 0.24, 146.02, 0.24, 69.58, 0.24, 118.85
CPT_6457, 0.26, 226.42, 0.26, 170.63, 0.26, 171.66, 0.26, 75.96, 0.26, 134.02
CPT_6457, 0.28, 363.88, 0.28, 189.81, 0.28, 210.15, 0.28, 80.13, 0.28, 146.75
CPT_6457, 0.30, 398.95, 0.30, 191.44, 0.30, 219.00, 0.30, 80.75, 0.30, 149.82
CPT_6457, 0.32, 409.07, 0.32, 191.79, 0.32, 222.61, 0.32, 81.64, 0.32, 152.23
CPT_6457, 0.34, 825.17, 0.34, 218.01, 0.34, 297.35, 0.34, 86.94, 0.34, 169.89
CPT_6457, 0.36, 782.56, 0.36, 217.13, 0.36, 293.31, 0.36, 88.08, 0.36, 171.60
CPT_6457, 0.38, 544.13, 0.38, 203.00, 0.38, 254.58, 0.38, 86.54, 0.38, 165.30
CPT_6457, 0.40, 579.29, 0.40, 198.73, 0.40, 258.61, 0.40, 84.92, 0.40, 165.58
