File Name, Depth, Hegazy Vs, Andrus Vs,  Rob Vs, Mc15 Vs,  Mc18 Vs
CPT_6458, 10.66, 1303.85,  214.37,  251.80, 206.44,  371.38
CPT_6458, 10.68, 1057.50,  208.26,  229.74, 203.41,  362.77
CPT_6458, 10.70, 659.82,  206.51,  203.92, 206.38,  358.92
CPT_6458, 10.72, 575.85,  205.36,  201.36, 206.32,  357.38
CPT_6458, 10.74, 545.52,  205.37,  203.13, 206.43,  357.55
CPT_6458, 10.76, 508.06,  205.51,  202.36, 207.28,  357.78
CPT_6458, 10.78, 488.15,  206.01,  203.27, 208.08,  358.58
CPT_6458, 10.80, 474.42,  206.50,  204.48, 208.73,  359.37
CPT_6458, 10.82, 469.74,  207.38,  206.79, 209.47,  360.71
CPT_6458, 10.84, 458.93,  207.86,  207.68, 210.16,  361.48
CPT_6458, 10.86, 452.62,  208.30,  209.00, 210.63,  362.23
CPT_6458, 10.88, 448.29,  209.19,  210.61, 211.53,  363.54
CPT_6458, 10.90, 433.52,  210.14,  210.36, 213.23,  364.90
CPT_6458, 10.92, 428.64,  211.01,  211.56, 214.27,  366.19
CPT_6458, 10.94, 420.93,  211.88,  212.18, 215.56,  367.47
CPT_6458, 10.96, 409.34,  211.92,  211.68, 216.23,  367.69
CPT_6458, 10.98, 403.03,  211.94,  211.96, 216.52,  367.88
CPT_6458, 11.00, 403.91,  212.77,  213.74, 217.21,  369.09
CPT_6458, 11.02, 402.21,  213.59,  215.01, 218.14,  370.31
CPT_6458, 11.04, 384.93,  212.41,  212.63, 218.03,  368.99
CPT_6458, 11.06, 368.13,  210.77,  209.99, 217.42,  367.06
CPT_6458, 11.08, 362.18,  210.36,  209.74, 217.34,  366.69
CPT_6458, 11.10, 353.63,  209.52,  208.76, 217.01,  365.76
CPT_6458, 11.12, 348.16,  209.10,  208.47, 216.92,  365.37
CPT_6458, 11.14, 352.94,  209.97,  210.61, 217.36,  366.64
CPT_6458, 11.16, 360.95,  211.25,  213.49, 217.98,  368.42
CPT_6458, 11.18, 372.02,  212.49,  216.86, 218.24,  370.12
CPT_6458, 11.20, 379.92,  213.29,  219.40, 218.31,  371.28
CPT_6458, 11.22, 389.40,  214.05,  222.17, 218.20,  372.40
CPT_6458, 11.24, 403.13,  214.74,  225.57, 217.66,  373.47
CPT_6458, 11.26, 409.31,  215.05,  227.47, 217.39,  374.07
CPT_6458, 11.28, 417.21,  215.33,  229.60, 216.94,  374.66
CPT_6458, 11.30, 424.47,  215.16,  231.37, 216.07,  374.74
CPT_6458, 11.32, 438.41,  215.24,  234.32, 215.05,  375.27
CPT_6458, 11.34, 449.87,  214.44,  236.38, 213.30,  374.81
CPT_6458, 11.36, 468.96,  213.79,  239.68, 211.37,  374.79
CPT_6458, 11.38, 526.28,  215.75,  250.14, 210.61,  378.92
CPT_6458, 11.40, 578.43,  209.62,  255.24, 202.69,  374.76
CPT_6458, 11.42, 620.54,  206.94,  260.32, 199.08,  374.11
CPT_6458, 11.44, 695.83,  204.09,  269.45, 195.11,  374.80
CPT_6458, 11.46, 806.50,  202.09,  282.66, 192.02,  377.76
CPT_6458, 11.48, 820.05,  204.60,  286.04, 193.98,  381.06
CPT_6458, 11.50, 774.07,  207.89,  282.65, 197.28,  382.77
CPT_6458, 11.52, 678.66,  211.77,  272.93, 202.15,  383.00
CPT_6458, 11.54, 574.44,  212.41,  259.23, 205.19,  379.68
CPT_6458, 11.56, 471.41,  213.24,  244.48, 210.00,  376.70
CPT_6458, 11.58, 407.44,  212.33,  233.98, 212.93,  373.76
CPT_6458, 11.60, 370.32,  210.58,  227.11, 213.97,  370.96
CPT_6458, 11.62, 333.91,  208.03,  219.69, 214.66,  367.37
CPT_6458, 11.64, 320.44,  206.33,  216.68, 214.05,  365.16
CPT_6458, 11.66, 303.81,  204.11,  212.73, 213.28,  362.21
CPT_6458, 11.68, 299.25,  204.13,  212.29, 213.99,  362.42
CPT_6458, 11.70, 297.05,  204.61,  212.56, 215.01,  363.28
CPT_6458, 11.72, 296.67,  205.53,  213.44, 216.41,  364.77
CPT_6458, 11.74, 296.32,  206.42,  214.32, 217.79,  366.23
CPT_6458, 11.76, 293.61,  207.27,  214.78, 219.57,  367.70
CPT_6458, 11.78, 296.80,  208.57,  216.55, 220.94,  369.68
CPT_6458, 11.80, 304.44,  210.72,  219.62, 222.74,  372.71
CPT_6458, 11.82, 306.05,  211.93,  221.07, 224.28,  374.57
CPT_6458, 11.84, 306.99,  213.11,  222.40, 225.91,  376.39
CPT_6458, 11.86, 307.16,  213.87,  223.32, 227.06,  377.64
CPT_6458, 11.88, 307.03,  214.61,  224.18, 228.25,  378.88
CPT_6458, 11.90, 304.07,  213.84,  223.48, 227.60,  377.99
CPT_6458, 11.92, 303.29,  213.13,  223.14, 226.54,  377.05
CPT_6458, 11.94, 294.97,  211.09,  220.65, 225.01,  374.49
CPT_6458, 11.96, 286.51,  208.98,  218.06, 223.42,  371.79
CPT_6458, 11.98, 287.62,  208.64,  218.24, 222.53,  371.30
CPT_6458, 12.00, 197.71,  186.94,  187.93, 209.94,  339.94
CPT_6458, 12.02, 247.79,  195.82,  202.72, 210.31,  352.64
CPT_6458, 12.04, 234.67,  195.56,  200.74, 213.50,  353.05
CPT_6458, 12.06, 235.99,  196.09,  201.60, 214.07,  354.02
CPT_6458, 12.08, 243.69,  197.76,  204.32, 214.79,  356.52
CPT_6458, 12.10, 244.28,  197.79,  204.66, 214.65,  356.65
CPT_6458, 12.12, 243.15,  197.31,  204.33, 214.06,  355.98
CPT_6458, 12.14, 242.29,  196.34,  203.62, 212.50,  354.45
CPT_6458, 12.16, 241.45,  195.84,  203.30, 211.80,  353.74
CPT_6458, 12.18, 245.23,  196.41,  204.54, 211.76,  354.67
CPT_6458, 12.20, 248.85,  196.96,  205.74, 211.77,  355.58
CPT_6458, 12.22, 252.43,  197.51,  206.93, 211.78,  356.49
CPT_6458, 12.24, 254.22,  197.51,  207.41, 211.34,  356.59
CPT_6458, 12.26, 258.64,  198.02,  208.69, 211.15,  357.47
CPT_6458, 12.28, 269.24,  198.95,  211.30, 210.41,  359.02
CPT_6458, 12.30, 277.70,  199.84,  213.54, 210.20,  360.57
CPT_6458, 12.32, 285.58,  200.70,  215.66, 210.12,  362.10
CPT_6458, 12.34, 324.95,  206.16,  226.29, 212.13,  370.71
CPT_6458, 12.36, 346.78,  208.73,  231.86, 212.96,  374.91
CPT_6458, 12.38, 352.77,  209.42,  233.49, 213.18,  376.16
CPT_6458, 12.40, 344.01,  208.82,  231.82, 213.33,  375.23
CPT_6458, 12.42, 322.45,  207.25,  227.37, 213.83,  372.60
CPT_6458, 12.44, 308.74,  205.19,  223.81, 212.87,  369.69
CPT_6458, 12.46, 297.19,  202.94,  220.44, 211.40,  366.55
CPT_6458, 12.48, 285.37,  200.61,  216.93, 209.88,  363.20
CPT_6458, 12.50, 274.73,  199.29,  214.35, 209.71,  361.21
CPT_6458, 12.52, 267.27,  199.53,  213.51, 211.46,  361.50
CPT_6458, 12.54, 262.01,  200.70,  213.84, 214.48,  363.32
