Depth,Qc,Fs,u
0.01,0.071,0.0050,0.0000
0.02,0.088,0.0080,0.0000
0.03,0.250,0.0080,0.0000
0.04,0.446,0.0100,0.0000
0.05,0.684,0.0140,0.0000
0.06,1.008,0.0130,0.0000
0.07,1.162,0.0110,0.0010
0.08,1.247,0.0120,0.0010
0.09,1.494,0.0140,0.0010
0.10,1.656,0.0150,0.0010
0.11,1.971,0.0180,0.0010
0.12,2.278,0.0210,0.0010
0.13,2.372,0.0240,0.0010
0.14,2.542,0.0270,0.0010
0.15,2.798,0.0280,0.0010
0.16,3.369,0.0300,0.0010
0.17,3.625,0.0330,0.0010
0.18,3.863,0.0400,0.0010
0.19,4.059,0.0500,0.0010
0.20,4.341,0.0500,0.0010
0.21,4.392,0.0640,0.0010
0.22,4.383,0.0770,0.0010
0.23,4.400,0.0970,0.0010
0.24,4.443,0.0970,0.0010
0.25,4.452,0.1150,0.0010
0.26,4.469,0.1390,0.0010
0.27,4.366,0.1390,0.0010
0.28,4.264,0.1540,0.0010
0.29,4.264,0.1700,0.0010
0.30,3.821,0.1700,0.0010
0.31,3.548,0.1780,0.0010
0.32,3.318,0.1890,0.0010
0.33,3.318,0.1890,0.0010
0.34,3.130,0.2020,0.0010
0.35,2.994,0.2130,0.0010
0.36,2.994,0.2130,0.0010
0.37,2.960,0.2190,0.0010
0.38,3.003,0.2190,0.0010
0.39,3.003,0.2250,0.0010
0.40,3.045,0.2230,0.0010
0.41,3.054,0.2230,0.0000
0.42,3.045,0.2100,0.0000
0.43,3.071,0.1940,0.0000
0.44,3.096,0.1780,-0.0010
0.45,3.096,0.1640,-0.0010
0.46,3.122,0.1500,-0.0010
0.47,3.122,0.1500,-0.0010
0.48,3.148,0.1440,-0.0020
0.49,3.122,0.1390,-0.0020
0.50,3.122,0.1360,-0.0020
0.51,3.122,0.1360,-0.0030
0.52,3.148,0.1390,-0.0030
0.53,3.139,0.1360,-0.0030
0.54,3.105,0.1330,-0.0035
0.55,3.071,0.1330,-0.0040
0.56,3.258,0.1380,-0.0050
0.57,3.480,0.1420,-0.0050
