Station,easting,northing,vs30,uncertainty,q
CPT_130379_measurement_num_0,1767662,5472755,293.09,0.352664344,5
CPT_168489_measurement_num_0,1235117,5023199,227.94,0.333227203,5
CPT_166004_measurement_num_0,1235148.48,5023290.13,232.78,0.342644382,5
CPT_166009_measurement_num_0,1235170.86,5023230.43,236.94,0.348484982,5
CPT_168493_measurement_num_0,1235174,5022983,238.59,0.343195565,5
CPT_166007_measurement_num_0,1235232.08,5023261.56,239.07,0.354258995,5
CPT_168499_measurement_num_0,1235348,5023286,250.94,0.348244475,5
CPT_168504_measurement_num_0,1235403,5023720,214.92,0.348774099,5
CPT_168502_measurement_num_0,1235467,5023331,240.79,0.346585038,5
CPT_168488_measurement_num_0,1235479,5022865,231.08,0.355343415,5
CPT_168496_measurement_num_0,1235513,5023473,265.86,0.335907537,5
CPT_168494_measurement_num_0,1235658,5023178,219.47,0.346723921,5
CPT_168492_measurement_num_0,1235672,5023526,208.29,0.33644607,5
CPT_168498_measurement_num_0,1235783,5023231,208.43,0.345687174,5
CPT_168503_measurement_num_0,1235905,5023267,210.67,0.352512247,5
CPT_168491_measurement_num_0,1235983,5023652,165.17,0.339049753,5
CPT_161009_measurement_num_0,1239205.22,4846585.66,250.91,0.340995231,5
CPT_161103_measurement_num_0,1239335.35,4845313.83,252.09,0.338480005,5
CPT_161104_measurement_num_0,1239352.69,4845325.57,251.21,0.339446892,5
CPT_161008_measurement_num_0,1240359.37,4845640.51,249.86,0.347470208,5
CPT_165076_measurement_num_0,1240715.23,4848017.5,193.45,0.345768452,5
CPT_172360_measurement_num_0,1240855.08,4848298.66,218.89,0.342470021,5
CPT_188367_measurement_num_0,1240940.84,4848363.64,204.38,0.351713302,5
CPT_165081_measurement_num_0,1241026.33,4848453.29,227.54,0.341993028,5
CPT_165086_measurement_num_0,1241512.65,4848818.75,230.04,0.352334857,5
CPT_174928_measurement_num_0,1243775.98,4847254.14,283.15,0.342290228,5
CPT_72651_measurement_num_0,1244408,4829692.35,68.64,0.351822865,5
CPT_176515_measurement_num_0,1245199,4840838,270.63,0.333360028,5
CPT_176514_measurement_num_0,1245214,4840855,280.6,0.348345747,5
CPT_176518_measurement_num_0,1245270,4840812,260.67,0.332539592,5
CPT_171728_measurement_num_0,1251306.88,4869117.99,256.02,0.360500375,5
CPT_171724_measurement_num_0,1251359.74,4869113.21,254.22,0.355608761,5
CPT_209323_measurement_num_0,1257944.3,5004763.84,219.45,0.348178357,5
CPT_209325_measurement_num_0,1257959.78,5004800.77,206.63,0.346455053,5
CPT_118240_measurement_num_0,1257974.88,5004967.57,202.29,0.349451223,5
CPT_116777_measurement_num_0,1257994,5005367,250.3,0.346461185,5
CPT_168148_measurement_num_0,1258018.78,5005310.33,244.71,0.337157864,5
CPT_116770_measurement_num_0,1258029,5005235,189.65,0.344987753,5
CPT_168147_measurement_num_0,1258032.74,5005344.5,216.49,0.347835296,5
CPT_116776_measurement_num_0,1258053,5005396,237.15,0.346977219,5
CPT_168153_measurement_num_0,1258058.77,5005301.34,201.82,0.369690174,5
CPT_168150_measurement_num_0,1258069.77,5005346.49,225.03,0.33582909,5
CPT_118239_measurement_num_0,1258078.55,5005467.09,253.79,0.34447986,5
CPT_168151_measurement_num_0,1258081.59,5005347.12,229.41,0.343482968,5
CPT_116774_measurement_num_0,1258087,5005335,212.34,0.344311033,5
CPT_168152_measurement_num_0,1258090.22,5005304.14,213.11,0.36396153,5
CPT_168159_measurement_num_0,1258093.25,5005380.06,245.1,0.339802125,5
CPT_168158_measurement_num_0,1258095.02,5005391.3,251.64,0.339874772,5
CPT_116771_measurement_num_0,1258109,5005219,181.88,0.337195892,5
CPT_168155_measurement_num_0,1258117.1,5005347.92,239.42,0.352625333,5
CPT_168154_measurement_num_0,1258120.4,5005301.3,204.02,0.342582511,5
CPT_116775_measurement_num_0,1258123,5005331,231.22,0.346703407,5
CPT_168160_measurement_num_0,1258134.47,5005392.3,249.66,0.348608459,5
CPT_168161_measurement_num_0,1258135.05,5005374.28,240.84,0.345759534,5
CPT_209332_measurement_num_0,1258143.36,5004874.66,217.93,0.333114372,5
CPT_116772_measurement_num_0,1258157,5005280,182.84,0.335928157,5
CPT_209335_measurement_num_0,1258157.54,5004875.42,195.51,0.354454374,5
CPT_151618_measurement_num_0,1258158.23,5004772.07,167.9,0.342038155,5
CPT_168156_measurement_num_0,1258164.6,5005361.05,225.3,0.347380457,5
CPT_168157_measurement_num_0,1258166.95,5005317.17,200.76,0.329353823,5
CPT_151610_measurement_num_0,1258169.02,5004756.31,178.7,0.349226284,5
CPT_151624_measurement_num_0,1258180.69,5004778.22,216.33,0.341816313,5
CPT_151619_measurement_num_0,1258188.11,5004734.21,199.53,0.35806325,5
CPT_116773_measurement_num_0,1258216,5005285,182.68,0.344213512,5
CPT_167437_measurement_num_0,1258223.59,5005358.75,202.17,0.333078081,5
CPT_168162_measurement_num_0,1258234.29,5005328.58,191.92,0.344749902,5
CPT_133595_measurement_num_0,1258271,5005350,200.43,0.340619164,5
CPT_77987_measurement_num_0,1258304,5005359,197.44,0.342134165,5
CPT_118238_measurement_num_0,1258305.93,5005897.62,284.23,0.350882582,5
CPT_133597_measurement_num_0,1258312,5005413,239.5,0.344760339,5
CPT_124097_measurement_num_0,1263924,5005099,226.29,0.33450581,5
CPT_124096_measurement_num_0,1263935,5005132,234.22,0.337051497,5
CPT_94497_measurement_num_0,1264132.78,4970492.95,296.96,0.340055858,5
CPT_94488_measurement_num_0,1264220.3,4970681.38,299.74,0.333102661,5
CPT_94501_measurement_num_0,1264234.47,4970388.03,310.31,0.342685482,5
CPT_94492_measurement_num_0,1264257.29,4970566.55,286.3,0.348192777,5
CPT_94498_measurement_num_0,1264300.49,4970453.28,277.5,0.347113892,5
CPT_94487_measurement_num_0,1264367.41,4970652.57,197.89,0.340627272,5
CPT_94489_measurement_num_0,1264388.67,4970553.9,212.38,0.341447953,5
CPT_94499_measurement_num_0,1264438.78,4970289.83,245.39,0.339624763,5
CPT_94494_measurement_num_0,1264506.12,4970411.58,244.52,0.348241709,5
