NZTM_X,NZTM_Y,Vs30,xcoord,ycoord
2063216,5739364,219.78,178.3012679,-38.37399095
2063179,5739491,236.13,178.3007627,-38.37287042
2059934.03,5753921.49,159.44,178.2543929,-38.24503699
2059918.67,5753890.83,157.95,178.254238,-38.24532
2059739.8,5753529.54,176.59,178.2524365,-38.24865379
2059736.51,5753424.52,196.26,178.2524671,-38.24959798
2059735.74,5753475.93,193.37,178.252425,-38.24913699
2059729.76,5753296.76,161.81,178.252473,-38.25074802
2059713.6,5753261.39,165.63,178.252312,-38.25107371
2059712.46,5753255.44,170.28,178.2523029,-38.25112769
2059709.69,5753247.19,170.4,178.2522767,-38.25120314
2059704.72,5753441.93,203.87,178.252094,-38.24945797
2059702.11,5753277.17,160.17,178.252171,-38.25093796
2059699.87,5753263.3,183.5,178.2521545,-38.25106358
2059699.78,5753257.59,184.75,178.2521572,-38.25111487
2059698.12,5753249.05,167.85,178.2521438,-38.25119236
2059686.61,5753108.23,166.73,178.252104,-38.25246204
2059686.4,5753171.44,174.14,178.2520607,-38.25189486
2059686.1,5753165,194.13,178.2520614,-38.25195281
2059684.99,5753127.71,160.63,178.252073,-38.25228804
2059684.9,5753301.93,185.46,178.2519591,-38.25072453
2059682.94,5753122.59,154.39,178.252053,-38.25233504
2059680.4,5753165.03,180.88,178.2519966,-38.25195545
2059672.32,5753246.22,180.14,178.251852,-38.25123093
2059671.07,5753391.48,177.74,178.2517437,-38.24992792
2059660.99,5753367.72,191.04,178.2516444,-38.25014631
2054518.16,5719499.22,153.24,178.2149683,-38.55672923
2054515.03,5719551.88,156.92,178.2148983,-38.55625823
2054512.17,5719536.72,156.32,178.2148755,-38.55639574
2054493.66,5719514.65,156.62,178.2146783,-38.55660326
2041361.67,5829625.01,278.75,177.9966844,-37.5746421
2041352.79,5829564.1,270.82,177.9966208,-37.57519328
2040019.55,5707336.81,166.64,178.0569059,-38.67319485
2040003.42,5707299.19,167.16,178.0567451,-38.67354056
2039994.02,5707258.14,170.39,178.0566634,-38.67391372
2039532.88,5706867.96,147.91,178.0516297,-38.67764505
2039522.64,5706838.56,158.57,178.051531,-38.67791404
2039329.22,5707377.18,140.24,178.0489755,-38.67317486
2038951.59,5707824.84,161.96,178.0443684,-38.66934334
2038942.88,5707841.23,152.91,178.0442584,-38.66920052
2038917.97,5707907.23,168.6,178.0439314,-38.66862038
2038882.97,5707913.95,174.62,178.0435264,-38.66857738
2038880.2,5707931.7,184.51,178.0434835,-38.66841941
2038361.16,5707247.3,204.54,178.037972,-38.67482003
2038322.53,5707233.95,200.59,178.037538,-38.67495898
2038287.88,5707303.26,227.92,178.0370975,-38.67435392
2038249.63,5707271.61,157.71,178.0366795,-38.67465695
2038192.52,5707306.17,151.2,178.0360037,-38.67437494
2038188.53,5707276.11,202.95,178.0359769,-38.67464676
2038160.47,5707287.1,161.87,178.0356487,-38.67456197
2038157.8,5707335.6,153.27,178.0355875,-38.67412791
2038146.2,5707368.78,157.77,178.0354338,-38.67383579
2038140.43,5707293.1,181.27,178.0354154,-38.67451802
2038139.87,5707286.01,168.7,178.0354135,-38.67458194
2038129.41,5707293.09,171.73,178.0352892,-38.67452355
2038127.41,5707288.08,142.04,178.0352695,-38.67456952
2038081.16,5707295.04,175.7,178.0347354,-38.6745299
2038075.29,5707324.66,148.84,178.0346495,-38.6742669
2038056.53,5707302.74,175.46,178.0344485,-38.67447295
2036983.28,5710333.38,167.54,178.0202534,-38.647796
2036973.51,5708495.34,148.45,178.0212964,-38.66430131
2036972.57,5710333.38,168.93,178.0201308,-38.64780128
2036964.63,5710256.39,161.58,178.0200883,-38.64849635
2036953,5710315,167.43,178.0199183,-38.64797592
2036946.51,5710304.8,173.59,178.0198504,-38.64807068
2036941.12,5708541.67,127.69,178.0208964,-38.66390136
2036922.56,5710306.39,170.36,178.0195753,-38.6480682
2036922.3,5710282.84,174.68,178.0195871,-38.64827974
2036898,5710289,175.97,178.019305,-38.64823641
2036667,5708627,171.35,178.0177041,-38.66327036
2036655,5708581,165.68,178.0175956,-38.66368923
2036655,5708617,171.25,178.017573,-38.66336604
2036635,5708653,159.52,178.0173214,-38.66305271
2036632,5708635,170.22,178.0172983,-38.66321578
2036621,5708547,169.86,178.0172276,-38.66401119
2036322.41,5710974.09,148.88,178.0122863,-38.64236937
2036134.73,5711180.24,193.25,178.0100088,-38.64061094
2036120.07,5708462.31,236,178.011545,-38.665018
2036119.95,5711185.82,165.76,178.0098361,-38.64056811
2036111.72,5711222.96,158.7,178.0097186,-38.64023873
2036105.94,5711241.18,160.48,178.0096411,-38.640078
2036097.6,5711226.34,208.31,178.0095549,-38.64021533
2036092.31,5711202.67,265.74,178.0095092,-38.64043042
2035879.1,5709713.73,187.46,178.0080014,-38.653902
2035856.5,5709683.89,184.94,178.0077613,-38.65418099
2035847.25,5709650.53,185.73,178.0076763,-38.65448503
2035772.28,5711681.18,239.69,178.0055464,-38.63629182
2035766.32,5711668.14,234.63,178.0054863,-38.63641181
2035757,5711657.51,244.43,178.0053863,-38.63651182
2035747.25,5708707.87,228.53,178.0071222,-38.6629968
2035746.81,5711694.82,231.95,178.0052463,-38.63618187
2035722.24,5708714.93,233.72,178.0068314,-38.66294571
2035517.54,5710773.47,178.21,178.0031986,-38.64456581
2035515.49,5710795.95,185.36,178.0031611,-38.644365
2035495.43,5710730.82,179.82,178.0029722,-38.64495955
2035477.21,5710806.59,181.92,178.0027162,-38.64428827
2035470.4,5710774.33,183.73,178.0026584,-38.64458122
2035428.37,5710742.66,180.5,178.0021971,-38.64488617
2035423,5708327,260.2,178.003648,-38.66657532
2035422.84,5710784.62,180.02,178.0021076,-38.64451219
2035408.85,5709960.71,164.33,178.002463,-38.6519157
2035402,5708347,252.18,178.003395,-38.66640608
2035396.17,5709498.26,194.06,178.0026073,-38.65607355
2035380,5708330,244.28,178.0031537,-38.6665695
2035378.49,5709511.44,192.95,178.0023967,-38.65596391
2035365,5708347,236.4,178.0029713,-38.66642425
2035352.51,5710090.38,177.56,178.0017369,-38.65077924
2035339.35,5710067.66,174.93,178.0016004,-38.65098966
2035339.03,5708903.29,241.53,178.0023256,-38.66144293
2035334.68,5708893,220.02,178.0022822,-38.66153744
2035323.48,5710036.7,180.01,178.0014381,-38.65127539
2035319.48,5710072.9,181.74,178.0013697,-38.65095237
2035309.34,5710097.71,179.55,178.0012381,-38.65073461
2035301.45,5710053.31,179.25,178.0011755,-38.65113709
2035298.28,5710010.23,182.92,178.0011662,-38.65152539
2035287.91,5709978,180.81,178.0010676,-38.65181983
2035281.54,5710115.22,184.9,178.0009088,-38.65059106
2035254.17,5710073.91,175.67,178.0006213,-38.65097535
2035253.04,5710000.87,186.02,178.0006541,-38.65163162
2035241.95,5710051,185.21,178.0004958,-38.65118702
2035227.82,5710022.07,185.42,178.0003521,-38.65145367
2035172,5709186,189.97,178.0002362,-38.65898688
2035165,5709216,186.96,178.0001372,-38.65872099
2035152,5709217,189.92,177.9999878,-38.65871839
2035151,5709182,207.72,177.9999982,-38.6590331
2035144,5709235,198.9,177.9998849,-38.65856072
2035133.43,5709286.01,183.95,177.999732,-38.65810797
2035114.59,5709259.3,178.08,177.999533,-38.658357
2035104,5709205,180.26,177.9994457,-38.65884967
2035022,5709106,186.58,177.9985688,-38.65977867
2035007,5709102,169.54,177.9983995,-38.65982194
2034982.22,5709108.11,189.68,177.998112,-38.65977924
2034977.3,5709118.76,185.42,177.998049,-38.65968605
2034935.68,5709596,195.11,177.997274,-38.65542202
2034924.24,5709595.96,189.76,177.997143,-38.65542798
2034764.43,5708911.85,194.5,177.995741,-38.66164798
2034755.51,5708887.61,200.96,177.9956541,-38.66186996
2034623.08,5708866.4,204.49,177.994151,-38.66212529
2034620.07,5708887.98,222.29,177.994103,-38.66193303
2034577.19,5709249.66,201.53,177.993386,-38.65870703
2034546.3,5710828.07,195.67,177.9920463,-38.6445518
2034545.42,5711004.12,197.53,177.9919263,-38.64297172
2034544.73,5710927.3,200.81,177.9919664,-38.64366172
2034541.76,5710872.88,203.35,177.9919664,-38.64415174
2034538.2,5711176.05,182.2,177.9917363,-38.64143173
2034537.34,5711256.29,187.99,177.9916764,-38.64071178
2034522.02,5711055.52,188.64,177.9916264,-38.64252173
2034510.97,5710997.08,196.32,177.9915363,-38.64305179
2034480.33,5710931.92,185.56,177.9912263,-38.64365178
2034480.31,5711155.81,181.54,177.9910863,-38.64164178
2034480.29,5711091.21,178.65,177.9911264,-38.64222175
2034476.19,5711208.39,199.99,177.9910063,-38.64117175
2034471.62,5710980.29,193.51,177.9910964,-38.64322179
2034439.31,5709875.61,199.85,177.9914163,-38.65315504
