Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T
027C,-39.50455346,176.8959975,14,D,230,0.0176,Q2,Stolte et al. 2021 unpublished,0.87,0.2,Q2,I,Stolte et al. 2021 unpublished,163,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),6525,0.5,Q3,NZVM (2021),0,0,0
027G,-39.48855318,176.9189979,10,C,268,0.2,Q3,McVerry (2011),0.34,0.1,Q1,I,Stolte et al. 2022a,115,0.5,Q3,1,NZVM (2021),6625,0.5,Q3,NZVM (2021),0,0,0
039E,-40.94828199,175.6596767,108,D,314,0.2,Q3,McVerry (2011),1,0.3,Q3,I,McVerry (2011),83,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
048D,-41.51379094,173.9571528,4,D,235,0.2,Q3,McVerry (2011),3.2,0.2,Q2,I,Wotherspoon unpublished,95,0.597,Q2,0,Stolte et al. 2021 unpublished,1175,0.3,Q3,NZVM (2021),0,0,0
051D,-41.75549051,171.5989218,5,D,300,0.2,Q3,McVerry (2011),2.8,0.2,Q2,Mw,Unpub HVSR (Van Houtte),85,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0
112B,-43.13252461,171.7693172,655,C,275,0.2805,Q3,Foster et al. (2019) & Perrin et al. (2015),0.36,0.3,Q3,I,McVerry (2011),53,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
267A,-42.11659981,171.8604234,189,C,333,0.2,Q3,McVerry (2011),0.3,0.3,Q3,I,McVerry (2011),48,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
465B,-41.20578622,174.9543667,14,C,600,0.2,Q3,Kaiser et al. 2017,0.1,0.3,Q3,I,Kaiser et al. 2017,15,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0
642G,-41.234981,174.9171844,4,C,350,0.05,Q1,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),24,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0
642H,-41.2349868,174.9171661,4,C,350,0.05,Q1,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),24,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0
646C,-41.25628736,174.9479664,87,E,120,0.05,Q1,Kaiser & Louie (2006),1.6,0.1,Q1,Mu,Stephenson & Barker 1992,62,0.1,Q2,1,Kaiser et al. (2017),275,0.3,Q3,NZVM (2021),0,0,0
914B,-41.29498784,174.773464,16,C,282,0.1,Q2,McVerry (2011),0.49,0.2,Q2,I,Kaiser et al. 2019,41,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0
921A,-41.27748744,174.7734641,20,C,330,0.2,Q3,McVerry (2011),0.35,0.2,Q2,I,Kaiser et al. 2019,8,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0
935B,-41.21078622,174.9046661,5,D,223,0.2195,Q3,Foster et al. (2019) & Perrin et al. (2015),1.2,0.3,Q3,I,Boon et al. (2010),173,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0
935C,-41.21078622,174.9046661,5,D,223,0.2195,Q3,Foster et al. (2019) & Perrin et al. (2015),1.2,0.3,Q3,I,Boon et al. (2010),173,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0
BFZ,-40.67964728,176.2462451,405,B,800,0.2,Q3,NSHM 2021,0.04,0.1,Q1,Mw,Manea et al. 2021 unpublished,0,0.1,Q2,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),0,0.83,0
BKZ,-39.16566564,176.4925437,451,B,730,0.281,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,0,0.1,Q1,1,Kaiser et al. (2017),1475,0.5,Q3,NZVM (2021),1,0,0
CVZ,-44.38318,171.00616,303,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,0,0.3,Q3,1,Kaiser et al. (2017),1525,0.3,Q3,NZVM (2021),0,0,0
D13C,-43.606541,172.644913,259,B,1000,0.2,Q3,NSHM 2021,0.05,0.3,Q3,Mw,NSHM (2021),15,0.3,Q3,1,NSHM (2021) ,1575,0.3,Q3,NZVM (2021),0,0.3,0
D15C,-43.584671,172.725601,5,B,763,0.1905,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.2,Q2,Mn,Kaiser et al. (2013),34,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),1875,0.3,Q3,NZVM (2021),1,0,0
DCZ,-45.46471319,167.1535335,384,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,0,0.1,Q1,1,Kaiser et al. (2017),425,0.5,Q3,NZVM (2021),1,0,0
DSZ,-41.74496082,171.8046144,193,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,40,0.1,Q2,1,Kaiser et al. (2017),375,0.5,Q3,NZVM (2021),0,0.33,0
EAZ,-45.2310534,169.3082534,165,B,745,0.266,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),1,0.14,0
EKS1,-40.671276,175.990997,20,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),2,0.5,Q3,1,Kaiser et al. (2017),625,0.5,Q3,NZVM (2021),0,0.33,0
FOZ,-43.53209931,169.8154798,165,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,0,0.5,Q3,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),1,0,0
GRZ,-36.2502,175.4578,14,B,677,0.3205,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1075,0.5,Q3,NZVM (2021),0,0.18,0
GVZ,-42.967365,173.03475,22,B,714,0.2695,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),2125,0.5,Q3,NZVM (2021),0,0,0
